Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Australia,SI3_AGG - TO - Total merchandise,World,2014,239975.0,Total merchandise,merchandise,exports
Australia,SI3_AGG - AG - Agricultural products,World,2014,38632.0,Agricultural products,merchandise,exports
Australia,SI3_AGG - MI - Fuels and mining products,World,2014,152983.0,Fuels and mining products,merchandise,exports
Australia,SI3_AGG - MAIS - Iron and steel,World,2014,609.0,Iron and steel,merchandise,exports
Australia,SI3_AGG - MACH - Chemicals,World,2014,6617.0,Chemicals,merchandise,exports
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,13238.0,Machinery and transport equipment,merchandise,exports
Australia,SI3_AGG - MATE - Textiles,World,2014,215.0,Textiles,merchandise,exports
Australia,SI3_AGG - MACL - Clothing,World,2014,222.0,Clothing,merchandise,exports
Brazil,SI3_AGG - TO - Total merchandise,World,2014,225101.0,Total merchandise,merchandise,exports
Brazil,SI3_AGG - AG - Agricultural products,World,2014,88156.0,Agricultural products,merchandise,exports
Brazil,SI3_AGG - MI - Fuels and mining products,World,2014,54908.0,Fuels and mining products,merchandise,exports
Brazil,SI3_AGG - MAIS - Iron and steel,World,2014,10714.0,Iron and steel,merchandise,exports
Brazil,SI3_AGG - MACH - Chemicals,World,2014,13222.0,Chemicals,merchandise,exports
Brazil,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,33091.0,Machinery and transport equipment,merchandise,exports
Brazil,SI3_AGG - MATE - Textiles,World,2014,883.0,Textiles,merchandise,exports
Brazil,SI3_AGG - MACL - Clothing,World,2014,160.0,Clothing,merchandise,exports
Canada,SI3_AGG - TO - Total merchandise,World,2014,476300.0,Total merchandise,merchandise,exports
Canada,SI3_AGG - AG - Agricultural products,World,2014,68170.0,Agricultural products,merchandise,exports
Canada,SI3_AGG - MI - Fuels and mining products,World,2014,160676.0,Fuels and mining products,merchandise,exports
Canada,SI3_AGG - MAIS - Iron and steel,World,2014,7473.0,Iron and steel,merchandise,exports
Canada,SI3_AGG - MACH - Chemicals,World,2014,37974.0,Chemicals,merchandise,exports
Canada,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,119263.0,Machinery and transport equipment,merchandise,exports
Canada,SI3_AGG - MATE - Textiles,World,2014,1830.0,Textiles,merchandise,exports
Canada,SI3_AGG - MACL - Clothing,World,2014,1372.0,Clothing,merchandise,exports
China,SI3_AGG - TO - Total merchandise,World,2014,2342293.0,Total merchandise,merchandise,exports
China,SI3_AGG - AG - Agricultural products,World,2014,74476.0,Agricultural products,merchandise,exports
China,SI3_AGG - MI - Fuels and mining products,World,2014,63703.0,Fuels and mining products,merchandise,exports
China,SI3_AGG - MAIS - Iron and steel,World,2014,72260.0,Iron and steel,merchandise,exports
China,SI3_AGG - MACH - Chemicals,World,2014,134482.0,Chemicals,merchandise,exports
China,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,1071813.0,Machinery and transport equipment,merchandise,exports
China,SI3_AGG - MATE - Textiles,World,2014,111664.0,Textiles,merchandise,exports
China,SI3_AGG - MACL - Clothing,World,2014,186613.0,Clothing,merchandise,exports
France,SI3_AGG - TO - Total merchandise,World,2014,581393.0,Total merchandise,merchandise,exports
France,SI3_AGG - AG - Agricultural products,World,2014,80577.0,Agricultural products,merchandise,exports
France,SI3_AGG - MI - Fuels and mining products,World,2014,37035.0,Fuels and mining products,merchandise,exports
France,SI3_AGG - MAIS - Iron and steel,World,2014,17155.0,Iron and steel,merchandise,exports
France,SI3_AGG - MACH - Chemicals,World,2014,110156.0,Chemicals,merchandise,exports
France,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,219243.0,Machinery and transport equipment,merchandise,exports
France,SI3_AGG - MATE - Textiles,World,2014,5575.0,Textiles,merchandise,exports
France,SI3_AGG - MACL - Clothing,World,2014,11763.0,Clothing,merchandise,exports
Germany,SI3_AGG - TO - Total merchandise,World,2014,1494214.0,Total merchandise,merchandise,exports
Germany,SI3_AGG - AG - Agricultural products,World,2014,100106.0,Agricultural products,merchandise,exports
Germany,SI3_AGG - MI - Fuels and mining products,World,2014,80117.0,Fuels and mining products,merchandise,exports
Germany,SI3_AGG - MAIS - Iron and steel,World,2014,31953.0,Iron and steel,merchandise,exports
Germany,SI3_AGG - MACH - Chemicals,World,2014,238387.0,Chemicals,merchandise,exports
Germany,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,726462.0,Machinery and transport equipment,merchandise,exports
Germany,SI3_AGG - MATE - Textiles,World,2014,15468.0,Textiles,merchandise,exports
Germany,SI3_AGG - MACL - Clothing,World,2014,19790.0,Clothing,merchandise,exports
India,SI3_AGG - TO - Total merchandise,World,2014,322694.0,Total merchandise,merchandise,exports
India,SI3_AGG - AG - Agricultural products,World,2014,42897.0,Agricultural products,merchandise,exports
India,SI3_AGG - MI - Fuels and mining products,World,2014,72392.0,Fuels and mining products,merchandise,exports
India,SI3_AGG - MAIS - Iron and steel,World,2014,11540.0,Iron and steel,merchandise,exports
India,SI3_AGG - MACH - Chemicals,World,2014,37118.0,Chemicals,merchandise,exports
India,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,48579.0,Machinery and transport equipment,merchandise,exports
India,SI3_AGG - MATE - Textiles,World,2014,18266.0,Textiles,merchandise,exports
India,SI3_AGG - MACL - Clothing,World,2014,17650.0,Clothing,merchandise,exports
Indonesia,SI3_AGG - TO - Total merchandise,World,2014,176293.0,Total merchandise,merchandise,exports
Indonesia,SI3_AGG - AG - Agricultural products,World,2014,44087.0,Agricultural products,merchandise,exports
Indonesia,SI3_AGG - MI - Fuels and mining products,World,2014,59461.0,Fuels and mining products,merchandise,exports
Indonesia,SI3_AGG - MAIS - Iron and steel,World,2014,1993.0,Iron and steel,merchandise,exports
Indonesia,SI3_AGG - MACH - Chemicals,World,2014,11246.0,Chemicals,merchandise,exports
Indonesia,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,21787.0,Machinery and transport equipment,merchandise,exports
Indonesia,SI3_AGG - MATE - Textiles,World,2014,4725.0,Textiles,merchandise,exports
Indonesia,SI3_AGG - MACL - Clothing,World,2014,7670.0,Clothing,merchandise,exports
Iran,SI3_AGG - TO - Total merchandise,World,2014,95160.0,Total merchandise,merchandise,exports
Iran,SI3_AGG - AG - Agricultural products,World,2014,5992.0,Agricultural products,merchandise,exports
Iran,SI3_AGG - MI - Fuels and mining products,World,2014,55322.0,Fuels and mining products,merchandise,exports
Iran,SI3_AGG - MAIS - Iron and steel,World,2014,2171.0,Iron and steel,merchandise,exports
Iran,SI3_AGG - MACH - Chemicals,World,2014,10287.0,Chemicals,merchandise,exports
Iran,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,1174.0,Machinery and transport equipment,merchandise,exports
Iran,SI3_AGG - MATE - Textiles,World,2014,892.0,Textiles,merchandise,exports
Iran,SI3_AGG - MACL - Clothing,World,2014,71.0,Clothing,merchandise,exports
Italy,SI3_AGG - TO - Total merchandise,World,2014,529797.0,Total merchandise,merchandise,exports
Italy,SI3_AGG - AG - Agricultural products,World,2014,47485.0,Agricultural products,merchandise,exports
Italy,SI3_AGG - MI - Fuels and mining products,World,2014,32729.0,Fuels and mining products,merchandise,exports
Italy,SI3_AGG - MAIS - Iron and steel,World,2014,21337.0,Iron and steel,merchandise,exports
Italy,SI3_AGG - MACH - Chemicals,World,2014,66331.0,Chemicals,merchandise,exports
Italy,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,187420.0,Machinery and transport equipment,merchandise,exports
Italy,SI3_AGG - MATE - Textiles,World,2014,13940.0,Textiles,merchandise,exports
Italy,SI3_AGG - MACL - Clothing,World,2014,25195.0,Clothing,merchandise,exports
Japan,SI3_AGG - TO - Total merchandise,World,2014,690203.0,Total merchandise,merchandise,exports
Japan,SI3_AGG - AG - Agricultural products,World,2014,10603.0,Agricultural products,merchandise,exports
Japan,SI3_AGG - MI - Fuels and mining products,World,2014,34279.0,Fuels and mining products,merchandise,exports
Japan,SI3_AGG - MAIS - Iron and steel,World,2014,37379.0,Iron and steel,merchandise,exports
Japan,SI3_AGG - MACH - Chemicals,World,2014,72120.0,Chemicals,merchandise,exports
Japan,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,400127.0,Machinery and transport equipment,merchandise,exports
Japan,SI3_AGG - MATE - Textiles,World,2014,6680.0,Textiles,merchandise,exports
Japan,SI3_AGG - MACL - Clothing,World,2014,502.0,Clothing,merchandise,exports
South Korea,SI3_AGG - TO - Total merchandise,World,2014,573091.0,Total merchandise,merchandise,exports
South Korea,SI3_AGG - AG - Agricultural products,World,2014,11861.0,Agricultural products,merchandise,exports
South Korea,SI3_AGG - MI - Fuels and mining products,World,2014,64186.0,Fuels and mining products,merchandise,exports
South Korea,SI3_AGG - MAIS - Iron and steel,World,2014,29010.0,Iron and steel,merchandise,exports
South Korea,SI3_AGG - MACH - Chemicals,World,2014,67726.0,Chemicals,merchandise,exports
South Korea,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,315169.0,Machinery and transport equipment,merchandise,exports
South Korea,SI3_AGG - MATE - Textiles,World,2014,11909.0,Textiles,merchandise,exports
South Korea,SI3_AGG - MACL - Clothing,World,2014,2249.0,Clothing,merchandise,exports
Mexico,SI3_AGG - TO - Total merchandise,World,2014,396912.0,Total merchandise,merchandise,exports
Mexico,SI3_AGG - AG - Agricultural products,World,2014,27249.0,Agricultural products,merchandise,exports
Mexico,SI3_AGG - MI - Fuels and mining products,World,2014,50381.0,Fuels and mining products,merchandise,exports
Mexico,SI3_AGG - MAIS - Iron and steel,World,2014,4384.0,Iron and steel,merchandise,exports
Mexico,SI3_AGG - MACH - Chemicals,World,2014,14480.0,Chemicals,merchandise,exports
Mexico,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,230142.0,Machinery and transport equipment,merchandise,exports
Mexico,SI3_AGG - MATE - Textiles,World,2014,2399.0,Textiles,merchandise,exports
Mexico,SI3_AGG - MACL - Clothing,World,2014,4609.0,Clothing,merchandise,exports
Netherlands,SI3_AGG - TO - Total merchandise,World,2014,672410.0,Total merchandise,merchandise,exports
Netherlands,SI3_AGG - AG - Agricultural products,World,2014,111492.0,Agricultural products,merchandise,exports
Netherlands,SI3_AGG - MI - Fuels and mining products,World,2014,141037.0,Fuels and mining products,merchandise,exports
Netherlands,SI3_AGG - MAIS - Iron and steel,World,2014,13664.0,Iron and steel,merchandise,exports
Netherlands,SI3_AGG - MACH - Chemicals,World,2014,108441.0,Chemicals,merchandise,exports
