Country,Metric Year,Year,AFF value added,AFF value added constant $LCU,AFF value added current $US,Compensation current LCU,Compensation pct expenses,Deposit interest rate pct,Employers pct total employment ILO,Exports G & S Pct GDP,Exports G & S Pct constant LCU,Exports G & S annual growth %,External balance on G & S pct GDP,Final Consumption Pct GDP,Final Consumption pct Growth,Foreign Direct Investment pct GDP,GDP,GDP (constant LCU),GDP 2015 US dollar,GDP Growth Pct,GDP curr LCU,GDP per capita,GDP per capita Growth Pct,GDP per capita constant LCU,GNI Atlas curr $US,GNI const LCU,GNI constant 2015,GNI current $US,GNI growth pct,GNI per capita Atlas,GNI per capita Growth Pct,GNI per capita const LCU,Goods exports current $US,Goods imports current $US,Govt Final Consumption expenditure Growth Pct,Govt Final Consumption expenditure Pct GDP,Gross capital formation,Gross capital formation constant LCU,Gross domestic savings,Gross fixed capital formation,Gross fixed capital formation growth pct,"Gross fixed capital formation, private sector",Gross national expenditure $US,Gross national expenditure Pct GDP,Gross national expenditure constant LCU,Gross savings Pct GDP,Gross savings Pct GNI,HH and NPSISHs Final consumption annual growth,HH and NPSISHs Final consumption exp,HH final consumer expenditure,High-tech exports $US,High-tech exports pct manufactured exp,Imports of G & S (constant LCU),Imports of G & S Pct GDP,Imports of G & S Pct annual growth,Imports of G & S current US dollar,Industry Pct GDP,Industry Pct Growth,Industry constant LCU,Industry curr $US,"Inflation, GDP deflator Pct","Inflation, consumer prices",Manufactures exports (pct merch exp),Manufactures imports (pct merch imp),Manufacturing Pct GDP,Manufacturing Pct Growth,Manufacturing constant LCU,Manufacturing curr $US,Merch imports residual % total merch imports,Merchandise exports curr USD,Merchandise imports curr USD,Merchandise trade pct GDP,Net trade in G & S US dollar,Net trade in Goods US dollar,Population,Population growth,Service exports curr $USD,Service imports curr $USD,Services Pct GDP,Services value added GDP,"Services, value added const LCU","Services, value added curr $US",Textiles and clothing %  manufacturing,Trade Pct GDP,Unemployment pct ILO,Unemployment pct national est,Urban population,Urban population growth Pct,Urban population pct tot Pop,GDP $B,GDP Pct Growth %,GDP Pct Growth,Imports G & S Pct GDP,Net Trade Pct GDP,Trade Pct GDP %,Trade Total,Prev Year,Year_curr,Trade Total Change,Trade Total Change %
Argentina,1991-01-01,1991,6.71649176009431,30358771200.0,12742527110.645,5121300000.0,25.2646690280505,0.0,4.94999980926514,7.68,48395512400.0,-3.6241443600707,1.59703253775518,83.7659849814264,14.7830201036695,1.28557885422783,189719984268.485,351912181900.0,290094591011.844,9.13311056620101,180898005000.0,5735,7.61432641480513,10638.5368548906,127810746338.002,341620944506.424,281803976352.849,183857364656.529,10.4079805054203,3860,8.87145423846725,10327.4259757421,11978000000.0,7559000000.0,0.0,3.32176128752774,14.6369773950796,51667321500.0,16.2340150185736,14.6369773950796,29.9416784009626,0.0,186690084740.43,98.402962376506,327715613200.0,13.5618560304189,13.9942999702469,0.0,0.0,80.4442259603692,0.0,0.0,33144213200.0,6.07801081056698,80.0556990474796,11566000000.0,32.7225282556322,10.6874598659046,102312792900.0,62081175458.8359,140.502378663632,0.0,0.0,0.0,24.3864490932335,10.3761658025493,73948578700.0,46265967383.3246,4.99130901759514,11978000000.0,8275000000.0,10.6752064512818,2820000000.0,4419000000.0,33079002,1.4,2408000000.0,4007000000.0,60.5611985052019,9.38858027648976,172282249700.0,114896696276.875,0.0,13.7530541588891,5.44000005722046,5.44000005722046,28887231.0,1.79614986112158,87.328,$190B,9.13%,9.13,6.08,1.5999999999999996,0.14,26560797797.587902,1990,1991,,
Argentina,1992-01-01,1992,5.99078709147934,30415845300.0,13706238946.0933,5358300000.0,20.0341735898721,0.0,5.51000022888184,6.6,47897186500.0,-1.02969443918937,-1.53460564227824,84.832196249988,13.2064014145826,1.93671240172489,228788617201.696,379844477800.0,313120244489.89,7.93729155643076,226638004200.0,6823,6.48763181805525,11328.725956864,203570469410.014,372860081602.381,307573219114.564,224530580052.493,9.14438578732084,6070,7.6785140810359,11120.418833498,12397400000.0,13794800000.0,0.0,2.97553802761558,16.7024057741857,68533326300.0,15.167803750012,16.7024057741857,32.6434665462427,0.0,232299611952.352,101.534602024174,381037663500.0,13.6516281676646,13.9105200293942,0.0,0.0,81.8565265586644,0.0,0.0,54914645400.0,8.13279311431564,65.6839613860558,19319500000.0,30.6839549022114,11.0167529206409,113584340500.0,70201396123.5615,16.0719935356945,0.0,26.1980458142999,86.3219700586407,21.8591315586603,10.1887138772013,81482987800.0,50011204825.3584,3.96636745503247,12235000000.0,14872000000.0,11.8480544755874,-3953300000.0,-1397400000.0,33529320,1.35,2968800000.0,5524700000.0,63.3252164422299,6.94198411085642,184242056100.0,144880887038.159,0.0,14.730980586353,6.3600001335144,6.3600001335144,29352237.0,1.59690978565893,87.542,$229B,7.94%,7.94,8.13,-1.5300000000000011,0.15,34318292580.254402,1991,1992,7757494782.6665,29.21
Argentina,1993-01-01,1993,5.13682648211779,31153634000.0,12161011111.1111,5669800000.0,16.7858295364046,0.0,5.82000017166138,6.91,49805026600.0,3.98319867911239,-2.40444838036731,82.716341043641,4.54695810858654,1.17980281165114,236741715015.015,411018234600.0,338817957426.035,8.20697907221228,236504973300.0,6969,6.80292690150243,12099.410902581,241814720362.143,406008688784.195,334917588552.715,233743662862.863,8.89036097384212,7120,7.47744150223694,11951.9416465766,13262600000.0,15632500000.0,0.0,13.5103784728742,19.6881104233422,78377408200.0,17.283658956359,19.0564340661161,13.6231386335705,0.0,242434054654.655,102.404451466983,405091186700.0,16.2505279122602,16.4589610718344,0.0,0.0,69.2059625707668,0.0,0.0,63045642300.0,9.31379991407563,14.8066091309041,21975400000.0,27.338739645861,5.47029702567141,119797741300.0,64722201101.1011,-3.56109557576575,0.0,31.9724616113658,87.8860329340414,18.2399115325496,3.5310838221374,84360220400.0,43181479379.3794,2.05513786553076,13118000000.0,16784000000.0,12.6306426385834,-5689240000.0,-2369900000.0,33970103,1.31,3023560000.0,6342900000.0,61.056897614085,7.28931943351235,197672048100.0,144547146546.547,9.11593492550541,16.223151447784,10.1000003814697,10.1000003814697,29809445.0,1.54565281756343,87.752,$237B,8.21%,8.21,9.31,-2.4000000000000004,0.16,37878674402.402405,1992,1993,3560381822.1480026,10.37
Argentina,1994-01-01,1994,5.08266800031075,33420867300.0,13084820500.0,6392400000.0,16.663972930559,0.0,4.80999994277954,7.53,57422988800.0,15.2955689817863,-3.0744484151647,83.1088093536358,5.14986731727325,1.411953029158,257440000000.0,435006083700.0,358592053441.545,5.83620070368526,257440000000.0,7483,4.50545680141448,12644.5446340224,262188226196.828,428990272093.687,353875154426.95,253743263100.0,5.66036736265679,7620,4.33183432155479,12469.6799569152,16026700000.0,20162200000.0,0.444679213709009,13.1869043660659,19.9656232520199,88280807100.0,16.8911906463642,19.9389752563704,13.6722674997883,0.0,265354819300.0,103.074432605656,431819911700.0,15.6483624533872,15.8763404426322,6.06841352671783,4.7347498692383,69.9219049875699,0.0,0.0,76367838000.0,10.6043971410814,21.1310333497863,27273600000.0,26.7545586932878,6.20635123777579,127232809900.0,68876935900.0,2.84933971509302,0.0,32.8707335943366,88.110501592244,17.8190917106899,4.49963606306558,88156123300.0,45873469700.0,6.22788054904379,15659000000.0,21527000000.0,14.44453076445,-7917900000.0,-4135500000.0,34402669,1.27,3329000000.0,7111400000.0,61.5907929226228,6.38903154057016,210301377600.0,158559337300.0,7.88315755320404,18.1343458669981,11.7600002288818,11.7600002288818,30260588.0,1.5020850161068,87.96,$257B,5.84%,5.84,10.6,-3.0699999999999994,0.18,46339200000.0,1993,1994,8460525597.597595,22.34
Argentina,1995-01-01,1995,5.351464616273,35276560400.0,13808477800.0,6901500000.0,17.2434470403934,0.0,5.21999979019165,9.68,70359322800.0,22.5281446861923,-0.410602571195211,81.910244378841,-3.57598868236673,2.17392758974997,258031750000.0,422629248800.0,348389357874.283,-2.84520961057079,258031750000.0,7408,-4.03215881088221,12134.6965134658,256347178436.284,415270183705.306,342557419007.231,253362890700.0,-3.19822832378449,7360,-4.38086466131617,11923.4001543034,21141832000.0,18804317000.0,0.760544047764938,13.3494556774505,18.5004105114971,77126135400.0,18.089755621159,17.9377461107015,-13.0840546642831,0.0,259091370000.0,100.410654890338,408380320500.0,16.5116322700598,16.8159013272578,-4.37768056456919,-5.5459074232847,68.5607887401454,0.0,0.0,68878726600.0,10.0910128307854,-9.80663011567775,26035117000.0,26.3012103355498,-3.5514369316778,122714216900.0,67865473300.0,3.16512339016516,0.0,33.8857980615535,85.5029706384344,17.2467521148076,-7.16458660336757,81840101500.0,44502096300.0,5.49914077674751,20967000000.0,20122000000.0,15.9240093515624,-1078685000.0,2337515000.0,34828168,1.23,3814600000.0,7230800000.0,62.263779670525,-2.34485173434261,205370122100.0,160660320300.0,7.14880167446502,19.7714230903755,18.7999992370605,18.7999992370605,30705906.0,1.46088741767878,88.164,$258B,-2.85%,-2.85,10.09,-0.41000000000000014,0.2,51606350000.0,1994,1995,5267150000.0,11.37
Argentina,1996-01-01,1996,5.61086611323361,34962566800.0,15269958100.0,6769200000.0,16.4010369975529,0.0,4.67000007629395,10.43,75739555900.0,7.64679488927655,-0.649274893693637,81.0254053145373,4.98594711943461,2.55320340608332,272149750000.0,445986656500.0,367643757074.802,5.52668982715234,272149750000.0,7721,4.27458646483123,12653.4046081787,272663359670.34,437248946336.48,360687755581.674,266647700700.0,5.29264163274755,7740,4.0433153169882,12405.5008190482,24034600000.0,22283200000.0,2.16969549390515,12.5016776609201,19.6238724452255,87232163300.0,18.9745946854627,18.0821812623381,8.88330752686663,0.0,273916757800.0,100.649277759763,435002506900.0,17.1300773563084,17.4835419835293,5.53456193062398,4.28236516361784,68.5237276536172,0.0,0.0,80952541200.0,11.0778716497076,17.5290909051155,30212204066.2181,26.5925606398683,6.19344587122571,130314455500.0,72371587300.0,-0.0523754965904146,0.0,30.062897244339,86.9466997825818,17.5357232920479,6.45187775090919,87120324800.0,47723427100.0,5.10940010566649,23811000000.0,23762000000.0,17.4804496421547,-1787449423.7252,1751400000.0,35246376,1.19,4390154642.49289,7929004066.21809,61.3509955456509,5.67733231142682,217029666400.0,166966581000.0,7.08468167109043,21.5064684057215,17.1100006103516,17.1100006103516,31145813.0,1.42248081328047,88.366,$272B,5.53%,5.53,11.08,-0.6500000000000004,0.22,59872945000.0,1995,1996,8266595000.0,16.02
Argentina,1997-01-01,1997,5.22197210944516,35175459000.0,15293015300.0,7216500000.0,16.4121399574715,0.0,4.6100001335144,10.56,84962695500.0,12.1774408238905,-2.21447863989155,81.3883852297522,8.06311334938106,3.12787793868196,292859000000.0,482160842800.0,397463514160.866,8.1110467707457,292859000000.0,8213,6.86473336181048,13522.0270957212,290495337988.436,472242131724.406,389553722221.445,286641204400.0,8.00303481143141,8150,6.75796657361643,13243.8604176892,26420900000.0,28553500000.0,3.21958426280575,12.0620142457633,20.8260515469902,101706392800.0,18.6116147702478,19.37012354068,17.6628635760303,0.0,299344177400.0,102.214436776742,477517853400.0,16.6642824266429,17.0257625640378,8.9765646325253,7.72027345953146,69.3263709498428,0.0,0.0,102705746300.0,12.7753287418177,26.8715531069703,37511586708.7859,27.1791508883114,8.37113960852946,141223260500.0,79596589500.0,-0.46391313116429,0.0,34.3192422149455,87.7186307913254,18.227905749866,9.15143351256194,95093083400.0,53382062500.0,3.56221833181639,26370000000.0,30450000000.0,19.4018281835286,-6507815237.43072,-2132600000.0,35657438,1.16,4582871471.35522,8958086708.78594,60.8492831021072,7.87505670699404,234120875700.0,178202602000.0,8.46351286856717,23.3361788437439,14.8199996948242,14.8199996948242,31579653.0,1.38331987261867,88.564,$293B,8.11%,8.11,12.78,-2.219999999999999,0.23,67357570000.0,1996,1997,7484625000.0,12.5
Argentina,1998-01-01,1998,5.25272256987622,38093642200.0,15702922200.0,6777300000.0,15.0147548828471,0.0,4.57000017166138,10.42,93988616600.0,10.6233930631356,-2.51886405088506,81.54813118993,3.45716407351095,2.43876896154487,298948250000.0,500724897600.0,412766570325.764,3.85017885156228,298948250000.0,8289,2.68100281607806,13884.5530229484,289536836748.234,488751308580.907,403172183733.506,291542201400.0,3.49591358911955,8030,2.33072597676214,13552.5385127704,26408700000.0,29530900000.0,3.35688000456005,12.4947749986829,20.9707691548621,106689372600.0,18.45186881007,19.9349616865126,6.54396771272823,0.0,306478458500.0,102.518900344792,495493252000.0,16.1297343275958,16.5394780825706,3.4750777659176,2.31012472942163,69.0533562246978,0.0,0.0,111347334500.0,12.934446011977,8.41392863721396,38797517536.8013,26.7121357626278,1.94610164803552,143971608700.0,79855462400.0,-1.70527962400085,0.0,34.882302656327,88.6644796155083,17.8379584760908,1.84875601583447,96851122500.0,53326264700.0,4.3646893552016,26441000000.0,31404000000.0,19.3495027985613,-7541547974.1887,-3122200000.0,36063451,1.13,4847269562.61265,9266617536.80135,61.5396856144834,4.70110765094836,245127150100.0,183971813200.0,8.25794404558772,23.3500279730689,12.6499996185303,12.6499996185303,32009558.0,1.35215249014356,88.759,$299B,3.85%,3.85,12.93,-2.51,0.23,68758097500.0,1997,1998,1400527500.0,2.08
Argentina,1999-01-01,1999,4.45782610229152,38998118400.0,12638962300.0,7158100000.0,15.0785091063823,0.0,4.48999977111816,9.83,92804098800.0,-1.26027793880733,-1.72839593260512,83.8654765221869,-1.29865342593595,8.46058217133806,283523000000.0,483773071300.0,398792535409.293,-3.38545704063269,283523000000.0,7774,-4.4551784591153,13265.9714075255,276294736658.033,471548718336.146,388981723773.428,276059280100.0,-3.51970213536799,7580,-4.58793718493796,12930.7565588399,23287800000.0,24103200000.0,2.62183855162084,13.7232114149469,17.8629278753399,88635750100.0,16.1345234778131,18.0140244001369,-12.6098546027334,0.0,288423424000.0,101.728404397527,472390414600.0,13.6619163753345,14.0312889140363,-1.99816785555018,-3.08324941454018,70.1422650719695,0.0,0.0,98802087300.0,11.5555704475475,-11.2667692103577,32903076780.5168,26.1936304991129,-6.62248952143577,134437104000.0,74264967000.0,-1.83655839220664,0.0,31.7123726538866,88.6198562602907,16.9615250614589,-7.92886731901326,89171925500.0,48089824700.0,1.74615008793171,23333000000.0,25508000000.0,17.2264683993891,-4905758055.83512,-815400000.0,36467218,1.11,4709518724.6817,8799876780.51682,63.4877305192171,-1.94293659354219,240364485000.0,180002318200.0,8.41683366733467,21.3827449624898,14.0500001907349,14.0500001907349,32438320.0,1.33058942885232,88.952,$284B,-3.39%,-3.39,11.56,-1.7300000000000004,0.21,59539830000.0,1998,1999,-9218267500.0,-13.41
Argentina,2000-01-01,2000,4.67991094417297,38309459700.0,13300482400.0,7029900000.0,14.6946991724446,0.0,4.78999996185303,10.99,95312028700.0,2.70239130860458,-0.649694312619028,83.1162031113242,-0.464965084483026,3.66579059535379,284203750000.0,479956106900.0,395646066535.875,-0.78899893905691,284203750000.0,7708,-1.87493636731784,13017.2428851278,275544288842.814,467627652775.785,385747226930.6,276655968900.0,-0.831529258354507,7470,-1.91700116096739,12682.8738054851,26337200000.0,23889100000.0,0.577056274949527,13.7841913064131,17.5334874363903,85260580400.0,16.8837968886758,16.192649393261,-6.8042601361996,0.0,286050194900.0,100.649690547714,467230919700.0,14.3684376958258,14.7604401633969,-0.659652676267768,-1.74700589457684,69.3320118049111,0.0,0.0,98646406200.0,11.6360695451767,-0.157568634686129,33068803786.7906,25.9908360111364,-2.19535196176197,131485736400.0,73866930600.0,1.03728710073175,0.0,32.3894881497921,86.7256459906493,16.4942719439838,-3.82321832895714,85762688100.0,46877339400.0,1.7285011185523,26341000000.0,25154000000.0,18.1190431160743,-1831883471.95655,2448100000.0,36870796,1.1,4899720314.83402,9179703786.79057,63.469313441501,0.343091492905032,241189155100.0,180382168900.0,8.00943651622385,22.6224447777343,15.0,15.0,32867365.0,1.31397801892401,89.142,$284B,-0.79%,-0.79,11.64,-0.6500000000000004,0.23,65366862500.0,1999,2000,5827032500.0,9.79
