Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Australia,SI3_AGG - TO - Total merchandise,World,2014,239975,Total merchandise,merchandise,exports
Australia,SI3_AGG - AG - Agricultural products,World,2014,38632,Agricultural products,merchandise,exports
Australia,SI3_AGG - MI - Fuels and mining products,World,2014,152983,Fuels and mining products,merchandise,exports
Australia,SI3_AGG - MAIS - Iron and steel,World,2014,609,Iron and steel,merchandise,exports
Australia,SI3_AGG - MACH - Chemicals,World,2014,6617,Chemicals,merchandise,exports
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,13238,Machinery and transport equipment,merchandise,exports
Australia,SI3_AGG - MATE - Textiles,World,2014,215,Textiles,merchandise,exports
Australia,SI3_AGG - MACL - Clothing,World,2014,222,Clothing,merchandise,exports
Brazil,SI3_AGG - TO - Total merchandise,World,2014,225101,Total merchandise,merchandise,exports
Brazil,SI3_AGG - AG - Agricultural products,World,2014,88156,Agricultural products,merchandise,exports
Brazil,SI3_AGG - MI - Fuels and mining products,World,2014,54908,Fuels and mining products,merchandise,exports
Brazil,SI3_AGG - MAIS - Iron and steel,World,2014,10714,Iron and steel,merchandise,exports
Brazil,SI3_AGG - MACH - Chemicals,World,2014,13222,Chemicals,merchandise,exports
Brazil,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,33091,Machinery and transport equipment,merchandise,exports
Brazil,SI3_AGG - MATE - Textiles,World,2014,883,Textiles,merchandise,exports
Brazil,SI3_AGG - MACL - Clothing,World,2014,160,Clothing,merchandise,exports
Canada,SI3_AGG - TO - Total merchandise,World,2014,476300,Total merchandise,merchandise,exports
Canada,SI3_AGG - AG - Agricultural products,World,2014,68170,Agricultural products,merchandise,exports
Canada,SI3_AGG - MI - Fuels and mining products,World,2014,160676,Fuels and mining products,merchandise,exports
Canada,SI3_AGG - MAIS - Iron and steel,World,2014,7473,Iron and steel,merchandise,exports
Canada,SI3_AGG - MACH - Chemicals,World,2014,37974,Chemicals,merchandise,exports
Canada,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,119263,Machinery and transport equipment,merchandise,exports
Canada,SI3_AGG - MATE - Textiles,World,2014,1830,Textiles,merchandise,exports
Canada,SI3_AGG - MACL - Clothing,World,2014,1372,Clothing,merchandise,exports
China,SI3_AGG - TO - Total merchandise,World,2014,2342293,Total merchandise,merchandise,exports
China,SI3_AGG - AG - Agricultural products,World,2014,74476,Agricultural products,merchandise,exports
China,SI3_AGG - MI - Fuels and mining products,World,2014,63703,Fuels and mining products,merchandise,exports
China,SI3_AGG - MAIS - Iron and steel,World,2014,72260,Iron and steel,merchandise,exports
China,SI3_AGG - MACH - Chemicals,World,2014,134482,Chemicals,merchandise,exports
China,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,1071813,Machinery and transport equipment,merchandise,exports
China,SI3_AGG - MATE - Textiles,World,2014,111664,Textiles,merchandise,exports
China,SI3_AGG - MACL - Clothing,World,2014,186613,Clothing,merchandise,exports
France,SI3_AGG - TO - Total merchandise,World,2014,581393,Total merchandise,merchandise,exports
France,SI3_AGG - AG - Agricultural products,World,2014,80577,Agricultural products,merchandise,exports
