Indicator,  Merchandise imports by product group – annual (Million US dollar),,,,,,,,
,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020,
Chile,SI3_AGG - MI - Fuels and mining products,World,9600,8499,10607,13208,12176,8388,
Chile,SI3_AGG - MIFU - Fuels,World,8754,7702,9827,12276,11285,7453,
Chile,SI3_AGG - MA - Manufactures,World,46534,44733,47705,53387,49886,42977,
Chile,SI3_AGG - MAIS - Iron and steel,World,1567,1132,1408,1892,1770,1298,
Chile,SI3_AGG - MACH - Chemicals,World,7641,6841,7460,8535,8304,7848,
Chile,SI3_AGG - MACHPH - Pharmaceuticals,World,1328,1277,1424,1668,1740,1857,
Chile,SI3_AGG - MAMT - Machinery and transport equipment,World,23467,23330,24385,27099,24970,21573,
Chile,SI3_AGG - MAMTOF - Office and telecom equipment,World,5638,5688,5852,6323,5648,5497,
Chile,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1803,1663,1817,2076,1880,1941,
Chile,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3511,3759,3820,3953,3497,3259,
Chile,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,324,266,215,294,271,297,
Chile,SI3_AGG - MAMTTE - Transport equipment,World,8532,8792,9644,11111,9372,5816,
Chile,SI3_AGG - MAMTAU - Automotive products,World,6757,6826,8591,10046,8203,4982,
Chile,SI3_AGG - MATE - Textiles,World,1153,1090,1174,1263,1176,1236,
Chile,SI3_AGG - MACL - Clothing,World,2716,2665,3063,3265,2949,2183,
China,SI3_AGG - TO - Total merchandise,World,1679566,1587925,1843792,2135748,2078386,2057217,
China,SI3_AGG - AG - Agricultural products,World,159621,154859,180901,194502,199285,215838,
China,SI3_AGG - AGFO - Food,World,102671,99652,113459,123391,137525,159810,
China,SI3_AGG - MI - Fuels and mining products,World,356196,326216,444767,561621,574862,527949,
China,SI3_AGG - MIFU - Fuels,World,198589,176526,249617,347771,343621,267535,
China,SI3_AGG - MA - Manufactures,World,1077619,1029935,1152039,1303187,1240245,1289467,
China,SI3_AGG - MAIS - Iron and steel,World,19455,18265,22588,24182,25364,39091,
China,SI3_AGG - MACH - Chemicals,World,170699,163474,192445,222417,217956,212021,
China,SI3_AGG - MACHPH - Pharmaceuticals,World,20315,22052,26237,28857,34785,35810,
China,SI3_AGG - MAMT - Machinery and transport equipment,World,683235,658488,736861,841720,787588,830401,
China,SI3_AGG - MAMTOF - Office and telecom equipment,World,383061,369352,408391,471203,454380,503995,
China,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,50598,45874,47475,57160,56737,59426,
China,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,71483,67184,71421,72409,64932,66906,
China,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,260980,256294,289495,341635,332711,377663,
China,SI3_AGG - MAMTTE - Transport equipment,World,108305,107770,118938,128668,110078,99444,
China,SI3_AGG - MAMTAU - Automotive products,World,72979,75498,83479,86835,80022,78116,
China,SI3_AGG - MATE - Textiles,World,18970,16676,17284,17880,15716,14131,
China,SI3_AGG - MACL - Clothing,World,6569,6444,7264,8288,8940,9498,
Colombia,SI3_AGG - TO - Total merchandise,World,54058,44889,46076,51233,52703,43489,
Colombia,SI3_AGG - AG - Agricultural products,World,6019,6265,6259,6918,7015,6985,
Colombia,SI3_AGG - AGFO - Food,World,5565,5848,5821,6425,6563,6603,
Colombia,SI3_AGG - MI - Fuels and mining products,World,5991,4561,4506,4404,5355,2947,
Colombia,SI3_AGG - MIFU - Fuels,World,5133,3832,3716,3534,4525,2200,
Colombia,SI3_AGG - MA - Manufactures,World,41334,33425,34822,39443,39818,33086,
Colombia,SI3_AGG - MAIS - Iron and steel,World,1969,1462,1653,2266,2074,1411,
Colombia,SI3_AGG - MACH - Chemicals,World,10043,8954,9326,10401,10372,9575,
Colombia,SI3_AGG - MACHPH - Pharmaceuticals,World,2502,2278,2347,2582,2841,2677,
Colombia,SI3_AGG - MAMT - Machinery and transport equipment,World,19891,14740,15342,17364,18086,14501,
Colombia,SI3_AGG - MAMTOF - Office and telecom equipment,World,5220,4229,4573,5194,5332,4811,
Colombia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1680,1349,1415,1502,1587,1570,
Colombia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3402,2765,2993,3477,3562,3079,
Colombia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,138,116,166,216,183,162,
Colombia,SI3_AGG - MAMTTE - Transport equipment,World,7635,5212,5239,6127,6713,4553,
Colombia,SI3_AGG - MAMTAU - Automotive products,World,3969,3640,3555,4219,4786,3317,
Colombia,SI3_AGG - MATE - Textiles,World,1404,1311,1227,1529,1402,1535,
Colombia,SI3_AGG - MACL - Clothing,World,751,600,687,783,799,534,
Common Market for Eastern and Southern Africa (COMESA),SI3_AGG - TO - Total merchandise,World,188855,165520,182246,204457,204581,177332,
"Commonwealth of Independent States (CIS), including certain associate and former member States",SI3_AGG - TO - Total merchandise,World,303587,290576,351623,379486,399495,368860,
Comoros,SI3_AGG - TO - Total merchandise,World,214,219,253,243,265,280,
Comoros,SI3_AGG - AG - Agricultural products,World,79,83,86,90,88,121,
Comoros,SI3_AGG - AGFO - Food,World,78,81,84,88,86,118,
Comoros,SI3_AGG - MI - Fuels and mining products,World,9,21,17,3,11,25,
Comoros,SI3_AGG - MIFU - Fuels,World,8,20,16,2,10,24,
Comoros,SI3_AGG - MA - Manufactures,World,85,92,106,133,98,120,
Comoros,SI3_AGG - MAIS - Iron and steel,World,10,10,10,11,12,15,
Comoros,SI3_AGG - MACH - Chemicals,World,6,6,8,9,8,10,
Comoros,SI3_AGG - MACHPH - Pharmaceuticals,World,2,2,3,3,3,5,
Comoros,SI3_AGG - MAMT - Machinery and transport equipment,World,28,35,42,63,34,44,
Comoros,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,3,4,4,2,5,
Comoros,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,0,2,2,1,1,
Comoros,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,3,2,1,1,3,
Comoros,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,1,0,1,
Comoros,SI3_AGG - MAMTTE - Transport equipment,World,18,20,22,49,23,29,
Comoros,SI3_AGG - MAMTAU - Automotive products,World,17,18,20,47,21,27,
Comoros,SI3_AGG - MATE - Textiles,World,1,3,1,2,1,1,
Comoros,SI3_AGG - MACL - Clothing,World,2,1,2,2,2,2,
Congo,SI3_AGG - TO - Total merchandise,World,10550,11270,4560,3486,2242,1866,
Congo,SI3_AGG - AG - Agricultural products,World,562,477,654,562,588,624,
Congo,SI3_AGG - AGFO - Food,World,538,456,630,541,562,598,
Congo,SI3_AGG - MI - Fuels and mining products,World,540,199,186,175,107,90,
Congo,SI3_AGG - MIFU - Fuels,World,508,175,156,149,82,69,
Congo,SI3_AGG - MA - Manufactures,World,9441,10586,3717,2742,1540,1150,
Congo,SI3_AGG - MAIS - Iron and steel,World,465,160,218,146,81,58,
Congo,SI3_AGG - MACH - Chemicals,World,303,232,222,254,250,233,
Congo,SI3_AGG - MACHPH - Pharmaceuticals,World,79,70,65,67,67,69,
Congo,SI3_AGG - MAMT - Machinery and transport equipment,World,7736,9291,2730,1981,910,669,
Congo,SI3_AGG - MAMTOF - Office and telecom equipment,World,68,65,67,49,53,52,
Congo,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,20,14,10,26,19,15,
Congo,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,41,47,54,19,29,35,
Congo,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,7,3,3,4,5,2,
Congo,SI3_AGG - MAMTTE - Transport equipment,World,6657,8354,2121,1385,477,364,
Congo,SI3_AGG - MAMTAU - Automotive products,World,233,106,197,82,68,70,
Congo,SI3_AGG - MATE - Textiles,World,33,26,30,15,26,18,
Congo,SI3_AGG - MACL - Clothing,World,16,14,22,9,10,9,
Cook Islands,SI3_AGG - TO - Total merchandise,World,109,107,135,134,136,105,
Costa Rica,SI3_AGG - TO - Total merchandise,World,16273,15456,16796,18289,17573,14942,
Costa Rica,SI3_AGG - AG - Agricultural products,World,2017,2203,2377,2326,2288,2284,
Costa Rica,SI3_AGG - AGFO - Food,World,1854,2031,2192,2139,2123,2132,
Costa Rica,SI3_AGG - MI - Fuels and mining products,World,1650,1419,1785,1978,1937,1147,
Costa Rica,SI3_AGG - MIFU - Fuels,World,1312,1164,1495,1669,1643,913,
Costa Rica,SI3_AGG - MA - Manufactures,World,11816,11695,12186,12253,11874,11021,
Costa Rica,SI3_AGG - MAIS - Iron and steel,World,550,532,608,748,602,543,
Costa Rica,SI3_AGG - MACH - Chemicals,World,2682,2717,2945,2960,2987,2883,
Costa Rica,SI3_AGG - MACHPH - Pharmaceuticals,World,688,733,829,804,839,867,
Costa Rica,SI3_AGG - MAMT - Machinery and transport equipment,World,4749,4590,4534,4410,3970,3553,
Costa Rica,SI3_AGG - MAMTOF - Office and telecom equipment,World,1460,1154,1275,1304,1248,1197,
Costa Rica,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,377,374,437,432,418,461,
Costa Rica,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,831,684,697,692,640,608,
Costa Rica,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,253,96,140,179,190,129,
Costa Rica,SI3_AGG - MAMTTE - Transport equipment,World,1546,1658,1416,1237,1030,769,
Costa Rica,SI3_AGG - MAMTAU - Automotive products,World,1165,1366,1226,1032,880,613,
Costa Rica,SI3_AGG - MATE - Textiles,World,253,250,245,242,259,271,
Costa Rica,SI3_AGG - MACL - Clothing,World,311,320,327,348,325,258,
Côte d'Ivoire,SI3_AGG - TO - Total merchandise,World,9532,8404,9614,10970,10483,10650,
Côte d'Ivoire,SI3_AGG - AG - Agricultural products,World,1942,1898,2068,2376,2311,2352,
Côte d'Ivoire,SI3_AGG - AGFO - Food,World,1889,1847,2012,2309,2239,2286,
Côte d'Ivoire,SI3_AGG - MI - Fuels and mining products,World,2223,1343,1712,2510,2333,2168,
Côte d'Ivoire,SI3_AGG - MIFU - Fuels,World,2119,1258,1596,2381,2212,2035,
Côte d'Ivoire,SI3_AGG - MA - Manufactures,World,5307,5163,5833,6076,5837,6121,
Côte d'Ivoire,SI3_AGG - MAIS - Iron and steel,World,316,256,276,336,328,351,
Côte d'Ivoire,SI3_AGG - MACH - Chemicals,World,1364,1434,1474,1576,1655,1807,
Côte d'Ivoire,SI3_AGG - MACHPH - Pharmaceuticals,World,293,419,347,388,374,486,
Côte d'Ivoire,SI3_AGG - MAMT - Machinery and transport equipment,World,2143,2323,2692,2624,2331,2397,
Côte d'Ivoire,SI3_AGG - MAMTOF - Office and telecom equipment,World,228,361,315,360,375,275,
Côte d'Ivoire,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,74,77,76,115,139,79,
Côte d'Ivoire,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,132,247,189,179,190,179,
Côte d'Ivoire,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,22,38,50,66,46,17,
Côte d'Ivoire,SI3_AGG - MAMTTE - Transport equipment,World,734,864,1326,967,692,742,
Côte d'Ivoire,SI3_AGG - MAMTAU - Automotive products,World,563,540,598,655,567,644,
Côte d'Ivoire,SI3_AGG - MATE - Textiles,World,127,130,172,130,134,164,
Côte d'Ivoire,SI3_AGG - MACL - Clothing,World,42,39,40,42,43,43,
Croatia,SI3_AGG - TO - Total merchandise,World,20571,21903,24829,28203,28160,26719,
Croatia,SI3_AGG - AG - Agricultural products,World,2976,3122,3541,3854,4079,3895,
Croatia,SI3_AGG - AGFO - Food,World,2723,2847,3216,3478,3720,3575,
Croatia,SI3_AGG - MI - Fuels and mining products,World,3584,3200,3956,4612,4220,3520,
Croatia,SI3_AGG - MIFU - Fuels,World,3117,2685,3289,3823,3439,2710,
Croatia,SI3_AGG - MA - Manufactures,World,14010,15499,17265,19707,19816,19303,
Croatia,SI3_AGG - MAIS - Iron and steel,World,664,677,761,853,826,744,
Croatia,SI3_AGG - MACH - Chemicals,World,2899,3339,3433,3938,4042,4433,
Croatia,SI3_AGG - MACHPH - Pharmaceuticals,World,891,1334,1184,1379,1484,1870,
Croatia,SI3_AGG - MAMT - Machinery and transport equipment,World,4940,5609,6383,7479,7690,7103,
Croatia,SI3_AGG - MAMTOF - Office and telecom equipment,World,1074,1106,1202,1323,1341,1338,
Croatia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,366,356,399,423,452,454,
Croatia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,640,670,686,818,810,801,
Croatia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,69,80,117,82,80,82,
Croatia,SI3_AGG - MAMTTE - Transport equipment,World,1529,1832,2079,2635,2844,2300,
Croatia,SI3_AGG - MAMTAU - Automotive products,World,1156,1457,1704,2124,2218,1611,
Croatia,SI3_AGG - MATE - Textiles,World,485,505,541,585,530,555,
Croatia,SI3_AGG - MACL - Clothing,World,948,1041,1143,1290,1281,1273,
Cuba,SI3_AGG - TO - Total merchandise,World,11702,10270,10172,11484,9901,8165,
Curaçao,SI3_AGG - TO - Total merchandise,World,1532,1432,1469,1757,1461,1210,
Cyprus,SI3_AGG - TO - Total merchandise,World,7023,7830,9231,10815,9127,8598,
Cyprus,SI3_AGG - AG - Agricultural products,World,1142,1199,1310,1415,1394,1293,
Cyprus,SI3_AGG - AGFO - Food,World,1103,1151,1263,1364,1340,1247,
Cyprus,SI3_AGG - MI - Fuels and mining products,World,1280,1249,1697,2314,1801,1366,
Cyprus,SI3_AGG - MIFU - Fuels,World,1245,1214,1646,2246,1739,1306,
Cyprus,SI3_AGG - MA - Manufactures,World,4589,5337,6124,6928,5785,5831,
Cyprus,SI3_AGG - MAIS - Iron and steel,World,95,88,213,374,212,188,
Cyprus,SI3_AGG - MACH - Chemicals,World,681,704,775,888,920,953,
Cyprus,SI3_AGG - MACHPH - Pharmaceuticals,World,246,256,277,317,349,403,
Cyprus,SI3_AGG - MAMT - Machinery and transport equipment,World,2526,3276,3705,4054,3063,3124,
Cyprus,SI3_AGG - MAMTOF - Office and telecom equipment,World,279,280,316,377,366,385,
Cyprus,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,108,102,105,113,116,123,
Cyprus,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,162,170,200,254,225,235,
Cyprus,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,9,9,11,11,25,27,
Cyprus,SI3_AGG - MAMTTE - Transport equipment,World,1916,2633,2921,3125,2114,2164,
Cyprus,SI3_AGG - MAMTAU - Automotive products,World,374,462,622,715,702,682,
Cyprus,SI3_AGG - MATE - Textiles,World,57,54,62,63,63,72,
Cyprus,SI3_AGG - MACL - Clothing,World,251,257,279,293,294,270,
Czech Republic,SI3_AGG - TO - Total merchandise,World,141364,143040,163352,184659,179039,170584,
Czech Republic,SI3_AGG - AG - Agricultural products,World,10368,10558,11332,12141,12090,11913,
Czech Republic,SI3_AGG - AGFO - Food,World,8556,8777,9354,9989,10156,10267,
Czech Republic,SI3_AGG - MI - Fuels and mining products,World,13974,11475,14094,16877,14767,10742,
Czech Republic,SI3_AGG - MIFU - Fuels,World,9280,7170,8906,11365,9769,6145,
Czech Republic,SI3_AGG - MA - Manufactures,World,116371,120284,136881,155003,151270,147167,
Czech Republic,SI3_AGG - MAIS - Iron and steel,World,5635,5400,6806,7993,7009,5847,
Czech Republic,SI3_AGG - MACH - Chemicals,World,15749,16193,17682,20252,20048,20188,
Czech Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,4081,4233,4611,5247,5553,6070,
Czech Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,64640,65576,75381,87375,86369,85081,
Czech Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,21917,20171,23723,29345,30337,33621,
Czech Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,10686,9526,10426,11851,11974,14343,
Czech Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,8470,7683,9524,13232,14825,15127,
Czech Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,2761,2962,3773,4262,3538,4151,
Czech Republic,SI3_AGG - MAMTTE - Transport equipment,World,18192,20418,22881,25260,23887,20388,
Czech Republic,SI3_AGG - MAMTAU - Automotive products,World,16099,18197,20249,21448,20980,18044,
Czech Republic,SI3_AGG - MATE - Textiles,World,2280,2446,2645,2836,2636,2836,
Czech Republic,SI3_AGG - MACL - Clothing,World,2306,2772,3222,3300,3290,3357,
Democratic Republic of the Congo,SI3_AGG - TO - Total merchandise,World,8068,5492,5803,7930,8825,6663,
Democratic Republic of the Congo,SI3_AGG - AG - Agricultural products,World,1262,939,888,801,803,717,
Democratic Republic of the Congo,SI3_AGG - AGFO - Food,World,1140,835,778,678,676,629,
Democratic Republic of the Congo,SI3_AGG - MI - Fuels and mining products,World,785,632,514,687,807,738,
Democratic Republic of the Congo,SI3_AGG - MIFU - Fuels,World,517,330,256,305,383,335,
Democratic Republic of the Congo,SI3_AGG - MA - Manufactures,World,5995,3900,4398,6418,7203,5195,
Democratic Republic of the Congo,SI3_AGG - MAIS - Iron and steel,World,204,108,126,247,291,185,
Democratic Republic of the Congo,SI3_AGG - MACH - Chemicals,World,1347,849,830,1165,1527,982,
Democratic Republic of the Congo,SI3_AGG - MACHPH - Pharmaceuticals,World,316,321,196,213,511,169,
Democratic Republic of the Congo,SI3_AGG - MAMT - Machinery and transport equipment,World,2306,1530,1369,2066,2361,1800,
Democratic Republic of the Congo,SI3_AGG - MAMTOF - Office and telecom equipment,World,168,113,133,144,189,134,
Democratic Republic of the Congo,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,32,24,20,44,32,22,
Democratic Republic of the Congo,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,107,75,101,87,142,92,
Democratic Republic of the Congo,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,29,13,13,14,15,20,
Democratic Republic of the Congo,SI3_AGG - MAMTTE - Transport equipment,World,584,432,362,610,555,428,
Democratic Republic of the Congo,SI3_AGG - MAMTAU - Automotive products,World,437,277,273,466,402,304,
Democratic Republic of the Congo,SI3_AGG - MATE - Textiles,World,168,88,86,103,106,106,
Democratic Republic of the Congo,SI3_AGG - MACL - Clothing,World,22,19,19,23,29,28,
Denmark,SI3_AGG - TO - Total merchandise,World,85623,85513,92957,102605,97824,97561,
Denmark,SI3_AGG - AG - Agricultural products,World,14875,14854,15988,17398,16845,16723,
Denmark,SI3_AGG - AGFO - Food,World,12427,12612,13522,14647,14382,14330,
Denmark,SI3_AGG - MI - Fuels and mining products,World,6941,5745,6901,8473,7924,5951,
Denmark,SI3_AGG - MIFU - Fuels,World,5594,4453,5359,6779,6408,4450,
Denmark,SI3_AGG - MA - Manufactures,World,62707,63939,69040,75472,71794,73281,
Denmark,SI3_AGG - MAIS - Iron and steel,World,2255,2158,2551,2887,2597,2561,
Denmark,SI3_AGG - MACH - Chemicals,World,10733,10674,11637,12594,12082,13211,
Denmark,SI3_AGG - MACHPH - Pharmaceuticals,World,3985,3989,4345,4747,4721,5648,
Denmark,SI3_AGG - MAMT - Machinery and transport equipment,World,27856,28637,31048,34883,32919,32844,
Denmark,SI3_AGG - MAMTOF - Office and telecom equipment,World,6520,6570,6742,6956,6974,7935,
Denmark,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2944,3028,3034,3079,3004,3555,
Denmark,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3143,3177,3346,3491,3552,3890,
Denmark,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,434,365,362,386,419,489,
Denmark,SI3_AGG - MAMTTE - Transport equipment,World,9470,9402,10871,13371,10782,9646,
Denmark,SI3_AGG - MAMTAU - Automotive products,World,5904,6366,6654,7354,7332,6869,
Denmark,SI3_AGG - MATE - Textiles,World,1191,1191,1238,1359,1293,1458,
Denmark,SI3_AGG - MACL - Clothing,World,4219,4250,4484,4967,4757,4773,
Djibouti,SI3_AGG - TO - Total merchandise,World,871,2327,3576,3603,4138,3425,
Dominica,SI3_AGG - TO - Total merchandise,World,214,214,198,302,319,213,
Dominica,SI3_AGG - AG - Agricultural products,World,50,,,,,,
Dominica,SI3_AGG - AGFO - Food,World,46,,,,,,
Dominica,SI3_AGG - MI - Fuels and mining products,World,31,,,,,,
Dominica,SI3_AGG - MIFU - Fuels,World,30,,,,,,
Dominica,SI3_AGG - MA - Manufactures,World,101,,,,,,
Dominica,SI3_AGG - MAIS - Iron and steel,World,5,,,,,,
Dominica,SI3_AGG - MACH - Chemicals,World,16,,,,,,
Dominica,SI3_AGG - MACHPH - Pharmaceuticals,World,3,,,,,,
Dominica,SI3_AGG - MAMT - Machinery and transport equipment,World,34,,,,,,
Dominica,SI3_AGG - MAMTOF - Office and telecom equipment,World,9,,,,,,
Dominica,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3,,,,,,
Dominica,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,5,,,,,,
Dominica,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,,,,,,
Dominica,SI3_AGG - MAMTTE - Transport equipment,World,10,,,,,,
Dominica,SI3_AGG - MAMTAU - Automotive products,World,8,,,,,,
Dominica,SI3_AGG - MATE - Textiles,World,1,,,,,,
Dominica,SI3_AGG - MACL - Clothing,World,4,,,,,,
Dominican Republic,SI3_AGG - TO - Total merchandise,World,16907,17399,17734,20197,20268,17047,
Dominican Republic,SI3_AGG - AG - Agricultural products,World,2859,2874,3237,3537,3589,3550,
Dominican Republic,SI3_AGG - AGFO - Food,World,2629,2667,2933,3240,3312,3319,
Dominican Republic,SI3_AGG - MI - Fuels and mining products,World,2868,2597,3432,4378,4178,2486,
Dominican Republic,SI3_AGG - MIFU - Fuels,World,2692,2433,3237,4146,3956,2269,
Dominican Republic,SI3_AGG - MA - Manufactures,World,11172,11925,11006,12281,12500,11009,
Dominican Republic,SI3_AGG - MAIS - Iron and steel,World,591,435,549,775,699,546,
Dominican Republic,SI3_AGG - MACH - Chemicals,World,2158,2234,2539,2814,2753,2562,
Dominican Republic,SI3_AGG - MACHPH - Pharmaceuticals,World,572,623,642,750,749,727,
Dominican Republic,SI3_AGG - MAMT - Machinery and transport equipment,World,4065,4759,4590,5212,5298,4534,
Dominican Republic,SI3_AGG - MAMTOF - Office and telecom equipment,World,693,790,957,1045,1162,1067,
Dominican Republic,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,187,211,273,306,352,311,
Dominican Republic,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,439,514,547,544,582,542,
Dominican Republic,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,67,66,137,195,227,214,
Dominican Republic,SI3_AGG - MAMTTE - Transport equipment,World,1335,1536,1513,1650,1762,1403,
Dominican Republic,SI3_AGG - MAMTAU - Automotive products,World,1154,1326,1319,1398,1541,1169,
Dominican Republic,SI3_AGG - MATE - Textiles,World,919,814,861,893,837,782,
Dominican Republic,SI3_AGG - MACL - Clothing,World,286,257,292,268,243,214,
ECCAS (Economic Community of Central African States),SI3_AGG - TO - Total merchandise,World,59478,45840,40804,45601,43220,34963,
Ecuador,SI3_AGG - TO - Total merchandise,World,21518,16324,20010,23177,22564,17959,
Ecuador,SI3_AGG - AG - Agricultural products,World,2064,1866,2215,2532,2565,2524,
Ecuador,SI3_AGG - AGFO - Food,World,1874,1711,2022,2326,2381,2366,
Ecuador,SI3_AGG - MI - Fuels and mining products,World,4486,2871,3699,4868,4611,3005,
Ecuador,SI3_AGG - MIFU - Fuels,World,4196,2649,3378,4542,4378,2814,
Ecuador,SI3_AGG - MA - Manufactures,World,14725,11352,13816,15509,13012,12109,
Ecuador,SI3_AGG - MAIS - Iron and steel,World,835,548,797,938,839,574,
Ecuador,SI3_AGG - MACH - Chemicals,World,3887,3390,3738,3994,3785,3673,
Ecuador,SI3_AGG - MACHPH - Pharmaceuticals,World,1145,1008,1044,1039,1020,1106,
Ecuador,SI3_AGG - MAMT - Machinery and transport equipment,World,6489,4819,6059,6962,5127,5084,
Ecuador,SI3_AGG - MAMTOF - Office and telecom equipment,World,1265,955,1176,1435,962,1343,
Ecuador,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,413,315,366,472,363,518,
Ecuador,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,784,588,747,878,541,760,
Ecuador,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,67,52,63,85,59,65,
Ecuador,SI3_AGG - MAMTTE - Transport equipment,World,1823,1332,2060,2537,1814,1591,
Ecuador,SI3_AGG - MAMTAU - Automotive products,World,1454,1086,1770,2174,1352,1163,
Ecuador,SI3_AGG - MATE - Textiles,World,432,315,425,479,422,451,
Ecuador,SI3_AGG - MACL - Clothing,World,279,179,213,258,284,198,
Egypt,SI3_AGG - TO - Total merchandise,World,63574,55789,61627,72000,70919,59843,
Egypt,SI3_AGG - AG - Agricultural products,World,16491,12596,15400,14883,16260,15258,
Egypt,SI3_AGG - AGFO - Food,World,14391,10945,13487,12833,14329,13687,
Egypt,SI3_AGG - MI - Fuels and mining products,World,13908,9900,14472,16057,14260,9859,
Egypt,SI3_AGG - MIFU - Fuels,World,11674,8197,11524,12588,10538,6919,
Egypt,SI3_AGG - MA - Manufactures,World,33174,33291,31753,40827,40370,34679,
Egypt,SI3_AGG - MAIS - Iron and steel,World,4214,3487,3696,4463,3456,2415,
Egypt,SI3_AGG - MACH - Chemicals,World,9575,7790,7186,9912,9906,9004,
Egypt,SI3_AGG - MACHPH - Pharmaceuticals,World,2512,2115,2395,2445,2155,2522,
Egypt,SI3_AGG - MAMT - Machinery and transport equipment,World,15177,15231,13863,15980,16417,14259,
Egypt,SI3_AGG - MAMTOF - Office and telecom equipment,World,3396,2430,2700,3526,3639,2431,
Egypt,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,533,393,344,524,580,590,
Egypt,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2764,1928,2217,2536,2741,1729,
Egypt,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,99,110,140,466,318,111,
Egypt,SI3_AGG - MAMTTE - Transport equipment,World,5957,5978,3451,4808,4822,5213,
Egypt,SI3_AGG - MAMTAU - Automotive products,World,4552,4568,3185,4491,4477,4565,
Egypt,SI3_AGG - MATE - Textiles,World,2708,2065,2603,2731,3231,2529,
Egypt,SI3_AGG - MACL - Clothing,World,1219,566,457,562,543,367,
El Salvador,SI3_AGG - TO - Total merchandise,World,10293,9826,10572,11464,11604,10327,
El Salvador,SI3_AGG - AG - Agricultural products,World,1973,2000,2011,2192,2391,2479,
El Salvador,SI3_AGG - AGFO - Food,World,1776,1804,1793,1944,2141,2286,
El Salvador,SI3_AGG - MI - Fuels and mining products,World,1502,1291,1558,1985,1809,1156,
El Salvador,SI3_AGG - MIFU - Fuels,World,1397,1177,1410,1844,1701,1041,
El Salvador,SI3_AGG - MA - Manufactures,World,6798,6515,6974,7262,7380,6690,
El Salvador,SI3_AGG - MAIS - Iron and steel,World,327,284,381,451,412,344,
El Salvador,SI3_AGG - MACH - Chemicals,World,1636,1619,1657,1673,1768,1822,
El Salvador,SI3_AGG - MACHPH - Pharmaceuticals,World,363,370,364,366,435,455,
El Salvador,SI3_AGG - MAMT - Machinery and transport equipment,World,1905,1888,2042,2149,2173,2101,
El Salvador,SI3_AGG - MAMTOF - Office and telecom equipment,World,576,530,562,629,627,573,
