Indicator,  Merchandise imports by product group – annual (Million US dollar),,,,,,,,
,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020,
Afghanistan,SI3_AGG - MA - Manufactures,World,1274,1607,2937,3410,2229,4153,
Afghanistan,SI3_AGG - MAIS - Iron and steel,World,25,25,179,218,135,113,
Afghanistan,SI3_AGG - MACH - Chemicals,World,96,98,224,281,392,663,
Afghanistan,SI3_AGG - MACHPH - Pharmaceuticals,World,,,,0,25,362,
Afghanistan,SI3_AGG - MAMT - Machinery and transport equipment,World,214,360,898,869,924,1603,
Afghanistan,SI3_AGG - MAMTOF - Office and telecom equipment,World,13,17,30,22,180,223,
Afghanistan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,,,,2,35,
Afghanistan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,13,17,30,22,88,156,
Afghanistan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,,,,90,32,
Afghanistan,SI3_AGG - MAMTTE - Transport equipment,World,96,81,394,393,331,825,
Afghanistan,SI3_AGG - MAMTAU - Automotive products,World,89,74,344,344,284,416,
Afghanistan,SI3_AGG - MATE - Textiles,World,239,335,483,471,482,556,
Afghanistan,SI3_AGG - MACL - Clothing,World,11,11,30,32,30,264,
Africa,SI3_AGG - TO - Total merchandise,World,565459,499538,522066,587524,586227,508954,
"African, Caribbean and Pacific States (ACP)",SI3_AGG - TO - Total merchandise,World,440676,388475,402570,453705,455671,392899,
"Africa, CIS and Middle East",SI3_AGG - TO - Total merchandise,World,1636790,1505773,1613032,1720950,1734975,1530622,
Albania,SI3_AGG - TO - Total merchandise,World,4302,4613,5271,5925,5897,5570,
Albania,SI3_AGG - AG - Agricultural products,World,795,839,934,1023,1046,1059,
Albania,SI3_AGG - AGFO - Food,World,747,780,872,959,976,993,
Albania,SI3_AGG - MI - Fuels and mining products,World,552,462,679,797,847,659,
Albania,SI3_AGG - MIFU - Fuels,World,433,376,527,598,666,469,
Albania,SI3_AGG - MA - Manufactures,World,2948,3307,3637,4098,3996,3848,
Albania,SI3_AGG - MAIS - Iron and steel,World,153,232,201,191,210,197,
Albania,SI3_AGG - MACH - Chemicals,World,501,545,616,684,678,712,
Albania,SI3_AGG - MACHPH - Pharmaceuticals,World,153,172,208,221,222,236,
Albania,SI3_AGG - MAMT - Machinery and transport equipment,World,902,1016,1111,1296,1229,1212,
Albania,SI3_AGG - MAMTOF - Office and telecom equipment,World,152,134,126,168,183,174,
Albania,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,47,44,37,51,54,53,
Albania,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,100,87,88,109,118,113,
Albania,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,5,4,2,7,10,8,
Albania,SI3_AGG - MAMTTE - Transport equipment,World,278,326,368,440,420,404,
Albania,SI3_AGG - MAMTAU - Automotive products,World,247,305,346,411,396,380,
Albania,SI3_AGG - MATE - Textiles,World,218,260,296,342,328,313,
Albania,SI3_AGG - MACL - Clothing,World,214,251,294,321,321,277,
Algeria,SI3_AGG - TO - Total merchandise,World,51702,47089,46059,46330,41934,35122,
Algeria,SI3_AGG - AG - Agricultural products,World,10761,9630,9807,8396,8294,8851,
Algeria,SI3_AGG - AGFO - Food,World,10006,8960,9317,7714,7737,8348,
Algeria,SI3_AGG - MI - Fuels and mining products,World,3134,2321,2617,3590,3168,1541,
Algeria,SI3_AGG - MIFU - Fuels,World,2339,1562,1938,2902,2349,676,
Algeria,SI3_AGG - MA - Manufactures,World,37805,35136,33603,30677,28169,22339,
Algeria,SI3_AGG - MAIS - Iron and steel,World,4321,3852,3718,2283,2578,1698,
Algeria,SI3_AGG - MACH - Chemicals,World,6170,6113,5962,5350,5388,5238,
Algeria,SI3_AGG - MACHPH - Pharmaceuticals,World,2076,2119,2022,1759,1777,1770,
Algeria,SI3_AGG - MAMT - Machinery and transport equipment,World,19508,17185,16447,15028,12742,8944,
Algeria,SI3_AGG - MAMTOF - Office and telecom equipment,World,2725,2415,2388,1631,1659,1209,
Algeria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,631,459,893,361,310,247,
Algeria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1798,1832,1355,1247,1322,937,
Algeria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,295,124,139,22,28,25,
Algeria,SI3_AGG - MAMTTE - Transport equipment,World,5458,4533,4623,5994,4276,2345,
Algeria,SI3_AGG - MAMTAU - Automotive products,World,4661,3294,3319,4418,3517,1802,
Algeria,SI3_AGG - MATE - Textiles,World,633,628,637,968,987,878,
Algeria,SI3_AGG - MACL - Clothing,World,424,469,512,753,831,654,
American Samoa,SI3_AGG - TO - Total merchandise,World,675,655,595,610,635,600,
Andean Community (ANDEAN),SI3_AGG - TO - Total merchandise,World,123266,105895,115258,127668,127334,104656,
Andorra,SI3_AGG - TO - Total merchandise,World,1294,1354,1478,1609,1565,1446,
Angola,SI3_AGG - TO - Total merchandise,World,20693,13040,14463,15798,14127,9543,
Angola,SI3_AGG - AG - Agricultural products,World,2990,2046,2906,3437,2865,2216,
Angola,SI3_AGG - AGFO - Food,World,2841,1966,2742,3277,2732,2092,
Angola,SI3_AGG - MI - Fuels and mining products,World,1531,1650,1780,2521,2098,458,
Angola,SI3_AGG - MIFU - Fuels,World,1411,1575,1667,2416,1999,399,
Angola,SI3_AGG - MA - Manufactures,World,12985,7873,8656,9483,9122,6832,
Angola,SI3_AGG - MAIS - Iron and steel,World,1512,643,350,352,377,346,
Angola,SI3_AGG - MACH - Chemicals,World,1558,1185,1463,1589,1420,1105,
Angola,SI3_AGG - MACHPH - Pharmaceuticals,World,253,235,291,363,304,242,
Angola,SI3_AGG - MAMT - Machinery and transport equipment,World,6390,4031,4517,5371,5116,3090,
Angola,SI3_AGG - MAMTOF - Office and telecom equipment,World,624,332,392,416,429,353,
Angola,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,160,125,131,153,187,102,
Angola,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,436,184,220,238,201,211,
Angola,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,28,22,41,25,41,40,
Angola,SI3_AGG - MAMTTE - Transport equipment,World,1551,708,1113,2277,2458,829,
Angola,SI3_AGG - MAMTAU - Automotive products,World,1093,279,680,616,612,322,
Angola,SI3_AGG - MATE - Textiles,World,128,84,142,136,126,211,
Angola,SI3_AGG - MACL - Clothing,World,277,94,187,111,118,167,
Anguilla,SI3_AGG - TO - Total merchandise,World,204,193,222,234,228,210,
Antigua and Barbuda,SI3_AGG - TO - Total merchandise,World,449,478,554,699,701,494,
Antigua and Barbuda,SI3_AGG - AG - Agricultural products,World,135,121,155,169,162,132,
Antigua and Barbuda,SI3_AGG - AGFO - Food,World,126,113,145,156,151,126,
Antigua and Barbuda,SI3_AGG - MI - Fuels and mining products,World,63,37,29,9,10,5,
Antigua and Barbuda,SI3_AGG - MIFU - Fuels,World,60,33,26,3,3,2,
Antigua and Barbuda,SI3_AGG - MA - Manufactures,World,250,284,370,381,378,303,
Antigua and Barbuda,SI3_AGG - MAIS - Iron and steel,World,6,9,8,11,12,5,
Antigua and Barbuda,SI3_AGG - MACH - Chemicals,World,34,33,41,46,46,43,
Antigua and Barbuda,SI3_AGG - MACHPH - Pharmaceuticals,World,8,7,8,10,11,13,
Antigua and Barbuda,SI3_AGG - MAMT - Machinery and transport equipment,World,93,119,149,151,154,137,
Antigua and Barbuda,SI3_AGG - MAMTOF - Office and telecom equipment,World,17,16,20,22,21,15,
Antigua and Barbuda,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,5,5,9,7,7,5,
Antigua and Barbuda,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,9,7,10,13,13,10,
Antigua and Barbuda,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,4,2,2,1,0,
Antigua and Barbuda,SI3_AGG - MAMTTE - Transport equipment,World,44,57,80,64,65,59,
Antigua and Barbuda,SI3_AGG - MAMTAU - Automotive products,World,37,48,45,54,49,24,
Antigua and Barbuda,SI3_AGG - MATE - Textiles,World,10,11,14,6,6,4,
Antigua and Barbuda,SI3_AGG - MACL - Clothing,World,9,9,10,11,10,6,
Argentina,SI3_AGG - TO - Total merchandise,World,60205,55852,66937,65482,49124,42354,
Argentina,SI3_AGG - AG - Agricultural products,World,2205,2560,3397,5090,3717,4169,
Argentina,SI3_AGG - AGFO - Food,World,1599,2037,2805,4505,3203,3713,
Argentina,SI3_AGG - MI - Fuels and mining products,World,8235,5939,7030,8255,5738,3818,
Argentina,SI3_AGG - MIFU - Fuels,World,6581,4699,5461,6275,4190,2566,
Argentina,SI3_AGG - MA - Manufactures,World,49218,46964,55886,51478,39076,33904,
Argentina,SI3_AGG - MAIS - Iron and steel,World,1509,903,1561,1410,1010,812,
Argentina,SI3_AGG - MACH - Chemicals,World,11298,9993,10662,11086,10283,10455,
Argentina,SI3_AGG - MACHPH - Pharmaceuticals,World,2594,2338,2547,2553,2239,2324,
Argentina,SI3_AGG - MAMT - Machinery and transport equipment,World,27063,26991,33467,28982,20119,16063,
Argentina,SI3_AGG - MAMTOF - Office and telecom equipment,World,5810,4793,5838,5069,4090,3916,
Argentina,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1397,1248,1775,2976,2213,2399,
Argentina,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,4089,3297,3826,1807,1432,1245,
Argentina,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,324,249,237,286,445,272,
Argentina,SI3_AGG - MAMTTE - Transport equipment,World,11274,12832,16158,12902,7017,5670,
Argentina,SI3_AGG - MAMTAU - Automotive products,World,8755,10092,13218,11180,5897,4749,
Argentina,SI3_AGG - MATE - Textiles,World,1110,1059,1070,1020,785,849,
Argentina,SI3_AGG - MACL - Clothing,World,368,438,553,608,440,337,
