Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Australia,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,16.0,Manufacturing services on physical inputs owned by others,services,exports
Australia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,53.0,Maintenance and repair services n.i.e.,services,exports
Australia,BOP6 - SC - Transport,World,2014,5946.0,Transport,services,exports
Australia,BOP6 - SD - Travel,World,2014,35878.0,Travel,services,exports
Australia,BOP6 - SOX1 - Other commercial services,World,2014,16293.0,Other commercial services,services,exports
Australia,BOP6 - S - Memo item: Total services,World,2014,59081.0,Memo item: Total services,services,exports
Brazil,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,18.0,Manufacturing services on physical inputs owned by others,services,exports
Brazil,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,356.0,Maintenance and repair services n.i.e.,services,exports
Brazil,BOP6 - SC - Transport,World,2014,5812.0,Transport,services,exports
Brazil,BOP6 - SD - Travel,World,2014,6843.0,Travel,services,exports
Brazil,BOP6 - SOX1 - Other commercial services,World,2014,25986.0,Other commercial services,services,exports
Brazil,BOP6 - S - Memo item: Total services,World,2014,39933.0,Memo item: Total services,services,exports
Canada,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,1505.0,Maintenance and repair services n.i.e.,services,exports
Canada,BOP6 - SC - Transport,World,2014,13733.0,Transport,services,exports
Canada,BOP6 - SD - Travel,World,2014,21543.0,Travel,services,exports
Canada,BOP6 - SOX1 - Other commercial services,World,2014,54605.0,Other commercial services,services,exports
Canada,BOP6 - S - Memo item: Total services,World,2014,92766.0,Memo item: Total services,services,exports
China,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,21421.0,Manufacturing services on physical inputs owned by others,services,exports
China,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,,Maintenance and repair services n.i.e.,services,exports
China,BOP6 - SC - Transport,World,2014,38243.0,Transport,services,exports
China,BOP6 - SD - Travel,World,2014,44044.0,Travel,services,exports
China,BOP6 - SOX1 - Other commercial services,World,2014,114379.0,Other commercial services,services,exports
China,BOP6 - S - Memo item: Total services,World,2014,219141.0,Memo item: Total services,services,exports
France,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,9961.0,Manufacturing services on physical inputs owned by others,services,exports
France,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,6786.0,Maintenance and repair services n.i.e.,services,exports
France,BOP6 - SC - Transport,World,2014,47956.0,Transport,services,exports
France,BOP6 - SD - Travel,World,2014,58147.0,Travel,services,exports
France,BOP6 - SOX1 - Other commercial services,World,2014,149124.0,Other commercial services,services,exports
France,BOP6 - S - Memo item: Total services,World,2014,273208.0,Memo item: Total services,services,exports
Germany,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,7509.0,Manufacturing services on physical inputs owned by others,services,exports
Germany,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,7300.0,Maintenance and repair services n.i.e.,services,exports
Germany,BOP6 - SC - Transport,World,2014,61847.0,Transport,services,exports
Germany,BOP6 - SD - Travel,World,2014,43321.0,Travel,services,exports
Germany,BOP6 - SOX1 - Other commercial services,World,2014,174912.0,Other commercial services,services,exports
Germany,BOP6 - S - Memo item: Total services,World,2014,300215.0,Memo item: Total services,services,exports
India,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,197.0,Manufacturing services on physical inputs owned by others,services,exports
India,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,186.0,Maintenance and repair services n.i.e.,services,exports
India,BOP6 - SC - Transport,World,2014,18597.0,Transport,services,exports
India,BOP6 - SD - Travel,World,2014,19700.0,Travel,services,exports
India,BOP6 - SOX1 - Other commercial services,World,2014,117934.0,Other commercial services,services,exports
India,BOP6 - S - Memo item: Total services,World,2014,157196.0,Memo item: Total services,services,exports
Indonesia,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,425.0,Manufacturing services on physical inputs owned by others,services,exports
Indonesia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,100.0,Maintenance and repair services n.i.e.,services,exports
Indonesia,BOP6 - SC - Transport,World,2014,3791.0,Transport,services,exports
Indonesia,BOP6 - SD - Travel,World,2014,10261.0,Travel,services,exports
Indonesia,BOP6 - SOX1 - Other commercial services,World,2014,8342.0,Other commercial services,services,exports
Indonesia,BOP6 - S - Memo item: Total services,World,2014,23531.0,Memo item: Total services,services,exports
Iran,BOP6 - SC - Transport,World,2014,4617.0,Transport,services,exports
