,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, FOB to Partner Countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"US Dollars, Millions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09
,Austria,"14,687.85","14,623.39","15,282.08","15,259.53","14,546.97","14,506.03","15,029.56","12,388.47","14,720.65","14,957.26","13,269.57","11,689.86","12,264.17","12,742.66","12,973.10","11,726.98","11,693.22","12,866.34","12,763.92","11,073.09","13,622.12","13,417.40","12,821.27","11,208.19","11,946.57","12,390.43","13,260.89","12,974.73","12,144.17","13,184.27","12,174.87","12,103.71","13,382.39","12,743.60","13,242.22","11,297.09","12,636.88","12,925.54","14,100.28","12,570.19","13,967.01","13,689.96","13,659.81","13,466.29","15,214.67","15,561.12","15,683.72","13,793.05","15,144.80","15,085.04","17,303.32","15,511.99","15,013.54","15,572.62","15,041.21","13,796.93","15,191.27","16,983.74","16,295.43","13,042.54","15,105.26","15,898.59","15,948.34","15,273.55","15,523.95","14,259.44","15,734.50","12,900.79","14,623.40","15,652.26","14,894.91","12,201.41","14,154.75","13,643.52","14,276.03","10,954.32","14,317.03","16,173.38","18,744.18","17,608.65","17,175.14","18,521.20","17,314.88","15,973.58","18,202.28"
,Belgium,"36,706.99","35,002.56","38,724.17","37,351.79","36,805.09","37,003.29","36,255.10","33,644.40","36,917.49","37,547.23","32,719.30","32,072.23","30,647.73","29,291.54","31,621.52","29,637.16","30,458.29","32,900.73","29,846.98","26,846.85","31,275.49","31,151.41","28,927.14","28,052.33","28,253.20","29,039.69","30,452.60","30,559.50","29,865.52","32,147.38","27,803.12","28,546.42","30,961.45","29,523.20","30,223.00","28,668.32","29,971.19","29,448.11","34,331.06","28,871.07","32,298.35","32,921.96","30,129.03","30,992.08","33,188.56","33,696.30","34,248.15","32,633.68","35,991.92","35,633.04","37,925.41","36,156.18","35,788.26","36,400.08","34,921.06","32,603.28","34,561.65","36,675.55","35,265.21","32,029.88","35,943.01","33,780.64","36,006.90","34,195.88","36,697.10","32,893.47","33,478.43","29,434.31","31,743.60","35,534.18","32,939.67","31,520.01","34,133.67","31,651.74","31,198.93","23,382.16","35,042.14","36,522.69","41,598.36","39,327.98","39,841.36","43,604.18","38,169.68","39,268.52","43,459.69"
,Belgium-Luxembourg,1.94,1.23,2.27,1.50,3.06,2.81,3.05,2.01,2.17,2.00,1.53,2.04,305.80,220.60,286.50,200.00,244.50,226.90,175.40,150.10,153.10,165.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cyprus,"1,090.24",977.84,"1,039.98",965.56,945.20,"1,057.66",935.09,"1,038.24","1,032.65",929.38,856.82,847.65,784.54,664.06,849.72,737.79,712.71,883.75,779.58,629.73,763.02,996.43,619.19,689.56,544.83,697.86,723.30,702.35,665.33,673.84,804.74,770.44,849.31,957.70,743.78,739.26,722.27,887.02,"1,004.98",684.17,905.91,885.80,871.85,"1,124.82",835.24,"1,336.07",951.97,965.37,"1,072.37",973.49,"1,061.16",888.56,"1,001.08",981.94,"1,019.14",959.49,"1,114.54","1,363.98","1,650.71","1,427.89","1,070.99",992.40,"1,011.05","1,221.54",940.75,968.31,"1,059.17",971.03,951.51,952.96,887.61,858.50,863.33,"1,189.16",768.86,599.77,775.20,842.45,970.22,"1,040.14","1,079.29","1,079.65","1,094.86",885.70,973.52
,"Estonia, Rep. of","1,791.92","1,769.85","1,981.12","1,850.71","1,986.33","1,813.35","1,925.95","1,723.37","2,061.96","2,009.51","1,682.47","1,572.20","1,468.32","1,440.66","1,544.06","1,476.35","1,422.96","1,561.92","1,387.93","1,307.52","1,484.26","1,486.61","1,418.24","1,263.66","1,178.85","1,402.14","1,569.51","1,614.55","1,520.34","1,540.58","1,409.46","1,413.75","1,529.58","1,465.22","1,505.81","1,469.38","1,593.48","1,342.50","1,770.16","1,461.51","1,851.26","1,600.84","1,466.17","1,565.12","1,683.24","1,647.96","1,801.08","1,641.50","1,649.66","1,640.82","1,856.42","1,753.83","1,918.00","1,843.63","1,812.55","1,683.20","1,697.55","1,879.34","1,825.37","1,637.77","1,593.20","1,540.36","1,792.57","1,771.25","1,786.48","1,745.31","1,789.64","1,598.24","1,681.69","1,801.01","1,702.78","1,696.99","1,622.62","1,482.05","1,693.68","1,463.74","1,853.49","1,833.31","2,205.25","2,221.96","2,266.78","2,329.97","2,235.49","2,270.80","2,387.48"
,Finland,"7,037.04","6,466.53","6,747.90","7,233.08","7,519.03","6,766.91","7,260.74","6,203.81","6,744.03","7,039.15","5,961.43","5,954.08","5,542.86","5,262.81","5,505.06","5,203.32","5,008.71","5,139.42","5,008.43","4,860.22","5,643.92","5,594.40","5,070.84","5,127.04","4,581.54","4,888.59","5,270.28","5,176.33","5,278.76","5,637.67","4,673.21","4,973.00","5,572.16","5,352.64","5,226.16","5,297.32","5,301.20","5,122.67","5,986.54","5,184.13","5,779.01","6,465.98","5,258.02","5,849.94","6,504.14","6,078.60","6,466.57","6,054.97","6,410.20","6,567.33","6,880.14","6,490.18","6,692.30","6,624.40","6,234.19","6,485.45","6,284.12","6,896.11","6,531.50","5,963.61","6,226.11","5,849.41","6,568.19","6,441.27","6,807.05","5,942.65","6,137.36","6,051.56","6,022.28","6,309.54","6,013.84","5,455.10","5,839.58","5,680.50","6,236.91","4,775.65","5,836.42","6,297.77","7,299.91","7,046.78","6,668.00","7,082.54","6,649.69","6,459.78","7,304.96"
,France,"60,122.67","56,199.59","60,407.03","58,841.39","57,533.48","59,777.52","60,718.30","47,032.16","57,968.04","58,871.16","53,787.79","51,962.37","49,451.28","48,443.26","50,080.24","47,639.93","48,209.93","52,908.75","50,100.10","39,261.13","50,758.05","52,652.05","48,143.96","46,613.91","45,027.91","47,262.57","51,162.62","50,654.27","48,683.73","51,611.30","47,157.05","41,875.29","51,401.63","49,106.68","50,944.42","47,445.37","49,702.43","47,727.36","54,634.55","48,101.21","53,457.60","54,334.00","51,403.36","46,771.77","57,096.66","58,427.20","59,444.72","53,530.28","58,284.47","56,636.99","62,430.03","59,394.93","57,714.44","61,791.36","57,281.96","48,802.13","56,707.37","60,851.47","58,720.57","51,954.70","58,288.51","54,548.82","60,772.12","56,474.26","57,884.57","52,861.38","57,390.81","45,829.83","55,240.07","60,693.42","55,799.93","51,395.89","55,931.04","52,058.35","47,634.45","32,328.43","55,451.31","55,427.53","64,750.69","60,409.62","60,193.33","65,945.94","62,334.26","54,093.05","64,486.41"
,Germany,"100,473.23","97,618.96","106,890.26","102,783.14","102,160.25","99,308.36","104,062.07","88,975.54","101,374.25","101,935.09","95,330.34","85,558.99","86,249.67","85,865.29","91,535.50","85,366.43","84,319.89","90,834.66","89,612.61","78,286.48","90,451.03","92,498.55","86,836.26","79,559.99","80,436.25","84,679.74","89,648.50","88,124.64","85,258.79","91,610.39","83,474.60","83,869.97","91,048.99","87,930.31","91,229.22","82,194.53","87,895.09","85,312.74","101,471.19","84,897.20","96,492.43","95,237.75","93,017.63","94,839.12","101,873.94","101,801.19","106,132.71","93,516.91","106,929.81","102,320.68","113,006.65","106,780.42","105,266.53","108,028.24","104,036.23","99,507.07","105,548.77","111,731.21","109,458.26","91,672.57","108,399.63","100,758.55","109,269.21","101,736.32","106,938.26","98,448.97","104,325.18","92,173.84","100,898.05","107,404.81","101,193.37","91,794.69","101,350.78","94,227.23","100,790.22","75,191.72","105,728.76","108,513.46","128,560.42","120,888.96","119,012.24","127,064.33","118,296.17","112,638.74","124,177.49"
,Greece,"5,688.59","4,756.56","5,114.06","5,114.58","5,492.64","5,118.88","5,684.82","4,421.47","5,389.15","5,492.11","4,737.93","4,612.09","4,056.44","3,975.72","4,293.05","4,018.16","4,041.67","4,801.72","3,617.96","3,158.93","4,301.32","4,208.83","3,967.60","3,843.71","3,601.53","3,953.11","4,164.28","4,309.22","4,215.26","4,117.80","4,123.58","3,541.40","4,533.02","4,331.02","4,334.86","4,417.92","4,521.75","4,251.42","4,780.56","4,173.49","4,660.68","4,697.60","4,596.82","4,411.29","4,847.62","4,958.08","4,914.27","5,029.73","5,710.03","5,106.80","5,793.96","5,624.68","5,555.76","6,194.89","5,510.35","5,003.63","5,404.70","5,813.13","5,743.28","5,070.43","5,905.19","5,220.28","5,781.66","5,267.71","5,807.88","5,776.09","5,975.25","5,159.06","5,427.59","5,979.80","5,347.04","5,148.91","5,714.56","4,600.88","4,870.27","3,332.87","5,273.52","5,426.71","6,450.68","6,263.90","6,588.96","6,973.35","7,227.86","6,182.38","7,296.44"
,Ireland,"6,680.07","5,824.35","6,803.46","6,367.46","6,700.20","6,572.96","6,332.02","5,843.39","6,180.95","6,688.42","6,314.35","6,510.91","6,224.81","5,742.72","6,147.02","5,498.08","5,416.47","5,981.96","5,788.58","5,270.10","6,275.43","6,732.21","6,175.22","6,291.69","5,546.17","5,915.55","6,070.06","5,889.63","6,014.65","5,814.47","5,253.61","5,833.09","6,371.92","5,901.86","6,624.85","5,854.57","5,522.57","5,322.62","6,353.99","6,082.06","6,559.96","6,581.56","5,663.16","6,402.32","6,798.38","7,010.54","7,513.58","7,385.50","7,462.40","7,271.09","7,974.28","7,096.79","7,644.10","8,014.23","7,247.36","7,795.78","7,985.25","7,797.63","7,510.67","6,669.07","6,810.88","6,654.69","7,852.98","6,740.91","6,717.48","6,413.10","6,654.08","6,307.36","6,534.15","7,610.04","6,987.45","6,721.71","7,223.17","6,517.97","6,710.90","5,188.75","6,661.97","7,223.50","8,596.58","8,466.76","8,530.38","9,885.38","8,659.31","8,005.86","9,625.97"
