Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Japan,BOP6 - SD - Travel,World,2014,19273.0,Travel,services,imports
Japan,BOP6 - SOX1 - Other commercial services,World,2014,113206.0,Other commercial services,services,imports
Japan,BOP6 - S - Memo item: Total services,World,2014,192423.0,Memo item: Total services,services,imports
"Korea, Republic of",BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,8692.0,Manufacturing services on physical inputs owned by others,services,imports
"Korea, Republic of",BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,178.0,Maintenance and repair services n.i.e.,services,imports
"Korea, Republic of",BOP6 - SC - Transport,World,2014,31944.0,Transport,services,imports
"Korea, Republic of",BOP6 - SD - Travel,World,2014,23192.0,Travel,services,imports
"Korea, Republic of",BOP6 - SOX1 - Other commercial services,World,2014,50144.0,Other commercial services,services,imports
"Korea, Republic of",BOP6 - S - Memo item: Total services,World,2014,115192.0,Memo item: Total services,services,imports
Mexico,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,165.0,Maintenance and repair services n.i.e.,services,imports
Mexico,BOP6 - SC - Transport,World,2014,14677.0,Transport,services,imports
Mexico,BOP6 - SD - Travel,World,2014,9606.0,Travel,services,imports
Mexico,BOP6 - SOX1 - Other commercial services,World,2014,9795.0,Other commercial services,services,imports
Mexico,BOP6 - S - Memo item: Total services,World,2014,34475.0,Memo item: Total services,services,imports
Netherlands,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,3556.0,Manufacturing services on physical inputs owned by others,services,imports
Netherlands,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,1840.0,Maintenance and repair services n.i.e.,services,imports
Netherlands,BOP6 - SC - Transport,World,2014,23691.0,Transport,services,imports
Netherlands,BOP6 - SD - Travel,World,2014,23096.0,Travel,services,imports
Netherlands,BOP6 - SOX1 - Other commercial services,World,2014,140517.0,Other commercial services,services,imports
Netherlands,BOP6 - S - Memo item: Total services,World,2014,193020.0,Memo item: Total services,services,imports
Russian Federation,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,220.0,Manufacturing services on physical inputs owned by others,services,imports
Russian Federation,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,1625.0,Maintenance and repair services n.i.e.,services,imports
Russian Federation,BOP6 - SC - Transport,World,2014,15420.0,Transport,services,imports
Russian Federation,BOP6 - SD - Travel,World,2014,50428.0,Travel,services,imports
Russian Federation,BOP6 - SOX1 - Other commercial services,World,2014,51217.0,Other commercial services,services,imports
Russian Federation,BOP6 - S - Memo item: Total services,World,2014,121022.0,Memo item: Total services,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SC - Transport,World,2014,19927.0,Transport,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SD - Travel,World,2014,24118.0,Travel,services,imports
"Saudi Arabia, Kingdom of",BOP6 - SOX1 - Other commercial services,World,2014,18639.0,Other commercial services,services,imports
"Saudi Arabia, Kingdom of",BOP6 - S - Memo item: Total services,World,2014,100545.0,Memo item: Total services,services,imports
Spain,BOP6 - SC - Transport,World,2014,11062.0,Transport,services,imports
Spain,BOP6 - SD - Travel,World,2014,18030.0,Travel,services,imports
Spain,BOP6 - SOX1 - Other commercial services,World,2014,37415.0,Other commercial services,services,imports
Spain,BOP6 - S - Memo item: Total services,World,2014,66887.0,Memo item: Total services,services,imports
Switzerland,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,85.0,Manufacturing services on physical inputs owned by others,services,imports
Switzerland,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,2025.0,Maintenance and repair services n.i.e.,services,imports
Switzerland,BOP6 - SC - Transport,World,2014,14602.0,Transport,services,imports
Switzerland,BOP6 - SD - Travel,World,2014,17781.0,Travel,services,imports
Switzerland,BOP6 - SOX1 - Other commercial services,World,2014,78693.0,Other commercial services,services,imports
Switzerland,BOP6 - S - Memo item: Total services,World,2014,113388.0,Memo item: Total services,services,imports
United Kingdom,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2014,966.0,Manufacturing services on physical inputs owned by others,services,imports
United Kingdom,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,785.0,Maintenance and repair services n.i.e.,services,imports
United Kingdom,BOP6 - SC - Transport,World,2014,37063.0,Transport,services,imports
United Kingdom,BOP6 - SD - Travel,World,2014,66921.0,Travel,services,imports
United Kingdom,BOP6 - SOX1 - Other commercial services,World,2014,125757.0,Other commercial services,services,imports
United Kingdom,BOP6 - S - Memo item: Total services,World,2014,237362.0,Memo item: Total services,services,imports
United States of America,BOP6 - SB - Maintenance and repair services n.i.e.,World,2014,6732.0,Maintenance and repair services n.i.e.,services,imports
United States of America,BOP6 - SC - Transport,World,2014,99810.0,Transport,services,imports
United States of America,BOP6 - SD - Travel,World,2014,96248.0,Travel,services,imports
United States of America,BOP6 - SOX1 - Other commercial services,World,2014,264060.0,Other commercial services,services,imports
United States of America,BOP6 - S - Memo item: Total services,World,2014,491086.0,Memo item: Total services,services,imports
Australia,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,0.0,Manufacturing services on physical inputs owned by others,services,imports
Australia,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,359.0,Maintenance and repair services n.i.e.,services,imports
Australia,BOP6 - SC - Transport,World,2015,13361.0,Transport,services,imports
Australia,BOP6 - SD - Travel,World,2015,29222.0,Travel,services,imports
Australia,BOP6 - SOX1 - Other commercial services,World,2015,19876.0,Other commercial services,services,imports
Australia,BOP6 - S - Memo item: Total services,World,2015,63705.0,Memo item: Total services,services,imports
Brazil,BOP6 - SA - Manufacturing services on physical inputs owned by others,World,2015,5.0,Manufacturing services on physical inputs owned by others,services,imports
Brazil,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,191.0,Maintenance and repair services n.i.e.,services,imports
Brazil,BOP6 - SC - Transport,World,2015,10719.0,Transport,services,imports
Brazil,BOP6 - SD - Travel,World,2015,17357.0,Travel,services,imports
Brazil,BOP6 - SOX1 - Other commercial services,World,2015,40717.0,Other commercial services,services,imports
Brazil,BOP6 - S - Memo item: Total services,World,2015,70822.0,Memo item: Total services,services,imports
Canada,BOP6 - SB - Maintenance and repair services n.i.e.,World,2015,902.0,Maintenance and repair services n.i.e.,services,imports
Canada,BOP6 - SC - Transport,World,2015,20619.0,Transport,services,imports
