Country,Metric Year,Year,AFF value added,Deposit interest rate pct,Exports G & S Pct GDP,Exports G & S Pct constant LCU,Exports G & S annual growth %,External balance on G & S pct GDP,Final Consumption Pct GDP,Final Consumption pct Growth,Foreign Direct Investment pct GDP,GDP,GDP (constant LCU),GDP 2015 US dollar,GDP Growth Pct,GDP curr LCU,GDP per capita,GDP per capita Growth Pct,GDP per capita constant LCU,GNI Atlas curr $US,GNI const LCU,GNI current $US,GNI growth pct,GNI per capita Atlas,GNI per capita Growth Pct,GNI per capita const LCU,Govt Final Consumption expenditure Growth Pct,Govt Final Consumption expenditure Pct GDP,Gross capital formation,Gross capital formation constant LCU,Gross domestic savings,Gross fixed capital formation,Gross fixed capital formation growth pct,"Gross fixed capital formation, private sector",Gross national expenditure $US,Gross national expenditure Pct GDP,Gross national expenditure constant LCU,Gross savings Pct GDP,Gross savings Pct GNI,HH and NPSISHs Final consumption annual growth,HH and NPSISHs Final consumption exp,HH final consumer expenditure,High-tech exports $US,High-tech exports pct manufactured exp,Imports of G & S (constant LCU),Imports of G & S Pct GDP,Imports of G & S Pct annual growth,Imports of G & S current US dollar,Industry Pct GDP,Industry Pct Growth,Industry constant LCU,Industry curr $US,"Inflation, GDP deflator Pct","Inflation, consumer prices",Manufactures exports (pct merch exp),Manufactures imports (pct merch imp),Manufacturing Pct GDP,Manufacturing Pct Growth,Manufacturing constant LCU,Manufacturing curr $US,Merchandise exports curr USD,Merchandise imports curr USD,Merchandise trade pct GDP,Net trade in G & S US dollar,Net trade in Goods US dollar,Population,Population growth,Service exports curr $USD,Service imports curr $USD,Services Pct GDP,Services value added GDP,"Services, value added const LCU","Services, value added curr $US",Textiles and clothing %  manufacturing,Trade Pct GDP,Urban population growth Pct,Urban population pct tot Pop,GDP $B,GDP Pct Growth %,GDP Pct Growth,Imports G & S Pct GDP,Net Trade Pct GDP,Trade Pct GDP %,Trade Total,Prev Year,Year_curr,Trade Total Change,Trade Total Change %
Argentina,2000-01-01,2000,4.67991094417297,0.0,10.99,95312028700.0,2.70239130860458,-0.649694312619028,83.1162031113242,-0.464965084483026,3.66579059535379,284203750000.0,479956106900.0,395646066535.875,-0.78899893905691,284203750000.0,7708,-1.87493636731784,13017.2428851278,275544288842.814,467627652775.785,276655968900.0,-0.831529258354507,7470,-1.91700116096739,12682.8738054851,0.577056274949527,13.7841913064131,17.5334874363903,85260580400.0,16.8837968886758,16.192649393261,-6.8042601361996,0.0,286050194900.0,100.649690547714,467230919700.0,14.3684376958258,14.7604401633969,-0.659652676267768,-1.74700589457684,69.3320118049111,0.0,0.0,98646406200.0,11.6360695451767,-0.157568634686129,33068803786.7906,25.9908360111364,-2.19535196176197,131485736400.0,73866930600.0,1.03728710073175,0.0,32.3894881497921,86.7256459906493,16.4942719439838,-3.82321832895714,85762688100.0,46877339400.0,26341000000.0,25154000000.0,18.1190431160743,-1831883471.95655,2448100000.0,36870796,1.1,4899720314.83402,9179703786.79057,63.469313441501,0.343091492905032,241189155100.0,180382168900.0,8.00943651622385,22.6224447777343,1.31397801892401,89.142,$284B,-0.79%,-0.79,11.64,-0.6500000000000004,0.23,65366862500.0,1999,2000,,
Argentina,2001-01-01,2001,4.56858960891786,0.0,11.58,97924522600.0,2.74099076017254,1.30576071351812,83.0682586224061,-5.15724588356801,0.806164134759348,268696750000.0,458795611600.0,378202665751.853,-4.40883968258557,268696750000.0,7208,-5.44704817261687,12308.1873944284,260811643580.081,446052345782.688,260969968100.0,-4.61377911785782,7000,-5.64976177590911,11966.321649136,-2.06940281826581,14.1562743129569,15.6259653308051,75085968000.0,16.9317413775939,14.1791183183273,-15.6610502355732,0.0,265188172200.0,98.6942239532112,437357157700.0,14.2140728227831,14.6349221695948,-5.74134988166394,-6.76508607742512,68.9119843094492,0.0,0.0,84888604200.0,10.2732473690136,-13.9465820702143,27594942433.1669,25.2434339827333,-5.19148858795911,124659669400.0,67828286700.0,-1.09576771833679,0.0,32.5022403716095,85.9014752322376,16.0932258763829,-7.36198740953409,79448849800.0,43241974900.0,26543000000.0,20320000000.0,17.4408510709564,3521810643.66418,7370200000.0,37275644,1.09,4588753076.83113,8437142433.16695,65.0812573281962,-4.34830176989163,230701522800.0,174871223300.0,7.17752723103382,21.8522554515453,1.30159136693302,89.329,$269B,-4.41%,-4.41,10.27,1.3100000000000005,0.22,59113285000.0,2000,2001,-6253577500.0,-9.57
Argentina,2002-01-01,2002,10.2066467144411,0.0,28.38,100953284200.0,3.09295518587496,15.0124696397722,74.133671156184,-12.8305929153493,2.19895819502207,97724004251.8602,408812193300.0,336999433710.193,-10.8944848285903,312580000000.0,2593,-11.8547817184023,10849.078645327,152402040124.724,387153690744.718,92763789032.7018,-13.204426698983,4040,-14.1398291702002,10274.3042099915,-5.07813931802431,12.235247296692,10.8539052402585,46857782400.0,25.866328843816,11.9606480900889,-36.4475779912195,0.0,83053262771.2124,84.9875763964425,362647430500.0,21.3431768782392,22.4844277033786,-14.3541941130141,-15.2772054536758,61.898423859492,0.0,0.0,42393747600.0,13.370127359396,-50.0595539300904,13337220000.0,30.5577370913046,-11.3563772213886,110502847100.0,29862244294.3788,30.555204053903,0.0,30.4601239582791,83.0626213492873,20.347773913878,-10.9552207765253,70745052900.0,19884659444.7571,25650000000.0,8990000000.0,35.4467669076716,15717280000.0,17161200000.0,37681743,1.08,3420200000.0,4864120000.0,54.7764456459146,-9.71528992438883,208288201000.0,53529736072.0315,5.66888340930036,41.7527243585642,1.28597329232975,89.51,$98B,-10.89%,-10.89,13.37,15.01,0.42,41044081785.78128,2001,2002,-18069203214.21872,-30.57
Argentina,2003-01-01,2003,10.328166939117,0.0,25.93,107005805300.0,5.99536820219664,11.2171378217363,74.6358632064367,6.96915875248413,1.29481086883944,127586973492.177,444939093600.0,366780211148.674,8.83704079576924,375909500000.0,3349,7.67653404752819,11681.9118613786,139193101197.153,426648079396.729,122451951871.839,10.2012171383515,3650,9.02616446126319,11201.6798052358,1.46082229558715,11.4380567929249,14.1469621012504,65690641300.0,25.3641367935633,15.1375075649857,38.1661814013496,0.0,113275319790.924,88.7828253076871,403488171300.0,21.7345330075457,22.6459704750227,8.16896945192877,7.01558620959312,63.1978064135118,0.0,0.0,58319116400.0,14.7138051046861,37.5653715502142,18724510000.0,32.6450990996503,14.1613607347498,126151553900.0,41650893934.7656,10.4957030215496,0.0,26.6612827648928,85.5415110086989,22.4867505875749,15.9671880038979,82041048500.0,28690164511.4211,29566000000.0,13834000000.0,34.0160118326352,15611500000.0,16816200000.0,38087866,1.07,4385610000.0,5590310000.0,51.0316942508769,4.2458321006863,217131768300.0,65109794216.4749,0.0,40.6447480311085,1.2684396647978,89.686,$128B,8.84%,8.84,14.71,11.219999999999999,0.41,52310659131.792564,2002,2003,11266577346.011284,27.45
Argentina,2004-01-01,2004,8.36248661002826,0.0,23.85,115688425400.0,8.11415798951984,7.00259273903135,75.4461369173024,8.3491268867478,2.5050175164097,164657930452.787,485115195200.0,399898899166.738,9.02957330068152,485115194700.0,4277,7.88493750549884,12603.0233110958,129809211585.293,431210511952.206,146361588317.154,1.0693667159896,3370,0.0083003333805038,11202.6095820039,2.71800069885624,11.114636067696,17.5512703642799,85143879400.0,24.5538630826976,15.8937872782322,34.4252036961774,0.0,153127606204.603,92.9974072815823,451144553800.0,13.7828348747865,15.5057969262885,9.49961787467726,8.35004736473381,64.3315008496063,0.0,0.0,81717784000.0,16.8450266849578,40.1217800343765,27823640000.0,28.816922006834,10.8153351886694,139795267300.0,47449347396.6465,18.3633542492033,0.0,28.4790342216867,86.4824111210958,18.9370136214371,11.9760561080591,91866330500.0,31181294718.6206,34576000000.0,22445000000.0,34.629974908102,11933610000.0,13277700000.0,38491970,1.06,5168450000.0,6512540000.0,47.8369882937827,6.87726660954016,232064498900.0,78767394915.4843,9.05372621285731,40.692646108947,1.24920953487121,89.86,$165B,9.03%,9.03,16.85,7.0,0.41,67509751485.64266,2003,2004,15199092353.850098,29.06
Argentina,2005-01-01,2005,7.93875427420938,0.0,23.25,130596996600.0,12.8868304227088,5.94048249709131,75.1712533824236,7.75540355124549,2.64935441452167,198737095012.282,528055942500.0,435296589745.339,8.85165992013437,582538172900.0,5109,7.72948899640498,13577.1726111413,165719405446.532,468600500394.683,176153368006.277,8.67093621470445,4260,7.5506284034679,12048.4770030323,9.85543506813875,12.1418612359575,18.8882641376513,97742050100.0,24.8287466175764,17.3511468951153,15.8283723953056,0.0,186931152701.965,94.0595175200749,492127553800.0,13.7086097328953,15.4661208344062,7.39257837437741,6.28544937915146,63.0293921464661,0.0,0.0,94668607900.0,17.3053942367662,15.8482318854853,34796990000.0,28.6263140439084,6.53438408640605,148930027000.0,56891104939.9563,10.3175111982406,0.0,30.6370052584991,86.3533363056346,18.340415936715,7.42315923895534,98685714500.0,36449209845.7969,40351000000.0,28689000000.0,34.7393625713073,12095220000.0,13134050000.0,38892924,1.04,6458060000.0,7496890000.0,48.4861459282405,9.10051330561359,253183559500.0,96359957901.2009,9.2284912145763,40.5512709706238,1.22638308678468,90.031,$199B,8.85%,8.85,17.31,5.940000000000001,0.41,81482208955.03561,2004,2005,13972457469.392952,20.7
Argentina,2006-01-01,2006,6.93557229126392,0.0,23.03,137859761000.0,5.56120323520517,5.61990933570791,75.6996034278587,9.86980399502954,2.38106854489628,232557260817.308,570549404200.0,470325565798.353,8.04715150043027,715904271700.0,5919,6.95553357619964,14521.5374108078,215384912406.676,551782266399.66,224834650825.104,17.751104818479,5480,16.5614462774364,14043.8790491388,3.722523138301,12.4294153726307,18.6804872364334,104453514900.0,24.3003965721413,18.3311867225446,14.4728160245337,0.0,219487753605.769,94.3800906642921,537764094800.0,21.3902143492892,22.1249244238395,10.9562344324469,9.83522557076387,63.2701880412596,0.0,0.0,105074451500.0,17.4067852681036,10.9918629108731,41261872519.761,29.2032796652469,8.66492235309941,161834698200.0,67914347258.316,13.7410524859152,0.0,31.7706580715672,86.5965738964109,17.8777938558849,9.09978637282907,107665903700.0,41576107685.8108,46546000000.0,34152000000.0,34.7002711144739,13266642573.1593,14029600000.0,39289876,1.02,7911015092.92039,8673972519.7611,48.7491333682456,8.50542758089313,274717903800.0,113369649233.368,8.78323331996488,40.4334798719151,1.20299247011043,90.2,$233B,8.05%,8.05,17.41,5.620000000000001,0.4,93022904326.92322,2005,2006,11540695371.887604,14.16
Argentina,2007-01-01,2007,7.45235394606923,0.0,22.66,149115254900.0,8.16445191719141,4.38033000444218,75.5205568037984,9.12487825917493,2.25129423568361,287530508430.568,621942502600.0,512690850741.56,9.00765087504757,896980174100.0,7245,7.9242108884188,15672.2546594809,258375452843.136,605535887355.752,279935852673.42,9.74181742135904,6510,8.65108046624469,15258.8263262618,7.82977850975357,12.9893238963619,20.099113202908,125688977400.0,24.4794431962016,19.5160791570053,20.4531987245096,0.0,274935723329.914,95.6196700067063,598538620200.0,22.2111475246564,22.8137356455064,9.33884359580877,8.2521118453994,62.5312329074365,1202087336.0,6.96171320265247,125711372500.0,18.2824203070644,19.6402842987955,53551718519.8869,27.4152361334783,6.03334742709707,171598747800.0,78827167842.031,14.9399250245835,0.0,30.9559869808411,85.1625198699391,17.0474154518997,7.53396750618644,115777417900.0,49016520323.1183,55779000000.0,44706000000.0,34.9475958389525,12570579976.2887,13552062000.0,39684303,1.0,10045736496.1757,11027218519.887,49.5083307772744,9.08867196299568,299686112900.0,142351555199.385,8.63075719196468,40.945170618571,1.18275022667788,90.366,$288B,9.01%,9.01,18.28,4.379999999999999,0.41,117887508456.53287,2006,2007,24864604129.60965,26.73
Argentina,2008-01-01,2008,7.3189545972436,0.0,22.06,150218520600.0,0.73987446873889,3.71912738621024,76.7080967360791,6.93227733152048,2.68990096507093,361558037110.419,647176159700.0,533491913656.279,4.05723310346406,1149646090600.0,9020,3.02950065191851,16147.0457165602,307283970854.916,630742572819.463,352523846400.604,4.16270711448384,7670,3.13393293752733,15737.0277103807,5.01507838599295,13.6335132595631,19.5727758777106,134089331600.0,23.2919032639209,19.0101609779701,8.69543468108299,0.0,348111233135.201,96.2808726137898,639718223000.0,21.1014580679688,21.6422288509602,7.24464894043004,6.18543563364244,63.074583476516,2014770921.0,9.32791371884769,142760583900.0,18.341772996414,13.5621869851115,68242684098.4796,26.2724599395946,3.07204281358982,176870334800.0,94990190458.2193,23.1711649813124,0.0,30.8479405457576,82.8939783101173,16.5383660984547,3.62110044950312,119969834500.0,59795791835.7078,70018000000.0,57462000000.0,35.258516452524,13340936973.2968,15563272000.0,40080159,0.99,11424149071.7763,13646484098.4796,50.2551922042782,5.12903142266356,315057107800.0,181701686479.857,7.84294213831595,40.4026733790382,1.17389103087434,90.53,$362B,4.06%,4.06,18.34,3.719999999999999,0.4,144623214844.1676,2007,2008,26735706387.634735,22.68
Argentina,2009-01-01,2009,5.2736234689014,0.0,19.56,136177435600.0,-9.3471064312958,5.06484320667575,78.882044434113,-3.87974975988486,1.20643922647566,332976484577.619,608872876400.0,501917060966.235,-5.91852507634947,1247929268900.0,8225,-6.85422505520184,15040.2908633808,315501635047.992,589802327189.438,322657609584.289,-6.49080106437384,7790,-7.42080939531861,14569.2128795048,5.6342542143168,15.903896746884,16.0531123592112,103152852700.0,21.117955565887,15.581752639827,-22.5728525826975,0.0,316111747718.662,94.9351567933243,589164608400.0,18.2953229616244,18.88042352952,-5.39765197565451,-6.33853236807607,62.9781476872291,1607438720.0,9.02968010505124,116469167500.0,14.4961418494061,-18.4164393852693,49682786813.2391,25.2842047993735,-6.43334090641412,165491663200.0,84190456294.3594,15.3776493708921,0.0,31.976013007344,85.3521409447492,15.5837772738051,-7.25982438527079,111260235200.0,51890313730.722,55672000000.0,38786000000.0,28.36776900922,16652818510.3957,18644850000.0,40482786,1.0,10544621323.6348,12536652813.239,53.3060010032753,-2.05463956842684,308583819800.0,177496448209.616,8.10672738111633,34.0571269054879,1.1772245502055,90.691,$333B,-5.92%,-5.92,14.5,5.059999999999999,0.34,113212004756.39047,2008,2009,-31411210087.77713,-21.72
