Reporting Economy,Product/Sector,Partner Economy,Year,Value,Product/Sector-reformatted,Type,Direction
Australia,SI3_AGG - TO - Total merchandise,World,2014,237352,Total merchandise,merchandise,imports
Australia,SI3_AGG - AG - Agricultural products,World,2014,15631,Agricultural products,merchandise,imports
Australia,SI3_AGG - MI - Fuels and mining products,World,2014,39953,Fuels and mining products,merchandise,imports
Australia,SI3_AGG - MAIS - Iron and steel,World,2014,3986,Iron and steel,merchandise,imports
Australia,SI3_AGG - MACH - Chemicals,World,2014,22406,Chemicals,merchandise,imports
Australia,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,85032,Machinery and transport equipment,merchandise,imports
Australia,SI3_AGG - MATE - Textiles,World,2014,2720,Textiles,merchandise,imports
Australia,SI3_AGG - MACL - Clothing,World,2014,6524,Clothing,merchandise,imports
Brazil,SI3_AGG - TO - Total merchandise,World,2014,239156,Total merchandise,merchandise,imports
Brazil,SI3_AGG - AG - Agricultural products,World,2014,13528,Agricultural products,merchandise,imports
Brazil,SI3_AGG - MI - Fuels and mining products,World,2014,51496,Fuels and mining products,merchandise,imports
Brazil,SI3_AGG - MAIS - Iron and steel,World,2014,4648,Iron and steel,merchandise,imports
Brazil,SI3_AGG - MACH - Chemicals,World,2014,45080,Chemicals,merchandise,imports
Brazil,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,83400,Machinery and transport equipment,merchandise,imports
Brazil,SI3_AGG - MATE - Textiles,World,2014,4380,Textiles,merchandise,imports
Brazil,SI3_AGG - MACL - Clothing,World,2014,2940,Clothing,merchandise,imports
Canada,SI3_AGG - TO - Total merchandise,World,2014,475319,Total merchandise,merchandise,imports
Canada,SI3_AGG - AG - Agricultural products,World,2014,40146,Agricultural products,merchandise,imports
Canada,SI3_AGG - MI - Fuels and mining products,World,2014,60834,Fuels and mining products,merchandise,imports
Canada,SI3_AGG - MAIS - Iron and steel,World,2014,12964,Iron and steel,merchandise,imports
Canada,SI3_AGG - MACH - Chemicals,World,2014,48526,Chemicals,merchandise,imports
Canada,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,191194,Machinery and transport equipment,merchandise,imports
Canada,SI3_AGG - MATE - Textiles,World,2014,4581,Textiles,merchandise,imports
Canada,SI3_AGG - MACL - Clothing,World,2014,10086,Clothing,merchandise,imports
China,SI3_AGG - TO - Total merchandise,World,2014,1959233,Total merchandise,merchandise,imports
China,SI3_AGG - AG - Agricultural products,World,2014,170708,Agricultural products,merchandise,imports
China,SI3_AGG - MI - Fuels and mining products,World,2014,526628,Fuels and mining products,merchandise,imports
China,SI3_AGG - MAIS - Iron and steel,World,2014,22471,Iron and steel,merchandise,imports
China,SI3_AGG - MACH - Chemicals,World,2014,192442,Chemicals,merchandise,imports
China,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,724875,Machinery and transport equipment,merchandise,imports
China,SI3_AGG - MATE - Textiles,World,2014,20249,Textiles,merchandise,imports
China,SI3_AGG - MACL - Clothing,World,2014,6169,Clothing,merchandise,imports
France,SI3_AGG - TO - Total merchandise,World,2014,676617,Total merchandise,merchandise,imports
France,SI3_AGG - AG - Agricultural products,World,2014,70262,Agricultural products,merchandise,imports
France,SI3_AGG - MI - Fuels and mining products,World,2014,112866,Fuels and mining products,merchandise,imports
France,SI3_AGG - MAIS - Iron and steel,World,2014,14922,Iron and steel,merchandise,imports
France,SI3_AGG - MACH - Chemicals,World,2014,95391,Chemicals,merchandise,imports
France,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,225476,Machinery and transport equipment,merchandise,imports
France,SI3_AGG - MATE - Textiles,World,2014,7764,Textiles,merchandise,imports
France,SI3_AGG - MACL - Clothing,World,2014,25679,Clothing,merchandise,imports
Germany,SI3_AGG - TO - Total merchandise,World,2014,1207193,Total merchandise,merchandise,imports
Germany,SI3_AGG - AG - Agricultural products,World,2014,118307,Agricultural products,merchandise,imports
Germany,SI3_AGG - MI - Fuels and mining products,World,2014,201873,Fuels and mining products,merchandise,imports
Germany,SI3_AGG - MAIS - Iron and steel,World,2014,31930,Iron and steel,merchandise,imports
Germany,SI3_AGG - MACH - Chemicals,World,2014,161788,Chemicals,merchandise,imports
Germany,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,421522,Machinery and transport equipment,merchandise,imports
Germany,SI3_AGG - MATE - Textiles,World,2014,14499,Textiles,merchandise,imports
Germany,SI3_AGG - MACL - Clothing,World,2014,38107,Clothing,merchandise,imports
India,SI3_AGG - TO - Total merchandise,World,2014,462910,Total merchandise,merchandise,imports
India,SI3_AGG - AG - Agricultural products,World,2014,27316,Agricultural products,merchandise,imports
India,SI3_AGG - MI - Fuels and mining products,World,2014,204229,Fuels and mining products,merchandise,imports
India,SI3_AGG - MAIS - Iron and steel,World,2014,9761,Iron and steel,merchandise,imports
India,SI3_AGG - MACH - Chemicals,World,2014,48048,Chemicals,merchandise,imports
India,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,74800,Machinery and transport equipment,merchandise,imports
India,SI3_AGG - MATE - Textiles,World,2014,3760,Textiles,merchandise,imports
India,SI3_AGG - MACL - Clothing,World,2014,608,Clothing,merchandise,imports
Indonesia,SI3_AGG - TO - Total merchandise,World,2014,178179,Total merchandise,merchandise,imports
Indonesia,SI3_AGG - AG - Agricultural products,World,2014,22220,Agricultural products,merchandise,imports
Indonesia,SI3_AGG - MI - Fuels and mining products,World,2014,49760,Fuels and mining products,merchandise,imports
Indonesia,SI3_AGG - MAIS - Iron and steel,World,2014,9418,Iron and steel,merchandise,imports
Indonesia,SI3_AGG - MACH - Chemicals,World,2014,23755,Chemicals,merchandise,imports
Indonesia,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,51218,Machinery and transport equipment,merchandise,imports
Indonesia,SI3_AGG - MATE - Textiles,World,2014,5814,Textiles,merchandise,imports
Indonesia,SI3_AGG - MACL - Clothing,World,2014,540,Clothing,merchandise,imports
Iran,SI3_AGG - TO - Total merchandise,World,2014,55106,Total merchandise,merchandise,imports
Iran,SI3_AGG - AG - Agricultural products,World,2014,13879,Agricultural products,merchandise,imports
Iran,SI3_AGG - MI - Fuels and mining products,World,2014,1570,Fuels and mining products,merchandise,imports
Iran,SI3_AGG - MAIS - Iron and steel,World,2014,3832,Iron and steel,merchandise,imports
Iran,SI3_AGG - MACH - Chemicals,World,2014,7543,Chemicals,merchandise,imports
Iran,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,18030,Machinery and transport equipment,merchandise,imports
Iran,SI3_AGG - MATE - Textiles,World,2014,814,Textiles,merchandise,imports
Iran,SI3_AGG - MACL - Clothing,World,2014,18,Clothing,merchandise,imports
Italy,SI3_AGG - TO - Total merchandise,World,2014,474394,Total merchandise,merchandise,imports
Italy,SI3_AGG - AG - Agricultural products,World,2014,63078,Agricultural products,merchandise,imports
Italy,SI3_AGG - MI - Fuels and mining products,World,2014,99904,Fuels and mining products,merchandise,imports
Italy,SI3_AGG - MAIS - Iron and steel,World,2014,18899,Iron and steel,merchandise,imports
Italy,SI3_AGG - MACH - Chemicals,World,2014,73512,Chemicals,merchandise,imports
Italy,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,115786,Machinery and transport equipment,merchandise,imports
Italy,SI3_AGG - MATE - Textiles,World,2014,9017,Textiles,merchandise,imports
Italy,SI3_AGG - MACL - Clothing,World,2014,17193,Clothing,merchandise,imports
Japan,SI3_AGG - TO - Total merchandise,World,2014,812208,Total merchandise,merchandise,imports
Japan,SI3_AGG - AG - Agricultural products,World,2014,81924,Agricultural products,merchandise,imports
Japan,SI3_AGG - MI - Fuels and mining products,World,2014,314527,Fuels and mining products,merchandise,imports
Japan,SI3_AGG - MAIS - Iron and steel,World,2014,9321,Iron and steel,merchandise,imports
Japan,SI3_AGG - MACH - Chemicals,World,2014,64277,Chemicals,merchandise,imports
Japan,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,194706,Machinery and transport equipment,merchandise,imports
Japan,SI3_AGG - MATE - Textiles,World,2014,8890,Textiles,merchandise,imports
Japan,SI3_AGG - MACL - Clothing,World,2014,31167,Clothing,merchandise,imports
"Korea, Republic of",SI3_AGG - TO - Total merchandise,World,2014,525564,Total merchandise,merchandise,imports
"Korea, Republic of",SI3_AGG - AG - Agricultural products,World,2014,34994,Agricultural products,merchandise,imports
"Korea, Republic of",SI3_AGG - MI - Fuels and mining products,World,2014,213223,Fuels and mining products,merchandise,imports
"Korea, Republic of",SI3_AGG - MAIS - Iron and steel,World,2014,21213,Iron and steel,merchandise,imports
"Korea, Republic of",SI3_AGG - MACH - Chemicals,World,2014,47195,Chemicals,merchandise,imports
"Korea, Republic of",SI3_AGG - MAMT - Machinery and transport equipment,World,2014,141752,Machinery and transport equipment,merchandise,imports
"Korea, Republic of",SI3_AGG - MATE - Textiles,World,2014,5367,Textiles,merchandise,imports
"Korea, Republic of",SI3_AGG - MACL - Clothing,World,2014,8472,Clothing,merchandise,imports
Mexico,SI3_AGG - TO - Total merchandise,World,2014,411581,Total merchandise,merchandise,imports
Mexico,SI3_AGG - AG - Agricultural products,World,2014,29826,Agricultural products,merchandise,imports
Mexico,SI3_AGG - MI - Fuels and mining products,World,2014,38454,Fuels and mining products,merchandise,imports
Mexico,SI3_AGG - MAIS - Iron and steel,World,2014,10997,Iron and steel,merchandise,imports
Mexico,SI3_AGG - MACH - Chemicals,World,2014,44819,Chemicals,merchandise,imports
Mexico,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,186773,Machinery and transport equipment,merchandise,imports
Mexico,SI3_AGG - MATE - Textiles,World,2014,6377,Textiles,merchandise,imports
Mexico,SI3_AGG - MACL - Clothing,World,2014,3585,Clothing,merchandise,imports
Netherlands,SI3_AGG - TO - Total merchandise,World,2014,589570,Total merchandise,merchandise,imports
Netherlands,SI3_AGG - AG - Agricultural products,World,2014,75015,Agricultural products,merchandise,imports
Netherlands,SI3_AGG - MI - Fuels and mining products,World,2014,153700,Fuels and mining products,merchandise,imports
Netherlands,SI3_AGG - MAIS - Iron and steel,World,2014,11901,Iron and steel,merchandise,imports
Netherlands,SI3_AGG - MACH - Chemicals,World,2014,74151,Chemicals,merchandise,imports
Netherlands,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,172239,Machinery and transport equipment,merchandise,imports
Netherlands,SI3_AGG - MATE - Textiles,World,2014,4021,Textiles,merchandise,imports
Netherlands,SI3_AGG - MACL - Clothing,World,2014,15040,Clothing,merchandise,imports
Russian Federation,SI3_AGG - TO - Total merchandise,World,2014,307877,Total merchandise,merchandise,imports
Russian Federation,SI3_AGG - AG - Agricultural products,World,2014,41216,Agricultural products,merchandise,imports
Russian Federation,SI3_AGG - MI - Fuels and mining products,World,2014,10644,Fuels and mining products,merchandise,imports
Russian Federation,SI3_AGG - MAIS - Iron and steel,World,2014,7348,Iron and steel,merchandise,imports
Russian Federation,SI3_AGG - MACH - Chemicals,World,2014,37362,Chemicals,merchandise,imports
Russian Federation,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,127059,Machinery and transport equipment,merchandise,imports
Russian Federation,SI3_AGG - MATE - Textiles,World,2014,4098,Textiles,merchandise,imports
Russian Federation,SI3_AGG - MACL - Clothing,World,2014,8513,Clothing,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - TO - Total merchandise,World,2014,173834,Total merchandise,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - AG - Agricultural products,World,2014,25183,Agricultural products,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MI - Fuels and mining products,World,2014,10173,Fuels and mining products,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MAIS - Iron and steel,World,2014,10063,Iron and steel,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MACH - Chemicals,World,2014,16675,Chemicals,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MAMT - Machinery and transport equipment,World,2014,71870,Machinery and transport equipment,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MATE - Textiles,World,2014,1940,Textiles,merchandise,imports
"Saudi Arabia, Kingdom of",SI3_AGG - MACL - Clothing,World,2014,3454,Clothing,merchandise,imports
Spain,SI3_AGG - TO - Total merchandise,World,2014,358860,Total merchandise,merchandise,imports
Spain,SI3_AGG - AG - Agricultural products,World,2014,42908,Agricultural products,merchandise,imports
Spain,SI3_AGG - MI - Fuels and mining products,World,2014,85548,Fuels and mining products,merchandise,imports
Spain,SI3_AGG - MAIS - Iron and steel,World,2014,9118,Iron and steel,merchandise,imports
Spain,SI3_AGG - MACH - Chemicals,World,2014,51772,Chemicals,merchandise,imports
Spain,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,99371,Machinery and transport equipment,merchandise,imports
Spain,SI3_AGG - MATE - Textiles,World,2014,4693,Textiles,merchandise,imports
Spain,SI3_AGG - MACL - Clothing,World,2014,17203,Clothing,merchandise,imports
Switzerland,SI3_AGG - TO - Total merchandise,World,2014,275741,Total merchandise,merchandise,imports
Switzerland,SI3_AGG - AG - Agricultural products,World,2014,13956,Agricultural products,merchandise,imports
Switzerland,SI3_AGG - MI - Fuels and mining products,World,2014,19377,Fuels and mining products,merchandise,imports
Switzerland,SI3_AGG - MAIS - Iron and steel,World,2014,3409,Iron and steel,merchandise,imports
Switzerland,SI3_AGG - MACH - Chemicals,World,2014,48786,Chemicals,merchandise,imports
Switzerland,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,52478,Machinery and transport equipment,merchandise,imports
Switzerland,SI3_AGG - MATE - Textiles,World,2014,2253,Textiles,merchandise,imports
Switzerland,SI3_AGG - MACL - Clothing,World,2014,6131,Clothing,merchandise,imports
United Kingdom,SI3_AGG - TO - Total merchandise,World,2014,694126,Total merchandise,merchandise,imports
United Kingdom,SI3_AGG - AG - Agricultural products,World,2014,75109,Agricultural products,merchandise,imports
United Kingdom,SI3_AGG - MI - Fuels and mining products,World,2014,101473,Fuels and mining products,merchandise,imports
United Kingdom,SI3_AGG - MAIS - Iron and steel,World,2014,9796,Iron and steel,merchandise,imports
United Kingdom,SI3_AGG - MACH - Chemicals,World,2014,80877,Chemicals,merchandise,imports
United Kingdom,SI3_AGG - MAMT - Machinery and transport equipment,World,2014,240799,Machinery and transport equipment,merchandise,imports
United Kingdom,SI3_AGG - MATE - Textiles,World,2014,8277,Textiles,merchandise,imports
United Kingdom,SI3_AGG - MACL - Clothing,World,2014,29053,Clothing,merchandise,imports
United States of America,SI3_AGG - TO - Total merchandise,World,2014,2412547,Total merchandise,merchandise,imports
