NationRegionName,NationRegionType,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04
Portugal,Country,"5,026.83","4,943.39","5,567.12","5,355.81","5,628.58","5,813.21","5,776.64","4,756.84","5,256.23","5,777.37","5,046.48","4,995.95","4,479.80","4,410.66","4,878.07","4,500.35","4,715.39","4,927.19","5,072.78","4,154.20","4,731.09","4,833.86","4,619.65","4,246.92","3,951.61","4,362.81","4,682.26","4,636.00","4,734.37","4,974.69","4,657.25","4,225.10","4,880.54","4,732.67","4,945.37","4,479.08","4,647.44","4,514.13","5,264.10","4,427.32","5,119.86","5,316.48","5,109.52","4,899.86","5,377.08","5,365.74","5,686.09","4,907.56","5,405.72","5,342.85","5,885.66","5,776.18","5,849.55","5,734.72","5,967.10","5,173.26","5,258.73","5,707.35","5,498.16","4,928.89","5,556.09","5,447.29","5,743.47","5,237.59","5,852.83","5,388.12","5,857.25","4,580.77","5,100.34","5,813.56","5,494.88","5,266.14","5,337.59","5,193.27","5,089.31","3,458.80"
Slovak Rep.,Country,"6,545.14","6,671.18","7,208.74","7,104.01","7,074.61","6,949.93","6,767.05","5,879.77","6,869.61","7,445.41","6,896.43","5,984.98","5,459.18","5,658.91","6,124.44","5,966.60","5,653.31","6,375.36","6,113.16","5,112.08","6,314.98","6,703.64","6,740.80","5,555.53","5,318.96","5,902.44","6,215.75","6,490.68","6,451.62","6,556.85","5,568.45","5,862.01","6,726.32","6,905.38","7,136.28","5,984.20","5,676.53","6,010.59","7,186.77","6,352.62","6,829.47","6,892.80","6,372.12","6,516.58","7,376.49","8,092.29","8,226.53","6,376.95","7,048.73","7,088.34","8,287.78","7,680.52","8,123.01","7,601.00","8,186.90","7,139.45","7,970.60","9,038.89","8,737.96","7,210.76","7,988.18","7,444.53","8,319.15","7,881.59","8,061.04","7,858.82","7,352.23","6,689.53","7,963.54","8,518.55","8,106.93","6,930.41","7,066.29","7,047.44","6,954.66","4,134.00"
"Slovenia, Rep. of",Country,"2,576.99","2,616.72","2,938.83","2,908.66","2,702.99","2,786.98","2,943.93","2,336.99","2,952.70","2,979.06","2,610.96","2,545.10","2,157.17","2,291.30","2,499.01","2,290.06","2,339.42","2,557.03","2,538.99","1,958.65","2,582.80","2,668.17","2,463.45","2,304.52","2,112.22","2,393.48","2,638.67","2,574.04","2,636.39","2,678.03","2,515.40","2,255.22","2,696.18","2,555.37","2,502.55","2,428.55","2,291.69","2,424.54","2,881.78","2,543.52","2,846.19","2,968.10","3,003.46","2,619.36","3,097.28","3,217.25","3,135.21","2,862.68","3,025.57","3,050.31","3,453.67","3,261.72","3,244.80","3,232.97","3,354.67","2,742.50","3,170.83","3,497.38","3,323.61","2,862.18","3,050.63","3,031.12","3,389.16","3,291.17","3,362.70","3,093.85","3,398.17","2,590.95","3,134.52","3,546.45","3,147.44","2,827.52","3,007.93","3,214.00","3,092.81","2,244.74"
Spain,Country,"23,709.14","25,057.07","26,978.28","26,024.59","26,162.57","26,789.12","27,239.74","20,648.87","24,827.16","25,224.28","24,017.52","23,632.65","21,429.21","21,040.68","23,451.11","22,324.24","22,738.17","23,875.56","24,287.25","18,630.74","22,673.80","23,596.95","22,792.80","22,516.74","19,692.39","22,249.19","24,076.41","23,810.11","24,428.27","24,891.95","22,615.31","19,890.14","22,754.38","22,730.02","24,529.91","22,616.90","22,223.33","23,049.55","26,933.90","22,669.19","26,179.68","26,231.72","25,287.55","22,429.73","25,877.12","27,159.69","28,791.55","25,704.23","26,577.32","26,579.67","29,868.82","28,706.85","29,165.04","28,140.56","27,439.42","23,179.66","24,592.41","27,902.54","27,376.09","25,274.34","25,682.25","24,759.12","28,336.00","27,004.01","28,739.30","26,754.96","28,713.88","22,122.33","25,559.52","28,094.62","26,996.79","25,620.27","25,281.30","24,832.80","25,279.71","17,784.89"
Australia,Country,"23,697.21","18,724.62","22,355.19","22,664.61","21,503.91","21,676.19","22,656.43","20,489.47","21,324.85","20,047.73","18,310.17","20,057.11","18,957.79","16,511.41","18,015.49","17,413.79","15,189.37","16,831.37","18,304.46","15,853.19","16,564.36","15,699.83","15,331.92","16,535.26","14,379.44","13,418.60","15,405.31","16,300.55","16,681.95","16,086.58","16,922.25","17,929.08","17,835.06","18,149.29","18,769.56","20,735.70","20,333.77","19,211.91","22,662.04","21,157.23","21,345.64","20,291.99","20,421.64","20,428.70","21,275.15","20,617.68","21,629.26","20,982.43","23,448.21","20,259.13","22,958.18","21,851.92","22,826.57","22,396.95","24,402.14","24,555.69","22,164.75","22,262.83","23,909.65","20,813.16","24,621.54","20,320.94","22,727.80","23,539.53","24,281.98","22,511.87","27,152.61","26,959.57","24,817.66","23,768.26","21,707.45","24,359.84","25,355.15","16,984.74","22,621.14","22,033.31"
Canada,Country,"37,504.33","35,518.16","40,170.06","39,365.76","40,953.54","41,138.84","40,864.05","39,323.28","41,745.19","42,290.64","36,968.15","39,894.58","35,441.85","31,888.06","35,833.63","34,239.71","33,601.77","36,924.05","34,367.60","33,502.81","34,194.94","32,852.82","32,108.98","33,126.08","30,969.23","29,797.33","32,794.15","31,522.21","31,440.39","33,057.65","29,785.32","33,148.32","32,754.89","32,974.70","33,633.88","33,155.85","34,003.64","32,372.26","36,964.97","33,470.56","36,797.82","36,455.92","32,941.10","34,950.88","34,092.98","35,736.37","36,493.10","36,497.03","37,997.31","33,271.24","37,883.17","37,436.37","39,362.10","39,229.14","38,812.04","39,303.72","37,348.79","40,033.52","37,119.53","34,485.94","35,592.72","33,156.15","38,986.73","38,690.69","41,304.54","38,750.05","38,395.02","37,741.69","38,199.54","40,196.50","36,103.46","39,626.84","36,600.29","33,072.88","34,969.22","23,675.69"
"China, P.R.: Hong Kong",Country,"6,095.51","4,350.86","7,608.95","5,816.76","5,640.05","6,295.52","6,499.57","5,737.71","7,594.80","6,417.73","7,029.25","6,643.02","5,398.39","4,701.64","6,710.39","5,248.99","5,427.89","6,308.69","6,348.63","5,709.09","6,739.84","6,074.98","6,336.14","6,825.36","6,022.67","4,873.70","7,912.17","8,543.79","8,063.55","7,752.95","8,443.48","7,051.41","8,437.17","6,658.58","7,426.42","6,366.02","5,654.26","5,774.40","8,934.87","8,057.76","7,371.94","7,514.51","5,792.13","6,370.95","8,062.39","6,622.38","6,657.23","6,980.14","6,608.66","5,190.51","7,070.82","7,168.76","7,433.16","7,475.81","6,735.28","7,036.74","8,328.84","7,455.21","7,333.45","7,373.07","7,303.14","5,028.54","8,090.87","7,107.24","6,812.15","6,590.76","6,761.03","7,001.33","8,064.90","7,223.08","7,021.77","7,359.52","6,681.11","4,601.87","6,455.77","6,868.96"
"China, P.R.: Macao",Country,261.69,252.82,252.65,247.13,248.77,260.89,277.73,291.82,308.64,246.27,287.86,336.30,270.50,263.88,334.30,238.34,255.34,346.85,291.33,355.47,301.88,285.34,356.03,407.65,122.91,94.51,116.83,115.57,120.35,117.41,121.62,123.22,157.54,143.97,133.82,110.45,273.54,283.93,292.89,233.14,312.99,268.17,291.41,330.48,272.23,358.70,308.41,451.65,234.39,280.99,275.50,272.17,230.09,209.59,249.45,231.17,247.74,296.33,260.49,320.76,291.39,260.00,296.90,299.44,252.81,278.15,272.11,276.83,350.83,286.10,326.21,306.57,223.50,332.42,321.97,221.72
Czech Rep.,Country,"13,397.43","13,536.58","15,111.89","14,691.68","14,098.30","14,337.75","14,748.31","11,930.65","14,874.00","15,273.85","13,798.94","13,066.68","11,942.88","12,091.78","13,172.46","12,357.71","11,912.30","13,266.46","12,943.23","10,722.26","13,874.85","14,648.67","13,224.02","12,415.75","11,660.61","12,903.17","13,965.95","13,810.75","13,443.89","14,089.58","11,407.45","12,558.01","14,060.73","14,111.55","14,188.58","12,807.90","12,869.73","12,983.80","15,143.98","13,224.42","14,625.15","15,109.06","13,544.13","14,360.87","15,831.63","16,921.27","17,085.66","15,218.64","16,281.78","16,118.05","17,564.67","16,595.86","15,944.13","16,368.71","14,728.33","14,377.81","16,047.74","18,277.09","17,801.23","14,388.96","15,978.02","15,134.98","16,926.52","15,971.65","16,142.61","15,665.63","15,675.95","14,237.40","16,306.81","17,627.52","16,567.08","14,635.36","15,526.81","14,789.62","14,951.45","10,335.42"
Denmark,Country,"8,614.04","8,247.09","9,242.26","8,916.58","9,045.82","8,967.57","9,106.38","8,307.86","9,247.08","9,112.38","8,123.65","8,055.63","7,226.73","7,181.92","8,202.42","7,293.20","7,463.49","7,958.97","7,549.68","7,121.91","7,779.92","8,052.40","7,664.78","7,148.09","6,855.16","6,891.39","7,673.31","7,517.07","7,869.17","7,706.43","7,305.22","7,235.66","7,905.39","7,651.51","7,614.26","7,330.16","7,316.12","6,918.08","8,110.76","7,202.17","7,899.46","8,119.62","8,059.38","8,406.64","8,610.50","8,754.36","8,558.01","8,144.66","8,446.07","8,320.71","9,623.66","9,002.78","9,455.18","8,906.89","8,428.85","8,698.43","9,264.85","9,580.34","9,133.44","8,435.46","8,545.35","8,090.22","8,691.13","9,166.30","9,300.25","8,920.40","9,090.45","8,543.62","8,971.86","9,363.54","9,424.59","8,556.89","8,974.47","8,105.20","9,501.39","7,179.60"
Iceland,Country,469.83,483.62,497.28,481.87,477.19,474.56,534.58,484.94,526.67,555.32,540.21,435.99,427.38,448.85,470.07,467.71,460.23,431.75,425.19,394.98,387.87,411.04,412.02,388.50,345.93,369.49,411.73,331.23,489.70,397.49,357.01,345.87,377.11,442.17,476.21,334.96,437.59,324.38,393.74,427.88,461.09,425.15,432.45,424.43,485.50,549.78,493.15,450.18,494.71,461.83,521.56,491.48,501.57,472.01,469.38,437.03,500.40,598.44,690.50,430.61,463.14,451.46,475.62,515.72,450.07,375.54,449.16,331.00,442.60,511.82,449.47,416.00,394.35,418.68,462.46,343.87
Israel,Country,"6,188.65","6,091.32","5,999.34","5,889.82","6,758.87","5,732.67","5,950.39","4,873.74","5,935.20","5,558.04","5,809.73","5,557.01","6,021.93","5,463.53","6,307.63","5,497.73","5,715.09","5,460.11","5,453.58","4,753.51","4,775.97","5,102.60","5,385.50","5,254.56","5,266.05","4,947.39","5,263.28","5,097.65","5,362.50","5,270.78","5,202.13","4,756.68","5,203.43","4,248.09","5,135.82","5,088.86","5,779.64","4,438.07","6,012.79","5,020.72","6,207.64","5,241.04","5,063.84","5,566.80","5,189.50","5,286.47","5,533.61","5,342.21","5,891.34","5,212.54","6,208.64","5,443.02","6,255.10","5,588.63","5,489.42","5,799.69","4,617.42","5,451.23","5,523.58","4,900.41","5,512.75","5,072.29","6,693.03","4,929.32","5,440.90","4,885.59","5,387.74","4,946.62","4,985.19","4,782.40","5,076.30","5,017.50","5,509.43","5,333.80","4,714.22","3,973.19"
Japan,Country,"59,178.84","58,504.79","67,433.39","67,384.62","62,125.15","64,358.30","67,288.59","62,750.85","67,231.14","66,951.54","62,213.12","64,311.57","55,879.09","52,156.08","65,657.90","63,516.03","55,842.09","59,848.00","59,627.30","55,800.63","58,057.78","58,907.76","56,065.32","58,847.12","50,113.61","50,871.44","61,906.23","59,792.74","55,244.63","60,925.29","58,849.31","62,200.44","61,258.49","62,132.55","59,844.63","64,883.02","51,366.33","55,402.84","66,931.66","58,260.60","59,342.89","60,849.44","60,822.56","62,560.52","62,955.96","62,518.95","64,452.06","64,586.03","61,455.34","56,189.47","69,729.43","67,576.81","64,982.43","62,921.83","67,029.43","64,950.62","62,059.80","67,874.85","65,482.62","61,289.94","59,745.23","55,689.60","64,646.72","66,083.02","60,142.80","59,678.77","65,903.20","61,578.58","61,134.48","63,137.35","61,441.41","63,060.34","56,222.47","51,660.12","62,086.24","52,703.89"
"Korea, Rep. of",Country,"48,682.16","41,776.82","49,918.69","50,766.91","50,030.71","48,069.69","50,522.09","47,060.55","54,976.86","51,641.26","49,956.35","49,969.60","46,164.52","38,966.24","47,084.59","49,115.42","45,395.93","46,317.21","46,678.48","44,202.59","47,060.72","46,065.57","46,053.65","44,711.77","40,372.75","37,222.48","42,903.48","42,316.02","43,252.06","44,989.43","43,416.03","46,207.51","45,620.20","43,636.32","46,557.26","49,126.18","45,098.96","43,000.65","50,489.44","46,325.02","48,850.54","48,871.07","48,782.83","52,033.36","53,901.90","54,869.37","57,163.44","53,608.01","53,368.79","44,725.53","54,550.03","52,426.47","56,630.16","53,939.62","55,940.96","55,363.98","56,856.06","57,735.47","53,058.78","48,903.10","51,709.70","43,516.77","51,114.78","51,588.54","51,015.02","47,304.75","51,142.78","50,901.61","49,473.03","51,803.75","49,948.89","50,124.28","48,039.24","42,735.51","49,142.87","46,365.75"
New Zealand,Country,"3,814.48","3,448.58","4,216.27","4,122.26","4,138.24","3,848.33","3,937.06","3,393.03","3,345.83","3,181.65","3,186.84","3,287.52","3,134.87","2,709.42","3,641.65","3,327.24","3,420.69","3,321.71","3,219.00","2,881.16","2,711.62","2,622.09","2,608.35","2,780.25","2,853.32","2,580.01","3,156.67","2,949.13","3,145.84","3,408.21","3,165.43","2,941.84","2,688.78","2,697.73","3,001.84","2,811.92","3,039.10","2,779.22","3,311.34","3,161.93","3,490.65","3,482.92","3,587.92","3,507.36","2,996.72","2,984.21","3,263.54","3,110.91","3,899.49","2,975.94","3,637.94","3,255.62","4,036.02","3,602.46","3,725.76","3,605.66","2,965.52","3,170.96","3,177.23","3,194.32","3,786.27","2,914.69","3,451.18","3,893.47","4,176.46","3,601.01","3,802.16","3,397.00","2,945.49","3,207.26","3,244.57","3,337.42","3,981.22","2,678.64","3,425.73","3,406.08"
Norway,Country,"12,447.92","13,291.36","13,252.35","12,348.34","12,872.05","10,568.01","11,549.46","10,697.56","11,027.11","11,884.53","11,435.44","11,435.60","9,683.61","8,985.02","9,832.93","9,098.82","9,222.08","9,604.53","9,221.41","8,898.18","9,144.19","9,683.71","8,199.93","8,157.49","7,615.48","6,853.05","8,009.86","7,228.20","7,274.97","8,568.32","7,337.65","7,611.21","7,473.33","8,623.71","8,909.31","8,510.57","9,610.78","8,525.89","9,615.92","7,698.87","8,842.43","8,316.72","8,096.06","8,919.70","8,934.52","9,091.56","9,422.94","10,167.34","10,722.78","9,514.42","11,293.80","9,812.22","9,268.24","10,012.66","10,707.16","10,890.68","9,648.53","11,639.11","10,837.85","9,830.44","10,531.23","9,430.34","9,450.82","9,834.89","9,395.03","8,336.91","8,264.14","7,883.79","7,297.07","8,333.21","8,967.58","9,691.92","9,062.12","8,311.33","7,703.69","5,769.85"
"San Marino, Rep. of",Country,8.07,8.28,10.73,9.43,15.04,9.57,9.17,5.85,9.06,14.84,12.97,8.22,9.05,6.79,10.58,8.59,10.26,8.37,8.39,5.35,8.71,9.37,9.23,9.50,7.85,10.95,12.05,9.99,10.57,10.86,8.92,7.27,10.47,11.12,12.31,10.10,10.17,10.62,12.62,8.83,12.21,10.43,11.59,7.35,14.32,12.01,13.19,13.20,10.75,11.90,13.61,12.90,16.36,16.05,14.77,9.78,13.00,14.08,13.03,13.32,10.07,13.35,13.46,13.17,13.84,11.55,13.50,11.73,11.83,12.52,12.64,14.57,12.14,10.80,12.90,9.19
Singapore,Country,"22,143.06","18,792.45","22,157.80","22,692.65","21,506.68","21,563.32","22,590.86","21,225.01","22,333.36","22,892.13","19,501.69","20,076.94","20,400.26","16,693.16","20,114.97","20,047.58","18,684.60","19,768.55","19,969.39","18,027.23","18,575.91","18,867.73","17,523.57","18,296.75","16,125.38","14,713.46","17,667.02","16,661.29","17,843.12","18,232.49","17,285.43","17,625.21","18,962.03","18,123.91","17,980.10","18,925.89","17,543.02","17,230.51","19,750.90","18,505.79","18,940.75","18,542.82","19,652.13","21,181.03","20,106.43","21,632.86","21,053.24","20,851.43","23,101.93","19,413.26","22,480.12","23,095.02","24,686.87","23,581.95","24,385.94","23,951.01","23,312.39","22,332.30","21,508.65","18,980.82","21,065.69","18,336.66","21,084.57","21,513.21","21,265.13","20,559.59","22,209.26","20,660.18","20,773.01","22,265.23","21,307.18","21,464.57","21,778.50","18,564.34","20,351.85","18,652.72"
Sweden,Country,"13,937.58","13,848.45","15,396.07","14,852.89","14,671.19","15,282.78","13,930.57","12,661.31","14,741.61","15,049.71","13,439.25","12,979.73","11,859.91","11,392.37","12,868.55","12,125.66","11,990.52","13,249.43","11,687.66","11,028.77","12,287.90","12,946.01","12,144.00","11,854.60","10,667.41","11,456.09","12,280.72","12,224.68","12,004.70","12,345.93","10,837.11","10,960.92","12,332.05","11,994.04","12,396.62","12,276.43","11,651.11","11,625.72","13,476.01","11,626.54","13,285.95","13,343.95","12,231.96","12,544.45","13,882.71","14,501.69","14,817.39","13,837.73","13,926.97","13,395.76","15,784.33","14,842.26","14,602.34","14,564.44","13,195.41","12,692.10","13,472.51","15,378.01","14,707.25","13,093.11","13,952.50","13,314.88","14,507.66","14,074.73","14,301.85","13,470.24","13,170.83","12,169.57","12,904.10","13,980.00","13,330.48","12,748.09","13,155.35","12,596.92","13,230.82","10,652.94"
Switzerland,Country,"25,495.13","26,574.69","28,224.21","25,540.93","25,027.64","25,566.45","26,245.87","21,508.28","25,835.06","30,141.08","29,278.59","24,107.52","19,528.64","20,312.97","24,857.34","21,795.38","19,957.40","22,994.40","23,059.50","21,357.02","20,724.94","22,609.55","23,517.16","23,574.19","21,125.25","20,601.02","25,049.70","24,104.66","26,415.26","26,088.14","28,046.91","24,981.92","27,529.12","26,014.35","27,939.06","31,347.11","24,477.64","21,640.97","27,766.98","23,356.99","29,716.30","24,595.12","24,650.29","23,537.27","26,410.14","26,436.02","29,951.32","26,868.56","26,415.37","27,519.80","30,450.79","26,926.81","27,367.06","29,565.37","27,822.10","26,769.70","25,483.06","28,746.33","29,301.18","22,587.94","25,407.98","23,208.20","27,832.50","27,987.60","28,073.66","24,478.71","29,711.86","28,247.00","27,883.80","28,598.40","27,066.89","26,090.43","24,749.87","23,799.20","27,212.58","22,448.30"
Taiwan Province of China,Country,"33,484.33","27,307.87","33,888.35","36,082.06","35,281.30","34,669.63","35,662.00","34,127.97","36,678.46","35,921.54","33,894.68","35,424.09","32,578.04","26,900.42","33,508.57","32,692.42","32,103.08","34,123.25","33,532.27","32,052.37","32,852.37","33,748.95","33,230.50","33,642.89","29,341.76","25,065.68","30,860.32","30,270.54","31,278.10","31,050.52","30,510.52","33,575.46","32,933.68","32,936.22","33,951.76","34,723.71","31,133.38","29,305.89","34,143.69","31,086.14","33,700.97","35,580.01","35,449.90","36,582.68","37,867.95","37,255.61","38,989.31","37,516.28","38,914.62","30,617.59","39,856.57","37,955.85","40,416.26","38,773.18","41,576.94","41,264.10","40,650.19","42,892.86","39,630.90","35,790.05","39,700.40","29,813.91","37,424.82","37,761.00","39,573.26","37,113.19","40,280.68","40,599.79","40,652.22","42,116.10","41,646.60","40,819.62","38,006.79","32,850.24","39,680.26","39,185.05"
United Kingdom,Country,"42,080.74","41,227.75","42,801.79","40,574.62","40,954.99","39,763.58","38,893.71","34,676.03","40,161.57","41,599.52","40,329.10","38,398.62","33,074.11","32,597.92","39,029.34","35,752.45","35,722.99","36,797.11","35,657.20","34,562.06","36,963.22","35,219.69","35,081.65","39,396.34","30,400.77","32,536.87","33,710.56","32,465.04","32,526.82","33,063.28","30,436.89","30,564.24","32,288.56","32,920.82","34,881.95","38,758.54","33,691.03","31,492.25","37,181.81","31,046.24","35,539.01","35,072.27","37,609.90","32,869.78","35,870.87","37,824.88","38,574.75","38,826.58","37,877.88","36,580.44","42,280.80","37,151.66","43,843.20","38,963.46","41,382.00","40,281.92","39,881.07","42,657.67","38,819.34","36,213.69","35,329.73","35,080.54","41,497.78","37,311.38","38,297.91","35,317.10","36,949.40","34,091.06","35,855.47","39,262.54","36,394.25","37,351.87","34,206.88","31,986.45","34,328.54","28,579.93"
United States,Country,"124,046.16","121,106.49","133,271.74","133,180.44","132,194.61","133,137.52","133,798.01","127,949.47","130,550.80","133,906.10","126,417.85","130,792.81","118,618.52","110,628.78","130,406.33","125,901.42","122,312.70","127,194.98","123,280.35","115,567.43","118,564.26","122,445.06","116,815.99","117,694.23","102,482.55","106,873.02","121,626.85","117,169.48","116,548.98","120,475.01","109,527.86","119,125.27","116,397.64","116,416.45","121,080.60","121,897.96","114,546.38","114,993.67","136,662.65","116,980.91","130,138.38","129,508.26","117,300.72","128,201.44","122,045.71","125,723.52","132,513.36","130,169.67","130,820.58","120,306.05","142,585.08","135,899.65","142,540.34","139,498.90","135,644.04","140,917.56","133,026.95","144,226.64","136,630.29","130,544.16","129,564.85","122,642.07","137,715.05","133,950.18","142,396.93","128,398.45","137,226.69","133,742.36","129,235.83","137,165.09","132,621.15","132,317.11","128,952.76","124,244.63","130,807.99","101,163.47"
Holy See,Country,0.55,0.44,0.48,0.65,0.93,0.69,1.11,0.39,0.45,0.34,0.51,0.34,1.12,1.23,1.80,1.64,1.86,1.68,1.67,1.67,1.50,1.06,1.39,1.07,0.17,1.26,0.26,0.35,0.26,0.21,0.22,0.21,0.19,0.14,0.46,0.61,0.24,0.25,0.30,0.20,0.54,0.52,0.28,0.30,0.53,0.38,0.47,0.42,3.72,0.58,0.32,0.59,0.62,0.34,0.34,0.15,0.26,0.39,0.43,0.21,1.64,0.33,0.40,0.37,0.47,0.34,0.55,0.63,0.39,0.63,0.38,0.27,1.06,1.60,0.79,0.83
Emerging and Developing Economies,Economic,"675,857.97","597,152.19","665,350.02","667,483.18","669,560.31","660,218.17","698,453.49","657,567.97","705,185.23","692,966.24","635,189.89","644,192.70","576,771.78","521,520.00","586,253.97","562,293.10","556,813.23","593,602.00","599,398.18","562,210.54","582,283.12","586,356.41","549,684.02","550,773.12","500,336.40","485,692.56","529,110.46","517,557.58","537,221.94","562,950.88","537,848.15","578,027.62","575,724.98","572,214.97","586,339.30","587,346.79","573,878.72","529,747.49","615,582.75","564,929.06","623,205.96","602,993.73","605,131.22","640,850.50","642,859.00","656,662.37","681,942.76","659,634.23","695,436.23","616,421.61","671,272.21","660,020.38","698,109.67","675,563.86","709,801.80","713,699.47","695,038.54","761,054.50","713,732.19","660,805.53","693,782.49","593,732.17","662,391.30","670,371.62","694,419.11","640,363.75","709,168.44","674,790.39","676,369.48","708,158.95","672,976.89","675,110.98","665,585.98","566,002.90","591,815.07","505,940.68"
Emerging and Developing Asia,Economic,"315,339.74","261,383.77","295,609.51","301,205.68","305,565.25","306,761.90","324,021.35","311,580.87","345,291.60","341,398.67","315,627.29","322,829.81","308,970.33","271,284.06","302,629.52","286,683.91","287,636.39","305,366.97","313,652.91","305,053.10","319,221.27","320,983.64","301,964.94","299,524.29","284,556.53","263,701.34","282,125.11","272,818.04","286,700.66","302,611.46","291,842.15","318,160.96","318,292.40","316,516.26","317,956.87","319,250.18","311,404.55","267,836.92","314,610.04","294,794.58","327,895.12","323,274.67","328,465.25","348,392.84","350,562.76","351,790.91","365,449.56","352,342.58","368,716.62","313,512.75","335,716.15","330,020.76","355,413.73","345,119.15","368,424.17","374,147.07","368,114.06","398,704.92","372,360.61","343,615.82","372,188.96","297,850.82","335,912.53","339,916.85","358,528.03","332,937.50","376,575.86","362,447.87","364,846.39","381,624.17","355,395.85","353,274.80","350,646.01","274,784.43","300,032.68","296,766.91"
American Samoa,Country,3.34,4.36,4.92,4.55,6.59,6.38,7.09,4.45,6.68,5.69,4.59,3.92,2.70,2.01,2.37,3.66,0.80,2.03,5.91,2.22,1.68,2.98,1.59,2.76,2.39,2.41,2.37,3.95,2.97,2.94,4.39,2.70,7.10,3.29,1.70,3.50,4.45,3.32,3.87,3.58,2.93,2.50,3.09,2.29,7.49,1.61,2.31,3.92,13.05,0.93,9.28,2.13,25.40,1.53,0.92,4.42,1.66,1.58,3.19,2.44,1.79,0.80,1.70,3.29,5.44,1.18,0.89,3.50,1.98,2.59,2.37,2.09,1.62,0.85,0.90,2.20
Bangladesh,Country,"2,728.67","2,607.35","2,921.66","2,478.54","2,387.57","2,474.80","3,014.25","2,869.48","2,611.36","2,582.19","2,034.96","2,297.93","2,828.78","2,695.73","3,097.42","2,741.32","2,382.87","2,750.53","3,191.23","2,928.41","2,804.30","2,852.17","2,154.79","2,556.05","2,855.83","2,991.85","3,204.30","2,899.18","2,608.39","2,842.60","3,009.59","3,252.00","3,080.90","2,655.50","2,487.04","2,675.68","3,081.26","2,834.57","3,467.66","2,655.10","2,891.92","2,814.95","3,050.32","3,461.97","3,307.27","2,833.11","2,853.43","2,692.86","3,585.84","3,178.81","3,466.60","3,502.18","3,030.63","3,116.46","3,539.57","3,507.08","3,442.53","3,407.46","3,050.54","2,887.51","3,804.87","3,458.82","3,847.11","3,582.13","3,380.61","3,089.48","3,729.55","3,621.81","3,529.41","3,445.39","2,992.21","3,055.79","3,838.55","3,376.45","3,859.28","2,642.65"
Bhutan,Country,16.84,17.87,18.74,16.49,18.38,18.25,16.17,16.40,20.36,19.86,21.54,14.67,15.82,17.42,17.70,12.70,17.20,17.87,91.26,15.80,89.01,21.34,11.05,13.99,11.29,13.24,19.05,18.43,25.14,31.17,42.65,43.59,14.59,14.76,12.99,13.07,15.58,17.17,21.68,5.77,17.56,17.57,9.22,51.93,29.36,19.81,25.10,31.07,29.36,23.85,26.97,26.55,30.47,32.04,54.22,34.15,27.81,25.39,23.28,25.93,29.18,33.08,33.52,26.54,26.01,23.77,23.73,25.64,24.91,27.96,26.49,32.73,32.39,34.66,27.13,5.23
Brunei Darussalam,Country,"1,102.52",924.26,949.29,721.19,912.30,917.30,867.08,874.92,828.29,692.77,564.45,857.03,644.95,545.79,474.58,648.98,503.28,555.53,516.09,491.10,482.34,382.66,478.29,612.05,446.43,509.58,350.11,376.11,383.32,483.04,289.47,358.77,360.71,409.08,331.63,468.59,500.30,446.74,462.91,409.56,427.50,432.84,474.28,344.84,388.27,462.48,433.25,576.31,480.35,442.97,601.41,438.74,539.86,543.13,524.22,508.01,449.96,632.98,706.61,486.55,641.53,557.84,502.89,533.86,623.28,472.66,610.24,439.14,560.06,550.98,454.46,753.28,974.59,677.35,737.67,547.91
Cambodia,Country,998.17,890.04,"1,114.37",964.70,810.43,870.81,"1,085.95","1,130.19","1,170.11","1,102.82",895.45,936.81,"1,130.22","1,008.57","1,225.20","1,097.78",921.44,"1,049.89","1,288.82","1,341.52","1,315.20","1,232.02",970.01,"1,089.70","1,161.03","1,360.13","1,495.31","1,319.86","1,362.97","1,575.24","1,579.54","1,635.35","1,374.69","1,147.61","1,046.36","1,125.93","1,249.58","1,267.88","1,394.10","1,189.44","1,128.92","1,235.45","1,455.73","1,781.60","1,754.75","1,409.03","1,339.56","1,325.47","1,635.23","1,443.72","1,579.44","1,443.13","1,215.65","1,304.42","1,774.78","1,861.76","1,820.77","1,742.37","1,501.85","1,417.81","1,821.87","1,636.68","1,800.26","1,584.30","1,441.87","2,148.87","2,889.66","3,075.88","2,564.09","2,223.04","1,670.13","1,584.63","1,856.30","1,960.63","2,089.31","1,489.98"
