NationRegionName,NationRegionType,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04
France,Country,"48,607.22","49,487.20","56,808.65","53,161.25","49,952.18","53,103.37","53,431.81","42,722.56","51,853.97","52,422.38","48,597.58","48,853.57","43,004.98","43,038.32","47,963.77","43,809.20","42,233.63","47,667.22","45,343.85","36,785.01","45,137.32","47,250.18","44,210.45","45,610.34","38,168.16","42,572.81","48,072.41","45,541.98","44,117.80","46,531.70","42,698.09","39,226.15","45,081.53","45,254.24","43,705.63","45,122.95","42,010.83","42,707.74","48,974.03","42,121.95","47,147.24","49,240.52","46,843.90","43,173.08","50,161.51","52,635.59","53,109.98","50,972.91","48,568.03","49,154.10","54,539.14","52,830.20","49,714.90","52,598.84","52,627.54","43,362.47","47,517.58","54,634.11","51,919.52","50,693.88","50,434.99","48,307.77","54,983.33","51,004.09","53,778.79","50,233.87","52,299.91","42,408.41","48,984.49","54,637.86","50,298.07","50,091.62","45,064.47","45,398.10","44,188.97","30,690.24"
Germany,Country,"116,419.89","117,660.32","131,549.83","128,049.59","127,010.35","122,982.44","129,699.90","113,218.69","128,185.79","127,014.50","118,228.70","115,610.07","102,893.53","103,902.15","117,150.84","108,919.29","105,284.63","115,568.52","114,164.51","99,920.13","113,701.37","115,782.81","109,728.57","106,155.20","93,375.54","104,248.82","115,874.87","112,718.63","110,165.00","116,210.28","103,854.54","106,140.52","114,239.90","108,576.54","113,576.35","105,312.31","100,193.63","103,809.18","123,029.54","104,604.97","119,374.23","119,338.72","114,453.03","118,779.88","126,223.45","125,604.32","129,914.77","120,389.55","126,807.65","122,458.76","139,828.24","131,189.38","129,705.18","129,389.70","126,921.49","118,243.06","122,322.36","131,393.09","128,200.18","113,522.64","121,011.77","116,492.23","129,604.30","123,625.85","127,791.50","113,601.06","125,898.60","113,519.22","122,408.25","126,490.91","121,049.70","114,911.78","113,095.14","111,046.62","118,666.67","85,645.28"
Greece,Country,"2,486.19","2,600.22","2,790.36","2,806.01","2,864.14","2,657.95","3,234.17","2,594.54","2,814.30","2,832.90","2,593.86","2,676.69","2,168.75","2,074.62","2,392.02","2,097.46","2,270.74","2,299.68","2,274.84","1,925.71","2,058.35","2,284.32","2,140.01","2,151.83","1,886.77","1,921.11","2,207.30","2,129.83","2,046.93","2,197.21","2,115.04","2,079.91","2,247.79","2,279.91","2,317.35","2,255.65","2,198.93","2,162.04","2,422.28","2,304.55","2,530.87","2,392.22","2,568.10","2,326.52","2,416.60","2,620.50","2,790.06","2,969.95","2,948.40","2,731.95","3,103.29","2,766.43","3,354.91","3,227.97","3,017.40","2,643.51","3,000.45","3,123.60","3,009.92","2,878.42","2,810.22","2,431.36","2,950.19","3,107.36","3,045.52","2,773.97","3,118.49","2,364.78","2,711.50","2,909.06","2,747.14","2,918.15","2,789.01","2,579.79","2,622.92","2,148.65"
Ireland,Country,"11,056.83","10,945.22","12,270.22","12,427.27","12,289.96","13,378.64","11,855.52","11,943.66","12,772.16","12,541.75","11,679.01","13,612.13","11,679.88","11,561.04","12,470.98","13,426.83","12,198.35","14,022.22","12,675.26","12,672.81","12,494.45","14,617.18","15,886.85","14,174.86","11,677.88","13,381.23","13,121.92","13,266.27","12,883.16","13,969.24","13,028.45","13,886.75","13,637.01","14,615.96","15,787.04","13,597.77","13,017.87","13,602.43","14,653.86","13,757.16","14,885.46","14,826.67","13,458.85","14,030.58","14,583.55","14,782.09","15,246.52","16,558.34","17,069.50","15,669.18","16,850.52","16,305.92","16,265.50","16,741.07","16,874.69","16,814.13","16,332.25","17,300.64","17,894.15","16,724.33","18,543.25","15,919.87","17,106.65","17,664.27","18,136.17","17,531.72","18,171.84","15,751.01","16,631.90","20,017.90","17,432.55","16,751.54","18,934.44","15,974.16","20,674.14","16,056.64"
Italy,Country,"40,264.32","41,709.35","47,112.33","44,883.80","45,129.51","45,655.27","49,552.86","37,660.46","42,876.75","45,461.09","41,383.68","42,352.42","34,747.35","35,916.49","40,260.63","38,065.76","39,070.99","41,451.32","42,865.64","32,651.16","38,180.38","40,443.08","38,860.54","38,516.13","32,603.30","36,671.15","40,669.65","38,542.37","41,221.04","41,602.45","39,816.08","35,793.87","38,456.45","39,194.93","40,363.31","38,828.49","34,970.06","37,106.22","43,615.78","38,485.53","44,396.73","44,098.25","45,329.28","39,942.92","43,034.09","46,339.87","47,175.56","45,364.41","44,055.96","44,955.84","49,371.45","46,828.38","49,359.05","47,514.69","49,515.02","41,394.66","43,334.24","49,214.61","46,098.08","43,761.33","42,404.21","41,938.27","47,204.58","44,746.65","48,325.56","45,831.60","51,225.43","39,006.79","44,018.33","47,866.23","45,253.54","44,518.56","40,644.22","41,643.72","41,614.46","28,879.26"
Latvia,Country,"1,084.73","1,020.09","1,223.63","1,211.72","1,166.07","1,083.25","1,372.25","1,091.30","1,208.32","1,228.26","1,074.82",975.57,844.31,866.12,"1,048.34",938.45,956.14,991.51,925.71,925.42,"1,017.77","1,092.13",968.59,867.21,833.89,943.09,"1,017.13",993.18,955.10,982.48,940.22,921.26,"1,096.21","1,047.13","1,056.30",970.15,933.80,869.14,"1,012.41",930.88,"1,068.74","1,042.61",994.79,"1,119.48","1,177.70","1,232.53","1,254.82","1,175.38","1,256.23","1,254.99","1,233.33","1,325.52","1,338.64","1,488.50","1,207.26","1,362.21","1,352.55","1,400.29","1,426.58","1,160.54","1,145.39","1,242.96","1,304.97","1,299.39","1,264.95","1,159.08","1,230.07","1,233.25","1,244.21","1,264.60","1,281.15","1,111.03","1,222.89","1,254.31","1,215.17","1,044.02"
Lithuania,Country,"1,901.01","1,931.14","2,206.50","2,093.79","2,014.04","2,188.37","2,057.73","2,133.91","2,225.95","2,149.23","1,918.83","2,049.89","1,496.56","1,527.42","1,921.28","1,613.91","1,765.35","2,002.88","1,746.01","1,781.68","1,903.88","1,899.83","1,698.78","1,956.97","1,432.34","1,656.94","1,830.71","1,757.74","1,819.85","1,964.80","1,732.81","1,754.11","1,981.83","1,878.33","1,880.17","2,091.39","1,674.95","1,775.34","2,240.11","1,764.08","2,103.45","2,304.17","2,009.41","2,123.73","2,438.22","2,362.71","2,441.60","2,660.05","2,430.57","2,173.21","2,883.40","2,371.73","2,464.74","2,866.13","2,295.62","2,388.44","2,804.24","2,465.52","2,541.84","2,641.85","2,323.70","2,189.85","2,771.17","2,266.37","2,401.12","2,752.53","2,521.40","2,187.90","2,849.07","2,494.40","2,536.90","2,767.97","2,296.31","2,147.98","2,762.10","1,913.31"
Luxembourg,Country,"1,781.25","1,726.82","1,904.47","1,875.16","1,911.44","1,795.95","2,143.34","1,598.55","1,870.18","1,857.35","1,791.16","1,738.29","1,681.22","1,488.06","1,700.16","1,569.07","1,626.58","1,802.06","1,713.51","1,571.03","1,639.34","1,810.38","1,694.87","1,562.86","1,480.83","1,632.43","1,701.75","1,641.99","1,621.88","1,723.02","1,594.93","1,494.60","1,593.38","1,515.12","1,540.56","1,386.60","1,663.90","1,422.28","1,596.76","1,480.76","1,607.25","1,605.97","1,588.79","1,497.80","1,704.67","1,841.84","1,773.02","1,493.08","1,680.93","1,760.00","1,946.60","1,859.17","1,811.66","1,753.95","1,833.06","1,596.74","1,708.74","1,757.80","1,673.67","1,515.63","1,895.96","1,751.86","1,992.17","1,751.80","1,583.68","1,599.75","1,575.43","1,382.02","1,526.48","1,599.91","1,579.56","1,381.10","1,391.07","1,447.74","1,477.27","1,170.38"
Malta,Country,437.11,455.27,459.37,508.48,491.03,544.03,509.52,584.06,706.96,636.27,529.65,532.31,493.23,413.93,476.63,451.24,473.88,636.19,467.53,358.16,474.54,455.35,455.48,521.91,423.33,344.44,"1,066.82",425.40,470.70,510.94,630.80,500.73,452.72,403.59,392.74,482.34,344.42,409.48,488.80,407.32,492.16,484.32,421.49,396.81,395.01,412.60,393.71,344.86,536.16,327.17,482.00,408.49,442.08,461.03,486.93,434.48,414.21,465.83,412.84,362.65,507.17,340.97,404.29,480.46,406.76,423.51,438.89,329.18,451.35,421.22,418.32,391.01,396.24,482.70,383.98,300.69
"Netherlands, The",Country,"52,143.10","49,716.18","54,066.08","53,108.00","51,827.23","51,857.31","51,484.57","45,622.76","51,681.64","52,411.12","48,749.13","47,711.56","41,598.27","41,991.38","44,778.30","41,336.98","42,152.98","45,359.03","42,892.68","38,378.69","43,645.83","44,254.41","43,329.39","41,516.64","37,608.57","39,605.34","43,372.87","40,933.06","41,280.19","44,099.32","40,084.03","43,534.11","44,235.05","43,650.16","45,015.87","44,094.22","42,683.90","42,766.92","48,133.48","42,446.13","46,779.99","46,080.73","45,251.46","47,134.87","50,587.00","52,050.34","54,611.44","52,416.92","54,306.65","51,223.59","57,424.79","51,678.52","53,882.68","52,693.65","51,723.39","51,162.25","52,558.89","57,205.42","55,858.14","50,217.52","50,073.38","49,775.18","55,181.77","50,999.74","52,142.99","49,616.42","50,415.02","47,754.90","50,746.16","54,816.67","53,190.87","49,545.21","49,912.21","47,453.17","49,903.54","39,563.78"
