Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1125419,100,599904,100,525515,100,74389,001D1542 Index,542D1001 Index
Non Fuel Exporting Countries,938893,83.43,553875,92.33,385018,73.26,168857,092D1542 Index,542D1092 Index
Emerging and Developing Economies,672431,59.75,369284,61.56,303147,57.69,66137,200I1542 Index,542D1200 Index
Advanced Economies,452838,40.24,230548,38.43,222290,42.3,8258,110D1542 Index,542D1110 Index
Developing Asia,402584,35.77,264090,44.02,138494,26.35,125596,505D1542 Index,542D1505 Index
China,280368.2,24.91,190286,31.72,90082.2,17.14,100203.8,924D1542 Index,542D1924 Index
Fuel Exporting Countries,186525.3,16.57,46029.3,7.67,140496,26.73,-94466.7,080D1542 Index,542D1080 Index
United States,115058.7,10.22,69518.4,11.59,45540.3,8.67,23978.1,111D1542 Index,542D1111 Index
European Union,113963.5,10.13,51566.9,8.6,62396.6,11.87,-10829.7,998D1542 Index,542D1998 Index
Japan,87144.9,7.74,33376.6,5.56,53768.3,10.23,-20391.7,158D1542 Index,542D1158 Index
Euro-zone,84492.9,7.51,35031.3,5.84,49461.6,9.41,-14430.3,995D1542 Index,542D1995 Index
Developing Western Hemisphere,51988.4,4.62,33963.8,5.66,18024.6,3.43,15939.2,205D1542 Index,542D1205 Index
Developing Europe,46815,4.16,26754,4.46,20061,3.82,6693,170D1542 Index,542D1170 Index
Saudi Arabia,45241,4.02,8546.5,1.42,36694.5,6.98,-28148,456D1542 Index,542D1456 Index
Singapore,32903.8,2.92,21600.6,3.6,11303.2,2.15,10297.4,576D1542 Index,542D1576 Index
Australia,31668.5,2.81,11255.4,1.88,20413.1,3.88,-9157.7,193D1542 Index,542D1193 Index
CIS Countries,30645.2,2.72,13532,2.26,17113.2,3.26,-3581.2,901D1542 Index,542D1901 Index
Germany,30276.33,2.69,8977.53,1.5,21298.8,4.05,-12321.27,134D1542 Index,542D1134 Index
Vietnam,29726.73,2.64,21736.4,3.62,7990.33,1.52,13746.07,582D1542 Index,542D1582 Index
United Arab Emirates,26162.75,2.32,9968.45,1.66,16194.3,3.08,-6225.85,466D1542 Index,542D1466 Index
Qatar,25724.84,2.29,1.74,0,25723.1,4.89,-25721.36,453D1542 Index,542D1453 Index
Russia,24691.13,2.19,9021.93,1.5,15669.2,2.98,-6647.27,922D1542 Index,542D1922 Index
Hong Kong,24424.49,2.17,22674.6,3.78,1749.89,0.33,20924.71,532D1542 Index,542D1532 Index
Indonesia,24113.7,2.14,11847.4,1.97,12266.3,2.33,-418.9,536D1542 Index,542D1536 Index
Malaysia,20802.41,1.85,9704.51,1.62,11097.9,2.11,-1393.39,548D1542 Index,542D1548 Index
India,18798.47,1.67,13523.8,2.25,5274.67,1,8249.13,534D1542 Index,542D1534 Index
Sub-Saharan Africa,18383.51,1.63,10330.4,1.72,8053.11,1.53,2277.29,603D1542 Index,542D1603 Index
Kuwait,18180,1.62,1288,0.21,16892,3.21,-15604,443D1542 Index,542D1443 Index
Mexico,17877.4,1.59,14608.9,2.44,3268.5,0.62,11340.4,273D1542 Index,542D1273 Index
Brazil,13944.88,1.24,9037.75,1.51,4907.13,0.93,4130.62,223D1542 Index,542D1223 Index
United Kingdom,13458.24,1.2,6011.55,1,7446.69,1.42,-1435.14,112D1542 Index,542D1112 Index
Thailand,12529.88,1.11,7185.1,1.2,5344.78,1.02,1840.32,578D1542 Index,542D1578 Index
Canada,12396.56,1.1,6953.97,1.16,5442.59,1.04,1511.38,156D1542 Index,542D1156 Index
France,9724.23,0.86,2898.41,0.48,6825.82,1.3,-3927.41,132D1542 Index,542D1132 Index
Netherlands,9503.46,0.84,4897.97,0.82,4605.49,0.88,292.48,138D1542 Index,542D1138 Index
Italy,9370.53,0.83,3109.1,0.52,6261.43,1.19,-3152.33,136D1542 Index,542D1136 Index
Philippines,8878.29,0.79,5547.05,0.92,3331.24,0.63,2215.81,566D1542 Index,542D1566 Index
Iraq,8592.7,0.76,1905.47,0.32,6687.23,1.27,-4781.76,433D1542 Index,542D1433 Index
Turkey,8203.48,0.73,7548.32,1.26,655.16,0.12,6893.16,186D1542 Index,542D1186 Index
Iran,7733.75,0.69,3155.63,0.53,4578.12,0.87,-1422.49,429D1542 Index,542D1429 Index
Chile,7116.23,0.63,2306.1,0.38,4810.13,0.92,-2504.03,228D1542 Index,542D1228 Index
Oman,5670.24,0.5,1073.44,0.18,4596.8,0.87,-3523.36,449D1542 Index,542D1449 Index
Nigeria,5586.18,0.5,2490.55,0.42,3095.63,0.59,-605.08,694D1542 Index,542D1694 Index
Spain,4961.54,0.44,2074,0.35,2887.54,0.55,-813.54,184D1542 Index,542D1184 Index
Slovakia,4809.25,0.43,4585.37,0.76,223.88,0.04,4361.49,936D1542 Index,542D1936 Index
Belgium,4684.55,0.42,2854.02,0.48,1830.53,0.35,1023.49,124D1542 Index,542D1124 Index
Poland,4156.74,0.37,3383.85,0.56,772.89,0.15,2610.96,964D1542 Index,542D1964 Index
Algeria,3548.42,0.32,1600.33,0.27,1948.09,0.37,-347.76,612D1542 Index,542D1612 Index
Switzerland,3455.95,0.31,691.85,0.12,2764.1,0.53,-2072.26,146D1542 Index,542D1146 Index
New Zealand,3427.09,0.3,1900.61,0.32,1526.48,0.29,374.13,196D1542 Index,542D1196 Index
South Africa,3265.35,0.29,1641.45,0.27,1623.9,0.31,17.55,199D1542 Index,542D1199 Index
Liberia,3163.68,0.28,3154.82,0.53,8.86,0,3145.96,668D1542 Index,542D1668 Index
Denmark,3072.62,0.27,2078.31,0.35,994.31,0.19,1084,128D1542 Index,542D1128 Index
Peru,2898.35,0.26,1465.52,0.24,1432.83,0.27,32.69,293D1542 Index,542D1293 Index
Norway,2841.3,0.25,0,0,2841.3,0.54,-2841.3,142D1542 Index,542D1142 Index
Peoples Democratic Republic of Yemen,2705.09,0.24,313.24,0.05,2391.85,0.46,-2078.61,474D1542 Index,542D1474 Index
Sweden,2703.76,0.24,903.96,0.15,1799.8,0.34,-895.84,144D1542 Index,542D1144 Index
Czech Republic,2678.41,0.24,2120.23,0.35,558.18,0.11,1562.05,935D1542 Index,542D1935 Index
Egypt,2669.61,0.24,2137.9,0.36,531.71,0.1,1606.19,469D1542 Index,542D1469 Index
Greece,2406.55,0.21,1995.11,0.33,411.44,0.08,1583.68,174D1542 Index,542D1174 Index
Israel,2316.34,0.21,1356.6,0.23,959.74,0.18,396.86,436D1542 Index,542D1436 Index
Uzbekistan,2181.77,0.19,2154.41,0.36,27.36,0.01,2127.05,927D1542 Index,542D1927 Index
Austria,2128.75,0.19,784.42,0.13,1344.33,0.26,-559.91,122D1542 Index,542D1122 Index
Colombia,2108.09,0.19,1500.48,0.25,607.61,0.12,892.87,233D1542 Index,542D1233 Index
Libya,1808.52,0.16,1065.32,0.18,743.2,0.14,322.12,672D1542 Index,542D1672 Index
Hungary,1720.95,0.15,1205.64,0.2,515.31,0.1,690.33,944D1542 Index,542D1944 Index
Slovenia,1684.69,0.15,1558.86,0.26,125.83,0.02,1433.03,961D1542 Index,542D1961 Index
Kazakhstan,1637.26,0.15,1076.49,0.18,560.77,0.11,515.72,916D1542 Index,542D1916 Index
Brunei Darussalam,1605.07,0.14,312.89,0.05,1292.18,0.25,-979.29,516D1542 Index,542D1516 Index
Finland,1595.82,0.14,239.82,0.04,1356,0.26,-1116.18,172D1542 Index,542D1172 Index
