Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1008310,100,507513,100,500797,100,6716,001D1138 Index,138D1001 Index
Advanced Economies,748166,74.2,437939,86.29,310227,61.95,127712,110D1138 Index,138D1110 Index
European Union,570910,56.62,363095,71.54,207815,41.5,155280,998D1138 Index,138D1998 Index
Euro-zone,491917,48.79,315379,62.14,176538,35.25,138841,995D1138 Index,138D1995 Index
Emerging and Developing Economies,257448.2,25.53,69480.2,13.69,187968,37.53,-118487.8,200I1138 Index,138D1200 Index
Germany,216737.8,21.5,139867,27.56,76870.8,15.35,62996.2,134D1138 Index,138D1134 Index
Non Fuel Exporting Countries,212407.6,21.07,58689.6,11.56,153718,30.69,-95028.4,092D1138 Index,138D1092 Index
Developing Asia,122437.3,12.14,16616.3,3.27,105821,21.13,-89204.7,505D1138 Index,138D1505 Index
Belgium,105096,10.42,63100.4,12.43,41995.6,8.39,21104.8,124D1138 Index,138D1124 Index
China,88623.45,8.79,9741.85,1.92,78881.6,15.75,-69139.75,924D1138 Index,138D1924 Index
United Kingdom,73474.7,7.29,46846.3,9.23,26628.4,5.32,20217.9,112D1138 Index,138D1112 Index
Developing Europe,70793.9,7.02,30302.5,5.97,40491.4,8.09,-10188.9,170D1138 Index,138D1170 Index
France,62900.9,6.24,45275.6,8.92,17625.3,3.52,27650.3,132D1138 Index,138D1132 Index
United States,54468.6,5.4,16151.7,3.18,38316.9,7.65,-22165.2,111D1138 Index,138D1111 Index
Fuel Exporting Countries,45041,4.47,10790.6,2.13,34250.4,6.84,-23459.8,080D1138 Index,138D1080 Index
Italy,32473.1,3.22,22312,4.4,10161.1,2.03,12150.9,136D1138 Index,138D1136 Index
Developing Western Hemisphere,27163.77,2.69,6986.57,1.38,20177.2,4.03,-13190.63,205D1138 Index,138D1205 Index
CIS Countries,26464.9,2.62,4532.7,0.89,21932.2,4.38,-17399.5,901D1138 Index,138D1901 Index
Spain,24850.59,2.46,16111,3.17,8739.59,1.75,7371.41,184D1138 Index,138D1184 Index
Russia,23336.29,2.31,3010.69,0.59,20325.6,4.06,-17314.91,922D1138 Index,138D1922 Index
Poland,20845.17,2.07,11935.5,2.35,8909.67,1.78,3025.83,964D1138 Index,138D1964 Index
Sweden,19522.64,1.94,11850,2.33,7672.64,1.53,4177.36,144D1138 Index,138D1144 Index
Sub-Saharan Africa,15733.88,1.56,5878.39,1.16,9855.49,1.97,-3977.1,603D1138 Index,138D1603 Index
Norway,14690.39,1.46,2906.29,0.57,11784.1,2.35,-8877.81,142D1138 Index,138D1142 Index
Czech Republic,13294.8,1.32,7451.4,1.47,5843.4,1.17,1608,935D1138 Index,138D1935 Index
Japan,12644.45,1.25,2359.45,0.46,10285,2.05,-7925.55,158D1138 Index,138D1158 Index
Denmark,10671.5,1.06,6896.66,1.36,3774.84,0.75,3121.82,128D1138 Index,138D1128 Index
Ireland,10332.48,1.02,3701.03,0.73,6631.45,1.32,-2930.42,178D1138 Index,138D1178 Index
Finland,9335.12,0.93,5260.12,1.04,4075,0.81,1185.12,172D1138 Index,138D1172 Index
Austria,8896.63,0.88,6394.3,1.26,2502.33,0.5,3891.97,122D1138 Index,138D1122 Index
Brazil,8819.09,0.87,1869.51,0.37,6949.58,1.39,-5080.07,223D1138 Index,138D1223 Index
South Korea,8501.75,0.84,4237.19,0.83,4264.56,0.85,-27.37,542D1138 Index,138D1542 Index
Singapore,8162.1,0.81,3828.9,0.75,4333.2,0.87,-504.3,576D1138 Index,138D1576 Index
Switzerland,8118.16,0.81,5047.29,0.99,3070.87,0.61,1976.42,146D1138 Index,138D1146 Index
Israel,7445.67,0.74,2581.03,0.51,4864.64,0.97,-2283.61,436D1138 Index,138D1436 Index
Hungary,7321.71,0.73,4642.84,0.91,2678.87,0.53,1963.97,944D1138 Index,138D1944 Index
Malaysia,7241.69,0.72,1688.49,0.33,5553.2,1.11,-3864.71,548D1138 Index,138D1548 Index
Turkey,7167.18,0.71,3052.39,0.6,4114.79,0.82,-1062.4,186D1138 Index,138D1186 Index
India,5842.7,0.58,1788.41,0.35,4054.29,0.81,-2265.88,534D1138 Index,138D1534 Index
Portugal,5440.98,0.54,3465.37,0.68,1975.61,0.39,1489.76,182D1138 Index,138D1182 Index
Thailand,5379.76,0.53,993.17,0.2,4386.59,0.88,-3393.42,578D1138 Index,138D1578 Index
Canada,5043.61,0.5,2951.89,0.58,2091.72,0.42,860.17,156D1138 Index,138D1156 Index
Mexico,4977.13,0.49,2146.79,0.42,2830.34,0.57,-683.55,273D1138 Index,138D1273 Index
Vietnam,4831.29,0.48,676.89,0.13,4154.4,0.83,-3477.51,582D1138 Index,138D1582 Index
Saudi Arabia,4616.54,0.46,1491.71,0.29,3124.83,0.62,-1633.12,456D1138 Index,138D1456 Index
Romania,4371.38,0.43,3027.02,0.6,1344.36,0.27,1682.66,968D1138 Index,138D1968 Index
Indonesia,4168.03,0.41,723.62,0.14,3444.41,0.69,-2720.79,536D1138 Index,138D1536 Index
Slovakia,3803.55,0.38,1781.59,0.35,2021.96,0.4,-240.37,936D1138 Index,138D1936 Index
Hong Kong,3622.05,0.36,2670.28,0.53,951.77,0.19,1718.51,532D1138 Index,138D1532 Index
South Africa,3595.36,0.36,1357.48,0.27,2237.88,0.45,-880.4,199D1138 Index,138D1199 Index
Australia,3567.19,0.35,1801.56,0.35,1765.63,0.35,35.93,193D1138 Index,138D1193 Index
Greece,3307.28,0.33,2712.33,0.53,594.95,0.12,2117.38,174D1138 Index,138D1174 Index
Nigeria,3083.71,0.31,972.67,0.19,2111.04,0.42,-1138.37,694D1138 Index,138D1694 Index
Bangladesh,2663.41,0.26,154.67,0.03,2508.74,0.5,-2354.07,513D1138 Index,138D1513 Index
United Arab Emirates,2500.2,0.25,1286.79,0.25,1213.41,0.24,73.38,466D1138 Index,138D1466 Index
Iceland,2353.22,0.23,427.9,0.08,1925.32,0.38,-1497.42,176D1138 Index,138D1176 Index
