Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,117408.8,100,75600.1,100,41808.7,100,33791.4,001D1429 Index,429D1001 Index
Emerging and Developing Economies,82137.3,69.96,56143.4,74.26,25993.9,62.17,30149.5,200I1429 Index,429D1200 Index
Non Fuel Exporting Countries,67338.1,57.35,48911.3,64.7,18426.8,44.07,30484.5,092D1429 Index,429D1092 Index
Developing Asia,52423,44.65,38224.5,50.56,14198.5,33.96,24026,505D1429 Index,429D1505 Index
Advanced Economies,35212.2,29.99,19452.1,25.73,15760.1,37.7,3692,110D1429 Index,429D1110 Index
China,32223,27.45,21974.4,29.07,10248.6,24.51,11725.8,924D1429 Index,429D1924 Index
European Union,19438.29,16.56,11216.3,14.84,8221.99,19.67,2994.31,998D1429 Index,429D1998 Index
Euro-zone,18195.64,15.5,10712.2,14.17,7483.44,17.9,3228.76,995D1429 Index,429D1995 Index
India,17423.1,14.84,14772.9,19.54,2650.2,6.34,12122.7,534D1429 Index,429D1534 Index
Fuel Exporting Countries,14799.23,12.6,7232.16,9.57,7567.07,18.1,-334.91,080D1429 Index,429D1080 Index
Developing Europe,12842.89,10.94,9375.22,12.4,3467.67,8.29,5907.55,170D1429 Index,429D1170 Index
United Arab Emirates,10742.02,9.15,5035.55,6.66,5706.47,13.65,-670.92,466D1429 Index,429D1466 Index
Turkey,9621.12,8.19,7040.7,9.31,2580.42,6.17,4460.28,186D1429 Index,429D1186 Index
South Korea,6113.44,5.21,4063.97,5.38,2049.47,4.9,2014.5,542D1429 Index,429D1542 Index
Italy,4624.77,3.94,3480.24,4.6,1144.53,2.74,2335.71,136D1429 Index,429D1136 Index
Japan,3898.47,3.32,3466.63,4.59,431.84,1.03,3034.79,158D1429 Index,429D1158 Index
CIS Countries,3492.91,2.97,1752.45,2.32,1740.46,4.16,11.99,901D1429 Index,429D1901 Index
Germany,2929.68,2.5,477.91,0.63,2451.77,5.86,-1973.86,134D1429 Index,429D1134 Index
France,2865.73,2.44,1819.31,2.41,1046.42,2.5,772.89,132D1429 Index,429D1132 Index
Spain,2832.68,2.41,2416.52,3.2,416.16,1,2000.37,184D1429 Index,429D1184 Index
Switzerland,2136.64,1.82,32.74,0.04,2103.9,5.03,-2071.16,146D1429 Index,429D1146 Index
Russia,1868.43,1.59,525.78,0.7,1342.65,3.21,-816.87,922D1429 Index,429D1922 Index
Greece,1515.13,1.29,1489.43,1.97,25.7,0.06,1463.73,174D1429 Index,429D1174 Index
Netherlands,1375.87,1.17,318.5,0.42,1057.37,2.53,-738.87,138D1429 Index,429D1138 Index
Afghanistan,1275.1,1.09,1264.17,1.67,10.93,0.03,1253.24,512D1429 Index,429D1512 Index
United Kingdom,1130.99,0.96,40.88,0.05,1090.11,2.61,-1049.23,112D1429 Index,429D1112 Index
Austria,1086.91,0.93,533.46,0.71,553.46,1.32,-20,122D1429 Index,429D1122 Index
Thailand,960.12,0.82,727.77,0.96,232.34,0.56,495.43,578D1429 Index,429D1578 Index
Developing Western Hemisphere,932.36,0.79,142.86,0.19,789.51,1.89,-646.65,205D1429 Index,429D1205 Index
Singapore,853.82,0.73,8.82,0.01,845,2.02,-836.18,576D1429 Index,429D1576 Index
Oman,853.29,0.73,585.53,0.77,267.76,0.64,317.77,449D1429 Index,429D1449 Index
Pakistan,700.08,0.6,369.85,0.49,330.24,0.79,39.61,564D1429 Index,429D1564 Index
Malaysia,560.35,0.48,252.52,0.33,307.83,0.74,-55.31,548D1429 Index,429D1548 Index
Indonesia,550,0.47,419.06,0.55,130.94,0.31,288.13,536D1429 Index,429D1536 Index
Belgium,531.95,0.45,137.81,0.18,394.14,0.94,-256.34,124D1429 Index,429D1124 Index
Brazil,531.63,0.45,42.32,0.06,489.31,1.17,-446.99,223D1429 Index,429D1223 Index
