Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,644142,100,276112,100,368030,100,-91918,001D1534 Index,534D1001 Index
Emerging and Developing Economies,372041,57.76,144585,52.36,227456,61.8,-82871,200I1534 Index,534D1200 Index
Advanced Economies,271979,42.22,131492,47.62,140487,38.17,-8995,110D1534 Index,534D1110 Index
Non Fuel Exporting Countries,236309,36.69,105332,38.15,130977,35.59,-25645,092D1534 Index,534D1092 Index
Developing Asia,153405.8,23.82,60283.8,21.83,93122,25.3,-32838.2,505D1534 Index,534D1505 Index
Fuel Exporting Countries,135731.9,21.07,39253.1,14.22,96478.8,26.21,-57225.7,080D1534 Index,534D1080 Index
China,79573.6,12.35,20873,7.56,58700.6,15.95,-37827.6,924D1534 Index,534D1924 Index
United States,77782.2,12.08,51189.7,18.54,26592.5,7.23,24597.2,111D1534 Index,534D1111 Index
European Union,71089.2,11.04,37675.5,13.65,33413.7,9.08,4261.8,998D1534 Index,534D1998 Index
Euro-zone,63465.5,9.85,33147.6,12.01,30317.9,8.24,2829.7,995D1534 Index,534D1995 Index
Sub-Saharan Africa,41371,6.42,18066.8,6.54,23304.2,6.33,-5237.4,603D1534 Index,534D1603 Index
United Arab Emirates,40424.8,6.28,16469.3,5.96,23955.5,6.51,-7486.2,466D1534 Index,534D1466 Index
Developing Western Hemisphere,31878,4.95,15175,5.5,16703,4.54,-1528,205D1534 Index,534D1205 Index
Saudi Arabia,24123.32,3.75,6367.02,2.31,17756.3,4.82,-11389.28,456D1534 Index,534D1456 Index
Hong Kong,22012.37,3.42,7449.47,2.7,14562.9,3.96,-7113.43,532D1534 Index,534D1532 Index
Iraq,17773.87,2.76,1544.37,0.56,16229.5,4.41,-14685.13,433D1534 Index,534D1433 Index
Germany,17709.23,2.75,8033.38,2.91,9675.85,2.63,-1642.47,134D1534 Index,534D1134 Index
