Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1149593,100,475933,100,673660,100,-197727,001D1112 Index,112D1001 Index
Advanced Economies,849142,73.86,369512,77.64,479630,71.2,-110118,110D1112 Index,112D1110 Index
European Union,585930,50.97,232260,48.8,353670,52.5,-121410,998D1112 Index,112D1998 Index
Euro-zone,508785,44.26,203655,42.79,305130,45.29,-101475,995D1112 Index,112D1995 Index
Emerging and Developing Economies,289908,25.22,106403,22.36,183505,27.24,-77102,200I1112 Index,112D1200 Index
Non Fuel Exporting Countries,240803.5,20.95,83247.5,17.49,157556,23.39,-74308.5,092D1112 Index,112D1092 Index
Germany,139817.5,12.16,48190.7,10.13,91626.8,13.6,-43436.1,134D1112 Index,112D1134 Index
Developing Asia,136910.5,11.91,39773.7,8.36,97136.8,14.42,-57363.1,505D1112 Index,112D1505 Index
United States,126216.2,10.98,60812,12.78,65404.2,9.71,-4592.2,111D1112 Index,112D1111 Index
Netherlands,90973.5,7.91,35186.7,7.39,55786.8,8.28,-20600.1,138D1112 Index,112D1138 Index
China,86631.3,7.54,23859.9,5.01,62771.4,9.32,-38911.5,924D1112 Index,112D1924 Index
Developing Europe,73607.4,6.4,27885.2,5.86,45722.2,6.79,-17837,170D1112 Index,112D1170 Index
France,64044.6,5.57,27292.8,5.73,36751.8,5.46,-9459,132D1112 Index,112D1132 Index
Belgium,55982.3,4.87,21163.2,4.45,34819.1,5.17,-13655.9,124D1112 Index,112D1124 Index
Fuel Exporting Countries,49104.4,4.27,23155.5,4.87,25948.9,3.85,-2793.4,080D1112 Index,112D1080 Index
Ireland,46209.1,4.02,27873.3,5.86,18335.8,2.72,9537.5,178D1112 Index,112D1178 Index
Italy,39188,3.41,13314,2.8,25874,3.84,-12560,136D1112 Index,112D1136 Index
Spain,36918,3.21,15881.6,3.34,21036.4,3.12,-5154.8,184D1112 Index,112D1184 Index
Switzerland,34879.05,3.03,26181.5,5.5,8697.55,1.29,17483.95,146D1112 Index,112D1146 Index
Norway,32330.67,2.81,6469.17,1.36,25861.5,3.84,-19392.33,142D1112 Index,112D1142 Index
Sub-Saharan Africa,23368.13,2.03,9476.43,1.99,13891.7,2.06,-4415.27,603D1112 Index,112D1603 Index
Poland,21449.21,1.87,7013.71,1.47,14435.5,2.14,-7421.79,964D1112 Index,112D1964 Index
Canada,21019.61,1.83,7396.21,1.55,13623.4,2.02,-6227.19,156D1112 Index,112D1156 Index
Japan,20636.54,1.8,8226.94,1.73,12409.6,1.84,-4182.66,158D1112 Index,112D1158 Index
Developing Western Hemisphere,19469.17,1.69,8466.07,1.78,11003.1,1.63,-2537.03,205D1112 Index,112D1205 Index
Turkey,18618.57,1.62,7637.47,1.6,10981.1,1.63,-3343.63,186D1112 Index,112D1186 Index
Sweden,18029,1.57,8518.22,1.79,9510.78,1.41,-992.56,144D1112 Index,112D1144 Index
CIS Countries,17973.36,1.56,6283.56,1.32,11689.8,1.74,-5406.24,901D1112 Index,112D1901 Index
India,16521.61,1.44,7047.64,1.48,9473.97,1.41,-2426.33,534D1112 Index,112D1534 Index
Russia,13501.14,1.17,4039.96,0.85,9461.18,1.4,-5421.22,922D1112 Index,112D1922 Index
Hong Kong,12897.79,1.12,10005.2,2.1,2892.59,0.43,7112.61,532D1112 Index,112D1532 Index
Denmark,12590.44,1.1,3724.73,0.78,8865.71,1.32,-5140.98,128D1112 Index,112D1128 Index
South Korea,12137.91,1.06,6800.23,1.43,5337.68,0.79,1462.55,542D1112 Index,112D1542 Index
Czech Republic,12057.58,1.05,4179.73,0.88,7877.85,1.17,-3698.12,935D1112 Index,112D1935 Index
South Africa,11620.97,1.01,3499.2,0.74,8121.77,1.21,-4622.57,199D1112 Index,112D1199 Index
United Arab Emirates,10220.46,0.89,7688.52,1.62,2531.94,0.38,5156.58,466D1112 Index,112D1466 Index
Singapore,9720.72,0.85,7705.53,1.62,2015.19,0.3,5690.34,576D1112 Index,112D1576 Index
Australia,9574.1,0.83,5736.67,1.21,3837.43,0.57,1899.24,193D1112 Index,112D1193 Index
Austria,8669.25,0.75,3527.14,0.74,5142.11,0.76,-1614.97,122D1112 Index,112D1122 Index
Vietnam,7806.28,0.68,959.85,0.2,6846.43,1.02,-5886.58,582D1112 Index,112D1582 Index
Israel,7586.36,0.66,6151.1,1.29,1435.26,0.21,4715.84,436D1112 Index,112D1436 Index
Malaysia,7438.91,0.65,1729.42,0.36,5709.49,0.85,-3980.07,548D1112 Index,112D1548 Index
Thailand,6944.25,0.6,2980.9,0.63,3963.35,0.59,-982.45,578D1112 Index,112D1578 Index
Portugal,6402.55,0.56,2243.29,0.47,4159.26,0.62,-1915.97,182D1112 Index,112D1182 Index
Saudi Arabia,5982.32,0.52,2879.28,0.6,3103.04,0.46,-223.76,456D1112 Index,112D1456 Index
Hungary,5931.83,0.52,2177.41,0.46,3754.42,0.56,-1577.01,944D1112 Index,112D1944 Index
Mexico,5421.28,0.47,2565.9,0.54,2855.38,0.42,-289.48,273D1112 Index,112D1273 Index
Brazil,5398.77,0.47,2360.17,0.5,3038.6,0.45,-678.43,223D1112 Index,112D1223 Index
Finland,5337.5,0.46,2038.82,0.43,3298.68,0.49,-1259.86,172D1112 Index,112D1172 Index
Romania,5289.29,0.46,2060.63,0.43,3228.66,0.48,-1168.03,968D1112 Index,112D1968 Index
Nigeria,5010.03,0.44,1938.48,0.41,3071.55,0.46,-1133.07,694D1112 Index,112D1694 Index
Slovakia,4294.57,0.37,1138.6,0.24,3155.97,0.47,-2017.37,936D1112 Index,112D1936 Index
Bangladesh,3582.26,0.31,445.23,0.09,3137.03,0.47,-2691.8,513D1112 Index,112D1513 Index
Qatar,3171.36,0.28,1810.03,0.38,1361.33,0.2,448.7,453D1112 Index,112D1453 Index
Indonesia,3095.77,0.27,1212.55,0.25,1883.22,0.28,-670.67,536D1112 Index,112D1536 Index
Egypt,3071.54,0.27,2033.61,0.43,1037.93,0.15,995.68,469D1112 Index,112D1469 Index
Algeria,2887.88,0.25,1.81,0,2886.07,0.43,-2884.26,612D1112 Index,112D1612 Index
Greece,2835.24,0.25,1620.81,0.34,1214.43,0.18,406.38,174D1112 Index,112D1174 Index
Pakistan,2470.41,0.21,862.04,0.18,1608.37,0.24,-746.33,564D1112 Index,112D1564 Index
New Zealand,2403.81,0.21,1253.95,0.26,1149.86,0.17,104.09,196D1112 Index,112D1196 Index
Lithuania,2145.42,0.19,1009.44,0.21,1135.98,0.17,-126.54,946D1112 Index,112D1946 Index
Morocco,1995.16,0.17,1105.75,0.23,889.41,0.13,216.34,686D1112 Index,112D1686 Index
Chile,1915.64,0.17,672.06,0.14,1243.58,0.18,-571.52,228D1112 Index,112D1228 Index
Ukraine,1583.62,0.14,888.13,0.19,695.49,0.1,192.64,926D1112 Index,112D1926 Index
Latvia,1560.22,0.14,538.96,0.11,1021.26,0.15,-482.3,941D1112 Index,112D1941 Index
Argentina,1507.59,0.13,569.27,0.12,938.32,0.14,-369.05,213D1112 Index,112D1213 Index
Philippines,1474.29,0.13,678.04,0.14,796.25,0.12,-118.21,566D1112 Index,112D1566 Index
Bulgaria,1258.72,0.11,581.39,0.12,677.33,0.1,-95.95,918D1112 Index,112D1918 Index
