Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,937728,100,452283,100,485445,100,-33162,001D1156 Index,156D1001 Index
Advanced Economies,724579,77.27,382654,84.6,341925,70.44,40729,110D1156 Index,156D1110 Index
United States,567622,60.53,318481,70.42,249141,51.32,69340,111D1156 Index,156D1111 Index
Emerging and Developing Economies,208726,22.26,69297,15.32,139429,28.72,-70132,200I1156 Index,156D1200 Index
Non Fuel Exporting Countries,195192.4,20.82,62838.4,13.89,132354,27.26,-69515.6,092D1156 Index,156D1092 Index
Developing Asia,119426.9,12.74,38211.3,8.45,81215.6,16.73,-43004.3,505D1156 Index,156D1505 Index
China,89920,9.59,28362.7,6.27,61557.3,12.68,-33194.6,924D1156 Index,156D1924 Index
European Union,75532.9,8.05,23204.1,5.13,52328.8,10.78,-29124.7,998D1156 Index,156D1998 Index
Euro-zone,66970,7.14,21433.8,4.74,45536.2,9.38,-24102.4,995D1156 Index,156D1995 Index
Developing Western Hemisphere,61631.2,6.57,18631.6,4.12,42999.6,8.86,-24368,205D1156 Index,156D1205 Index
Mexico,41341.2,4.41,11418.5,2.52,29922.7,6.16,-18504.2,273D1156 Index,156D1273 Index
Japan,25389.8,2.71,11745.9,2.6,13643.9,2.81,-1898,158D1156 Index,156D1158 Index
United Kingdom,21019.61,2.24,13623.4,3.01,7396.21,1.52,6227.19,112D1156 Index,156D1112 Index
Germany,20184.83,2.15,4641.93,1.03,15542.9,3.2,-10900.97,134D1156 Index,156D1134 Index
Fuel Exporting Countries,13533.39,1.44,6458.67,1.43,7074.72,1.46,-616.05,080D1156 Index,156D1080 Index
South Korea,13359.51,1.42,5749.09,1.27,7610.42,1.57,-1861.33,542D1156 Index,156D1542 Index
Developing Europe,11932.18,1.27,4253.54,0.94,7678.64,1.58,-3425.1,170D1156 Index,156D1170 Index
