Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Israel,3472.07,0.4,2490.4,0.54,981.67,0.24,1508.73,436D1136 Index,136D1436 Index
Norway,3306.04,0.38,2292.13,0.5,1013.91,0.25,1278.22,142D1136 Index,136D1142 Index
Ukraine,3290.05,0.38,976.6,0.21,2313.45,0.56,-1336.85,926D1136 Index,136D1926 Index
Thailand,3266.38,0.37,1915.97,0.42,1350.41,0.33,565.56,578D1136 Index,136D1578 Index
Qatar,2957.46,0.34,1451.04,0.31,1506.42,0.37,-55.38,453D1136 Index,136D1453 Index
Finland,2947.18,0.34,1468.13,0.32,1479.05,0.36,-10.92,172D1136 Index,136D1172 Index
Morocco,2921.32,0.34,2039.15,0.44,882.17,0.21,1156.98,686D1136 Index,136D1686 Index
Chile,2396.22,0.27,1162.08,0.25,1234.14,0.3,-72.06,228D1136 Index,136D1228 Index
Malaysia,2318.63,0.27,1330.1,0.29,988.53,0.24,341.57,548D1136 Index,136D1548 Index
Argentina,2314.69,0.27,1370.06,0.3,944.63,0.23,425.43,213D1136 Index,136D1213 Index
Albania,2207.9,0.25,1308.87,0.28,899.03,0.22,409.84,914D1136 Index,136D1914 Index
Bangladesh,1844.62,0.21,413.81,0.09,1430.81,0.35,-1017,513D1136 Index,136D1513 Index
Lithuania,1784.25,0.2,1275.25,0.28,509,0.12,766.25,946D1136 Index,136D1946 Index
Malta,1758.37,0.2,1439.52,0.31,318.85,0.08,1120.68,181D1136 Index,136D1181 Index
Bosnia and Herzegovina,1732.4,0.2,997.22,0.22,735.18,0.18,262.04,963D1136 Index,136D1963 Index
Colombia,1635.02,0.19,823.7,0.18,811.32,0.2,12.38,233D1136 Index,136D1233 Index
Luxembourg,1494.51,0.17,464.94,0.1,1029.57,0.25,-564.64,137D1136 Index,136D1137 Index
Congo,1493.68,0.17,404.73,0.09,1088.95,0.27,-684.22,634D1136 Index,136D1634 Index
Iran,1430.65,0.16,909.35,0.2,521.3,0.13,388.05,429D1136 Index,136D1429 Index
Angola,1395.57,0.16,427.4,0.09,968.17,0.24,-540.77,614D1136 Index,136D1614 Index
Lebanon,1389.77,0.16,1348.93,0.29,40.84,0.01,1308.09,446D1136 Index,136D1446 Index
Nigeria,1372.76,0.16,496.33,0.11,876.43,0.21,-380.1,694D1136 Index,136D1694 Index
Peru,1274.09,0.15,672.01,0.15,602.09,0.15,69.92,293D1136 Index,136D1293 Index
Pakistan,1084.99,0.12,443.52,0.1,641.47,0.16,-197.95,564D1136 Index,136D1564 Index
New Zealand,983.21,0.11,690.46,0.15,292.75,0.07,397.71,196D1136 Index,136D1196 Index
Jordan,860.53,0.1,805,0.17,55.54,0.01,749.46,439D1136 Index,136D1439 Index
Venezuela,805.52,0.09,656.04,0.14,149.48,0.04,506.56,299D1136 Index,136D1299 Index
Belarus,766.32,0.09,641.15,0.14,125.17,0.03,515.97,913D1136 Index,136D1913 Index
Philippines,738.54,0.08,468.12,0.1,270.42,0.07,197.7,566D1136 Index,136D1566 Index
Macau,714.28,0.08,712.02,0.15,2.26,0,709.77,546D1136 Index,136D1546 Index
Cote D Ivoire,704.98,0.08,367.59,0.08,337.39,0.08,30.2,662D1136 Index,136D1662 Index
Ecuador,688.99,0.08,343.77,0.07,345.22,0.08,-1.45,248D1136 Index,136D1248 Index
Oman,684.23,0.08,599.1,0.13,85.13,0.02,513.98,449D1136 Index,136D1449 Index
Ethiopia,663.86,0.08,599.27,0.13,64.59,0.02,534.68,644D1136 Index,136D1644 Index
Latvia,656.61,0.08,539.15,0.12,117.46,0.03,421.69,941D1136 Index,136D1941 Index
Ghana,640.29,0.07,258.41,0.06,381.87,0.09,-123.46,652D1136 Index,136D1652 Index
Sri Lanka,615.91,0.07,209.62,0.05,406.3,0.1,-196.68,524D1136 Index,136D1524 Index
Gabon,604.28,0.07,84.01,0.02,520.27,0.13,-436.26,646D1136 Index,136D1646 Index
Macedonia,596.1,0.07,390.48,0.08,205.62,0.05,184.86,962D1136 Index,136D1962 Index
Kuwait,566.05,0.06,360.93,0.08,205.12,0.05,155.81,443D1136 Index,136D1443 Index
Cyprus,560.61,0.06,473,0.1,87.62,0.02,385.38,423D1136 Index,136D1423 Index
Estonia,518.79,0.06,368.43,0.08,150.36,0.04,218.07,939D1136 Index,136D1939 Index
Moldova,514.42,0.06,279.16,0.06,235.26,0.06,43.9,921D1136 Index,136D1921 Index
Mozambique,461.4,0.05,64.26,0.01,397.14,0.1,-332.88,688D1136 Index,136D1688 Index
Uruguay,460.65,0.05,159.51,0.03,301.14,0.07,-141.62,298D1136 Index,136D1298 Index
