Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,2521930,100,1350150,100,1171780,100,178370,001D1134 Index,134D1001 Index
Advanced Economies,1762814,69.9,944284,69.94,818530,69.85,125754,110D1134 Index,134D1110 Index
European Union,1472172,58.37,732424,54.25,739748,63.13,-7324,998D1134 Index,134D1998 Index
Euro-zone,1029665,40.83,508135,37.64,521530,44.51,-13395,995D1134 Index,134D1995 Index
Emerging and Developing Economies,758914,30.09,405700,30.05,353214,30.14,52486,200I1134 Index,134D1200 Index
Non Fuel Exporting Countries,674112,26.73,353755,26.2,320357,27.34,33398,092D1134 Index,134D1092 Index
Developing Asia,271476,10.76,137118,10.16,134358,11.47,2760,505D1134 Index,134D1505 Index
Netherlands,250942.9,9.95,90166.9,6.68,160776,13.72,-70609.1,138D1134 Index,134D1138 Index
China,199007.1,7.89,105282,7.8,93725.1,8,11556.9,924D1134 Index,134D1924 Index
United States,172977.8,6.86,115120,8.53,57857.8,4.94,57262.2,111D1134 Index,134D1111 Index
France,169269.4,6.71,101435,7.51,67834.4,5.79,33600.6,132D1134 Index,134D1132 Index
Poland,147775,5.86,72158.2,5.34,75616.8,6.45,-3458.6,964D1134 Index,134D1964 Index
Italy,133125.3,5.28,70117.2,5.19,63008.1,5.38,7109.1,136D1134 Index,134D1136 Index
Austria,121946.1,4.84,70866.3,5.25,51079.8,4.36,19786.5,122D1134 Index,134D1122 Index
Belgium,121048.8,4.8,54793.9,4.06,66254.9,5.65,-11461,124D1134 Index,134D1124 Index
United Kingdom,115837.1,4.59,72229.3,5.35,43607.8,3.72,28621.5,112D1134 Index,134D1112 Index
Czech Republic,104186.9,4.13,47894.7,3.55,56292.2,4.8,-8397.5,935D1134 Index,134D1935 Index
Switzerland,103803.6,4.12,56514.4,4.19,47289.2,4.04,9225.2,146D1134 Index,134D1146 Index
Fuel Exporting Countries,84801.6,3.36,51944.4,3.85,32857.2,2.8,19087.2,080D1134 Index,134D1080 Index
Spain,81294.8,3.22,45435.7,3.37,35859.1,3.06,9576.6,184D1134 Index,134D1184 Index
CIS Countries,63448.3,2.52,34940.9,2.59,28507.4,2.43,6433.5,901D1134 Index,134D1901 Index
Hungary,60423,2.4,28274.2,2.09,32148.8,2.74,-3874.6,944D1134 Index,134D1944 Index
Developing Western Hemisphere,50901.2,2.02,33774.9,2.5,17126.3,1.46,16648.6,205D1134 Index,134D1205 Index
Russia,45306.2,1.8,23417.7,1.73,21888.5,1.87,1529.2,922D1134 Index,134D1922 Index
Sweden,44365.1,1.76,27201.1,2.01,17164,1.46,10037.1,144D1134 Index,134D1144 Index
Japan,38868.9,1.54,21209.5,1.57,17659.4,1.51,3550.1,158D1134 Index,134D1158 Index
Denmark,36517.3,1.45,21336.6,1.58,15180.7,1.3,6155.9,128D1134 Index,134D1128 Index
Turkey,36190.4,1.44,21732.8,1.61,14457.6,1.23,7275.2,186D1134 Index,134D1186 Index
Slovakia,34982.8,1.39,16576.5,1.23,18406.3,1.57,-1829.8,936D1134 Index,134D1936 Index
Romania,34067.1,1.35,19182.7,1.42,14884.4,1.27,4298.3,968D1134 Index,134D1968 Index
Ireland,33273.16,1.32,8941.96,0.66,24331.2,2.08,-15389.24,178D1134 Index,134D1178 Index
South Korea,30919,1.23,20655.7,1.53,10263.3,0.88,10392.4,542D1134 Index,134D1542 Index
