Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,4763120,100,2629090,100,2134030,100,495060,001D1924 Index,924D1001 Index
Advanced Economies,2961860,62.18,1749240,66.53,1212620,56.82,536620,110D1924 Index,924D1110 Index
Emerging and Developing Economies,1649452,34.63,876086,33.32,773366,36.24,102720,200I1924 Index,924D1200 Index
Non Fuel Exporting Countries,1192605,25.04,701752,26.69,490853,23,210899,092D1924 Index,924D1092 Index
United States,695762,14.61,539503,20.52,156259,7.32,383244,111D1924 Index,924D1111 Index
European Union,653798,13.73,404087,15.37,249711,11.7,154376,998D1924 Index,924D1998 Index
Developing Asia,608160,12.77,341291,12.98,266869,12.51,74422,505D1924 Index,924D1505 Index
Euro-zone,556191,11.68,335741,12.77,220450,10.33,115291,995D1924 Index,924D1995 Index
Fuel Exporting Countries,456847,9.59,174334,6.63,282513,13.24,-108179,080D1924 Index,924D1080 Index
Developing Western Hemisphere,360705,7.57,203541,7.74,157164,7.36,46377,205D1924 Index,924D1205 Index
Japan,354017,7.43,173538,6.6,180479,8.46,-6941,158D1924 Index,924D1158 Index
South Korea,309444,6.5,106449,4.05,202995,9.51,-96546,542D1924 Index,924D1542 Index
Hong Kong,289540.62,6.08,281007,10.69,8533.62,0.4,272473.38,532D1924 Index,924D1532 Index
Developing Europe,237419.3,4.98,139816,5.32,97603.3,4.57,42212.7,170D1924 Index,924D1170 Index
Germany,195305.1,4.1,89091.1,3.39,106214,4.98,-17122.9,134D1924 Index,924D1134 Index
Australia,163987.7,3.44,58846.7,2.24,105141,4.93,-46294.3,193D1924 Index,924D1193 Index
CIS Countries,159707.7,3.35,78018,2.97,81689.7,3.83,-3671.7,901D1924 Index,924D1901 Index
Sub-Saharan Africa,146465.3,3.07,57935.2,2.2,88530.1,4.15,-30594.9,603D1924 Index,924D1603 Index
Vietnam,129670.2,2.72,65516.2,2.49,64154,3.01,1362.2,582D1924 Index,924D1582 Index
Brazil,113684.7,2.39,36818,1.4,76866.7,3.6,-40048.7,223D1924 Index,924D1223 Index
Netherlands,113078.3,2.37,100775,3.83,12303.3,0.58,88471.7,138D1924 Index,924D1138 Index
Russia,110747.4,2.33,52167.6,1.98,58579.8,2.75,-6412.2,922D1924 Index,924D1922 Index
Malaysia,106949.6,2.25,43457,1.65,63492.6,2.98,-20035.6,548D1924 Index,924D1548 Index
Mexico,102588.3,2.15,88521.2,3.37,14067.1,0.66,74454.1,273D1924 Index,924D1273 Index
Thailand,95150.7,2,50157.9,1.91,44992.8,2.11,5165.1,578D1924 Index,924D1578 Index
India,92606.9,1.94,73759,2.81,18847.9,0.88,54911.1,534D1924 Index,924D1534 Index
Canada,89920,1.89,61557.3,2.34,28362.7,1.33,33194.6,156D1924 Index,924D1156 Index
United Kingdom,86631.3,1.82,62771.4,2.39,23859.9,1.12,38911.5,112D1924 Index,924D1112 Index
Singapore,83280.8,1.75,49666.4,1.89,33614.4,1.58,16052,576D1924 Index,924D1576 Index
Indonesia,79643.2,1.67,45537.8,1.73,34105.4,1.6,11432.4,536D1924 Index,924D1536 Index
France,67878.2,1.43,35590.7,1.35,32287.5,1.51,3303.2,132D1924 Index,924D1132 Index
Saudi Arabia,66990.5,1.41,21048.6,0.8,45941.9,2.15,-24893.3,456D1924 Index,924D1456 Index
Italy,57624.3,1.21,36453.4,1.39,21170.9,0.99,15282.5,136D1924 Index,924D1136 Index
United Arab Emirates,54245.2,1.14,38017.7,1.45,16227.5,0.76,21790.2,466D1924 Index,924D1466 Index
Switzerland,53405.7,1.12,14711.6,0.56,38694.1,1.81,-23982.5,146D1924 Index,924D1146 Index
South Africa,45555.8,0.96,18150.2,0.69,27405.6,1.28,-9255.4,199D1924 Index,924D1199 Index
Chile,44548.6,0.94,17471.9,0.66,27076.7,1.27,-9604.8,228D1924 Index,924D1228 Index
Philippines,42016.2,0.88,21394.3,0.81,20621.9,0.97,772.4,566D1924 Index,924D1566 Index
Spain,35436.14,0.74,26630.7,1.01,8805.44,0.41,17825.26,184D1924 Index,924D1184 Index
Iran,32223,0.68,10248.6,0.39,21974.4,1.03,-11725.8,429D1924 Index,924D1429 Index
Iraq,30936.66,0.65,8473.26,0.32,22463.4,1.05,-13990.14,433D1924 Index,924D1433 Index
