Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,513724,100,286769,100,226955,100,59814,001D1193 Index,193D1001 Index
Emerging and Developing Economies,277053,53.93,169592,59.14,107461,47.35,62131,200I1193 Index,193D1200 Index
Non Fuel Exporting Countries,263618,51.32,162229,56.57,101389,44.67,60840,092D1193 Index,193D1092 Index
Developing Asia,249222.7,48.51,155461,54.21,93761.7,41.31,61699.3,505D1193 Index,193D1505 Index
Advanced Economies,232604,45.28,117177,40.86,115427,50.86,1750,110D1193 Index,193D1110 Index
China,177988.4,34.65,119608,41.71,58380.4,25.72,61227.6,924D1193 Index,193D1924 Index
Japan,61318.4,11.94,45452.9,15.85,15865.5,6.99,29587.4,158D1193 Index,193D1158 Index
European Union,45138.06,8.79,9239.96,3.22,35898.1,15.82,-26658.14,998D1193 Index,193D1998 Index
Euro-zone,39013.8,7.59,7942.3,2.77,31071.5,13.69,-23129.2,995D1193 Index,193D1995 Index
United States,37622.2,7.32,10854.4,3.79,26767.8,11.79,-15913.4,111D1193 Index,193D1111 Index
South Korea,29366.35,5.72,20556.2,7.17,8810.15,3.88,11746.05,542D1193 Index,193D1542 Index
United Kingdom,16152.24,3.14,10816.3,3.77,5335.94,2.35,5480.36,112D1193 Index,193D1112 Index
Thailand,14956.18,2.91,4003.48,1.4,10952.7,4.83,-6949.22,578D1193 Index,193D1578 Index
India,14007.87,2.73,10573.7,3.69,3434.17,1.51,7139.53,534D1193 Index,193D1534 Index
Singapore,13915.64,2.71,6258.53,2.18,7657.11,3.37,-1398.58,576D1193 Index,193D1576 Index
Malaysia,13729.8,2.67,5621.08,1.96,8108.72,3.57,-2487.64,548D1193 Index,193D1548 Index
Fuel Exporting Countries,13435.5,2.62,7363.12,2.57,6072.38,2.68,1290.74,080D1193 Index,193D1080 Index
Germany,13058.7,2.54,2256.8,0.79,10801.9,4.76,-8545.1,134D1193 Index,193D1134 Index
New Zealand,10614.23,2.07,4871.75,1.7,5742.48,2.53,-870.73,196D1193 Index,193D1196 Index
Indonesia,9224.97,1.8,5515.38,1.92,3709.59,1.63,1805.79,536D1193 Index,193D1536 Index
Vietnam,7720.02,1.5,4456.12,1.55,3263.9,1.44,1192.22,582D1193 Index,193D1582 Index
Developing Western Hemisphere,6612.22,1.29,2224.21,0.78,4388.01,1.93,-2163.8,205D1193 Index,193D1205 Index
Developing Europe,5908.41,1.15,2956.5,1.03,2951.91,1.3,4.59,170D1193 Index,193D1170 Index
Italy,5816.41,1.13,569.38,0.2,5247.03,2.31,-4677.65,136D1193 Index,193D1136 Index
France,5537,1.08,1055.59,0.37,4481.41,1.97,-3425.82,132D1193 Index,193D1132 Index
United Arab Emirates,5305,1.03,3319.84,1.16,1985.16,0.87,1334.68,466D1193 Index,193D1466 Index
Hong Kong,5089.48,0.99,4655.99,1.62,433.49,0.19,4222.5,532D1193 Index,193D1532 Index
Papua New Guinea,5017.28,0.98,1995.6,0.7,3021.68,1.33,-1026.08,853D1193 Index,193D1853 Index
Netherlands,4841.3,0.94,2369.85,0.83,2471.45,1.09,-101.6,138D1193 Index,193D1138 Index
Switzerland,3941.6,0.77,1333,0.46,2608.6,1.15,-1275.6,146D1193 Index,193D1146 Index
Canada,3821.39,0.74,1859.42,0.65,1961.97,0.86,-102.55,156D1193 Index,193D1156 Index
Sub-Saharan Africa,3660.96,0.71,1899.06,0.66,1761.9,0.78,137.16,603D1193 Index,193D1603 Index
Mexico,2679.93,0.52,372.48,0.13,2307.45,1.02,-1934.97,273D1193 Index,193D1273 Index
Spain,2183.87,0.43,518.35,0.18,1665.52,0.73,-1147.17,184D1193 Index,193D1184 Index
Belgium,2147.46,0.42,791.36,0.28,1356.1,0.6,-564.74,124D1193 Index,193D1124 Index
Philippines,2028.63,0.39,1513.93,0.53,514.7,0.23,999.24,566D1193 Index,193D1566 Index
Sweden,1948.09,0.38,390.22,0.14,1557.87,0.69,-1167.65,144D1193 Index,193D1144 Index
South Africa,1895.65,0.37,1094.62,0.38,801.03,0.35,293.59,199D1193 Index,193D1199 Index
Turkey,1846.45,0.36,1034.27,0.36,812.18,0.36,222.09,186D1193 Index,193D1186 Index
CIS Countries,1653.21,0.32,1266.77,0.44,386.44,0.17,880.33,901D1193 Index,193D1901 Index
Brazil,1637.69,0.32,1008.84,0.35,628.85,0.28,379.99,223D1193 Index,193D1223 Index
Austria,1480.45,0.29,79.68,0.03,1400.77,0.62,-1321.09,122D1193 Index,193D1122 Index
Ireland,1466.16,0.29,71.96,0.03,1394.2,0.61,-1322.24,178D1193 Index,193D1178 Index
Poland,1415.44,0.28,538.63,0.19,876.81,0.39,-338.18,964D1193 Index,193D1964 Index
Bangladesh,1414.65,0.28,582.42,0.2,832.23,0.37,-249.82,513D1193 Index,193D1513 Index
Denmark,1157.5,0.23,168.2,0.06,989.3,0.44,-821.1,128D1193 Index,193D1128 Index
Saudi Arabia,1061.03,0.21,677.93,0.24,383.1,0.17,294.82,456D1193 Index,193D1456 Index
Finland,1053.53,0.21,60.33,0.02,993.2,0.44,-932.87,172D1193 Index,193D1172 Index
Russia,1008.92,0.2,713.76,0.25,295.17,0.13,418.59,922D1193 Index,193D1922 Index
Bahrain,1000.88,0.19,936.87,0.33,64.01,0.03,872.86,419D1193 Index,193D1419 Index
Brunei Darussalam,917.02,0.18,42.11,0.01,874.91,0.39,-832.8,516D1193 Index,193D1516 Index
Qatar,884.62,0.17,652.98,0.23,231.64,0.1,421.33,453D1193 Index,193D1453 Index
Israel,864.56,0.17,233.8,0.08,630.76,0.28,-396.96,436D1193 Index,193D1436 Index
Argentina,804.45,0.16,247.04,0.09,557.42,0.25,-310.38,213D1193 Index,193D1213 Index
Czech Republic,701.99,0.14,121.31,0.04,580.68,0.26,-459.36,935D1193 Index,193D1935 Index
Algeria,664.16,0.13,2.6,0,661.56,0.29,-658.95,612D1193 Index,193D1612 Index
Libya,643.62,0.13,2.97,0,640.66,0.28,-637.69,672D1193 Index,193D1672 Index
Chile,624.8,0.12,232.06,0.08,392.74,0.17,-160.69,228D1193 Index,193D1228 Index
Norway,611.75,0.12,254.83,0.09,356.93,0.16,-102.1,142D1193 Index,193D1142 Index
Nigeria,594.18,0.12,66.88,0.02,527.29,0.23,-460.41,694D1193 Index,193D1694 Index
Hungary,590.06,0.11,35.3,0.01,554.77,0.24,-519.47,944D1193 Index,193D1944 Index
Fiji,525.15,0.1,395.22,0.14,129.93,0.06,265.29,819D1193 Index,193D1819 Index
Pakistan,486.95,0.09,222.67,0.08,264.28,0.12,-41.62,564D1193 Index,193D1564 Index
Egypt,473.69,0.09,436.47,0.15,37.22,0.02,399.25,469D1193 Index,193D1469 Index
Sri Lanka,362.4,0.07,152.64,0.05,209.76,0.09,-57.13,524D1193 Index,193D1524 Index
Slovakia,348.27,0.07,5.7,0,342.57,0.15,-336.87,936D1193 Index,193D1936 Index
Azerbaijan,295.68,0.06,295.58,0.1,0.1,0,295.48,912D1193 Index,193D1912 Index
Cambodia,272.67,0.05,72.96,0.03,199.7,0.09,-126.74,522D1193 Index,193D1522 Index
New Caledonia,272.37,0.05,257.89,0.09,14.49,0.01,243.4,839D1193 Index,193D1839 Index
Peru,250.01,0.05,136.5,0.05,113.51,0.05,22.98,293D1193 Index,193D1293 Index
Greece,242.41,0.05,20.65,0.01,221.76,0.1,-201.11,174D1193 Index,193D1174 Index
Peoples Democratic Republic of Yemen,226.85,0.04,142.76,0.05,84.1,0.04,58.66,474D1193 Index,193D1474 Index
Estonia,219.78,0.04,17.89,0.01,201.89,0.09,-184,939D1193 Index,193D1939 Index
Portugal,219.48,0.04,12.65,0,206.83,0.09,-194.18,182D1193 Index,193D1182 Index
Iceland,215.92,0.04,203.92,0.07,12,0.01,191.93,176D1193 Index,193D1176 Index
Oman,205.29,0.04,194.55,0.07,10.74,0,183.81,449D1193 Index,193D1449 Index
Romania,181.94,0.04,21.74,0.01,160.2,0.07,-138.45,968D1193 Index,193D1968 Index
Jordan,170.64,0.03,124.99,0.04,45.65,0.02,79.33,439D1193 Index,193D1439 Index
Macau,165.01,0.03,125.42,0.04,39.6,0.02,85.82,546D1193 Index,193D1546 Index
Myanmar,160.19,0.03,115.73,0.04,44.46,0.02,71.27,518D1193 Index,193D1518 Index
Tanzania,159.75,0.03,153.6,0.05,6.14,0,147.46,738D1193 Index,193D1738 Index
Ukraine,157.09,0.03,99.55,0.03,57.54,0.03,42.01,926D1193 Index,193D1926 Index
Kuwait,146.78,0.03,125.84,0.04,20.93,0.01,104.91,443D1193 Index,193D1443 Index
Congo,128.34,0.02,0.14,0,128.21,0.06,-128.07,634D1193 Index,193D1634 Index
Slovenia,126.67,0.02,4.14,0,122.53,0.05,-118.39,961D1193 Index,193D1961 Index
Colombia,122.21,0.02,42.23,0.01,79.98,0.04,-37.74,233D1193 Index,193D1233 Index
Gabon,118.75,0.02,1.73,0,117.02,0.05,-115.28,646D1193 Index,193D1646 Index
Malta,105.03,0.02,90.35,0.03,14.68,0.01,75.67,181D1193 Index,193D1181 Index
Ghana,103.93,0.02,81.79,0.03,22.14,0.01,59.65,652D1193 Index,193D1652 Index
Costa Rica,100.65,0.02,6.21,0,94.44,0.04,-88.23,238D1193 Index,193D1238 Index
Solomon Islands,97.69,0.02,91.75,0.03,5.93,0,85.82,813D1193 Index,193D1813 Index
Bulgaria,93.78,0.02,17.04,0.01,76.74,0.03,-59.7,918D1193 Index,193D1918 Index
Mauritius,89.11,0.02,76.95,0.03,12.16,0.01,64.79,684D1193 Index,193D1684 Index
Kenya,81.12,0.02,52.32,0.02,28.79,0.01,23.53,664D1193 Index,193D1664 Index
Georgia,79.23,0.02,76.12,0.03,3.11,0,73.02,915D1193 Index,193D1915 Index
Lithuania,78.31,0.02,2.62,0,75.69,0.03,-73.07,946D1193 Index,193D1946 Index
Vanuatu,76.81,0.01,75.68,0.03,1.13,0,74.55,846D1193 Index,193D1846 Index
Iran,75.03,0.01,57.67,0.02,17.36,0.01,40.3,429D1193 Index,193D1429 Index
Nepal,69.75,0.01,63.34,0.02,6.41,0,56.93,558D1193 Index,193D1558 Index
Kazakhstan,69.58,0.01,64.94,0.02,4.64,0,60.3,916D1193 Index,193D1916 Index
Sudan,67.51,0.01,67.16,0.02,0.35,0,66.8,732D1193 Index,193D1732 Index
Zambia,66.97,0.01,44.17,0.02,22.81,0.01,21.36,754D1193 Index,193D1754 Index
Morocco,64.23,0.01,21.49,0.01,42.75,0.02,-21.26,686D1193 Index,193D1686 Index
Mauritania,62.38,0.01,5.7,0,56.68,0.02,-50.97,682D1193 Index,193D1682 Index
Mongolia,58.77,0.01,57.07,0.02,1.7,0,55.37,948D1193 Index,193D1948 Index
Panama,58.21,0.01,49.63,0.02,8.58,0,41.05,283D1193 Index,193D1283 Index
Dominican Republic,56.41,0.01,18.01,0.01,38.4,0.02,-20.39,243D1193 Index,193D1243 Index
Honduras,54.61,0.01,2,0,52.61,0.02,-50.6,268D1193 Index,193D1268 Index
Maldives,50.58,0.01,47.65,0.02,2.93,0,44.72,556D1193 Index,193D1556 Index
Burkina Faso,50.57,0.01,50.51,0.02,0.06,0,50.44,748D1193 Index,193D1748 Index
Cote D Ivoire,48.57,0.01,38.52,0.01,10.05,0,28.47,662D1193 Index,193D1662 Index
Lebanon,48.35,0.01,32.84,0.01,15.51,0.01,17.33,446D1193 Index,193D1446 Index
Ethiopia,45.75,0.01,26.44,0.01,19.31,0.01,7.12,644D1193 Index,193D1644 Index
Mozambique,40.97,0.01,36.45,0.01,4.52,0,31.93,688D1193 Index,193D1688 Index
Samoa,40.11,0.01,35.58,0.01,4.52,0,31.06,862D1193 Index,193D1862 Index
