Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,604455,100,328956,100,275499,100,53457,001D1146 Index,146D1001 Index
Advanced Economies,430664,71.25,224241,68.17,206423,74.93,17818,110D1146 Index,146D1110 Index
European Union,268875,44.48,121629,36.97,147246,53.45,-25617,998D1146 Index,146D1998 Index
Euro-zone,252733,41.81,115856,35.22,136877,49.68,-21021,995D1146 Index,146D1995 Index
Emerging and Developing Economies,173730.8,28.74,104693,31.83,69037.8,25.06,35655.2,200I1146 Index,146D1200 Index
Non Fuel Exporting Countries,144315.6,23.88,88947.4,27.04,55368.2,20.1,33579.2,092D1146 Index,146D1092 Index
Germany,108694.1,17.98,50931.4,15.48,57762.7,20.97,-6831.3,134D1146 Index,146D1134 Index
Developing Asia,94108.5,15.57,69061.4,20.99,25047.1,9.09,44014.3,505D1146 Index,146D1505 Index
United States,62442.2,10.33,41442.8,12.6,20999.4,7.62,20443.4,111D1146 Index,146D1111 Index
China,53405.7,8.84,38694.1,11.76,14711.6,5.34,23982.5,924D1146 Index,146D1924 Index
France,39895.2,6.6,20094.6,6.11,19800.6,7.19,294,132D1146 Index,146D1132 Index
United Kingdom,34879.05,5.77,8697.55,2.64,26181.5,9.5,-17483.95,112D1146 Index,146D1112 Index
Italy,34237.2,5.66,12954.5,3.94,21282.7,7.73,-8328.2,136D1146 Index,146D1136 Index
Fuel Exporting Countries,29414.8,4.87,15745.2,4.79,13669.6,4.96,2075.6,080D1146 Index,146D1080 Index
Developing Europe,24357.8,4.03,11743.8,3.57,12614,4.58,-870.2,170D1146 Index,146D1170 Index
India,19849.55,3.28,18033.2,5.48,1816.35,0.66,16216.85,534D1146 Index,146D1534 Index
Hong Kong,19779.29,3.27,15806.2,4.8,3973.09,1.44,11833.11,532D1146 Index,146D1532 Index
Austria,17548.04,2.9,9090.45,2.76,8457.59,3.07,632.86,122D1146 Index,146D1122 Index
United Arab Emirates,15919.84,2.63,5841.44,1.78,10078.4,3.66,-4236.96,466D1146 Index,146D1466 Index
Developing Western Hemisphere,15844.21,2.62,6607.15,2.01,9237.06,3.35,-2629.91,205D1146 Index,146D1205 Index
Singapore,12881.25,2.13,10133.4,3.08,2747.85,1,7385.55,576D1146 Index,146D1576 Index
Netherlands,12259.04,2.03,6755.24,2.05,5503.8,2,1251.44,138D1146 Index,146D1138 Index
Belgium,11970.05,1.98,6836.61,2.08,5133.44,1.86,1703.17,124D1146 Index,146D1124 Index
Japan,11818.41,1.96,7763.31,2.36,4055.1,1.47,3708.21,158D1146 Index,146D1158 Index
Sub-Saharan Africa,11601,1.92,2274.69,0.69,9326.31,3.39,-7051.62,603D1146 Index,146D1603 Index
Spain,10764.73,1.78,5139.54,1.56,5625.19,2.04,-485.65,184D1146 Index,146D1184 Index
CIS Countries,10186.47,1.69,5546.25,1.69,4640.22,1.68,906.03,901D1146 Index,146D1901 Index
Ireland,9555.88,1.58,791.09,0.24,8764.79,3.18,-7973.7,178D1146 Index,146D1178 Index
Thailand,9499.71,1.57,6840.34,2.08,2659.37,0.97,4180.97,578D1146 Index,146D1578 Index
Israel,8351.48,1.38,7756.6,2.36,594.88,0.22,7161.72,436D1146 Index,146D1436 Index
Canada,5636.32,0.93,3751.34,1.14,1884.98,0.68,1866.36,156D1146 Index,146D1156 Index
Turkey,5310.74,0.88,2886.6,0.88,2424.14,0.88,462.46,186D1146 Index,146D1186 Index
Brazil,4106.15,0.68,2386.15,0.73,1720,0.62,666.15,223D1146 Index,146D1223 Index
Australia,3991.4,0.66,2881.92,0.88,1109.48,0.4,1772.44,193D1146 Index,146D1193 Index
South Korea,3853.15,0.64,3048.39,0.93,804.76,0.29,2243.63,542D1146 Index,146D1542 Index
Czech Republic,3851.86,0.64,1224.67,0.37,2627.19,0.95,-1402.52,935D1146 Index,146D1935 Index
Malaysia,3697.95,0.61,2648.68,0.81,1049.27,0.38,1599.41,548D1146 Index,146D1548 Index
Poland,3665.24,0.61,1219.31,0.37,2445.93,0.89,-1226.62,964D1146 Index,146D1964 Index
Russia,3253.41,0.54,2648.01,0.8,605.4,0.22,2042.61,922D1146 Index,146D1922 Index
Mexico,3190.42,0.53,1902.39,0.58,1288.03,0.47,614.36,273D1146 Index,146D1273 Index
South Africa,3180.28,0.53,863.66,0.26,2316.62,0.84,-1452.96,199D1146 Index,146D1199 Index
Sweden,2878.51,0.48,1059.08,0.32,1819.43,0.66,-760.35,144D1146 Index,146D1144 Index
Uzbekistan,2623.38,0.43,144.82,0.04,2478.56,0.9,-2333.74,927D1146 Index,146D1927 Index
Saudi Arabia,2277.98,0.38,1823.05,0.55,454.93,0.17,1368.12,456D1146 Index,146D1456 Index
