Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Slovakia,2399.96,0.36,823.94,0.27,1576.02,0.44,-752.08,936D1184 Index,184D1936 Index
Egypt,2248.13,0.34,1464.74,0.49,783.39,0.22,681.36,469D1184 Index,184D1469 Index
Bulgaria,2219.02,0.34,1666.05,0.56,552.97,0.15,1113.08,918D1184 Index,184D1918 Index
Ukraine,2145.81,0.33,607.33,0.2,1538.48,0.43,-931.15,926D1184 Index,184D1926 Index
Bangladesh,1894.11,0.29,110.42,0.04,1783.69,0.5,-1673.28,513D1184 Index,184D1513 Index
Lithuania,1691.27,0.26,667.98,0.22,1023.29,0.29,-355.31,946D1184 Index,184D1946 Index
Qatar,1650.18,0.25,349.9,0.12,1300.28,0.36,-950.39,453D1184 Index,184D1453 Index
Tunisia,1510.44,0.23,1005.3,0.34,505.14,0.14,500.16,744D1184 Index,184D1744 Index
Libya,1477.97,0.22,358.68,0.12,1119.29,0.31,-760.61,672D1184 Index,184D1672 Index
Thailand,1462.56,0.22,580.8,0.19,881.76,0.25,-300.95,578D1184 Index,184D1578 Index
Singapore,1441.17,0.22,1176.32,0.39,264.85,0.07,911.47,576D1184 Index,184D1576 Index
Iraq,1397.12,0.21,328.85,0.11,1068.27,0.3,-739.43,433D1184 Index,184D1433 Index
Hong Kong,1358.58,0.21,1023.36,0.34,335.22,0.09,688.14,532D1184 Index,184D1532 Index
Malaysia,1326.21,0.2,719.92,0.24,606.29,0.17,113.64,548D1184 Index,184D1548 Index
Ecuador,1252.87,0.19,653.32,0.22,599.55,0.17,53.76,248D1184 Index,184D1248 Index
Other Countries,1161.41,0.18,1011.47,0.34,149.94,0.04,861.53,910D1184 Index,184D1910 Index
Cuba,1160.51,0.18,1011.3,0.34,149.21,0.04,862.09,928D1184 Index,184D1928 Index
Equatorial Guinea,1152.8,0.17,449.43,0.15,703.37,0.2,-253.94,642D1184 Index,184D1642 Index
Estonia,1144.02,0.17,169.69,0.06,974.33,0.27,-804.64,939D1184 Index,184D1939 Index
Azerbaijan,1002.65,0.15,49.38,0.02,953.27,0.27,-903.89,912D1184 Index,184D1912 Index
Slovenia,973.66,0.15,539.05,0.18,434.61,0.12,104.44,961D1184 Index,184D1961 Index
Cameroon,964.68,0.15,163.48,0.05,801.2,0.22,-637.72,622D1184 Index,184D1622 Index
Pakistan,961.78,0.15,147.12,0.05,814.66,0.23,-667.54,564D1184 Index,184D1564 Index
Luxembourg,929.97,0.14,186.56,0.06,743.42,0.21,-556.86,137D1184 Index,184D1137 Index
Trinidad And Tobago,858.16,0.13,78.3,0.03,779.87,0.22,-701.57,369D1184 Index,184D1369 Index
Latvia,819.61,0.12,270.91,0.09,548.7,0.15,-277.78,941D1184 Index,184D1941 Index
New Zealand,611.81,0.09,459.96,0.15,151.85,0.04,308.11,196D1184 Index,184D1196 Index
Philippines,594.19,0.09,409.55,0.14,184.64,0.05,224.91,566D1184 Index,184D1566 Index
Dominican Republic,568.42,0.09,463.56,0.15,104.86,0.03,358.71,243D1184 Index,184D1243 Index
Gabon,515.75,0.08,69.55,0.02,446.2,0.12,-376.64,646D1184 Index,184D1646 Index
Croatia,511.01,0.08,371,0.12,140.01,0.04,230.99,960D1184 Index,184D1960 Index
Lebanon,508.93,0.08,470.81,0.16,38.12,0.01,432.69,446D1184 Index,184D1446 Index
Cote D Ivoire,506.85,0.08,231.86,0.08,274.99,0.08,-43.14,662D1184 Index,184D1662 Index
Kuwait,456.69,0.07,309.27,0.1,147.42,0.04,161.84,443D1184 Index,184D1443 Index
Belarus,452.09,0.07,434.92,0.15,17.17,0,417.75,913D1184 Index,184D1913 Index
Guatemala,435.51,0.07,305,0.1,130.51,0.04,174.48,258D1184 Index,184D1258 Index
Uruguay,429.26,0.07,313.82,0.1,115.44,0.03,198.37,298D1184 Index,184D1298 Index
Malta,415.67,0.06,312.95,0.1,102.71,0.03,210.24,181D1184 Index,184D1181 Index
Cyprus,405.34,0.06,373.26,0.12,32.08,0.01,341.19,423D1184 Index,184D1423 Index
Panama,401.94,0.06,334.48,0.11,67.46,0.02,267.02,283D1184 Index,184D1283 Index
Iran,398.06,0.06,246.92,0.08,151.14,0.04,95.78,429D1184 Index,184D1429 Index
Serbia,394.56,0.06,240.43,0.08,154.13,0.04,86.31,942D1184 Index,184D1942 Index
Jordan,389.56,0.06,337.46,0.11,52.1,0.01,285.36,439D1184 Index,184D1439 Index
Cambodia,385.28,0.06,11.46,0,373.83,0.1,-362.37,522D1184 Index,184D1522 Index
Costa Rica,380.84,0.06,206,0.07,174.84,0.05,31.16,238D1184 Index,184D1238 Index
Mozambique,358.96,0.05,53.3,0.02,305.65,0.09,-252.35,688D1184 Index,184D1688 Index
Mauritania,337.83,0.05,179.48,0.06,158.35,0.04,21.12,682D1184 Index,184D1682 Index
Senegal,332.73,0.05,226.57,0.08,106.16,0.03,120.41,722D1184 Index,184D1722 Index
Ghana,328.6,0.05,199.31,0.07,129.29,0.04,70.03,652D1184 Index,184D1652 Index
Bolivia,320.24,0.05,253.58,0.08,66.66,0.02,186.92,218D1184 Index,184D1218 Index
Mauritius,312.62,0.05,186.79,0.06,125.82,0.04,60.97,684D1184 Index,184D1684 Index
Oman,288.9,0.04,218.71,0.07,70.19,0.02,148.52,449D1184 Index,184D1449 Index
Albania,262.42,0.04,90.8,0.03,171.62,0.05,-80.82,914D1184 Index,184D1914 Index
Paraguay,257,0.04,120.34,0.04,136.66,0.04,-16.32,288D1184 Index,184D1288 Index
Guinea,220.1,0.03,37.54,0.01,182.57,0.05,-145.03,656D1184 Index,184D1656 Index
Georgia,198.05,0.03,90.28,0.03,107.77,0.03,-17.49,915D1184 Index,184D1915 Index
Honduras,194.98,0.03,138.71,0.05,56.27,0.02,82.43,268D1184 Index,184D1268 Index
El Salvador,181.88,0.03,122.08,0.04,59.8,0.02,62.28,253D1184 Index,184D1253 Index
Kenya,180.18,0.03,140.67,0.05,39.51,0.01,101.16,664D1184 Index,184D1664 Index
Seychelles,175.85,0.03,152.36,0.05,23.5,0.01,128.86,718D1184 Index,184D1718 Index
Nicaragua,175.77,0.03,68.35,0.02,107.42,0.03,-39.07,278D1184 Index,184D1278 Index
Ethiopia,169.53,0.03,159.77,0.05,9.76,0,150.01,644D1184 Index,184D1644 Index
Bahrain,166.8,0.03,97.92,0.03,68.88,0.02,29.04,419D1184 Index,184D1419 Index
Macedonia,158.39,0.02,86.05,0.03,72.33,0.02,13.72,962D1184 Index,184D1962 Index
Congo,155.93,0.02,47.76,0.02,108.17,0.03,-60.4,634D1184 Index,184D1634 Index
Iceland,155.84,0.02,79.32,0.03,76.52,0.02,2.8,176D1184 Index,184D1176 Index
Bosnia and Herzegovina,151.36,0.02,118.53,0.04,32.83,0.01,85.7,963D1184 Index,184D1963 Index
"Congo, Democratic Republic",140.08,0.02,47.59,0.02,92.49,0.03,-44.9,636D1184 Index,184D1636 Index
Cape Verde,122.59,0.02,64.9,0.02,57.69,0.02,7.21,624D1184 Index,184D1624 Index
Sri Lanka,119.87,0.02,50.43,0.02,69.44,0.02,-19.01,524D1184 Index,184D1524 Index
Madagascar,118.67,0.02,53.94,0.02,64.74,0.02,-10.8,674D1184 Index,184D1674 Index
New Caledonia,115.95,0.02,58.46,0.02,57.48,0.02,0.98,839D1184 Index,184D1839 Index
Liberia,109.75,0.02,63.12,0.02,46.62,0.01,16.5,668D1184 Index,184D1668 Index
Papua New Guinea,104.74,0.02,2.27,0,102.46,0.03,-100.19,853D1184 Index,184D1853 Index
Benin,104.19,0.02,101.28,0.03,2.92,0,98.36,638D1184 Index,184D1638 Index
Armenia,102.33,0.02,50.49,0.02,51.83,0.01,-1.34,911D1184 Index,184D1911 Index
Togo,90.57,0.01,82.95,0.03,7.62,0,75.34,742D1184 Index,184D1742 Index
Uganda,67.63,0.01,23.96,0.01,43.67,0.01,-19.71,746D1184 Index,184D1746 Index
Moldova,64.42,0.01,47.46,0.02,16.95,0,30.51,921D1184 Index,184D1921 Index
Peoples Democratic Republic of Yemen,61.74,0.01,55.39,0.02,6.35,0,49.04,474D1184 Index,184D1474 Index
Myanmar,61.09,0.01,5.96,0,55.13,0.02,-49.17,518D1184 Index,184D1518 Index
Macau,59.78,0.01,58.82,0.02,0.96,0,57.85,546D1184 Index,184D1546 Index
Burkina Faso,58.55,0.01,48.24,0.02,10.31,0,37.93,748D1184 Index,184D1748 Index
Fiji,57.98,0.01,37.16,0.01,20.82,0.01,16.34,819D1184 Index,184D1819 Index
Tanzania,55.77,0.01,33.81,0.01,21.96,0.01,11.85,738D1184 Index,184D1738 Index
Mali,48,0.01,45.3,0.02,2.7,0,42.6,678D1184 Index,184D1678 Index
Montenegro,45.71,0.01,45.54,0.02,0.18,0,45.36,943D1184 Index,184D1943 Index
Jamaica,45.05,0.01,44.21,0.01,0.84,0,43.37,343D1184 Index,184D1343 Index
Syria,42.01,0.01,37.48,0.01,4.53,0,32.94,463D1184 Index,184D1463 Index
Zimbabwe,41.56,0.01,3.08,0,38.48,0.01,-35.4,698D1184 Index,184D1698 Index
Sudan,41.17,0.01,22.1,0.01,19.07,0.01,3.02,732D1184 Index,184D1732 Index
Uzbekistan,40.93,0.01,36.94,0.01,3.99,0,32.95,927D1184 Index,184D1927 Index
Turkmenistan,31.79,0,19.23,0.01,12.56,0,6.67,925D1184 Index,184D1925 Index
Kyrgyzstan,25.89,0,25.67,0.01,0.23,0,25.44,917D1184 Index,184D1917 Index
Haiti,25.59,0,21.08,0.01,4.51,0,16.57,263D1184 Index,184D1263 Index
Mongolia,24.2,0,23.41,0.01,0.79,0,22.62,948D1184 Index,184D1948 Index
Sierra Leone,22.26,0,20.79,0.01,1.47,0,19.32,724D1184 Index,184D1724 Index
Afghanistan,19.03,0,15.85,0.01,3.18,0,12.67,512D1184 Index,184D1512 Index
Aruba,17.33,0,16.79,0.01,0.54,0,16.25,314D1184 Index,184D1314 Index
Zambia,16.05,0,11.53,0,4.52,0,7.01,754D1184 Index,184D1754 Index
Faeroe Islands,15.44,0,12.71,0,2.73,0,9.98,816D1184 Index,184D1816 Index
Malawi,15.33,0,2.41,0,12.92,0,-10.51,676D1184 Index,184D1676 Index
Bahamas,12.74,0,11.77,0,0.97,0,10.8,313D1184 Index,184D1313 Index
Niger,11.01,0,9.72,0,1.3,0,8.42,692D1184 Index,184D1692 Index
Chad,10.66,0,9.96,0,0.7,0,9.27,628D1184 Index,184D1628 Index
Gambia,10.4,0,8.4,0,2,0,6.41,648D1184 Index,184D1648 Index
Barbados,9.87,0,8.16,0,1.71,0,6.45,316D1184 Index,184D1316 Index
Solomon Islands,8.59,0,0.3,0,8.29,0,-8,813D1184 Index,184D1813 Index
Nepal,8.46,0,4.96,0,3.5,0,1.45,558D1184 Index,184D1558 Index
Suriname,7.56,0,5.76,0,1.8,0,3.96,366D1184 Index,184D1366 Index
Guyana,6.65,0,1.48,0,5.17,0,-3.69,336D1184 Index,184D1336 Index
Belize,6.64,0,0.88,0,5.76,0,-4.88,339D1184 Index,184D1339 Index
Laos,5.73,0,0.03,0,5.7,0,-5.68,544D1184 Index,184D1544 Index
Maldives,5.33,0,2.51,0,2.83,0,-0.32,556D1184 Index,184D1556 Index
Djibouti,4.15,0,0.66,0,3.49,0,-2.82,611D1184 Index,184D1611 Index
Tajikistan,3.93,0,3.93,0,0,0,3.93,923D1184 Index,184D1923 Index
Rwanda,3.8,0,3.64,0,0.16,0,3.48,714D1184 Index,184D1714 Index
Brunei Darussalam,3.73,0,3.71,0,0.02,0,3.68,516D1184 Index,184D1516 Index
Sao Tome & Principe,3.51,0,2.12,0,1.38,0,0.74,716D1184 Index,184D1716 Index
Guinea-Bissau,2.1,0,2.1,0,0,0,2.1,654D1184 Index,184D1654 Index
Greenland,1.77,0,1.58,0,0.19,0,1.39,326D1184 Index,184D1326 Index
Central African Rep.,1.74,0,1.51,0,0.23,0,1.28,626D1184 Index,184D1626 Index
Somalia,1.68,0,1.59,0,0.09,0,1.49,726D1184 Index,184D1726 Index
Bermuda,1.37,0,0.61,0,0.76,0,-0.16,319D1184 Index,184D1319 Index
Burundi,0.93,0,0.6,0,0.33,0,0.27,618D1184 Index,184D1618 Index
North Korea,0.9,0,0.18,0,0.73,0,-0.55,954D1184 Index,184D1954 Index
Comoros,0.52,0,0.24,0,0.28,0,-0.05,632D1184 Index,184D1632 Index
St. Vincent & Grens.,0.51,0,0.49,0,0.03,0,0.46,364I1184 Index,184D1364 Index
Grenada,0.45,0,0.25,0,0.2,0,0.05,328D1184 Index,184D1328 Index
St. Lucia,0.29,0,0.28,0,0.01,0,0.28,362D1184 Index,184D1362 Index
St. Kitts And Nevis,0.12,0,0.02,0,0.09,0,-0.07,361D1184 Index,184D1361 Index
Dominica,0.11,0,0.11,0,0,0,0.11,321D1184 Index,184D1321 Index
Vanuatu,0.1,0,0.01,0,0.1,0,-0.09,846D1184 Index,184D1846 Index
Samoa,0.03,0,0.03,0,0,0,0.03,862D1184 Index,184D1862 Index
Tonga,0.01,0,0.01,0,0,0,0.01,866D1184 Index,184D1866 Index
Netherlands Antilles,0,0,0,0,0,0,0,353D1184 Index,184D1353 Index
