Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,730364,100,287381,100,442983,100,-155602,001D1534 Index,534D1001 Index
Emerging and Developing Economies,421180,57.67,145155,50.51,276025,62.31,-130870,200I1534 Index,534D1200 Index
Advanced Economies,301186,41.24,142092,49.44,159094,35.91,-17002,110D1534 Index,534D1110 Index
Non Fuel Exporting Countries,262435,35.93,105087,36.57,157348,35.52,-52261,092D1534 Index,534D1092 Index
Developing Asia,169520.7,23.21,57517.7,20.01,112003,25.28,-54485.3,505D1534 Index,534D1505 Index
Fuel Exporting Countries,158745.2,21.74,40068.2,13.94,118677,26.79,-78608.8,080D1534 Index,534D1080 Index
China,88311.3,12.09,16355.6,5.69,71955.7,16.24,-55600.1,924D1534 Index,534D1924 Index
European Union,81511.9,11.16,40559.9,14.11,40952,9.24,-392.1,998D1534 Index,534D1998 Index
United States,72695.3,9.95,48631.3,16.92,24064,5.43,24567.3,111D1534 Index,534D1111 Index
Euro-zone,72430.8,9.92,35640.2,12.4,36790.6,8.31,-1150.4,995D1534 Index,534D1995 Index
Sub-Saharan Africa,50311.5,6.89,18197.1,6.33,32114.4,7.25,-13917.3,603D1534 Index,534D1603 Index
United Arab Emirates,43323.2,5.93,20232,7.04,23091.2,5.21,-2859.2,466D1534 Index,534D1466 Index
Developing Western Hemisphere,37937.1,5.19,14294.1,4.97,23643,5.34,-9348.9,205D1534 Index,534D1205 Index
Developing Europe,28777.9,3.94,14193.5,4.94,14584.4,3.29,-390.9,170D1534 Index,534D1170 Index
Saudi Arabia,26303.95,3.6,5236.75,1.82,21067.2,4.76,-15830.45,456D1534 Index,534D1456 Index
Hong Kong,24814.3,3.4,13811,4.81,11003.3,2.48,2807.7,532D1534 Index,534D1532 Index
Switzerland,22034.98,3.02,1619.98,0.56,20415,4.61,-18795.02,146D1534 Index,534D1146 Index
South Korea,20928.09,2.87,4822.19,1.68,16105.9,3.64,-11283.71,542D1534 Index,534D1542 Index
Germany,20448.54,2.8,7639.84,2.66,12808.7,2.89,-5168.86,134D1534 Index,534D1134 Index
Indonesia,20277.95,2.78,4048.55,1.41,16229.4,3.66,-12180.85,536D1534 Index,534D1536 Index
Australia,18477.25,2.53,4152.15,1.44,14325.1,3.23,-10172.95,193D1534 Index,534D1193 Index
Iraq,16647.31,2.28,1336.31,0.46,15311,3.46,-13974.69,433D1534 Index,534D1433 Index
CIS Countries,16182.84,2.22,4432.04,1.54,11750.8,2.65,-7318.76,901D1534 Index,534D1901 Index
Japan,15823.91,2.17,5354.51,1.86,10469.4,2.36,-5114.89,158D1534 Index,534D1158 Index
Malaysia,15162.35,2.08,6264.01,2.18,8898.34,2.01,-2634.33,548D1534 Index,534D1548 Index
Singapore,14493.4,1.98,7273.79,2.53,7219.61,1.63,54.18,576D1534 Index,534D1576 Index
United Kingdom,13357.16,1.83,9023.45,3.14,4333.71,0.98,4689.74,112D1534 Index,534D1112 Index
Iran,13311.8,1.82,2254.6,0.78,11057.2,2.5,-8802.6,429D1534 Index,534D1429 Index
