Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,316470,100,176301,100,140169,100,36132,001D1456 Index,456D1001 Index
Advanced Economies,165355.6,52.25,89124.2,50.55,76231.4,54.39,12892.8,110D1456 Index,456D1110 Index
Emerging and Developing Economies,150898.7,47.68,87176.5,49.45,63722.2,45.46,23454.3,200I1456 Index,456D1200 Index
Non Fuel Exporting Countries,126642.7,40.02,74806.1,42.43,51836.6,36.98,22969.5,092D1456 Index,456D1092 Index
Developing Asia,89106.9,28.16,55284.3,31.36,33822.6,24.13,21461.7,505D1456 Index,456D1505 Index
European Union,52106.9,16.47,19193.4,10.89,32913.5,23.48,-13720.1,998D1456 Index,456D1998 Index
Euro-zone,46600.4,14.73,18300.2,10.38,28300.2,20.19,-10000,995D1456 Index,456D1995 Index
China,43677.8,13.8,23595.4,13.38,20082.4,14.33,3513,924D1456 Index,456D1924 Index
United States,37700.6,11.91,16925.9,9.6,20774.7,14.82,-3848.8,111D1456 Index,456D1111 Index
Japan,27003.17,8.53,19584.3,11.11,7418.87,5.29,12165.43,158D1456 Index,456D1158 Index
Fuel Exporting Countries,24256,7.66,12370.4,7.02,11885.6,8.48,484.8,080D1456 Index,456D1080 Index
India,23689.92,7.49,18446.6,10.46,5243.32,3.74,13203.28,534D1456 Index,456D1534 Index
South Korea,21921.33,6.93,15700.6,8.91,6220.73,4.44,9479.87,542D1456 Index,456D1542 Index
United Arab Emirates,12104.66,3.82,4473.66,2.54,7631,5.44,-3157.34,466D1456 Index,456D1466 Index
Developing Europe,9819.49,3.1,2995.3,1.7,6824.19,4.87,-3828.89,170D1456 Index,456D1170 Index
Germany,9637.25,3.05,482.33,0.27,9154.92,6.53,-8672.59,134D1456 Index,456D1134 Index
France,8990.01,2.84,4053.52,2.3,4936.49,3.52,-882.97,132D1456 Index,456D1132 Index
Singapore,8753.36,2.77,8128.48,4.61,624.88,0.45,7503.6,576D1456 Index,456D1576 Index
Sub-Saharan Africa,7990.04,2.52,6177.52,3.5,1812.52,1.29,4365,603D1456 Index,456D1603 Index
Thailand,7806.01,2.47,4816.35,2.73,2989.66,2.13,1826.69,578D1456 Index,456D1578 Index
Italy,7450.41,2.35,2826.69,1.6,4623.72,3.3,-1797.03,136D1456 Index,456D1136 Index
Developing Western Hemisphere,6890.18,2.18,1964,1.11,4926.18,3.51,-2962.18,205D1456 Index,456D1205 Index
Spain,5945.24,1.88,3335.19,1.89,2610.05,1.86,725.14,184D1456 Index,456D1184 Index
Bahrain,5075.32,1.6,3647.97,2.07,1427.35,1.02,2220.62,419D1456 Index,456D1419 Index
Turkey,5056.25,1.6,1839.22,1.04,3217.03,2.3,-1377.81,186D1456 Index,456D1186 Index
United Kingdom,4969.82,1.57,1655.5,0.94,3314.32,2.36,-1658.82,112D1456 Index,456D1112 Index
Egypt,4725.15,1.49,2609.8,1.48,2115.35,1.51,494.45,469D1456 Index,456D1469 Index
Netherlands,4616.54,1.46,3124.83,1.77,1491.71,1.06,1633.12,138D1456 Index,456D1138 Index
Indonesia,4403.91,1.39,2725.03,1.55,1678.88,1.2,1046.15,536D1456 Index,456D1536 Index
Brazil,4097.24,1.29,1292.42,0.73,2804.82,2,-1512.4,223D1456 Index,456D1223 Index
Belgium,4047.72,1.28,2561.74,1.45,1485.98,1.06,1075.76,124D1456 Index,456D1124 Index
South Africa,3875.7,1.22,3048.12,1.73,827.58,0.59,2220.54,199D1456 Index,456D1199 Index
Malaysia,3640.66,1.15,2560.21,1.45,1080.45,0.77,1479.76,548D1456 Index,456D1548 Index
Jordan,3046.85,0.96,1969.09,1.12,1077.76,0.77,891.33,439D1456 Index,456D1439 Index
Vietnam,3027.1,0.96,1165.28,0.66,1861.82,1.33,-696.54,582D1456 Index,456D1582 Index
Switzerland,2886.05,0.91,446.24,0.25,2439.81,1.74,-1993.57,146D1456 Index,456D1146 Index
Canada,2457.67,0.78,1381.71,0.78,1075.96,0.77,305.75,156D1456 Index,456D1156 Index
Pakistan,2330.7,0.74,1843.13,1.05,487.57,0.35,1355.56,564D1456 Index,456D1564 Index
Oman,1937.23,0.61,832.03,0.47,1105.2,0.79,-273.17,449D1456 Index,456D1449 Index
CIS Countries,1886.88,0.6,387.9,0.22,1498.98,1.07,-1111.08,901D1456 Index,456D1901 Index
Australia,1714.96,0.54,343.18,0.19,1371.78,0.98,-1028.61,193D1456 Index,456D1193 Index
Qatar,1703.91,0.54,1381.45,0.78,322.46,0.23,1058.99,453D1456 Index,456D1453 Index
Poland,1561.47,0.49,553.83,0.31,1007.64,0.72,-453.81,964D1456 Index,456D1964 Index
Ethiopia,1389.26,0.44,1212.16,0.69,177.1,0.13,1035.06,644D1456 Index,456D1644 Index
Greece,1367.6,0.43,927.73,0.53,439.87,0.31,487.86,174D1456 Index,456D1174 Index
Philippines,1360.93,0.43,1078.43,0.61,282.5,0.2,795.93,566D1456 Index,456D1566 Index
Sweden,1328.34,0.42,120.66,0.07,1207.68,0.86,-1087.02,144D1456 Index,456D1144 Index
Austria,1217,0.38,182.2,0.1,1034.8,0.74,-852.6,122D1456 Index,456D1122 Index
Ireland,1195.02,0.38,21.65,0.01,1173.37,0.84,-1151.72,178D1456 Index,456D1178 Index
Argentina,1075.12,0.34,245.95,0.14,829.17,0.59,-583.23,213D1456 Index,456D1213 Index
Sudan,1045.74,0.33,523.43,0.3,522.31,0.37,1.12,732D1456 Index,456D1732 Index
Morocco,1004.46,0.32,797.62,0.45,206.85,0.15,590.77,686D1456 Index,456D1686 Index
Bangladesh,989,0.31,620.14,0.35,368.86,0.26,251.29,513D1456 Index,456D1513 Index
Kuwait,958.62,0.3,502.55,0.29,456.07,0.33,46.48,443D1456 Index,456D1443 Index
Mexico,941.24,0.3,118,0.07,823.24,0.59,-705.24,273D1456 Index,456D1273 Index
New Zealand,875.7,0.28,466.19,0.26,409.51,0.29,56.68,196D1456 Index,456D1196 Index
Ukraine,865.64,0.27,139.42,0.08,726.22,0.52,-586.81,926D1456 Index,456D1926 Index
Russia,863.37,0.27,140.88,0.08,722.49,0.52,-581.61,922D1456 Index,456D1922 Index
Denmark,790.37,0.25,8.7,0,781.67,0.56,-772.97,128D1456 Index,456D1128 Index
Lebanon,760.68,0.24,372.22,0.21,388.47,0.28,-16.25,446D1456 Index,456D1446 Index
Kenya,755.66,0.24,682.36,0.39,73.3,0.05,609.06,664D1456 Index,456D1664 Index
Portugal,736.28,0.23,511.09,0.29,225.19,0.16,285.9,182D1456 Index,456D1182 Index
Algeria,656.04,0.21,646.45,0.37,9.58,0.01,636.87,612D1456 Index,456D1612 Index
Czech Republic,605.85,0.19,39.5,0.02,566.36,0.4,-526.86,935D1456 Index,456D1935 Index
"Congo, Democratic Republic",550.22,0.17,59.08,0.03,491.14,0.35,-432.06,636D1456 Index,456D1636 Index
Hong Kong,510.83,0.16,487.34,0.28,23.49,0.02,463.85,532D1456 Index,456D1532 Index
Finland,429.4,0.14,5.44,0,423.96,0.3,-418.52,172D1456 Index,456D1172 Index
Hungary,422.98,0.13,60.57,0.03,362.41,0.26,-301.85,944D1456 Index,456D1944 Index
Romania,389.59,0.12,13.12,0.01,376.47,0.27,-363.35,968D1456 Index,456D1968 Index
Somalia,389.28,0.12,83.16,0.05,306.12,0.22,-222.95,726D1456 Index,456D1726 Index
Iraq,318.02,0.1,311.81,0.18,6.21,0,305.6,433D1456 Index,456D1433 Index
Lithuania,285.07,0.09,103.02,0.06,182.04,0.13,-79.02,946D1456 Index,456D1946 Index
Tunisia,256.09,0.08,208,0.12,48.09,0.03,159.91,744D1456 Index,456D1744 Index
Uganda,251.28,0.08,249.97,0.14,1.32,0,248.65,746D1456 Index,456D1746 Index
Croatia,249.5,0.08,75.83,0.04,173.67,0.12,-97.83,960D1456 Index,456D1960 Index
Peoples Democratic Republic of Yemen,238.5,0.08,173.67,0.1,64.84,0.05,108.83,474D1456 Index,456D1474 Index
Tanzania,235.9,0.07,220.35,0.12,15.55,0.01,204.8,738D1456 Index,456D1738 Index
Sri Lanka,234.24,0.07,135.78,0.08,98.46,0.07,37.32,524D1456 Index,456D1524 Index
Norway,227.79,0.07,23.91,0.01,203.88,0.15,-179.97,142D1456 Index,456D1142 Index
Syria,227.52,0.07,114.69,0.07,112.83,0.08,1.87,463D1456 Index,456D1463 Index
Zambia,191.75,0.06,31.84,0.02,159.91,0.11,-128.07,754D1456 Index,456D1754 Index
Peru,180.89,0.06,154.71,0.09,26.19,0.02,128.52,293D1456 Index,456D1293 Index
Chile,172.18,0.05,16.27,0.01,155.91,0.11,-139.64,228D1456 Index,456D1228 Index
Slovakia,163.27,0.05,2.19,0,161.08,0.11,-158.89,936D1456 Index,456D1936 Index
Bulgaria,158.41,0.05,20.98,0.01,137.44,0.1,-116.46,918D1456 Index,456D1918 Index
Slovenia,157.73,0.05,83.41,0.05,74.32,0.05,9.1,961D1456 Index,456D1961 Index
Madagascar,154.53,0.05,149.3,0.08,5.23,0,144.07,674D1456 Index,456D1674 Index
Ecuador,128.53,0.04,14.32,0.01,114.2,0.08,-99.88,248D1456 Index,456D1248 Index
Myanmar,118.09,0.04,69.84,0.04,48.25,0.03,21.6,518D1456 Index,456D1518 Index
Guatemala,117.95,0.04,39.5,0.02,78.46,0.06,-38.96,258D1456 Index,456D1258 Index
Libya,114.45,0.04,114.41,0.06,0.04,0,114.37,672D1456 Index,456D1672 Index
Estonia,100.44,0.03,12.25,0.01,88.2,0.06,-75.95,939D1456 Index,456D1939 Index
Latvia,88.25,0.03,0.09,0,88.16,0.06,-88.07,941D1456 Index,456D1941 Index
Djibouti,84.97,0.03,56.2,0.03,28.77,0.02,27.43,611D1456 Index,456D1611 Index
Cambodia,82.36,0.03,4.17,0,78.18,0.06,-74.01,522D1456 Index,456D1522 Index
Belarus,79.29,0.03,75.64,0.04,3.66,0,71.98,913D1456 Index,456D1913 Index
Cote D Ivoire,75.72,0.02,74.64,0.04,1.08,0,73.56,662D1456 Index,456D1662 Index
Nigeria,71.46,0.02,66.32,0.04,5.15,0,61.17,694D1456 Index,456D1694 Index
Malta,70.58,0.02,44.82,0.03,25.76,0.02,19.06,181D1456 Index,456D1181 Index
Nepal,63.21,0.02,62.38,0.04,0.83,0,61.55,558D1456 Index,456D1558 Index
Ghana,57.33,0.02,51.72,0.03,5.61,0,46.11,652D1456 Index,456D1652 Index
Luxembourg,53.66,0.02,0.98,0,52.68,0.04,-51.71,137D1456 Index,456D1137 Index
Colombia,50.87,0.02,35.15,0.02,15.72,0.01,19.43,233D1456 Index,456D1233 Index
Cyprus,48.88,0.02,21.01,0.01,27.88,0.02,-6.87,423D1456 Index,456D1423 Index
Macau,42.19,0.01,41.46,0.02,0.73,0,40.74,546D1456 Index,456D1546 Index
Angola,38.4,0.01,37.88,0.02,0.52,0,37.35,614D1456 Index,456D1614 Index
Bosnia and Herzegovina,35.81,0.01,3.37,0,32.43,0.02,-29.06,963D1456 Index,456D1963 Index
Uruguay,34.27,0.01,19.16,0.01,15.11,0.01,4.05,298D1456 Index,456D1298 Index
Costa Rica,29.47,0.01,4,0,25.46,0.02,-21.46,238D1456 Index,456D1238 Index
Georgia,29.42,0.01,4.2,0,25.21,0.02,-21.01,915D1456 Index,456D1915 Index
Mauritius,29.33,0.01,24.61,0.01,4.72,0,19.89,684D1456 Index,456D1684 Index
Iceland,25.68,0.01,24.98,0.01,0.7,0,24.28,176D1456 Index,456D1176 Index
Senegal,24.21,0.01,24.16,0.01,0.05,0,24.11,722D1456 Index,456D1722 Index
