Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,686324,100,448814,100,237510,100,211304,001D1922 Index,922D1001 Index
Advanced Economies,349053,50.86,232536,51.81,116517,49.06,116019,110D1922 Index,922D1110 Index
Emerging and Developing Economies,336704,49.06,215747,48.07,120957,50.93,94790,200I1922 Index,922D1200 Index
Non Fuel Exporting Countries,305165,44.46,192909,42.98,112256,47.26,80653,092D1922 Index,922D1092 Index
European Union,274902.1,40.05,189927,42.32,84975.1,35.78,104951.9,998D1922 Index,922D1998 Index
Euro-zone,214880,31.31,146745,32.7,68135,28.69,78610,995D1922 Index,922D1995 Index
Developing Europe,153433.4,22.36,111345,24.81,42088.4,17.72,69256.6,170D1922 Index,922D1170 Index
Developing Asia,142797.2,20.81,76644,17.08,66153.2,27.85,10490.8,505D1922 Index,922D1505 Index
China,110747.4,16.14,58579.8,13.05,52167.6,21.96,6412.2,924D1922 Index,922D1924 Index
CIS Countries,79613.5,11.6,53361.9,11.89,26251.6,11.05,27110.3,901D1922 Index,922D1901 Index
Germany,64303.8,9.37,38814.4,8.65,25489.4,10.73,13325,134D1922 Index,922D1134 Index
Belarus,34503.9,5.03,22619.4,5.04,11884.5,5,10734.9,913D1922 Index,922D1913 Index
United States,33486.2,4.88,20795.5,4.63,12690.7,5.34,8104.8,111D1922 Index,922D1111 Index
Netherlands,32415.73,4.72,28720.8,6.4,3694.93,1.56,25025.87,138D1922 Index,922D1138 Index
Fuel Exporting Countries,31538.67,4.6,22837.5,5.09,8701.17,3.66,14136.33,080D1922 Index,922D1080 Index
Italy,28253.5,4.12,17684.2,3.94,10569.3,4.45,7114.9,136D1922 Index,922D1136 Index
Turkey,26914.62,3.92,22710.8,5.06,4203.82,1.77,18506.98,186D1922 Index,922D1186 Index
South Korea,24424.84,3.56,17458.1,3.89,6966.74,2.93,10491.36,542D1922 Index,922D1542 Index
Japan,24400.35,3.56,15583.5,3.47,8816.85,3.71,6766.65,158D1922 Index,922D1158 Index
Poland,23957.42,3.49,18821.5,4.19,5135.92,2.16,13685.58,964D1922 Index,922D1964 Index
France,20847.35,3.04,11270.3,2.51,9577.05,4.03,1693.25,132D1922 Index,922D1132 Index
Developing Western Hemisphere,17313.71,2.52,8938.82,1.99,8374.89,3.53,563.93,205D1922 Index,922D1205 Index
Kazakhstan,17193.29,2.51,11969.2,2.67,5224.09,2.2,6745.11,916D1922 Index,922D1916 Index
Belgium,14366.49,2.09,11901.4,2.65,2465.09,1.04,9436.31,124D1922 Index,922D1124 Index
Finland,14246.7,2.08,10871.8,2.42,3374.9,1.42,7496.9,172D1922 Index,922D1172 Index
Ukraine,13531.12,1.97,8092.71,1.8,5438.41,2.29,2654.3,926D1922 Index,922D1926 Index
United Kingdom,13501.14,1.97,9461.18,2.11,4039.96,1.7,5421.22,112D1922 Index,922D1112 Index
India,10072.13,1.47,6849.39,1.53,3222.74,1.36,3626.65,534D1922 Index,922D1534 Index
Hungary,7901.23,1.15,5741.01,1.28,2160.22,0.91,3580.79,944D1922 Index,922D1944 Index
Sweden,7597.38,1.11,5375.6,1.2,2221.78,0.94,3153.82,144D1922 Index,922D1144 Index
Czech Republic,7204.47,1.05,3437.26,0.77,3767.21,1.59,-329.95,935D1922 Index,922D1935 Index
Spain,6893.19,1,3496.83,0.78,3396.36,1.43,100.47,184D1922 Index,922D1184 Index
Slovakia,6846.28,1,4655.79,1.04,2190.49,0.92,2465.3,936D1922 Index,922D1936 Index
Singapore,6634.4,0.97,5764.98,1.28,869.42,0.37,4895.56,576D1922 Index,922D1576 Index
Brazil,6047.27,0.88,3576.17,0.8,2471.1,1.04,1105.07,223D1922 Index,922D1223 Index
Sub-Saharan Africa,5842.59,0.85,4138.3,0.92,1704.29,0.72,2434.01,603D1922 Index,922D1603 Index
Vietnam,5754.97,0.84,2131.1,0.47,3623.87,1.53,-1492.77,582D1922 Index,922D1582 Index
Lithuania,5712.64,0.83,5172.68,1.15,539.96,0.23,4632.72,946D1922 Index,922D1946 Index
Austria,5548.68,0.81,3154.8,0.7,2393.88,1.01,760.92,122D1922 Index,922D1122 Index
Romania,5490.12,0.8,3668.26,0.82,1821.86,0.77,1846.4,968D1922 Index,922D1968 Index
Greece,5154.55,0.75,4878.44,1.09,276.11,0.12,4602.33,174D1922 Index,922D1174 Index
Uzbekistan,4444.73,0.65,3382.85,0.75,1061.88,0.45,2320.97,927D1922 Index,922D1927 Index
Bulgaria,4197.48,0.61,3672.52,0.82,524.96,0.22,3147.57,918D1922 Index,922D1918 Index
Thailand,4192.99,0.61,2337.54,0.52,1855.45,0.78,482.09,578D1922 Index,922D1578 Index
