Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1401233,100,730050,100,671183,100,58867,001D1158 Index,158D1001 Index
Emerging and Developing Economies,756623,54,361500,49.52,395123,58.87,-33623,200I1158 Index,158D1200 Index
Advanced Economies,644533,46,368490,50.47,276043,41.13,92447,110D1158 Index,158D1110 Index
Non Fuel Exporting Countries,630697,45.01,327169,44.81,303528,45.22,23641,092D1158 Index,158D1092 Index
Developing Asia,541550,38.65,273302,37.44,268248,39.97,5054,505D1158 Index,158D1505 Index
China,330127,23.56,165773,22.71,164354,24.49,1419,924D1158 Index,158D1924 Index
United States,210379.5,15.01,136544,18.7,73835.5,11,62708.5,111D1158 Index,158D1111 Index
European Union,135471.9,9.67,64453.3,8.83,71018.6,10.58,-6565.3,998D1158 Index,158D1998 Index
Fuel Exporting Countries,125926.6,8.99,34330.7,4.7,91595.9,13.65,-57265.2,080D1158 Index,158D1080 Index
Euro-zone,120227.9,8.58,57664.7,7.9,62563.2,9.32,-4898.5,995D1158 Index,158D1995 Index
South Korea,82483.9,5.89,54368.9,7.45,28115,4.19,26253.9,542D1158 Index,158D1542 Index
Developing Western Hemisphere,58506.6,4.18,32467.3,4.45,26039.3,3.88,6428,205D1158 Index,158D1205 Index
Australia,56135.7,4.01,17150.8,2.35,38984.9,5.81,-21834.1,193D1158 Index,158D1193 Index
Thailand,55108.4,3.93,32386.1,4.44,22722.3,3.39,9663.8,578D1158 Index,158D1578 Index
Germany,41534.6,2.96,18108.5,2.48,23426.1,3.49,-5317.6,134D1158 Index,158D1134 Index
Developing Europe,37646.2,2.69,17842.7,2.44,19803.5,2.95,-1960.8,170D1158 Index,158D1170 Index
Hong Kong,37596.72,2.68,35769.9,4.9,1826.82,0.27,33943.08,532D1158 Index,158D1532 Index
Vietnam,35422.5,2.53,16916.8,2.32,18505.7,2.76,-1588.9,582D1158 Index,158D1582 Index
Indonesia,35044.3,2.5,15241.4,2.09,19802.9,2.95,-4561.5,536D1158 Index,158D1536 Index
United Arab Emirates,34714,2.48,13982.8,1.92,20731.2,3.09,-6748.4,466D1158 Index,158D1466 Index
Malaysia,34065.8,2.43,14801.1,2.03,19264.7,2.87,-4463.6,548D1158 Index,158D1548 Index
Saudi Arabia,33027.71,2.36,5284.21,0.72,27743.5,4.13,-22459.29,456D1158 Index,158D1456 Index
Singapore,28986.87,2.07,20463.9,2.8,8522.97,1.27,11940.93,576D1158 Index,158D1576 Index
CIS Countries,25514.43,1.82,9697.63,1.33,15816.8,2.36,-6119.17,901D1158 Index,158D1901 Index
Canada,25182.1,1.8,14231,1.95,10951.1,1.63,3279.9,156D1158 Index,158D1156 Index
Mexico,25053.61,1.79,19277.2,2.64,5776.41,0.86,13500.79,273D1158 Index,158D1273 Index
Russia,21617.03,1.54,7761.63,1.06,13855.4,2.06,-6093.77,922D1158 Index,158D1922 Index
Philippines,20280.86,1.45,10555.1,1.45,9725.76,1.45,829.34,566D1158 Index,158D1566 Index
United Kingdom,19854.34,1.42,12788.2,1.75,7066.14,1.05,5722.06,112D1158 Index,158D1112 Index
France,16657.77,1.19,6257.07,0.86,10400.7,1.55,-4143.63,132D1158 Index,158D1132 Index
India,15823.91,1.13,10469.4,1.43,5354.51,0.8,5114.89,534D1158 Index,158D1534 Index
Sub-Saharan Africa,15077.22,1.08,7782.2,1.07,7295.02,1.09,487.18,603D1158 Index,158D1603 Index
Italy,15024.11,1.07,4703.31,0.64,10320.8,1.54,-5617.49,136D1158 Index,158D1136 Index
Netherlands,13549.8,0.97,11154.4,1.53,2395.4,0.36,8759,138D1158 Index,158D1138 Index
Switzerland,12769.46,0.91,4952.68,0.68,7816.78,1.16,-2864.1,146D1158 Index,158D1146 Index
Belgium,12679.19,0.9,9927.69,1.36,2751.5,0.41,7176.19,124D1158 Index,158D1124 Index
Qatar,12565.14,0.9,1582.24,0.22,10982.9,1.64,-9400.66,453D1158 Index,158D1453 Index
Brazil,11170.98,0.8,3988.22,0.55,7182.76,1.07,-3194.54,223D1158 Index,158D1223 Index
Chile,8489.16,0.61,2126.11,0.29,6363.05,0.95,-4236.94,228D1158 Index,158D1228 Index
South Africa,7765.21,0.55,3000.65,0.41,4764.56,0.71,-1763.91,199D1158 Index,158D1199 Index
Spain,6925.72,0.49,3582.16,0.49,3343.56,0.5,238.6,184D1158 Index,158D1184 Index
Kuwait,6477.83,0.46,566.93,0.08,5910.9,0.88,-5343.97,443D1158 Index,158D1443 Index
Ireland,5649.06,0.4,728.21,0.1,4920.85,0.73,-4192.64,178D1158 Index,158D1178 Index
New Zealand,5446.9,0.39,2971.24,0.41,2475.66,0.37,495.58,196D1158 Index,158D1196 Index
Turkey,5065.39,0.36,4434.19,0.61,631.2,0.09,3802.99,186D1158 Index,158D1186 Index
Iran,4230.01,0.3,667.48,0.09,3562.53,0.53,-2895.06,429D1158 Index,158D1429 Index
Sweden,3717.24,0.27,1245.13,0.17,2472.11,0.37,-1226.98,144D1158 Index,158D1144 Index
Norway,3466.94,0.25,1686.67,0.23,1780.27,0.27,-93.6,142D1158 Index,158D1142 Index
Israel,3210.22,0.23,2081.3,0.29,1128.92,0.17,952.38,436D1158 Index,158D1436 Index
Peru,3068.81,0.22,1070.64,0.15,1998.17,0.3,-927.53,293D1158 Index,158D1293 Index
Oman,2843.94,0.2,967.61,0.13,1876.33,0.28,-908.72,449D1158 Index,158D1449 Index
