Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,579592,100,309242,100,270350,100,38892,001D1146 Index,146D1001 Index
Advanced Economies,406762,70.18,215615,69.72,191147,70.7,24468,110D1146 Index,146D1110 Index
European Union,238109,41.08,107038,34.61,131071,48.48,-24033,998D1146 Index,146D1998 Index
Euro-zone,224121,38.67,101749,32.9,122372,45.26,-20623,995D1146 Index,146D1995 Index
Emerging and Developing Economies,172771.4,29.81,93603.4,30.27,79168,29.28,14435.4,200I1146 Index,146D1200 Index
Non Fuel Exporting Countries,137622.5,23.74,81062.5,26.21,56560,20.92,24502.5,092D1146 Index,146D1092 Index
Germany,98256.9,16.95,46550,15.05,51706.9,19.13,-5156.9,134D1146 Index,146D1134 Index
Developing Asia,90605.7,15.63,63308,20.47,27297.7,10.1,36010.3,505D1146 Index,146D1505 Index
United States,61014.5,10.53,36662.5,11.86,24352,9.01,12310.5,111D1146 Index,146D1111 Index
China,52588.6,9.07,40092.4,12.96,12496.2,4.62,27596.2,924D1146 Index,146D1924 Index
United Kingdom,47633.5,8.22,28624.5,9.26,19009,7.03,9615.5,112D1146 Index,146D1112 Index
Fuel Exporting Countries,35148.8,6.06,12540.8,4.06,22608,8.36,-10067.2,080D1146 Index,146D1080 Index
France,34440.3,5.94,18110.3,5.86,16330,6.04,1780.3,132D1146 Index,146D1132 Index
Italy,31502.7,5.44,11761.4,3.8,19741.3,7.3,-7979.9,136D1146 Index,146D1136 Index
Hong Kong,26772.6,4.62,18471.9,5.97,8300.7,3.07,10171.2,532D1146 Index,146D1532 Index
Developing Europe,21665.65,3.74,8847.55,2.86,12818.1,4.74,-3970.55,170D1146 Index,146D1170 Index
United Arab Emirates,20168.51,3.48,3846.41,1.24,16322.1,6.04,-12475.69,466D1146 Index,146D1466 Index
Developing Western Hemisphere,18588.5,3.21,6189.1,2,12399.4,4.59,-6210.3,205D1146 Index,146D1205 Index
Austria,16695.45,2.88,8834.09,2.86,7861.36,2.91,972.73,122D1146 Index,146D1122 Index
India,16397.67,2.83,14898,4.82,1499.67,0.55,13398.33,534D1146 Index,146D1534 Index
Japan,11659.18,2.01,7648.96,2.47,4010.22,1.48,3638.74,158D1146 Index,146D1158 Index
Sub-Saharan Africa,9989.78,1.72,2004.73,0.65,7985.05,2.95,-5980.32,603D1146 Index,146D1603 Index
Belgium,9819.17,1.69,4959.93,1.6,4859.24,1.8,100.69,124D1146 Index,146D1124 Index
Ireland,9429.71,1.63,1671.74,0.54,7757.97,2.87,-6086.23,178D1146 Index,146D1178 Index
Spain,9261.38,1.6,4082.94,1.32,5178.44,1.92,-1095.5,184D1146 Index,146D1184 Index
Thailand,9167.57,1.58,4147.82,1.34,5019.75,1.86,-871.93,578D1146 Index,146D1578 Index
CIS Countries,8772.2,1.51,3567.53,1.15,5204.67,1.93,-1637.14,901D1146 Index,146D1901 Index
Netherlands,8118.16,1.4,3070.87,0.99,5047.29,1.87,-1976.42,138D1146 Index,146D1138 Index
Singapore,7325.2,1.26,3830.31,1.24,3494.89,1.29,335.42,576D1146 Index,146D1576 Index
Turkey,5626.96,0.97,2572.06,0.83,3054.9,1.13,-482.84,186D1146 Index,146D1186 Index
Canada,4643.15,0.8,3606.75,1.17,1036.4,0.38,2570.35,156D1146 Index,146D1156 Index
Israel,4440.54,0.77,3747.91,1.21,692.63,0.26,3055.28,436D1146 Index,146D1436 Index
Russia,3618.46,0.62,1951.52,0.63,1666.94,0.62,284.58,922D1146 Index,146D1922 Index
Czech Republic,3497.66,0.6,1184.62,0.38,2313.04,0.86,-1128.42,935D1146 Index,146D1935 Index
