Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,316936,100,174255,100,142681,100,31574,001D1536 Index,536D1001 Index
Advanced Economies,166706.7,52.6,95400.5,54.75,71306.2,49.98,24094.3,110D1536 Index,536D1110 Index
Emerging and Developing Economies,150089,47.36,78836.4,45.24,71252.6,49.94,7583.8,200I1536 Index,536D1200 Index
Non Fuel Exporting Countries,130361.5,41.13,70443.5,40.43,59918,41.99,10525.5,092D1536 Index,536D1092 Index
Developing Asia,110822.8,34.97,57750,33.14,53072.8,37.2,4677.2,505D1536 Index,536D1505 Index
China,49226.4,15.53,19815.5,11.37,29410.9,20.61,-9595.4,924D1536 Index,536D1924 Index
Japan,33026.1,10.42,19762.6,11.34,13263.5,9.3,6499.1,158D1536 Index,536D1158 Index
Singapore,32399,10.22,14376.5,8.25,18022.5,12.63,-3646,576D1536 Index,536D1576 Index
United States,27192.06,8.58,19575.3,11.23,7616.76,5.34,11958.54,111D1536 Index,536D1111 Index
European Union,25835.1,8.15,15366.2,8.82,10468.9,7.34,4897.3,998D1536 Index,536D1998 Index
Euro-zone,23289.32,7.35,14154.7,8.12,9134.62,6.4,5020.08,995D1536 Index,536D1995 Index
Fuel Exporting Countries,19727.56,6.22,8392.96,4.82,11334.6,7.94,-2941.64,080D1536 Index,536D1080 Index
South Korea,17277.6,5.45,8850.39,5.08,8427.21,5.91,423.18,542D1536 Index,536D1542 Index
India,16624.72,5.25,13883.3,7.97,2741.42,1.92,11141.88,534D1536 Index,536D1534 Index
Malaysia,16480.22,5.2,7949.55,4.56,8530.67,5.98,-581.12,548D1536 Index,536D1548 Index
Thailand,14619.5,4.61,6536.13,3.75,8083.37,5.67,-1547.24,578D1536 Index,536D1578 Index
Australia,9312.84,2.94,4497.05,2.58,4815.79,3.38,-318.74,193D1536 Index,536D1193 Index
Developing Western Hemisphere,8734.57,2.76,4428.22,2.54,4306.35,3.02,121.87,205D1536 Index,536D1205 Index
Developing Europe,7859.28,2.48,4307.88,2.47,3551.4,2.49,756.48,170D1536 Index,536D1170 Index
Germany,6931.62,2.19,3459.93,1.99,3471.69,2.43,-11.76,134D1536 Index,536D1134 Index
Sub-Saharan Africa,6753.52,2.13,3924.17,2.25,2829.35,1.98,1094.82,603D1536 Index,536D1603 Index
Saudi Arabia,5970.76,1.88,2549.13,1.46,3421.63,2.4,-872.5,456D1536 Index,536D1456 Index
Vietnam,5900.02,1.86,2738.49,1.57,3161.53,2.22,-423.04,582D1536 Index,536D1582 Index
CIS Countries,4594.36,1.45,1852.8,1.06,2741.56,1.92,-888.76,901D1536 Index,536D1901 Index
Netherlands,4250.38,1.34,3465.15,1.99,785.23,0.55,2679.92,138D1536 Index,536D1138 Index
Hong Kong,4197.27,1.32,2379.9,1.37,1817.37,1.27,562.53,532D1536 Index,536D1532 Index
Philippines,3904.83,1.23,3221.75,1.85,683.08,0.48,2538.67,566D1536 Index,536D1566 Index
Brazil,3882.84,1.23,1457.41,0.84,2425.43,1.7,-968.02,223D1536 Index,536D1223 Index
Italy,3580.86,1.13,2212.62,1.27,1368.24,0.96,844.38,136D1536 Index,536D1136 Index
Canada,2995.31,0.95,1386.06,0.8,1609.25,1.13,-223.19,156D1536 Index,536D1156 Index
United Arab Emirates,2903.55,0.92,1547.45,0.89,1356.1,0.95,191.35,466D1536 Index,536D1466 Index
France,2540.68,0.8,1202.98,0.69,1337.7,0.94,-134.72,132D1536 Index,536D1132 Index
Russia,2515.24,0.79,1522.6,0.87,992.64,0.7,529.96,922D1536 Index,536D1922 Index
United Kingdom,2490.37,0.79,1671.21,0.96,819.16,0.57,852.05,112D1536 Index,536D1112 Index
Pakistan,2216.28,0.7,2041.77,1.17,174.51,0.12,1867.26,564D1536 Index,536D1564 Index
Spain,2145.74,0.68,1673.2,0.96,472.54,0.33,1200.66,184D1536 Index,536D1184 Index
Switzerland,2011.8,0.63,1377.4,0.79,634.4,0.44,743,146D1536 Index,536D1146 Index
Belgium,1969.59,0.62,1410.23,0.81,559.36,0.39,850.87,124D1536 Index,536D1124 Index
Nigeria,1942.32,0.61,654.16,0.38,1288.16,0.9,-634,694D1536 Index,536D1694 Index
Turkey,1884.59,0.59,1634.77,0.94,249.82,0.18,1384.95,186D1536 Index,536D1186 Index
Argentina,1612.67,0.51,314.32,0.18,1298.35,0.91,-984.03,213D1536 Index,536D1213 Index
Mexico,1604.39,0.51,1406.83,0.81,197.56,0.14,1209.27,273D1536 Index,536D1273 Index
Bangladesh,1355.28,0.43,1295.81,0.74,59.47,0.04,1236.34,513D1536 Index,536D1513 Index
Azerbaijan,1303.99,0.41,19.91,0.01,1284.08,0.9,-1264.17,912D1536 Index,536D1912 Index
New Zealand,1270.71,0.4,633.7,0.36,637.01,0.45,-3.31,196D1536 Index,536D1196 Index
South Africa,974.56,0.31,742.62,0.43,231.94,0.16,510.68,199D1536 Index,536D1199 Index
Qatar,919.83,0.29,188.02,0.11,731.81,0.51,-543.79,453D1536 Index,536D1453 Index
Angola,866.79,0.27,226.48,0.13,640.31,0.45,-413.83,614D1536 Index,536D1614 Index
Sweden,864.84,0.27,188.64,0.11,676.2,0.47,-487.56,144D1536 Index,536D1144 Index
Kuwait,815.68,0.26,76.99,0.04,738.68,0.52,-661.69,443D1536 Index,536D1443 Index
Egypt,798.08,0.25,554.99,0.32,243.09,0.17,311.9,469D1536 Index,536D1469 Index
Myanmar,748.24,0.24,587.83,0.34,160.42,0.11,427.41,518D1536 Index,536D1518 Index
Finland,605.45,0.19,71.35,0.04,534.09,0.37,-462.74,172D1536 Index,536D1172 Index
Poland,503.49,0.16,353.11,0.2,150.37,0.11,202.74,964D1536 Index,536D1964 Index
Algeria,495.16,0.16,212.39,0.12,282.77,0.2,-70.39,612D1536 Index,536D1612 Index
Ethiopia,488.2,0.15,477.24,0.27,10.96,0.01,466.27,644D1536 Index,536D1644 Index
Kenya,480.06,0.15,467.74,0.27,12.32,0.01,455.42,664D1536 Index,536D1664 Index
Sri Lanka,476.58,0.15,435.3,0.25,41.28,0.03,394.01,524D1536 Index,536D1524 Index
Denmark,425.22,0.13,223.92,0.13,201.3,0.14,22.62,128D1536 Index,536D1128 Index
Austria,400.11,0.13,83.93,0.05,316.18,0.22,-232.24,122D1536 Index,536D1122 Index
Norway,383.15,0.12,156.89,0.09,226.25,0.16,-69.36,142D1536 Index,536D1142 Index
Ukraine,367.38,0.12,168.93,0.1,198.45,0.14,-29.52,926D1536 Index,536D1926 Index
Oman,358.29,0.11,214.1,0.12,144.19,0.1,69.91,449D1536 Index,536D1449 Index
Cambodia,356.67,0.11,335.54,0.19,21.13,0.01,314.41,522D1536 Index,536D1522 Index
Chile,355.46,0.11,181.61,0.1,173.85,0.12,7.76,228D1536 Index,536D1228 Index
Peru,310.17,0.1,257.45,0.15,52.72,0.04,204.72,293D1536 Index,536D1293 Index
Congo,305.16,0.1,178.76,0.1,126.4,0.09,52.36,634D1536 Index,536D1634 Index
Morocco,261.58,0.08,134.65,0.08,126.94,0.09,7.71,686D1536 Index,536D1686 Index
