Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Lithuania,2065.69,0.21,879.2,0.23,1186.49,0.19,-307.29,946D1112 Index,112D1946 Index
New Zealand,1961.97,0.19,923.61,0.24,1038.36,0.17,-114.75,196D1112 Index,112D1196 Index
Ghana,1761.16,0.17,1550.91,0.41,210.25,0.03,1340.66,652D1112 Index,112D1652 Index
Ukraine,1501.54,0.15,801.14,0.21,700.4,0.11,100.74,926D1112 Index,112D1926 Index
Latvia,1458.53,0.14,559.28,0.15,899.25,0.14,-339.97,941D1112 Index,112D1941 Index
Macedonia,1372.34,0.14,1358.27,0.36,14.07,0,1344.2,962D1112 Index,112D1962 Index
Argentina,1342.8,0.13,420.71,0.11,922.09,0.15,-501.38,213D1112 Index,112D1213 Index
Morocco,1305.66,0.13,564.1,0.15,741.56,0.12,-177.47,686D1112 Index,112D1686 Index
Chile,1190.5,0.12,515.14,0.14,675.36,0.11,-160.21,228D1112 Index,112D1228 Index
Philippines,1139.93,0.11,538.66,0.14,601.28,0.1,-62.62,566D1112 Index,112D1566 Index
Kazakhstan,1098.37,0.11,354.71,0.09,743.66,0.12,-388.95,916D1112 Index,112D1916 Index
Bulgaria,1021.28,0.1,448.79,0.12,572.49,0.09,-123.71,918D1112 Index,112D1918 Index
Cambodia,998.88,0.1,51.53,0.01,947.35,0.15,-895.83,522D1112 Index,112D1522 Index
Sri Lanka,996.11,0.1,210.41,0.06,785.71,0.13,-575.3,524D1112 Index,112D1524 Index
Cyprus,981.41,0.1,742.42,0.2,238.99,0.04,503.44,423D1112 Index,112D1423 Index
Colombia,910.12,0.09,441.13,0.12,468.98,0.07,-27.85,233D1112 Index,112D1233 Index
Slovenia,852.78,0.08,378.22,0.1,474.56,0.08,-96.34,961D1112 Index,112D1961 Index
Kyrgyzstan,818.8,0.08,10.25,0,808.55,0.13,-798.3,917D1112 Index,112D1917 Index
Iceland,781.46,0.08,237.61,0.06,543.85,0.09,-306.23,176D1112 Index,112D1176 Index
Luxembourg,766.65,0.08,287.07,0.08,479.57,0.08,-192.5,137D1112 Index,112D1137 Index
Kenya,691.18,0.07,273.12,0.07,418.07,0.07,-144.95,664D1112 Index,112D1664 Index
Peru,670.91,0.07,164.99,0.04,505.92,0.08,-340.92,293D1112 Index,112D1293 Index
Serbia,640.54,0.06,311.71,0.08,328.84,0.05,-17.13,942D1112 Index,112D1942 Index
Algeria,605.8,0.06,0.08,0,605.73,0.1,-605.65,612D1112 Index,112D1612 Index
Estonia,599.66,0.06,338.1,0.09,261.56,0.04,76.53,939D1112 Index,112D1939 Index
Cote D Ivoire,558.4,0.06,152.68,0.04,405.73,0.06,-253.05,662D1112 Index,112D1662 Index
Croatia,554.17,0.06,309.43,0.08,244.74,0.04,64.69,960D1112 Index,112D1960 Index
Kuwait,545.4,0.05,252.99,0.07,292.42,0.05,-39.43,443D1112 Index,112D1443 Index
Iraq,543.38,0.05,455.69,0.12,87.7,0.01,367.99,433D1112 Index,112D1433 Index
Tunisia,524.1,0.05,329.5,0.09,194.59,0.03,134.91,744D1112 Index,112D1744 Index
Bahrain,522.01,0.05,393.15,0.1,128.86,0.02,264.29,419D1112 Index,112D1419 Index
Malta,510.49,0.05,437.02,0.12,73.47,0.01,363.55,181D1112 Index,112D1181 Index
Brunei Darussalam,446.01,0.04,443.11,0.12,2.91,0,440.2,516D1112 Index,112D1516 Index
Myanmar,428.03,0.04,59.51,0.02,368.52,0.06,-309.01,518D1112 Index,112D1518 Index
Oman,426.98,0.04,346.81,0.09,80.17,0.01,266.63,449D1112 Index,112D1449 Index
Costa Rica,414.31,0.04,109.38,0.03,304.93,0.05,-195.55,238D1112 Index,112D1238 Index
Angola,401.16,0.04,398.71,0.11,2.45,0,396.26,614D1112 Index,112D1614 Index
Azerbaijan,393.76,0.04,296.96,0.08,96.8,0.02,200.15,912D1112 Index,112D1912 Index
Ecuador,388.09,0.04,152.71,0.04,235.38,0.04,-82.67,248D1112 Index,112D1248 Index
Trinidad And Tobago,356.75,0.04,135.19,0.04,221.55,0.04,-86.36,369D1112 Index,112D1369 Index
Ethiopia,335.83,0.03,287.01,0.08,48.82,0.01,238.19,644D1112 Index,112D1644 Index
Belarus,324.25,0.03,202.37,0.05,121.88,0.02,80.5,913D1112 Index,112D1913 Index
Iran,322.74,0.03,307.93,0.08,14.82,0,293.11,429D1112 Index,112D1429 Index
Lebanon,321.05,0.03,267.43,0.07,53.62,0.01,213.8,446D1112 Index,112D1446 Index
Dominican Republic,308.81,0.03,166.74,0.04,142.07,0.02,24.68,243D1112 Index,112D1243 Index
Faeroe Islands,300.2,0.03,49.03,0.01,251.17,0.04,-202.15,816D1112 Index,112D1816 Index
Jordan,273.94,0.03,216.4,0.06,57.55,0.01,158.85,439D1112 Index,112D1439 Index
Libya,240.9,0.02,150.02,0.04,90.87,0.01,59.15,672D1112 Index,112D1672 Index
Macau,220.47,0.02,214.59,0.06,5.88,0,208.72,546D1112 Index,112D1546 Index
Mauritius,205.85,0.02,88.32,0.02,117.53,0.02,-29.21,684D1112 Index,112D1684 Index
Mozambique,183.69,0.02,176.55,0.05,7.14,0,169.41,688D1112 Index,112D1688 Index
Guinea,178.6,0.02,178.33,0.05,0.27,0,178.06,656D1112 Index,112D1656 Index
Honduras,173.24,0.02,22.44,0.01,150.8,0.02,-128.36,268D1112 Index,112D1268 Index
"Congo, Democratic Republic",161.62,0.02,101.64,0.03,59.98,0.01,41.65,636D1112 Index,112D1636 Index
Cameroon,161.27,0.02,110.5,0.03,50.77,0.01,59.73,622D1112 Index,112D1622 Index
Malawi,159.89,0.02,124.95,0.03,34.94,0.01,90.01,676D1112 Index,112D1676 Index
Guatemala,152.91,0.02,40.02,0.01,112.88,0.02,-72.86,258D1112 Index,112D1258 Index
Seychelles,143.81,0.01,73.23,0.02,70.57,0.01,2.66,718D1112 Index,112D1718 Index
Paraguay,141.36,0.01,40.16,0.01,101.2,0.02,-61.04,288D1112 Index,112D1288 Index
Tanzania,132.78,0.01,116.62,0.03,16.16,0,100.46,738D1112 Index,112D1738 Index
Jamaica,130.67,0.01,76.28,0.02,54.39,0.01,21.89,343D1112 Index,112D1343 Index
Senegal,124.38,0.01,62.68,0.02,61.71,0.01,0.97,722D1112 Index,112D1722 Index
Uruguay,119.41,0.01,56.39,0.01,63.02,0.01,-6.64,298D1112 Index,112D1298 Index
