Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1058643,100,555403,100,503240,100,52163,001D1136 Index,136D1001 Index
Advanced Economies,705525,66.64,391148,70.43,314377,62.47,76771,110D1136 Index,136D1110 Index
European Union,555236,52.45,272596,49.08,282640,56.16,-10044,998D1136 Index,136D1998 Index
Euro-zone,456061,43.08,221040,39.8,235021,46.7,-13981,995D1136 Index,136D1995 Index
Emerging and Developing Economies,351217,33.18,163876,29.51,187341,37.23,-23465,200I1136 Index,136D1200 Index
Non Fuel Exporting Countries,256775,24.26,129235,23.27,127540,25.34,1695,092D1136 Index,136D1092 Index
Germany,154244.8,14.57,71311.7,12.84,82933.1,16.48,-11621.4,134D1136 Index,136D1134 Index
Developing Europe,146510.5,13.84,69706.3,12.55,76804.2,15.26,-7097.9,170D1136 Index,136D1170 Index
France,97700.7,9.23,54407.7,9.8,43293,8.6,11114.7,132D1136 Index,136D1132 Index
Fuel Exporting Countries,94440.3,8.92,34640.1,6.24,59800.2,11.88,-25160.1,080D1136 Index,136D1080 Index
Developing Asia,90808.7,8.58,36088.9,6.5,54719.8,10.87,-18630.9,505D1136 Index,136D1505 Index
United States,73568.8,6.95,54722.3,9.85,18846.5,3.75,35875.8,111D1136 Index,136D1111 Index
China,57624.3,5.44,21170.9,3.81,36453.4,7.24,-15282.5,924D1136 Index,136D1924 Index
Spain,50833.8,4.8,26317.2,4.74,24516.6,4.87,1800.6,184D1136 Index,136D1184 Index
CIS Countries,46459.4,4.39,16398.6,2.95,30060.8,5.97,-13662.2,901D1136 Index,136D1901 Index
Netherlands,39757,3.76,12962.9,2.33,26794.1,5.32,-13831.2,138D1136 Index,136D1138 Index
United Kingdom,39188,3.7,25874,4.66,13314,2.65,12560,112D1136 Index,136D1112 Index
Belgium,38407.5,3.63,15618.3,2.81,22789.2,4.53,-7170.9,124D1136 Index,136D1124 Index
Switzerland,34237.2,3.23,21282.7,3.83,12954.5,2.57,8328.2,146D1136 Index,136D1146 Index
Developing Western Hemisphere,29274.7,2.77,18445.3,3.32,10829.4,2.15,7615.9,205D1136 Index,136D1205 Index
Russia,28253.5,2.67,10569.3,1.9,17684.2,3.51,-7114.9,922D1136 Index,136D1922 Index
Poland,25415.1,2.4,13860.7,2.5,11554.4,2.3,2306.3,964D1136 Index,136D1964 Index
Austria,23062.8,2.18,11686.7,2.1,11376.1,2.26,310.6,122D1136 Index,136D1122 Index
Turkey,21480.3,2.03,10791.9,1.94,10688.4,2.12,103.5,186D1136 Index,136D1186 Index
Romania,17806.12,1.68,9228.61,1.66,8577.51,1.7,651.1,968D1136 Index,136D1968 Index
Japan,15876.6,1.5,11424.2,2.06,4452.4,0.88,6971.8,158D1136 Index,136D1158 Index
Czech Republic,15396.57,1.45,7430.77,1.34,7965.8,1.58,-535.03,935D1136 Index,136D1935 Index
Sub-Saharan Africa,14068.23,1.33,6538.1,1.18,7530.13,1.5,-992.03,603D1136 Index,136D1603 Index
India,11861.07,1.12,5304.72,0.96,6556.35,1.3,-1251.63,534D1136 Index,136D1534 Index
