Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,2568630,100,1405720,100,1162910,100,242810,001D1134 Index,134D1001 Index
Advanced Economies,1811887,70.54,992529,70.61,819358,70.46,173171,110D1134 Index,134D1110 Index
European Union,1471325,57.28,747493,53.18,723832,62.24,23661,998D1134 Index,134D1998 Index
Euro-zone,1051387,40.93,531244,37.79,520143,44.73,11101,995D1134 Index,134D1995 Index
Emerging and Developing Economies,756375,29.45,412891,29.37,343484,29.54,69407,200I1134 Index,134D1200 Index
Non Fuel Exporting Countries,648739,25.26,353098,25.12,295641,25.42,57457,092D1134 Index,134D1092 Index
Developing Europe,357696,13.93,181868,12.94,175828,15.12,6040,170D1134 Index,134D1170 Index
Developing Asia,257467,10.02,133353,9.49,124114,10.67,9239,505D1134 Index,134D1505 Index
Netherlands,247653.5,9.64,87423.5,6.22,160230,13.78,-72806.5,138D1134 Index,134D1138 Index
France,193432.9,7.53,115425,8.21,78007.9,6.71,37417.1,132D1134 Index,134D1132 Index
China,178761.8,6.96,96945.2,6.9,81816.6,7.04,15128.6,924D1134 Index,134D1924 Index
United States,169795.4,6.61,117745,8.38,52050.4,4.48,65694.6,111D1134 Index,134D1111 Index
Italy,137081.3,5.34,74312.6,5.29,62768.7,5.4,11543.9,136D1134 Index,134D1136 Index
United Kingdom,135286.1,5.27,88395,6.29,46891.1,4.03,41503.9,112D1134 Index,134D1112 Index
Poland,127659.2,4.97,65532.5,4.66,62126.7,5.34,3405.8,964D1134 Index,134D1964 Index
Belgium,125890.1,4.9,56746.6,4.04,69143.5,5.95,-12396.9,124D1134 Index,134D1124 Index
Austria,123823.4,4.82,73591.4,5.24,50232,4.32,23359.4,122D1134 Index,134D1122 Index
Fuel Exporting Countries,107636,4.19,59793.2,4.25,47842.8,4.11,11950.4,080D1134 Index,134D1080 Index
Czech Republic,104656.4,4.07,48757.7,3.47,55898.7,4.81,-7141,935D1134 Index,134D1935 Index
Switzerland,103900.2,4.04,55205.3,3.93,48694.9,4.19,6510.4,146D1134 Index,134D1146 Index
Spain,85809.4,3.34,49986.3,3.56,35823.1,3.08,14163.2,184D1134 Index,134D1184 Index
CIS Countries,75645.8,2.94,35395.8,2.52,40250,3.46,-4854.2,901D1134 Index,134D1901 Index
Developing Western Hemisphere,58322.7,2.27,39701.2,2.82,18621.5,1.6,21079.7,205D1134 Index,134D1205 Index
Hungary,58195.1,2.27,28197.4,2.01,29997.7,2.58,-1800.3,944D1134 Index,134D1944 Index
Russia,56349.8,2.19,24117.9,1.72,32231.9,2.77,-8114,922D1134 Index,134D1922 Index
Sweden,46611.2,1.81,28987.3,2.06,17623.9,1.52,11363.4,144D1134 Index,134D1144 Index
Japan,41534.6,1.62,23426.1,1.67,18108.5,1.56,5317.6,158D1134 Index,134D1158 Index
Turkey,37957.8,1.48,22281.4,1.59,15676.4,1.35,6605,186D1134 Index,134D1186 Index
Denmark,35351,1.38,19658.5,1.4,15692.5,1.35,3966,128D1134 Index,134D1128 Index
Slovakia,33477.1,1.3,15904.3,1.13,17572.8,1.51,-1668.5,936D1134 Index,134D1936 Index
Romania,33437,1.3,17124.7,1.22,16312.3,1.4,812.4,968D1134 Index,134D1968 Index
South Korea,30716.4,1.2,19904.8,1.42,10811.6,0.93,9093.2,542D1134 Index,134D1542 Index
Sub-Saharan Africa,26747.9,1.04,15194.1,1.08,11553.8,0.99,3640.3,603D1134 Index,134D1603 Index
Mexico,24462.83,0.95,17407.5,1.24,7055.33,0.61,10352.17,273D1134 Index,134D1273 Index
Finland,21497.88,0.84,12503,0.89,8994.88,0.77,3508.12,172D1134 Index,134D1172 Index
India,20448.54,0.8,12808.7,0.91,7639.84,0.66,5168.86,534D1134 Index,134D1534 Index
Ireland,20446.37,0.8,8121.47,0.58,12324.9,1.06,-4203.43,178D1134 Index,134D1178 Index
Norway,19880.6,0.77,9251.5,0.66,10629.1,0.91,-1377.6,142D1134 Index,134D1142 Index
Canada,18413.49,0.72,14487.6,1.03,3925.89,0.34,10561.71,156D1134 Index,134D1156 Index
Portugal,17478.04,0.68,10763.5,0.77,6714.54,0.58,4048.96,182D1134 Index,134D1182 Index
South Africa,17162.28,0.67,10196.3,0.73,6965.98,0.6,3230.32,199D1134 Index,134D1199 Index
Brazil,15553.44,0.61,9779.88,0.7,5773.56,0.5,4006.32,223D1134 Index,134D1223 Index
Singapore,13797.18,0.54,9463.94,0.67,4333.24,0.37,5130.7,576D1134 Index,134D1576 Index
Malaysia,13470.15,0.52,6118.76,0.44,7351.39,0.63,-1232.63,548D1134 Index,134D1548 Index
Australia,13191.04,0.51,11127.8,0.79,2063.24,0.18,9064.56,193D1134 Index,134D1193 Index
United Arab Emirates,13057.97,0.51,11882.1,0.85,1175.87,0.1,10706.23,466D1134 Index,134D1466 Index
Slovenia,12788.64,0.5,5939.46,0.42,6849.18,0.59,-909.72,961D1134 Index,134D1961 Index
Vietnam,11817.31,0.46,3203.72,0.23,8613.59,0.74,-5409.87,582D1134 Index,134D1582 Index
Thailand,11403.41,0.44,6135.81,0.44,5267.6,0.45,868.21,578D1134 Index,134D1578 Index
