Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,331202,100,187149,100,144053,100,43096,001D1536 Index,536D1001 Index
Emerging and Developing Economies,182780.1,55.19,101093,54.02,81687.1,56.71,19405.9,200I1536 Index,536D1200 Index
Non Fuel Exporting Countries,166995.1,50.42,93611.7,50.02,73383.4,50.94,20228.3,092D1536 Index,536D1092 Index
Advanced Economies,148361.5,44.79,86044.9,45.98,62316.6,43.26,23728.3,110D1536 Index,536D1110 Index
Developing Asia,144875.9,43.74,80117.5,42.81,64758.4,44.95,15359.1,505D1536 Index,536D1505 Index
China,77062.3,23.27,37427.6,20,39634.7,27.51,-2207.1,924D1536 Index,536D1924 Index
United States,28873.42,8.72,20231.5,10.81,8641.92,6,11589.58,111D1536 Index,536D1111 Index
European Union,25320.9,7.65,15134.4,8.09,10186.5,7.07,4947.9,998D1536 Index,536D1998 Index
Japan,25160,7.6,14487.9,7.74,10672.1,7.41,3815.8,158D1536 Index,536D1158 Index
Singapore,23262,7.02,10920.8,5.84,12341.2,8.57,-1420.4,576D1536 Index,536D1576 Index
Euro-zone,22490.44,6.79,13701.9,7.32,8788.54,6.1,4913.36,995D1536 Index,536D1995 Index
Fuel Exporting Countries,15784.84,4.77,7481.09,4,8303.75,5.76,-822.66,080D1536 Index,536D1080 Index
India,15771,4.76,12006.7,6.42,3764.3,2.61,8242.4,534D1536 Index,536D1534 Index
Malaysia,15733.16,4.75,8800.14,4.7,6933.02,4.81,1867.12,548D1536 Index,536D1548 Index
South Korea,14434.15,4.36,7584.78,4.05,6849.37,4.75,735.41,542D1536 Index,536D1542 Index
Thailand,12298.68,3.71,5814.92,3.11,6483.76,4.5,-668.84,578D1536 Index,536D1578 Index
Developing Western Hemisphere,9412.93,2.84,4312.19,2.3,5100.74,3.54,-788.55,205D1536 Index,536D1205 Index
Vietnam,8563.75,2.59,5433.14,2.9,3130.61,2.17,2302.53,582D1536 Index,536D1582 Index
Australia,8086.76,2.44,3440.18,1.84,4646.58,3.23,-1206.4,193D1536 Index,536D1193 Index
Philippines,6484.98,1.96,5892.97,3.15,592.01,0.41,5300.96,566D1536 Index,536D1566 Index
