Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,2804330,100,1519980,100,1284350,100,235630,001D1134 Index,134D1001 Index
Advanced Economies,1975988,70.46,1073760,70.64,902228,70.25,171532,110D1134 Index,134D1110 Index
European Union,1627690,58.04,822384,54.1,805306,62.7,17078,998D1134 Index,134D1998 Index
Euro-zone,1159840,41.36,581036,38.23,578804,45.07,2232,995D1134 Index,134D1995 Index
Emerging and Developing Economies,828005,29.53,445927,29.34,382078,29.75,63849,200I1134 Index,134D1200 Index
Non Fuel Exporting Countries,711393,25.37,387148,25.47,324245,25.25,62903,092D1134 Index,134D1092 Index
Developing Europe,399646,14.25,199820,13.15,199826,15.56,-6,170D1134 Index,134D1170 Index
Developing Asia,281109,10.02,147026,9.67,134083,10.44,12943,505D1134 Index,134D1505 Index
Netherlands,277054.8,9.88,96162.8,6.33,180892,14.08,-84729.2,138D1134 Index,134D1138 Index
France,204565.2,7.29,123018,8.09,81547.2,6.35,41470.8,132D1134 Index,134D1132 Index
China,195305.1,6.96,106214,6.99,89091.1,6.94,17122.9,924D1134 Index,134D1924 Index
United States,183282.1,6.54,125904,8.28,57378.1,4.47,68525.9,111D1134 Index,134D1111 Index
Italy,154244.8,5.5,82933.1,5.46,71311.7,5.55,11621.4,136D1134 Index,134D1136 Index
Poland,144817.8,5.16,74161.4,4.88,70656.4,5.5,3505,964D1134 Index,134D1964 Index
United Kingdom,139817.5,4.99,91626.8,6.03,48190.7,3.75,43436.1,112D1134 Index,134D1112 Index
Belgium,137647.6,4.91,59411.1,3.91,78236.5,6.09,-18825.4,124D1134 Index,134D1124 Index
Austria,134937.6,4.81,79514,5.23,55423.6,4.32,24090.4,122D1134 Index,134D1122 Index
Fuel Exporting Countries,116611.7,4.16,58778.4,3.87,57833.3,4.5,945.1,080D1134 Index,134D1080 Index
Czech Republic,115265.4,4.11,53650.4,3.53,61615,4.8,-7964.6,935D1134 Index,134D1935 Index
Switzerland,108694.1,3.88,57762.7,3.8,50931.4,3.97,6831.3,146D1134 Index,134D1146 Index
Spain,92074,3.28,53264.9,3.5,38809.1,3.02,14455.8,184D1134 Index,134D1184 Index
CIS Countries,86339.9,3.08,37931,2.5,48408.9,3.77,-10477.9,901D1134 Index,134D1901 Index
Russia,64303.8,2.29,25489.4,1.68,38814.4,3.02,-13325,922D1134 Index,134D1922 Index
