Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,748315,100,287802,100,460513,100,-172711,001D1534 Index,534D1001 Index
Non Fuel Exporting Countries,532140,71.11,241145,83.79,290995,63.19,-49850,092D1534 Index,534D1092 Index
Emerging and Developing Economies,454846,60.78,148877,51.73,305969,66.44,-157092,200I1534 Index,534D1200 Index
Advanced Economies,286397,38.27,138790,48.22,147607,32.05,-8817,110D1534 Index,534D1110 Index
Fuel Exporting Countries,216175.9,28.89,46656.9,16.21,169519,36.81,-122862.1,080D1534 Index,534D1080 Index
Developing Asia,146566.6,19.59,48592.5,16.88,97974.1,21.27,-49381.6,505D1534 Index,534D1505 Index
European Union,97992.2,13.1,49409.4,17.17,48582.8,10.55,826.6,998D1534 Index,534D1998 Index
Euro-zone,75027.8,10.03,35249.1,12.25,39778.7,8.64,-4529.6,995D1534 Index,534D1995 Index
China,74692.2,9.98,16412.6,5.7,58279.6,12.66,-41867,924D1534 Index,534D1924 Index
United States,66478.2,8.88,45244,15.72,21234.2,4.61,24009.8,111D1534 Index,534D1111 Index
Sub-Saharan Africa,58101.2,7.76,22111.8,7.68,35989.4,7.82,-13877.6,603D1534 Index,534D1603 Index
Developing Western Hemisphere,50573.4,6.76,16853.9,5.86,33719.5,7.32,-16865.6,205D1534 Index,534D1205 Index
United Arab Emirates,49299.7,6.59,22088,7.67,27211.7,5.91,-5123.7,466D1534 Index,534D1466 Index
Saudi Arabia,38752.21,5.18,6171.51,2.14,32580.7,7.07,-26409.19,456D1534 Index,534D1456 Index
Developing Europe,25762.8,3.44,14918.5,5.18,10844.3,2.35,4074.2,170D1534 Index,534D1170 Index
Switzerland,22952.49,3.07,1783.19,0.62,21169.3,4.6,-19386.11,146D1534 Index,534D1146 Index
Germany,20613.21,2.75,7908.81,2.75,12704.4,2.76,-4795.59,134D1534 Index,534D1134 Index
Indonesia,19212.88,2.57,3952.08,1.37,15260.8,3.31,-11308.72,536D1534 Index,534D1536 Index
South Korea,18798.47,2.51,5274.67,1.83,13523.8,2.94,-8249.13,542D1534 Index,534D1542 Index
Hong Kong,18221.55,2.44,12417.6,4.31,5803.95,1.26,6613.65,532D1534 Index,534D1532 Index
Qatar,17640.38,2.36,1168.28,0.41,16472.1,3.58,-15303.82,453D1534 Index,534D1453 Index
Nigeria,17494.7,2.34,1820.6,0.63,15674.1,3.4,-13853.5,694D1534 Index,534D1694 Index
Japan,16950.54,2.27,6981.9,2.43,9968.64,2.16,-2986.74,158D1534 Index,534D1158 Index
Iraq,16929.89,2.26,832.59,0.29,16097.3,3.5,-15264.71,433D1534 Index,534D1433 Index
Belgium,16751.78,2.24,5458.08,1.9,11293.7,2.45,-5835.62,124D1534 Index,534D1124 Index
Kuwait,16367.63,2.19,1307.83,0.45,15059.8,3.27,-13751.97,443D1534 Index,534D1443 Index
Singapore,15341.46,2.05,8270.21,2.87,7071.25,1.54,1198.96,576D1534 Index,534D1576 Index
Malaysia,15051.53,2.01,4074.93,1.42,10976.6,2.38,-6901.67,548D1534 Index,534D1548 Index
United Kingdom,14676.8,1.96,9891.32,3.44,4785.48,1.04,5105.84,112D1534 Index,534D1112 Index
Iran,13819.96,1.85,2566.96,0.89,11253,2.44,-8686.04,429D1534 Index,534D1429 Index
Venezuela,13510.82,1.81,311.92,0.11,13198.9,2.87,-12886.98,299D1534 Index,534D1299 Index
Australia,12958.48,1.73,2954.38,1.03,10004.1,2.17,-7049.72,193D1534 Index,534D1193 Index
CIS Countries,12933.9,1.73,4880.27,1.7,8053.63,1.75,-3173.36,901D1534 Index,534D1901 Index
Brazil,12568.15,1.68,7033.37,2.44,5534.78,1.2,1498.59,223D1534 Index,534D1223 Index
South Africa,10814.13,1.45,4814.25,1.67,5999.88,1.3,-1185.63,199D1534 Index,534D1199 Index
Italy,9878.2,1.32,5537.89,1.92,4340.31,0.94,1197.58,136D1534 Index,534D1136 Index
France,9486.4,1.27,5787.55,2.01,3698.85,0.8,2088.7,132D1534 Index,534D1132 Index
Thailand,8291.38,1.11,2604.4,0.9,5686.98,1.23,-3082.58,578D1534 Index,534D1578 Index
Turkey,8252.72,1.1,6898.58,2.4,1354.14,0.29,5544.44,186D1534 Index,534D1186 Index
Mexico,7399.16,0.99,3950.11,1.37,3449.05,0.75,501.06,273D1534 Index,534D1273 Index
Russia,7392.87,0.99,3171.73,1.1,4221.14,0.92,-1049.41,922D1534 Index,534D1922 Index
Canada,6802.35,0.91,3039.09,1.06,3763.26,0.82,-724.17,156D1534 Index,534D1156 Index
Netherlands,6765.22,0.9,4108.83,1.43,2656.39,0.58,1452.44,138D1534 Index,534D1138 Index
Bangladesh,6731.04,0.9,6174.4,2.15,556.64,0.12,5617.76,513D1534 Index,534D1513 Index
Angola,6288.65,0.84,635.95,0.22,5652.7,1.23,-5016.75,614D1534 Index,534D1614 Index
Vietnam,5911.71,0.79,3132.33,1.09,2779.38,0.6,352.95,582D1534 Index,534D1582 Index
Nepal,5537.24,0.74,4935.2,1.71,602.04,0.13,4333.16,558D1534 Index,534D1558 Index
Spain,4955.53,0.66,3213.69,1.12,1741.84,0.38,1471.85,184D1534 Index,534D1184 Index
Colombia,4923.18,0.66,1368.8,0.48,3554.38,0.77,-2185.58,233D1534 Index,534D1233 Index
Sri Lanka,4568.75,0.61,3977.06,1.38,591.69,0.13,3385.37,524D1534 Index,534D1524 Index
Israel,4544.52,0.61,2240,0.78,2304.52,0.5,-64.52,436D1534 Index,534D1436 Index
Egypt,4231.83,0.57,2355.32,0.82,1876.51,0.41,478.81,469D1534 Index,534D1469 Index
Chile,3846.98,0.51,664.63,0.23,3182.35,0.69,-2517.72,228D1534 Index,534D1228 Index
Tanzania,3381.03,0.45,2453.79,0.85,927.24,0.2,1526.55,738D1534 Index,534D1738 Index
Oman,3114.13,0.42,1265.66,0.44,1848.47,0.4,-582.81,449D1534 Index,534D1449 Index
Kenya,3089.23,0.41,2961.47,1.03,127.76,0.03,2833.71,664D1534 Index,534D1664 Index
Ukraine,2856.85,0.38,656.38,0.23,2200.47,0.48,-1544.09,926D1534 Index,534D1926 Index
