Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Lithuania,5070.09,0.21,3233.46,0.25,1836.63,0.17,1396.83,946D1134 Index,134D1946 Index
Kazakhstan,5055.16,0.21,1985.98,0.15,3069.18,0.29,-1083.2,916D1134 Index,134D1916 Index
Algeria,4969.89,0.21,3254.12,0.25,1715.77,0.16,1538.35,612D1134 Index,134D1612 Index
Bangladesh,4635.08,0.2,672.37,0.05,3962.71,0.38,-3290.34,513D1134 Index,134D1513 Index
Argentina,4495.52,0.19,3130.09,0.24,1365.43,0.13,1764.66,213D1134 Index,134D1213 Index
Croatia,4465.19,0.19,3183.1,0.24,1282.09,0.12,1901.01,960D1134 Index,134D1960 Index
Serbia,3762.75,0.16,2252.84,0.17,1509.91,0.14,742.93,942D1134 Index,134D1942 Index
Chile,3510.43,0.15,2378.91,0.18,1131.52,0.11,1247.39,228D1134 Index,134D1228 Index
Nigeria,3274.33,0.14,1166.36,0.09,2107.97,0.2,-941.61,694D1134 Index,134D1694 Index
Azerbaijan,3107.69,0.13,690,0.05,2417.69,0.23,-1727.69,912D1134 Index,134D1912 Index
Tunisia,3101.35,0.13,1479.34,0.11,1622.01,0.15,-142.67,744D1134 Index,134D1744 Index
Colombia,2961.29,0.13,2267.45,0.17,693.84,0.07,1573.61,233D1134 Index,134D1233 Index
Morocco,2892.21,0.12,2148.07,0.16,744.14,0.07,1403.93,686D1134 Index,134D1686 Index
Macedonia,2691.15,0.11,810.77,0.06,1880.38,0.18,-1069.61,962D1134 Index,134D1962 Index
Qatar,2612.25,0.11,2442.48,0.19,169.77,0.02,2272.71,453D1134 Index,134D1453 Index
Latvia,2375.55,0.1,1658.81,0.13,716.74,0.07,942.07,941D1134 Index,134D1941 Index
Pakistan,2352.99,0.1,972.15,0.07,1380.84,0.13,-408.69,564D1134 Index,134D1564 Index
Estonia,2228.99,0.09,1579.99,0.12,649,0.06,930.99,939D1134 Index,134D1939 Index
New Zealand,2219.9,0.09,1709.99,0.13,509.91,0.05,1200.08,196D1134 Index,134D1196 Index
Peru,2212.44,0.09,1179.44,0.09,1033,0.1,146.44,293D1134 Index,134D1293 Index
Iran,2166.68,0.09,1815.46,0.14,351.22,0.03,1464.24,429D1134 Index,134D1429 Index
Belarus,2113.67,0.09,1385.47,0.11,728.2,0.07,657.27,913D1134 Index,134D1913 Index
Libya,1734.47,0.07,399.35,0.03,1335.12,0.13,-935.77,672D1134 Index,134D1672 Index
Bosnia and Herzegovina,1665.4,0.07,1085.89,0.08,579.51,0.06,506.38,963D1134 Index,134D1963 Index
Iraq,1665.1,0.07,1167.4,0.09,497.7,0.05,669.7,433D1134 Index,134D1433 Index
Lebanon,1288.85,0.05,1237.77,0.09,51.08,0,1186.69,446D1134 Index,134D1446 Index
Cambodia,1181.93,0.05,106.18,0.01,1075.75,0.1,-969.57,522D1134 Index,134D1522 Index
Venezuela,1019.82,0.04,919.15,0.07,100.67,0.01,818.48,299D1134 Index,134D1299 Index
Uzbekistan,973.24,0.04,954.76,0.07,18.48,0,936.28,927D1134 Index,134D1927 Index
Jordan,971.28,0.04,944.14,0.07,27.14,0,917,439D1134 Index,134D1439 Index
Cote D Ivoire,938.59,0.04,261.55,0.02,677.04,0.06,-415.49,662D1134 Index,134D1662 Index
Oman,900.59,0.04,862.93,0.07,37.65,0,825.28,449D1134 Index,134D1449 Index
Ecuador,883.88,0.04,496.94,0.04,386.94,0.04,110,248D1134 Index,134D1248 Index
