Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,3731630,100,1395050,100,2336580,100,-941530,001D1111 Index,111D1001 Index
Advanced Economies,1902995,51,776145,55.64,1126850,48.23,-350705,110D1111 Index,111D1110 Index
Emerging and Developing Economies,1828384,49,618674,44.35,1209710,51.77,-591036,200I1111 Index,111D1200 Index
Non Fuel Exporting Countries,1715402,45.97,553562,39.68,1161840,49.72,-608278,092D1111 Index,111D1092 Index
Developing Asia,924167,24.77,227890,16.34,696277,29.8,-468387,505D1111 Index,111D1505 Index
Developing Western Hemisphere,699321,18.74,283245,20.3,416076,17.81,-132831,205D1111 Index,111D1205 Index
European Union,646947,17.34,231411,16.59,415536,17.78,-184125,998D1111 Index,111D1998 Index
Euro-zone,580732,15.56,212372,15.22,368360,15.76,-155988,995D1111 Index,111D1995 Index
China,571572,15.32,136123,9.76,435449,18.64,-299326,924D1111 Index,111D1924 Index
Mexico,503222,13.49,177828,12.75,325394,13.93,-147566,273D1111 Index,111D1273 Index
Canada,479738,12.86,209356,15.01,270382,11.57,-61026,156D1111 Index,111D1156 Index
Japan,191154.1,5.12,71642.1,5.14,119512,5.11,-47869.9,158D1111 Index,111D1158 Index
Germany,172977.8,4.64,57857.8,4.15,115120,4.93,-57262.2,134D1111 Index,111D1134 Index
South Korea,133782.8,3.59,57763,4.14,76019.8,3.25,-18256.8,542D1111 Index,111D1542 Index
Fuel Exporting Countries,112985.9,3.03,65112.7,4.67,47873.2,2.05,17239.5,080D1111 Index,111D1080 Index
United Kingdom,108535.6,2.91,58329.4,4.18,50206.2,2.15,8123.2,112D1111 Index,111D1112 Index
Switzerland,95901,2.57,20830.4,1.49,75070.6,3.21,-54240.2,146D1111 Index,111D1146 Index
Vietnam,93403.5,2.5,13758.5,0.99,79645,3.41,-65886.5,582D1111 Index,111D1582 Index
Ireland,79032.6,2.12,13559.3,0.97,65473.3,2.8,-51914,178D1111 Index,111D1178 Index
India,77782.2,2.08,26592.5,1.91,51189.7,2.19,-24597.2,534D1111 Index,111D1534 Index
Netherlands,72678.5,1.95,45208.4,3.24,27470.1,1.18,17738.3,138D1111 Index,111D1138 Index
France,70928.2,1.9,27881.4,2,43046.8,1.84,-15165.4,132D1111 Index,111D1132 Index
Italy,66302.3,1.78,16837.4,1.21,49464.9,2.12,-32627.5,136D1111 Index,111D1136 Index
Malaysia,60816.4,1.63,16652,1.19,44164.4,1.89,-27512.4,548D1111 Index,111D1548 Index
Singapore,58525,1.57,27685.4,1.98,30839.6,1.32,-3154.2,576D1111 Index,111D1576 Index
Thailand,52432,1.41,14832.7,1.06,37599.3,1.61,-22766.6,578D1111 Index,111D1578 Index
Brazil,49235.9,1.32,25924.8,1.86,23311.1,1,2613.7,223D1111 Index,111D1223 Index
Belgium,48609.4,1.3,27723.3,1.99,20886.1,0.89,6837.2,124D1111 Index,111D1124 Index
Australia,39801.6,1.07,25367.4,1.82,14434.2,0.62,10933.2,193D1111 Index,111D1193 Index
CIS Countries,39386,1.06,19585.4,1.4,19800.6,0.85,-215.2,901D1111 Index,111D1901 Index
Sub-Saharan Africa,34031.2,0.91,14962.8,1.07,19068.4,0.82,-4105.6,603D1111 Index,111D1603 Index
Hong Kong,30947.81,0.83,23013.9,1.65,7933.91,0.34,15079.99,532D1111 Index,111D1532 Index
Russia,30065.5,0.81,13222.3,0.95,16843.2,0.72,-3620.9,922D1111 Index,111D1922 Index
Indonesia,28873.42,0.77,8641.92,0.62,20231.5,0.87,-11589.58,536D1111 Index,111D1536 Index
Spain,28659.7,0.77,13370.1,0.96,15289.6,0.65,-1919.5,184D1111 Index,111D1184 Index
Israel,24046.3,0.64,8770.4,0.63,15275.9,0.65,-6505.5,436D1111 Index,111D1436 Index
Saudi Arabia,23096.51,0.62,14103.5,1.01,8993.01,0.38,5110.49,456D1111 Index,111D1456 Index
Turkey,22540.5,0.6,11525,0.83,11015.5,0.47,509.5,186D1111 Index,111D1186 Index
Colombia,21410.9,0.57,10634.3,0.76,10776.6,0.46,-142.3,233D1111 Index,111D1233 Index
Chile,20676,0.55,10562.7,0.76,10113.3,0.43,449.4,228D1111 Index,111D1228 Index
United Arab Emirates,19582.32,0.52,16511,1.18,3071.32,0.13,13439.68,466D1111 Index,111D1466 Index
Philippines,18090.48,0.48,6940.88,0.5,11149.6,0.48,-4208.72,566D1111 Index,111D1566 Index
Sweden,16803.69,0.45,4293.09,0.31,12510.6,0.54,-8217.51,144D1111 Index,111D1144 Index
South Africa,16082.42,0.43,4712.22,0.34,11370.2,0.49,-6657.98,199D1111 Index,111D1199 Index
Austria,15138.32,0.41,3518.62,0.25,11619.7,0.5,-8101.08,122D1111 Index,111D1122 Index
Denmark,14605.01,0.39,2961.71,0.21,11643.3,0.5,-8681.59,128D1111 Index,111D1128 Index
Poland,13261.05,0.36,4652.46,0.33,8608.59,0.37,-3956.13,964D1111 Index,111D1964 Index
Dominican Republic,13211.4,0.35,8026.24,0.58,5185.16,0.22,2841.08,243D1111 Index,111D1243 Index
Peru,12661.52,0.34,7139.08,0.51,5522.44,0.24,1616.64,293D1111 Index,111D1293 Index
Costa Rica,10759.7,0.29,5401.5,0.39,5358.2,0.23,43.3,238D1111 Index,111D1238 Index
Guatemala,10116.83,0.27,6275.86,0.45,3840.97,0.16,2434.89,258D1111 Index,111D1258 Index
Ecuador,9917.75,0.27,3977.72,0.29,5940.03,0.25,-1962.31,248D1111 Index,111D1248 Index
Norway,9458.01,0.25,5504.78,0.39,3953.23,0.17,1551.55,142D1111 Index,111D1142 Index
Czech Republic,9070.34,0.24,3533.38,0.25,5536.96,0.24,-2003.58,935D1111 Index,111D1935 Index
Argentina,8524.23,0.23,4365.92,0.31,4158.31,0.18,207.61,213D1111 Index,111D1213 Index
Bangladesh,8146.35,0.22,2071.12,0.15,6075.23,0.26,-4004.11,513D1111 Index,111D1513 Index
New Zealand,7806.21,0.21,3597.86,0.26,4208.35,0.18,-610.49,196D1111 Index,111D1196 Index
Hungary,7214.8,0.19,1921.12,0.14,5293.68,0.23,-3372.56,944D1111 Index,111D1944 Index
Cambodia,6830.19,0.18,252.48,0.02,6577.71,0.28,-6325.23,522D1111 Index,111D1522 Index
Honduras,6698.68,0.18,2839.18,0.2,3859.5,0.17,-1020.32,268D1111 Index,111D1268 Index
Pakistan,6496.31,0.17,2594.81,0.19,3901.5,0.17,-1306.69,564D1111 Index,111D1564 Index
Egypt,6263.92,0.17,4085.01,0.29,2178.91,0.09,1906.1,469D1111 Index,111D1469 Index
Finland,6238.23,0.17,1303.49,0.09,4934.74,0.21,-3631.25,172D1111 Index,111D1172 Index
