Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,346847,100,201650,100,145197,100,56453,001D1223 Index,223D1001 Index
Emerging and Developing Economies,190048.2,54.79,121377,60.19,68671.2,47.3,52705.8,200I1223 Index,223D1200 Index
Non Fuel Exporting Countries,163994.5,47.28,104831,51.99,59163.5,40.75,45667.5,092D1223 Index,223D1092 Index
Advanced Economies,156134.7,45.02,79901.3,39.62,76233.4,52.5,3667.9,110D1223 Index,223D1110 Index
Developing Asia,91885.3,26.49,59279.1,29.4,32606.2,22.46,26672.9,505D1223 Index,223D1505 Index
China,69988.9,20.18,45407.6,22.52,24581.3,16.93,20826.3,924D1223 Index,223D1924 Index
Developing Western Hemisphere,62865.4,18.12,38921.3,19.3,23944.1,16.49,14977.2,205D1223 Index,223D1205 Index
European Union,59712,17.22,29606.2,14.68,30105.8,20.73,-499.6,998D1223 Index,223D1998 Index
Euro-zone,54325,15.66,27521.3,13.65,26803.7,18.46,717.6,995D1223 Index,223D1995 Index
United States,51786.9,14.93,26175.7,12.98,25611.2,17.64,564.5,111D1223 Index,223D1111 Index
Fuel Exporting Countries,26053.72,7.51,16546,8.21,9507.72,6.55,7038.28,080D1223 Index,223D1080 Index
Argentina,23239.65,6.7,13682.4,6.79,9557.25,6.58,4125.15,213D1223 Index,223D1213 Index
Germany,15432.47,4.45,5788,2.87,9644.47,6.64,-3856.47,134D1223 Index,223D1134 Index
Developing Europe,11260.93,3.25,6968.14,3.46,4292.79,2.96,2675.35,170D1223 Index,223D1170 Index
Japan,10435.3,3.01,6701.01,3.32,3734.29,2.57,2966.72,158D1223 Index,223D1158 Index
South Korea,9759.74,2.81,3405.67,1.69,6354.07,4.38,-2948.4,542D1223 Index,223D1542 Index
Netherlands,8819.09,2.54,6949.58,3.45,1869.51,1.29,5080.07,138D1223 Index,223D1138 Index
Mexico,8771.87,2.53,5017.03,2.49,3754.84,2.59,1262.19,273D1223 Index,223D1273 Index
Chile,7884.82,2.27,4782.21,2.37,3102.61,2.14,1679.6,228D1223 Index,223D1228 Index
Italy,7510.65,2.17,3577.13,1.77,3933.52,2.71,-356.39,136D1223 Index,223D1136 Index
France,6472.03,1.87,2542.48,1.26,3929.55,2.71,-1387.07,132D1223 Index,223D1132 Index
CIS Countries,6322.97,1.82,3628.82,1.8,2694.15,1.86,934.67,901D1223 Index,223D1901 Index
Sub-Saharan Africa,5907.23,1.7,3689.65,1.83,2217.58,1.53,1472.07,603D1223 Index,223D1603 Index
Spain,5812.98,1.68,3055.4,1.52,2757.58,1.9,297.82,184D1223 Index,223D1184 Index
United Kingdom,5794,1.67,3267.33,1.62,2526.67,1.74,740.66,112D1223 Index,223D1112 Index
India,5619.62,1.62,3613.5,1.79,2006.12,1.38,1607.38,534D1223 Index,223D1534 Index
Canada,5047.23,1.46,3095.33,1.54,1951.9,1.34,1143.43,156D1223 Index,223D1156 Index
Russia,4685.42,1.35,2523.98,1.25,2161.44,1.49,362.54,922D1223 Index,223D1922 Index
Belgium,4504.93,1.3,2943.91,1.46,1561.02,1.08,1382.89,124D1223 Index,223D1124 Index
Saudi Arabia,4097.24,1.18,2804.82,1.39,1292.42,0.89,1512.4,456D1223 Index,223D1456 Index
Indonesia,3669.38,1.06,2402.38,1.19,1267,0.87,1135.38,536D1223 Index,223D1536 Index
Paraguay,3658.21,1.05,2344.27,1.16,1313.94,0.9,1030.33,288D1223 Index,223D1288 Index
Thailand,3594.09,1.04,2172.82,1.08,1421.27,0.98,751.55,578D1223 Index,223D1578 Index
Peru,3510.47,1.01,2207.57,1.09,1302.9,0.9,904.67,293D1223 Index,223D1293 Index
Vietnam,3401.92,0.98,1722.31,0.85,1679.61,1.16,42.7,582D1223 Index,223D1582 Index
Switzerland,3372.85,0.97,1237.58,0.61,2135.27,1.47,-897.69,146D1223 Index,223D1146 Index
Malaysia,3238.69,0.93,2022.11,1,1216.58,0.84,805.53,548D1223 Index,223D1548 Index
Colombia,3077.33,0.89,2117.35,1.05,959.98,0.66,1157.37,233D1223 Index,223D1233 Index
Algeria,2952.04,0.85,1209.12,0.6,1742.92,1.2,-533.8,612D1223 Index,223D1612 Index
Bolivia,2924.87,0.84,1496.05,0.74,1428.82,0.98,67.23,218D1223 Index,223D1218 Index
Uruguay,2857.45,0.82,1462.39,0.73,1395.06,0.96,67.33,298D1223 Index,223D1298 Index
Hong Kong,2813.73,0.81,2335.92,1.16,477.81,0.33,1858.11,532D1223 Index,223D1532 Index
Turkey,2189.07,0.63,1764.44,0.88,424.63,0.29,1339.81,186D1223 Index,223D1186 Index
United Arab Emirates,2132.49,0.61,1776.8,0.88,355.69,0.24,1421.11,466D1223 Index,223D1466 Index
Venezuela,1992.59,0.57,1545.23,0.77,447.36,0.31,1097.87,299D1223 Index,223D1299 Index
