Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,2690390,100,1456410,100,1233980,100,222430,001D1134 Index,134D1001 Index
Advanced Economies,1893517,70.38,1024230,70.33,869287,70.45,154943,110D1134 Index,134D1110 Index
European Union,1556347,57.85,778044,53.42,778303,63.07,-259,998D1134 Index,134D1998 Index
Euro-zone,1105993,41.11,547525,37.59,558468,45.26,-10943,995D1134 Index,134D1995 Index
Emerging and Developing Economies,796586,29.61,431936,29.66,364650,29.55,67286,200I1134 Index,134D1200 Index
Non Fuel Exporting Countries,692504,25.74,375814,25.8,316690,25.66,59124,092D1134 Index,134D1092 Index
Developing Europe,381834,14.19,192420,13.21,189414,15.35,3006,170D1134 Index,134D1170 Index
Developing Asia,272263,10.12,143703,9.87,128560,10.42,15143,505D1134 Index,134D1505 Index
Netherlands,265929.3,9.88,92873.3,6.38,173056,14.02,-80182.7,138D1134 Index,134D1138 Index
France,193713.6,7.2,115412,7.92,78301.6,6.35,37110.4,132D1134 Index,134D1132 Index
China,191211.8,7.11,105037,7.21,86174.8,6.98,18862.2,924D1134 Index,134D1924 Index
United States,188092.8,6.99,127462,8.75,60630.8,4.91,66831.2,111D1134 Index,134D1111 Index
Poland,142670.5,5.3,71542.1,4.91,71128.4,5.76,413.7,964D1134 Index,134D1964 Index
Italy,141836.6,5.27,76783.7,5.27,65052.9,5.27,11730.8,136D1134 Index,134D1136 Index
United Kingdom,130855.7,4.86,85462.6,5.87,45393.1,3.68,40069.5,112D1134 Index,134D1112 Index
Belgium,130644.9,4.86,57134.2,3.92,73510.7,5.96,-16376.5,124D1134 Index,134D1124 Index
Austria,129516.1,4.81,75377.4,5.18,54138.7,4.39,21238.7,122D1134 Index,134D1122 Index
Czech Republic,110177.6,4.1,51192.4,3.51,58985.2,4.78,-7792.8,935D1134 Index,134D1935 Index
Switzerland,104919.7,3.9,57435,3.94,47484.7,3.85,9950.3,146D1134 Index,134D1146 Index
Fuel Exporting Countries,104081.4,3.87,56121.2,3.85,47960.2,3.89,8161,080D1134 Index,134D1080 Index
Spain,88223.1,3.28,50554.8,3.47,37668.3,3.05,12886.5,184D1134 Index,134D1184 Index
CIS Countries,77374.3,2.88,37673.1,2.59,39701.2,3.22,-2028.1,901D1134 Index,134D1901 Index
Hungary,62572.4,2.33,30021.2,2.06,32551.2,2.64,-2530,944D1134 Index,134D1944 Index
Developing Western Hemisphere,60508.5,2.25,41910.4,2.88,18598.1,1.51,23312.3,205D1134 Index,134D1205 Index
Russia,56334.2,2.09,25090.7,1.72,31243.5,2.53,-6152.8,922D1134 Index,134D1922 Index
Sweden,45727.1,1.7,28322.6,1.94,17404.5,1.41,10918.1,144D1134 Index,134D1144 Index
Japan,43852.5,1.63,24932,1.71,18920.5,1.53,6011.5,158D1134 Index,134D1158 Index
Slovakia,38409.5,1.43,17702.2,1.22,20707.3,1.68,-3005.1,936D1134 Index,134D1936 Index
Denmark,36632.4,1.36,21108.5,1.45,15523.9,1.26,5584.6,128D1134 Index,134D1128 Index
Romania,36608.3,1.36,19476.2,1.34,17132.1,1.39,2344.1,968D1134 Index,134D1968 Index
Turkey,34158.5,1.27,19280.4,1.32,14878.1,1.21,4402.3,186D1134 Index,134D1186 Index
South Korea,30440.6,1.13,19931.8,1.37,10508.8,0.85,9423,542D1134 Index,134D1542 Index
Sub-Saharan Africa,28299.2,1.05,14210.8,0.98,14088.4,1.14,122.4,603D1134 Index,134D1603 Index
Ireland,27313.04,1.02,8699.74,0.6,18613.3,1.51,-9913.56,178D1134 Index,134D1178 Index
Mexico,27151.86,1.01,18740.7,1.29,8411.16,0.68,10329.54,273D1134 Index,134D1273 Index
Finland,22652.81,0.84,12960.7,0.89,9692.11,0.79,3268.59,172D1134 Index,134D1172 Index
India,21340.12,0.79,12912,0.89,8428.12,0.68,4483.88,534D1134 Index,134D1534 Index
Canada,20668.02,0.77,15286.9,1.05,5381.12,0.44,9905.78,156D1134 Index,134D1156 Index
Norway,20530.09,0.76,9293.99,0.64,11236.1,0.91,-1942.11,142D1134 Index,134D1142 Index
Portugal,19810.85,0.74,11871.4,0.82,7939.45,0.64,3931.95,182D1134 Index,134D1182 Index
South Africa,18654.75,0.69,9252.5,0.64,9402.25,0.76,-149.75,199D1134 Index,134D1199 Index
Brazil,15864.16,0.59,10898,0.75,4966.16,0.4,5931.84,223D1134 Index,134D1223 Index
Singapore,14055.5,0.52,9916.41,0.68,4139.09,0.34,5777.32,576D1134 Index,134D1576 Index
Slovenia,13553.21,0.5,6160.68,0.42,7392.53,0.6,-1231.85,961D1134 Index,134D1961 Index
Malaysia,13518.27,0.5,6455.4,0.44,7062.87,0.57,-607.47,548D1134 Index,134D1548 Index
Australia,13058.7,0.49,10801.9,0.74,2256.8,0.18,8545.1,193D1134 Index,134D1193 Index
Vietnam,11705.04,0.44,3702.19,0.25,8002.85,0.65,-4300.66,582D1134 Index,134D1582 Index
Thailand,11387.25,0.42,6359.66,0.44,5027.59,0.41,1332.07,578D1134 Index,134D1578 Index
United Arab Emirates,11104.63,0.41,10074.2,0.69,1030.43,0.08,9043.77,466D1134 Index,134D1466 Index
