Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,382159,100,250001,100,132158,100,117843,001D1456 Index,456D1001 Index
Emerging and Developing Economies,213978.4,55.99,144036,57.61,69942.4,52.92,74093.6,200I1456 Index,456D1200 Index
Non Fuel Exporting Countries,182221,47.68,127795,51.12,54426,41.18,73369,092D1456 Index,456D1092 Index
Advanced Economies,168165.1,44,105954,42.38,62211.1,47.07,43742.9,110D1456 Index,456D1110 Index
Developing Asia,137998.1,36.11,99089.6,39.64,38908.5,29.44,60181.1,505D1456 Index,456D1505 Index
China,79519.2,20.81,54257.3,21.7,25261.9,19.11,28995.4,924D1456 Index,456D1924 Index
European Union,57334.5,15,29514,11.81,27820.5,21.05,1693.5,998D1456 Index,456D1998 Index
Euro-zone,50967.9,13.34,27272.1,10.91,23695.8,17.93,3576.3,995D1456 Index,456D1995 Index
Japan,33673.51,8.81,27628.9,11.05,6044.61,4.57,21584.29,158D1456 Index,456D1158 Index
India,33060.2,8.65,26996.5,10.8,6063.7,4.59,20932.8,534D1456 Index,456D1534 Index
Fuel Exporting Countries,31757.8,8.31,16241.5,6.5,15516.3,11.74,725.2,080D1456 Index,456D1080 Index
United States,28934.3,7.57,13442.9,5.38,15491.4,11.72,-2048.5,111D1456 Index,456D1111 Index
South Korea,25523.68,6.68,21764.2,8.71,3759.48,2.84,18004.72,542D1456 Index,456D1542 Index
United Arab Emirates,16920.39,4.43,6845.39,2.74,10075,7.62,-3229.61,466D1456 Index,456D1466 Index
France,11730.15,3.07,7354.03,2.94,4376.12,3.31,2977.91,132D1456 Index,456D1132 Index
Developing Europe,10673.7,2.79,4654.98,1.86,6018.72,4.55,-1363.74,170D1456 Index,456D1170 Index
Sub-Saharan Africa,9874.35,2.58,8263.81,3.31,1610.54,1.22,6653.27,603D1456 Index,456D1603 Index
Singapore,9629.92,2.52,8406.87,3.36,1223.05,0.93,7183.82,576D1456 Index,456D1576 Index
Italy,8194.57,2.14,4258.36,1.7,3936.21,2.98,322.15,136D1456 Index,456D1136 Index
Thailand,8039.86,2.1,5787.13,2.31,2252.73,1.7,3534.4,578D1456 Index,456D1578 Index
Bahrain,7914.53,2.07,6260.21,2.5,1654.32,1.25,4605.89,419D1456 Index,456D1419 Index
Germany,7512.6,1.97,990.43,0.4,6522.17,4.94,-5531.74,134D1456 Index,456D1134 Index
Egypt,7490.95,1.96,5197.08,2.08,2293.87,1.74,2903.21,469D1456 Index,456D1469 Index
Developing Western Hemisphere,7203.65,1.88,2934.38,1.17,4269.27,3.23,-1334.89,205D1456 Index,456D1205 Index
Spain,6722.56,1.76,4793.65,1.92,1928.91,1.46,2864.74,184D1456 Index,456D1184 Index
Belgium,5655.93,1.48,4434.86,1.77,1221.07,0.92,3213.79,124D1456 Index,456D1124 Index
United Kingdom,5546.85,1.45,2757.32,1.1,2789.53,2.11,-32.21,112D1456 Index,456D1112 Index
Malaysia,5490.46,1.44,4542.35,1.82,948.11,0.72,3594.24,548D1456 Index,456D1548 Index
Indonesia,5487.03,1.44,3567.73,1.43,1919.3,1.45,1648.43,536D1456 Index,456D1536 Index
Netherlands,5024.28,1.31,3070.2,1.23,1954.08,1.48,1116.12,138D1456 Index,456D1138 Index
Canada,4718.87,1.23,2601.88,1.04,2116.99,1.6,484.89,156D1456 Index,456D1156 Index
South Africa,4642.57,1.21,3880.77,1.55,761.8,0.58,3118.97,199D1456 Index,456D1199 Index
Turkey,4602.04,1.2,2005.22,0.8,2596.82,1.96,-591.6,186D1456 Index,456D1186 Index
Brazil,4510.25,1.18,2437.79,0.98,2072.46,1.57,365.33,223D1456 Index,456D1223 Index
Jordan,4018,1.05,3106.92,1.24,911.08,0.69,2195.84,439D1456 Index,456D1439 Index
Pakistan,2923.71,0.77,2449.62,0.98,474.09,0.36,1975.53,564D1456 Index,456D1564 Index
Poland,2782.02,0.73,1858.12,0.74,923.9,0.7,934.22,964D1456 Index,456D1964 Index
Vietnam,2753.48,0.72,1204.74,0.48,1548.74,1.17,-344,582D1456 Index,456D1582 Index
Oman,2478.3,0.65,759.97,0.3,1718.33,1.3,-958.36,449D1456 Index,456D1449 Index
Switzerland,2103.78,0.55,514.16,0.21,1589.62,1.2,-1075.46,146D1456 Index,456D1146 Index
Greece,1818.15,0.48,1000.39,0.4,817.76,0.62,182.63,174D1456 Index,456D1174 Index
CIS Countries,1754.88,0.46,538.36,0.22,1216.52,0.92,-678.16,901D1456 Index,456D1901 Index
Ethiopia,1394.83,0.36,1206.32,0.48,188.51,0.14,1017.81,644D1456 Index,456D1644 Index
Bangladesh,1393.12,0.36,1027.8,0.41,365.32,0.28,662.48,513D1456 Index,456D1513 Index
Morocco,1379.76,0.36,1224.9,0.49,154.86,0.12,1070.04,686D1456 Index,456D1686 Index
Philippines,1366.77,0.36,1095.18,0.44,271.58,0.21,823.6,566D1456 Index,456D1566 Index
Kenya,1327.14,0.35,1246.93,0.5,80.21,0.06,1166.72,664D1456 Index,456D1664 Index
Hong Kong,1250.97,0.33,490.02,0.2,760.95,0.58,-270.92,532D1456 Index,456D1532 Index
Kuwait,1199.68,0.31,683.02,0.27,516.66,0.39,166.35,443D1456 Index,456D1443 Index
Sweden,1122.07,0.29,108.83,0.04,1013.24,0.77,-904.41,144D1456 Index,456D1144 Index
Portugal,1099.6,0.29,897.01,0.36,202.59,0.15,694.41,182D1456 Index,456D1182 Index
Australia,1061.03,0.28,383.1,0.15,677.93,0.51,-294.82,193D1456 Index,456D1193 Index
Russia,1011.54,0.26,264.27,0.11,747.27,0.57,-483,922D1456 Index,456D1922 Index
Sudan,992.19,0.26,440.51,0.18,551.68,0.42,-111.17,732D1456 Index,456D1732 Index
Ireland,989.1,0.26,4.89,0,984.21,0.74,-979.32,178D1456 Index,456D1178 Index
Mexico,968.19,0.25,105.75,0.04,862.44,0.65,-756.69,273D1456 Index,456D1273 Index
Iraq,830.43,0.22,825.97,0.33,4.46,0,821.5,433D1456 Index,456D1433 Index
Austria,825.2,0.22,15.75,0.01,809.46,0.61,-793.71,122D1456 Index,456D1122 Index
Argentina,805.68,0.21,116.24,0.05,689.44,0.52,-573.21,213D1456 Index,456D1213 Index
Denmark,799.68,0.21,64.67,0.03,735.01,0.56,-670.34,128D1456 Index,456D1128 Index
New Zealand,744.38,0.19,290.61,0.12,453.77,0.34,-163.16,196D1456 Index,456D1196 Index
Czech Republic,686.03,0.18,55.75,0.02,630.28,0.48,-574.53,935D1456 Index,456D1935 Index
Lebanon,619.32,0.16,347.65,0.14,271.67,0.21,75.98,446D1456 Index,456D1446 Index
Ukraine,583.24,0.15,174.91,0.07,408.33,0.31,-233.42,926D1456 Index,456D1926 Index
Congo,482.48,0.13,1.05,0,481.43,0.36,-480.38,634D1456 Index,456D1634 Index
Sri Lanka,465.87,0.12,354.32,0.14,111.55,0.08,242.77,524D1456 Index,456D1524 Index
Peoples Democratic Republic of Yemen,454.54,0.12,304.43,0.12,150.11,0.11,154.32,474D1456 Index,456D1474 Index
Tanzania,436.08,0.11,428.58,0.17,7.5,0.01,421.08,738D1456 Index,456D1738 Index
Uganda,435.65,0.11,429.06,0.17,6.59,0,422.48,746D1456 Index,456D1746 Index
Finland,381.99,0.1,8.34,0,373.64,0.28,-365.3,172D1456 Index,456D1172 Index
Romania,374.59,0.1,12.14,0,362.45,0.27,-350.32,968D1456 Index,456D1968 Index
Lithuania,348.54,0.09,291.05,0.12,57.49,0.04,233.56,946D1456 Index,456D1946 Index
Tunisia,348.08,0.09,282.07,0.11,66.01,0.05,216.06,744D1456 Index,456D1744 Index
Hungary,312.13,0.08,5.7,0,306.43,0.23,-300.74,944D1456 Index,456D1944 Index
