Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,812447,100,402134,100,410313,100,-8179,001D1273 Index,273D1001 Index
Advanced Economies,647995,79.76,359131,89.31,288864,70.4,70267,110D1273 Index,273D1110 Index
United States,484440,59.63,294151,73.15,190289,46.38,103862,111D1273 Index,273D1111 Index
Emerging and Developing Economies,163569.6,20.13,42588.6,10.59,120981,29.49,-78392.4,200I1273 Index,273D1200 Index
Non Fuel Exporting Countries,156152.9,19.22,38009.9,9.45,118143,28.79,-80133.1,092D1273 Index,273D1092 Index
Developing Asia,115831,14.26,14514,3.61,101317,24.69,-86803,505D1273 Index,273D1505 Index
China,83992.1,10.34,10295.7,2.56,73696.4,17.96,-63400.7,924D1273 Index,273D1924 Index
European Union,63131.6,7.77,20441.8,5.08,42689.8,10.4,-22248,998D1273 Index,273D1998 Index
Euro-zone,56636.2,6.97,19213.2,4.78,37423,9.12,-18209.8,995D1273 Index,273D1995 Index
Canada,36741.4,4.52,26531.5,6.6,10209.9,2.49,16321.6,156D1273 Index,273D1156 Index
Developing Western Hemisphere,34867,4.29,21884.4,5.44,12982.6,3.16,8901.8,205D1273 Index,273D1205 Index
Japan,24560.1,3.02,5742.7,1.43,18817.4,4.59,-13074.7,158D1273 Index,273D1158 Index
Germany,19127.51,2.35,4415.71,1.1,14711.8,3.59,-10296.09,134D1273 Index,273D1134 Index
South Korea,17937.33,2.21,3507.93,0.87,14429.4,3.52,-10921.47,542D1273 Index,273D1542 Index
Malaysia,9023.23,1.11,372.14,0.09,8651.09,2.11,-8278.95,548D1273 Index,273D1548 Index
Brazil,8771.87,1.08,3754.84,0.93,5017.03,1.22,-1262.19,223D1273 Index,273D1223 Index
Spain,8281.04,1.02,3557.42,0.88,4723.62,1.15,-1166.2,184D1273 Index,273D1184 Index
Developing Europe,7442.64,0.92,2488.21,0.62,4954.43,1.21,-2466.22,170D1273 Index,273D1170 Index
Fuel Exporting Countries,7417.34,0.91,4578.69,1.14,2838.65,0.69,1740.04,080D1273 Index,273D1080 Index
India,6984.9,0.86,2441.5,0.61,4543.4,1.11,-2101.9,534D1273 Index,273D1534 Index
Italy,6798.34,0.84,1189.1,0.3,5609.24,1.37,-4420.14,136D1273 Index,273D1136 Index
Thailand,6343.33,0.78,590.06,0.15,5753.27,1.4,-5163.21,578D1273 Index,273D1578 Index
France,5860.13,0.72,1907.14,0.47,3952.99,0.96,-2045.85,132D1273 Index,273D1132 Index
Netherlands,4977.13,0.61,2830.34,0.7,2146.79,0.52,683.55,138D1273 Index,273D1138 Index
