Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,58356,100,31665.1,100,26690.9,100,4974.2,001D1429 Index,429D1001 Index
Emerging and Developing Economies,46706.4,80.04,26900,84.95,19806.4,74.21,7093.6,200I1429 Index,429D1200 Index
Non Fuel Exporting Countries,38956.1,66.76,24182.8,76.37,14773.3,55.35,9409.5,092D1429 Index,429D1092 Index
Developing Asia,28497,48.83,17170.4,54.22,11326.6,42.44,5843.8,505D1429 Index,429D1505 Index
China,20239.12,34.68,13401.6,42.32,6837.52,25.62,6564.08,924D1429 Index,429D1924 Index
Advanced Economies,11614.8,19.9,4760.75,15.03,6854.05,25.68,-2093.3,110D1429 Index,429D1110 Index
Developing Europe,9152.29,15.68,5611.51,17.72,3540.78,13.27,2070.73,170D1429 Index,429D1170 Index
Fuel Exporting Countries,7750.3,13.28,2717.19,8.58,5033.11,18.86,-2315.92,080D1429 Index,429D1080 Index
India,6919.72,11.86,3387.7,10.7,3532.02,13.23,-144.32,534D1429 Index,429D1534 Index
Turkey,5899.99,10.11,3608.22,11.39,2291.77,8.59,1316.45,186D1429 Index,429D1186 Index
European Union,4818.88,8.26,761.64,2.41,4057.24,15.2,-3295.6,998D1429 Index,429D1998 Index
Euro-zone,4380.28,7.51,624.02,1.97,3756.26,14.07,-3132.24,995D1429 Index,429D1995 Index
United Arab Emirates,4350.35,7.45,1235.1,3.9,3115.25,11.67,-1880.15,466D1429 Index,429D1466 Index
CIS Countries,3553.81,6.09,1757.82,5.55,1795.99,6.73,-38.17,901D1429 Index,429D1901 Index
South Korea,2297.94,3.94,2041.7,6.45,256.24,0.96,1785.46,542D1429 Index,429D1542 Index
Russia,1747.85,3,385.72,1.22,1362.13,5.1,-976.42,922D1429 Index,429D1922 Index
Germany,1544.75,2.65,215.26,0.68,1329.49,4.98,-1114.23,134D1429 Index,429D1134 Index
Switzerland,1374.67,2.36,19.57,0.06,1355.1,5.08,-1335.53,146D1429 Index,429D1146 Index
Afghanistan,1254.9,2.15,1245.56,3.93,9.34,0.03,1236.22,512D1429 Index,429D1512 Index
Japan,1187.7,2.04,1142.6,3.61,45.1,0.17,1097.5,158D1429 Index,429D1158 Index
Developing Western Hemisphere,763.35,1.31,137.57,0.43,625.78,2.34,-488.2,205D1429 Index,429D1205 Index
Italy,719.6,1.23,170.87,0.54,548.74,2.06,-377.87,136D1429 Index,429D1136 Index
Netherlands,675.27,1.16,33.71,0.11,641.55,2.4,-607.84,138D1429 Index,429D1138 Index
Pakistan,593.57,1.02,527.69,1.67,65.88,0.25,461.81,564D1429 Index,429D1564 Index
Oman,563.1,0.96,229.99,0.73,333.1,1.25,-103.11,449D1429 Index,429D1449 Index
United Kingdom,496.69,0.85,24.29,0.08,472.4,1.77,-448.11,112D1429 Index,429D1112 Index
Azerbaijan,477.62,0.82,452.65,1.43,24.97,0.09,427.68,912D1429 Index,429D1912 Index
Brazil,465.74,0.8,123.38,0.39,342.37,1.28,-218.99,223D1429 Index,429D1223 Index
France,450.55,0.77,20.29,0.06,430.26,1.61,-409.97,132D1429 Index,429D1132 Index
Thailand,413.05,0.71,255.74,0.81,157.31,0.59,98.43,578D1429 Index,429D1578 Index
Armenia,344.73,0.59,324.45,1.02,20.28,0.08,304.17,911D1429 Index,429D1911 Index
Sub-Saharan Africa,279.22,0.48,219.15,0.69,60.07,0.23,159.08,603D1429 Index,429D1603 Index
Malaysia,266.34,0.46,46.28,0.15,220.06,0.82,-173.78,548D1429 Index,429D1548 Index
Uzbekistan,263.71,0.45,203.44,0.64,60.27,0.23,143.17,927D1429 Index,429D1927 Index
Austria,258.04,0.44,14.86,0.05,243.18,0.91,-228.32,122D1429 Index,429D1122 Index
Georgia,253.69,0.43,187.12,0.59,66.57,0.25,120.55,915D1429 Index,429D1915 Index
Spain,249.09,0.43,90.25,0.29,158.84,0.6,-68.59,184D1429 Index,429D1184 Index
Argentina,244.58,0.42,0.78,0,243.81,0.91,-243.03,213D1429 Index,429D1213 Index
Belgium,237.06,0.41,43.2,0.14,193.86,0.73,-150.67,124D1429 Index,429D1124 Index
Qatar,231.91,0.4,220.19,0.7,11.72,0.04,208.46,453D1429 Index,429D1453 Index
Canada,222.06,0.38,23.55,0.07,198.51,0.74,-174.96,156D1429 Index,429D1156 Index
Kazakhstan,219.11,0.38,80.8,0.26,138.32,0.52,-57.52,916D1429 Index,429D1916 Index
Philippines,165.9,0.28,2.18,0.01,163.72,0.61,-161.55,566D1429 Index,429D1566 Index
Denmark,149.01,0.26,9.04,0.03,139.97,0.52,-130.93,128D1429 Index,429D1128 Index
Ukraine,129.85,0.22,48.96,0.15,80.89,0.3,-31.93,926D1429 Index,429D1926 Index
Indonesia,108.18,0.19,23.51,0.07,84.67,0.32,-61.16,536D1429 Index,429D1536 Index
Hong Kong,101.18,0.17,46.48,0.15,54.69,0.2,-8.21,532D1429 Index,429D1532 Index
Kuwait,87.01,0.15,74.93,0.24,12.08,0.05,62.85,443D1429 Index,429D1443 Index
Sudan,81.87,0.14,77.86,0.25,4,0.02,73.86,732D1429 Index,429D1732 Index
Cyprus,79.87,0.14,0.56,0,79.31,0.3,-78.75,423D1429 Index,429D1423 Index
Syria,77.79,0.13,74.14,0.23,3.65,0.01,70.48,463D1429 Index,429D1463 Index
Ethiopia,77.65,0.13,65.63,0.21,12.02,0.05,53.6,644D1429 Index,429D1644 Index
Australia,75.03,0.13,17.36,0.05,57.67,0.22,-40.3,193D1429 Index,429D1193 Index
Singapore,73.84,0.13,3.96,0.01,69.89,0.26,-65.93,576D1429 Index,429D1576 Index
Sri Lanka,68.9,0.12,8.09,0.03,60.81,0.23,-52.72,524D1429 Index,429D1524 Index
Lebanon,68.25,0.12,60.51,0.19,7.74,0.03,52.77,446D1429 Index,429D1446 Index
Sweden,67.84,0.12,12.11,0.04,55.73,0.21,-43.62,144D1429 Index,429D1144 Index
Kenya,66.34,0.11,59.7,0.19,6.65,0.02,53.05,664D1429 Index,429D1664 Index
Tajikistan,59.78,0.1,46.23,0.15,13.55,0.05,32.68,923D1429 Index,429D1923 Index
Bulgaria,58.45,0.1,38.12,0.12,20.33,0.08,17.8,918D1429 Index,429D1918 Index
Romania,57.2,0.1,42.61,0.13,14.58,0.05,28.03,968D1429 Index,429D1968 Index
Ireland,46.68,0.08,0.15,0,46.53,0.17,-46.38,178D1429 Index,429D1178 Index
Jordan,45.76,0.08,42.78,0.14,2.98,0.01,39.79,439D1429 Index,429D1439 Index
Myanmar,43.55,0.07,43.5,0.14,0.05,0,43.45,518D1429 Index,429D1518 Index
Greece,38.65,0.07,14.74,0.05,23.91,0.09,-9.17,174D1429 Index,429D1174 Index
Poland,35.56,0.06,14.37,0.05,21.19,0.08,-6.81,964D1429 Index,429D1964 Index
United States,34.58,0.06,1.42,0,33.17,0.12,-31.75,111D1429 Index,429D1111 Index
Hungary,30.08,0.05,7.11,0.02,22.97,0.09,-15.87,944D1429 Index,429D1944 Index
Kyrgyzstan,29.71,0.05,17.53,0.06,12.19,0.05,5.34,917D1429 Index,429D1917 Index
Uruguay,28.47,0.05,0.03,0,28.44,0.11,-28.41,298D1429 Index,429D1298 Index
New Zealand,27.73,0.05,5.02,0.02,22.71,0.09,-17.69,196D1429 Index,429D1196 Index
Slovenia,26.37,0.05,2.8,0.01,23.57,0.09,-20.77,961D1429 Index,429D1961 Index
Belarus,26,0.04,9.17,0.03,16.83,0.06,-7.66,913D1429 Index,429D1913 Index
Czech Republic,21.78,0.04,1.4,0,20.39,0.08,-18.99,935D1429 Index,429D1935 Index
Finland,21.23,0.04,0.55,0,20.68,0.08,-20.13,172D1429 Index,429D1172 Index
Bangladesh,21.07,0.04,0.57,0,20.5,0.08,-19.93,513D1429 Index,429D1513 Index
Croatia,18.69,0.03,12.86,0.04,5.83,0.02,7.02,960D1429 Index,429D1960 Index
Mongolia,16.98,0.03,0.65,0,16.33,0.06,-15.69,948D1429 Index,429D1948 Index
Sierra Leone,16.85,0.03,16.85,0.05,0.01,0,16.84,724D1429 Index,429D1724 Index
Tanzania,16.35,0.03,16.29,0.05,0.07,0,16.22,738D1429 Index,429D1738 Index
Portugal,15.62,0.03,9.05,0.03,6.57,0.02,2.48,182D1429 Index,429D1182 Index
Macedonia,12.27,0.02,12.07,0.04,0.2,0,11.87,962D1429 Index,429D1962 Index
Bahrain,11.87,0.02,11.28,0.04,0.59,0,10.69,419D1429 Index,429D1419 Index
Ghana,9.76,0.02,0.24,0,9.52,0.04,-9.28,652D1429 Index,429D1652 Index
Nigeria,9.26,0.02,6.98,0.02,2.28,0.01,4.7,694D1429 Index,429D1694 Index
Norway,9.04,0.02,4.88,0.02,4.16,0.02,0.73,142D1429 Index,429D1142 Index
Egypt,9.04,0.02,7.98,0.03,1.06,0,6.92,469D1429 Index,429D1469 Index
Rwanda,7.31,0.01,6.21,0.02,1.1,0,5.11,714D1429 Index,429D1714 Index
Uganda,7.24,0.01,6.87,0.02,0.37,0,6.5,746D1429 Index,429D1746 Index
Slovakia,6.23,0.01,3.64,0.01,2.59,0.01,1.05,936D1429 Index,429D1936 Index
