Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1284602,100,608160,100,676442,100,-68282,001D1132 Index,132D1001 Index
Advanced Economies,972439,75.7,452750,74.45,519689,76.83,-66939,110D1132 Index,132D1110 Index
European Union,744616,57.96,308229,50.68,436387,64.51,-128158,998D1132 Index,132D1998 Index
Euro-zone,660571,51.42,271168,44.59,389403,57.57,-118235,995D1132 Index,132D1995 Index
Emerging and Developing Economies,310860,24.2,155069,25.5,155791,23.03,-722,200I1132 Index,132D1200 Index
Non Fuel Exporting Countries,237564,18.49,123419,20.29,114145,16.87,9274,092D1132 Index,132D1092 Index
Germany,204565.2,15.92,81547.2,13.41,123018,18.19,-41470.8,134D1132 Index,132D1134 Index
Belgium,111901.3,8.71,42937.6,7.06,68963.7,10.2,-26026.1,124D1132 Index,132D1124 Index
Developing Asia,106937.1,8.32,51370.2,8.45,55566.9,8.21,-4196.7,505D1132 Index,132D1505 Index
Italy,97700.7,7.61,43293,7.12,54407.7,8.04,-11114.7,136D1132 Index,132D1136 Index
Developing Europe,93484.9,7.28,44013.8,7.24,49471.1,7.31,-5457.3,170D1132 Index,132D1170 Index
Spain,91424,7.12,42976.2,7.07,48447.8,7.16,-5471.6,184D1132 Index,132D1184 Index
United States,88101.4,6.86,52647.1,8.66,35454.3,5.24,17192.8,111D1132 Index,132D1111 Index
Netherlands,75539.8,5.88,20682.4,3.4,54857.4,8.11,-34175,138D1132 Index,132D1138 Index
Fuel Exporting Countries,73296.4,5.71,31649.6,5.2,41646.8,6.16,-9997.2,080D1132 Index,132D1080 Index
China,67878.2,5.28,32287.5,5.31,35590.7,5.26,-3303.2,924D1132 Index,132D1924 Index
United Kingdom,64044.6,4.99,36751.8,6.04,27292.8,4.03,9459,112D1132 Index,132D1112 Index
Switzerland,39895.2,3.11,19800.6,3.26,20094.6,2.97,-294,146D1132 Index,132D1146 Index
CIS Countries,29082.2,2.26,12981.4,2.13,16100.8,2.38,-3119.4,901D1132 Index,132D1901 Index
Poland,24025.7,1.87,10698.2,1.76,13327.5,1.97,-2629.3,964D1132 Index,132D1964 Index
Developing Western Hemisphere,22836.7,1.78,14594,2.4,8242.7,1.22,6351.3,205D1132 Index,132D1205 Index
Sub-Saharan Africa,21683.4,1.69,11885.5,1.95,9797.9,1.45,2087.6,603D1132 Index,132D1603 Index
Russia,20847.35,1.62,9577.05,1.57,11270.3,1.67,-1693.25,922D1132 Index,132D1922 Index
Ireland,20712.36,1.61,12700.7,2.09,8011.66,1.18,4689.04,178D1132 Index,132D1178 Index
Japan,18144.42,1.41,11030.4,1.81,7114.02,1.05,3916.38,158D1132 Index,132D1158 Index
Turkey,16149.98,1.26,7836.53,1.29,8313.45,1.23,-476.92,186D1132 Index,132D1186 Index
Czech Republic,15499.53,1.21,5795.09,0.95,9704.44,1.43,-3909.35,935D1132 Index,132D1935 Index
Portugal,14894.24,1.16,6846.46,1.13,8047.78,1.19,-1201.32,182D1132 Index,132D1182 Index
Sweden,14739.64,1.15,6326.74,1.04,8412.9,1.24,-2086.16,144D1132 Index,132D1144 Index
Singapore,13821.92,1.08,11410.1,1.88,2411.82,0.36,8998.28,576D1132 Index,132D1576 Index
Austria,12625.37,0.98,4720.28,0.78,7905.09,1.17,-3184.81,122D1132 Index,132D1122 Index
Morocco,11622.32,0.9,6061.68,1,5560.64,0.82,501.04,686D1132 Index,132D1686 Index
Saudi Arabia,11588.5,0.9,4089.68,0.67,7498.82,1.11,-3409.14,456D1132 Index,132D1456 Index
India,10242.97,0.8,4317.29,0.71,5925.68,0.88,-1608.39,534D1132 Index,132D1534 Index
Romania,9798.59,0.76,4982.07,0.82,4816.52,0.71,165.55,968D1132 Index,132D1968 Index
Algeria,9691.45,0.75,4779.69,0.79,4911.76,0.73,-132.07,612D1132 Index,132D1612 Index
South Korea,9536.83,0.74,5872.96,0.97,3663.87,0.54,2209.09,542D1132 Index,132D1542 Index
Hungary,9025.68,0.7,4388.66,0.72,4637.02,0.69,-248.36,944D1132 Index,132D1944 Index
Canada,8960.47,0.7,5835.68,0.96,3124.79,0.46,2710.89,156D1132 Index,132D1156 Index
Slovakia,8952.04,0.7,3752.78,0.62,5199.26,0.77,-1446.48,936D1132 Index,132D1936 Index
Tunisia,8362.13,0.65,3247.72,0.53,5114.41,0.76,-1866.69,744D1132 Index,132D1744 Index
United Arab Emirates,8043.51,0.63,6508.24,1.07,1535.27,0.23,4972.97,466D1132 Index,132D1466 Index
Hong Kong,7647.05,0.6,6777.92,1.11,869.13,0.13,5908.79,532D1132 Index,132D1532 Index
Denmark,7542.44,0.59,3099.51,0.51,4442.93,0.66,-1343.42,128D1132 Index,132D1128 Index
Brazil,7171.77,0.56,4170.86,0.69,3000.91,0.44,1169.95,223D1132 Index,132D1223 Index
Mexico,6471.05,0.5,4650.77,0.76,1820.28,0.27,2830.49,273D1132 Index,132D1273 Index
Malaysia,6128.28,0.48,4129.9,0.68,1998.38,0.3,2131.52,548D1132 Index,132D1548 Index
Thailand,5919.95,0.46,3816.1,0.63,2103.85,0.31,1712.25,578D1132 Index,132D1578 Index
Vietnam,5914.78,0.46,1347.41,0.22,4567.37,0.68,-3219.96,582D1132 Index,132D1582 Index
Luxembourg,5585.9,0.43,2772.77,0.46,2813.13,0.42,-40.36,137D1132 Index,132D1137 Index
Norway,5487.38,0.43,3226.04,0.53,2261.34,0.33,964.7,142D1132 Index,132D1142 Index
Australia,5333.19,0.42,4228.04,0.7,1105.15,0.16,3122.89,193D1132 Index,132D1193 Index
Nigeria,4738.13,0.37,338.09,0.06,4400.04,0.65,-4061.95,694D1132 Index,132D1694 Index
Finland,4699.77,0.37,2239.33,0.37,2460.44,0.36,-221.11,172D1132 Index,132D1172 Index
Kazakhstan,4139.2,0.32,661.46,0.11,3477.74,0.51,-2816.28,916D1132 Index,132D1916 Index
Greece,3766.51,0.29,2578.39,0.42,1188.12,0.18,1390.27,174D1132 Index,132D1174 Index
Israel,3477.57,0.27,2197,0.36,1280.57,0.19,916.43,436D1132 Index,132D1436 Index
Slovenia,3470.51,0.27,1507.63,0.25,1962.88,0.29,-455.25,961D1132 Index,132D1961 Index
Egypt,3091.25,0.24,2285.54,0.38,805.71,0.12,1479.83,469D1132 Index,132D1469 Index
South Africa,3038.5,0.24,2198.22,0.36,840.28,0.12,1357.94,199D1132 Index,132D1199 Index
Indonesia,2936.48,0.23,1660.98,0.27,1275.5,0.19,385.48,536D1132 Index,132D1536 Index
Libya,2913.67,0.23,232.97,0.04,2680.7,0.4,-2447.73,672D1132 Index,132D1672 Index
