Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1136331,100,442739,100,693592,100,-250853,001D1112 Index,112D1001 Index
Advanced Economies,836690,73.63,341971,77.24,494719,71.33,-152748,110D1112 Index,112D1110 Index
European Union,560241,49.3,217551,49.14,342690,49.41,-125139,998D1112 Index,112D1998 Index
Euro-zone,487724,42.92,191435,43.24,296289,42.72,-104854,995D1112 Index,112D1995 Index
Emerging and Developing Economies,289426,25.47,100748,22.76,188678,27.2,-87930,200I1112 Index,112D1200 Index
Non Fuel Exporting Countries,238950.3,21.03,78641.3,17.76,160309,23.11,-81667.7,092D1112 Index,112D1092 Index
Developing Asia,135753,11.95,39058.7,8.82,96694.3,13.94,-57635.6,505D1112 Index,112D1505 Index
United States,132555.4,11.67,63187,14.27,69368.4,10,-6181.4,111D1112 Index,112D1111 Index
Germany,130855.7,11.52,45393.1,10.25,85462.6,12.32,-40069.5,134D1112 Index,112D1134 Index
China,88680.9,7.8,23827.5,5.38,64853.4,9.35,-41025.9,924D1112 Index,112D1924 Index
Netherlands,85514.8,7.53,31091.1,7.02,54423.7,7.85,-23332.6,138D1112 Index,112D1138 Index
Developing Europe,78059.2,6.87,25235.1,5.7,52824.1,7.62,-27589,170D1112 Index,112D1170 Index
France,65788.4,5.79,27626.8,6.24,38161.6,5.5,-10534.8,132D1112 Index,112D1132 Index
Belgium,50909.7,4.48,18540.2,4.19,32369.5,4.67,-13829.3,124D1112 Index,112D1124 Index
Fuel Exporting Countries,50475.8,4.44,22106.6,4.99,28369.2,4.09,-6262.6,080D1112 Index,112D1080 Index
Ireland,45632.3,4.02,27821.6,6.28,17810.7,2.57,10010.9,178D1112 Index,112D1178 Index
Switzerland,41161.9,3.62,16209.9,3.66,24952,3.6,-8742.1,146D1112 Index,112D1146 Index
Italy,37471.3,3.3,11633.4,2.63,25837.9,3.73,-14204.5,136D1112 Index,112D1136 Index
Spain,35323,3.11,13982.7,3.16,21340.3,3.08,-7357.6,184D1112 Index,112D1184 Index
CIS Countries,25063.43,2.21,6115.53,1.38,18947.9,2.73,-12832.37,901D1112 Index,112D1901 Index
Norway,24315.92,2.14,4276.82,0.97,20039.1,2.89,-15762.28,142D1112 Index,112D1142 Index
Canada,23305.03,2.05,7208.93,1.63,16096.1,2.32,-8887.17,156D1112 Index,112D1156 Index
Sub-Saharan Africa,21312.5,1.88,8906.5,2.01,12406,1.79,-3499.5,603D1112 Index,112D1603 Index
Poland,21062.92,1.85,6715.32,1.52,14347.6,2.07,-7632.28,964D1112 Index,112D1964 Index
Japan,20280.9,1.78,8144.8,1.84,12136.1,1.75,-3991.3,158D1112 Index,112D1158 Index
Developing Western Hemisphere,19924.94,1.75,8627.64,1.95,11297.3,1.63,-2669.66,205D1112 Index,112D1205 Index
Russia,18293.09,1.61,4036.59,0.91,14256.5,2.06,-10219.91,922D1112 Index,112D1922 Index
Turkey,17187.7,1.51,5638.3,1.27,11549.4,1.67,-5911.1,186D1112 Index,112D1186 Index
India,16550.39,1.46,6880.21,1.55,9670.18,1.39,-2789.97,534D1112 Index,112D1534 Index
Australia,16152.24,1.42,5335.94,1.21,10816.3,1.56,-5480.36,193D1112 Index,112D1193 Index
Sweden,15559.13,1.37,7234.72,1.63,8324.41,1.2,-1089.69,144D1112 Index,112D1144 Index
Hong Kong,14949.97,1.32,10183.4,2.3,4766.57,0.69,5416.83,532D1112 Index,112D1532 Index
Denmark,12094.27,1.06,3623.53,0.82,8470.74,1.22,-4847.21,128D1112 Index,112D1128 Index
Czech Republic,11603.35,1.02,3848.66,0.87,7754.69,1.12,-3906.03,935D1112 Index,112D1935 Index
Singapore,11511.41,1.01,8857.49,2,2653.92,0.38,6203.57,576D1112 Index,112D1576 Index
South Africa,11488.65,1.01,3042.9,0.69,8445.75,1.22,-5402.85,199D1112 Index,112D1199 Index
United Arab Emirates,9453.69,0.83,7288.22,1.65,2165.47,0.31,5122.75,466D1112 Index,112D1466 Index
South Korea,9287.43,0.82,4167.94,0.94,5119.49,0.74,-951.55,542D1112 Index,112D1542 Index
Austria,8302.3,0.73,3292.3,0.74,5010,0.72,-1717.7,122D1112 Index,112D1122 Index
Vietnam,7013.14,0.62,856.79,0.19,6156.35,0.89,-5299.57,582D1112 Index,112D1582 Index
Portugal,6452.48,0.57,2351.28,0.53,4101.2,0.59,-1749.92,182D1112 Index,112D1182 Index
Thailand,6286.66,0.55,2443.22,0.55,3843.44,0.55,-1400.22,578D1112 Index,112D1578 Index
Mexico,5984.06,0.53,2532.73,0.57,3451.33,0.5,-918.6,273D1112 Index,112D1273 Index
Hungary,5932.43,0.52,2016.71,0.46,3915.72,0.56,-1899.01,944D1112 Index,112D1944 Index
Israel,5744.67,0.51,4258.8,0.96,1485.87,0.21,2772.93,436D1112 Index,112D1436 Index
Malaysia,5612.91,0.49,1773.9,0.4,3839.01,0.55,-2065.11,548D1112 Index,112D1548 Index
Saudi Arabia,5546.85,0.49,2789.53,0.63,2757.32,0.4,32.21,456D1112 Index,112D1456 Index
Brazil,5504.62,0.48,2465.98,0.56,3038.64,0.44,-572.66,223D1112 Index,112D1223 Index
Slovakia,5010.3,0.44,1707.09,0.39,3303.21,0.48,-1596.12,936D1112 Index,112D1936 Index
Finland,4885.13,0.43,1780.01,0.4,3105.12,0.45,-1325.11,172D1112 Index,112D1172 Index
Romania,4456.59,0.39,1849.26,0.42,2607.33,0.38,-758.07,968D1112 Index,112D1968 Index
Qatar,4100.65,0.36,1984.62,0.45,2116.03,0.31,-131.41,453D1112 Index,112D1453 Index
Bangladesh,3846.52,0.34,534.56,0.12,3311.96,0.48,-2777.4,513D1112 Index,112D1513 Index
Nigeria,3615.4,0.32,1834.05,0.41,1781.35,0.26,52.7,694D1112 Index,112D1694 Index
Indonesia,2885.21,0.25,1048.65,0.24,1836.56,0.26,-787.91,536D1112 Index,112D1536 Index
Egypt,2690.59,0.24,1650.33,0.37,1040.26,0.15,610.07,469D1112 Index,112D1469 Index
Greece,2578.54,0.23,1358.95,0.31,1219.59,0.18,139.36,174D1112 Index,112D1174 Index
Algeria,2503.46,0.22,0.1,0,2503.36,0.36,-2503.26,612D1112 Index,112D1612 Index
Uzbekistan,2414.99,0.21,62.37,0.01,2352.62,0.34,-2290.25,927D1112 Index,112D1927 Index
Pakistan,2313.02,0.2,697.56,0.16,1615.46,0.23,-917.9,564D1112 Index,112D1564 Index
New Zealand,2271.16,0.2,1179.32,0.27,1091.84,0.16,87.48,196D1112 Index,112D1196 Index
Lithuania,2046.26,0.18,961.88,0.22,1084.38,0.16,-122.51,946D1112 Index,112D1946 Index
Malta,1644.23,0.14,1535.95,0.35,108.28,0.02,1427.67,181D1112 Index,112D1181 Index
Chile,1625.97,0.14,591.26,0.13,1034.71,0.15,-443.45,228D1112 Index,112D1228 Index
Morocco,1593.45,0.14,798,0.18,795.44,0.11,2.56,686D1112 Index,112D1686 Index
Ukraine,1526.53,0.13,767.18,0.17,759.35,0.11,7.83,926D1112 Index,112D1926 Index
Philippines,1518.44,0.13,827.85,0.19,690.6,0.1,137.25,566D1112 Index,112D1566 Index
Latvia,1500.02,0.13,514.95,0.12,985.07,0.14,-470.12,941D1112 Index,112D1941 Index
Argentina,1456.25,0.13,583.17,0.13,873.08,0.13,-289.92,213D1112 Index,112D1213 Index
Bulgaria,1282.66,0.11,515.55,0.12,767.11,0.11,-251.56,918D1112 Index,112D1918 Index
Macedonia,1231.65,0.11,1084.94,0.25,146.71,0.02,938.23,962D1112 Index,112D1962 Index
Sri Lanka,1195.23,0.11,369.31,0.08,825.92,0.12,-456.61,524D1112 Index,112D1524 Index
Colombia,1186.28,0.1,597.23,0.13,589.05,0.08,8.18,233D1112 Index,112D1233 Index
Cambodia,1174.36,0.1,83.1,0.02,1091.26,0.16,-1008.16,522D1112 Index,112D1522 Index
Kuwait,1087.92,0.1,289.57,0.07,798.35,0.12,-508.77,443D1112 Index,112D1443 Index
Luxembourg,1083.68,0.1,307.46,0.07,776.22,0.11,-468.77,137D1112 Index,112D1137 Index
Ghana,1048.77,0.09,685.55,0.15,363.22,0.05,322.34,652D1112 Index,112D1652 Index
Slovenia,1045.98,0.09,480.99,0.11,564.99,0.08,-84,961D1112 Index,112D1961 Index
Iceland,983.19,0.09,411.09,0.09,572.1,0.08,-161.01,176D1112 Index,112D1176 Index
Bahrain,966.42,0.09,491.21,0.11,475.22,0.07,15.99,419D1112 Index,112D1419 Index
Cyprus,951.53,0.08,646.36,0.15,305.17,0.04,341.19,423D1112 Index,112D1423 Index
Kazakhstan,927.63,0.08,470.95,0.11,456.68,0.07,14.27,916D1112 Index,112D1916 Index
Peru,855.89,0.08,260.27,0.06,595.62,0.09,-335.35,293D1112 Index,112D1293 Index
Kyrgyzstan,814.72,0.07,15.68,0,799.04,0.12,-783.36,917D1112 Index,112D1917 Index
Ethiopia,773.12,0.07,482.65,0.11,290.47,0.04,192.18,644D1112 Index,112D1644 Index
Estonia,728.33,0.06,408.75,0.09,319.58,0.05,89.17,939D1112 Index,112D1939 Index
Kenya,699.55,0.06,317.41,0.07,382.14,0.06,-64.73,664D1112 Index,112D1664 Index
Serbia,609.81,0.05,259.38,0.06,350.43,0.05,-91.05,942D1112 Index,112D1942 Index
Oman,558.47,0.05,393.12,0.09,165.35,0.02,227.77,449D1112 Index,112D1449 Index
Lebanon,533.32,0.05,483.83,0.11,49.49,0.01,434.35,446D1112 Index,112D1446 Index
Iraq,532.34,0.05,529.18,0.12,3.16,0,526.02,433D1112 Index,112D1433 Index
Croatia,526.31,0.05,312.61,0.07,213.7,0.03,98.9,960D1112 Index,112D1960 Index
Tunisia,496.91,0.04,261.7,0.06,235.21,0.03,26.48,744D1112 Index,112D1744 Index
Iran,496.69,0.04,472.4,0.11,24.29,0,448.11,429D1112 Index,112D1429 Index
Costa Rica,476.41,0.04,134.95,0.03,341.46,0.05,-206.51,238D1112 Index,112D1238 Index
Cote D Ivoire,458.77,0.04,149.34,0.03,309.43,0.04,-160.08,662D1112 Index,112D1662 Index
Libya,453.14,0.04,202.82,0.05,250.33,0.04,-47.51,672D1112 Index,112D1672 Index
Angola,423.26,0.04,400.18,0.09,23.08,0,377.09,614D1112 Index,112D1614 Index
Myanmar,395.02,0.03,56.81,0.01,338.21,0.05,-281.4,518D1112 Index,112D1518 Index
Azerbaijan,388.44,0.03,232.77,0.05,155.67,0.02,77.1,912D1112 Index,112D1912 Index
Belarus,381.41,0.03,288.3,0.07,93.11,0.01,195.18,913D1112 Index,112D1913 Index
Dominican Republic,372.4,0.03,222.95,0.05,149.45,0.02,73.51,243D1112 Index,112D1243 Index
Faeroe Islands,362.54,0.03,42.09,0.01,320.45,0.05,-278.37,816D1112 Index,112D1816 Index
Mauritius,329.7,0.03,169.66,0.04,160.05,0.02,9.61,684D1112 Index,112D1684 Index
Ecuador,317.48,0.03,138.35,0.03,179.13,0.03,-40.77,248D1112 Index,112D1248 Index
Trinidad And Tobago,304.91,0.03,174.24,0.04,130.68,0.02,43.56,369D1112 Index,112D1369 Index
Jordan,268.68,0.02,229.25,0.05,39.42,0.01,189.83,439D1112 Index,112D1439 Index
Malawi,251.92,0.02,224.2,0.05,27.71,0,196.49,676D1112 Index,112D1676 Index
Guatemala,220.3,0.02,93.99,0.02,126.3,0.02,-32.31,258D1112 Index,112D1258 Index
Macau,195.91,0.02,192.35,0.04,3.55,0,188.8,546D1112 Index,112D1546 Index
Honduras,182.27,0.02,23.4,0.01,158.87,0.02,-135.47,268D1112 Index,112D1268 Index
Guinea,173.99,0.02,173.19,0.04,0.8,0,172.4,656D1112 Index,112D1656 Index
Cameroon,169.73,0.01,108.83,0.02,60.9,0.01,47.93,622D1112 Index,112D1622 Index
Zimbabwe,168.83,0.01,79.47,0.02,89.35,0.01,-9.88,698D1112 Index,112D1698 Index
Paraguay,161.51,0.01,69.54,0.02,91.97,0.01,-22.43,288D1112 Index,112D1288 Index
Tanzania,160.1,0.01,139.7,0.03,20.4,0,119.3,738D1112 Index,112D1738 Index
Jamaica,147.64,0.01,98.83,0.02,48.81,0.01,50.01,343D1112 Index,112D1343 Index
Zambia,143.02,0.01,132.51,0.03,10.51,0,122,754D1112 Index,112D1754 Index
Brunei Darussalam,130.28,0.01,124.9,0.03,5.38,0,119.53,516D1112 Index,112D1516 Index
Mozambique,129.22,0.01,96.47,0.02,32.75,0,63.72,688D1112 Index,112D1688 Index
Georgia,128.19,0.01,103.93,0.02,24.26,0,79.68,915D1112 Index,112D1915 Index
Uruguay,124.76,0.01,60.38,0.01,64.38,0.01,-4,298D1112 Index,112D1298 Index
Senegal,120.02,0.01,61.94,0.01,58.08,0.01,3.87,722D1112 Index,112D1722 Index
Papua New Guinea,116.28,0.01,16.92,0,99.37,0.01,-82.45,853D1112 Index,112D1853 Index
Seychelles,115.84,0.01,37.66,0.01,78.18,0.01,-40.51,718D1112 Index,112D1718 Index
Bosnia and Herzegovina,114.84,0.01,92.8,0.02,22.04,0,70.76,963D1112 Index,112D1963 Index
Panama,112.53,0.01,82,0.02,30.53,0,51.47,283D1112 Index,112D1283 Index
"Congo, Democratic Republic",106.81,0.01,100.33,0.02,6.48,0,93.85,636D1112 Index,112D1636 Index
Belize,106.03,0.01,8.05,0,97.97,0.01,-89.92,339D1112 Index,112D1339 Index
Equatorial Guinea,99.25,0.01,57.29,0.01,41.96,0.01,15.33,642D1112 Index,112D1642 Index
Bolivia,93.88,0.01,44.05,0.01,49.82,0.01,-5.77,218D1112 Index,112D1218 Index
Sudan,88.95,0.01,79.47,0.02,9.48,0,69.99,732D1112 Index,112D1732 Index
Uganda,88.75,0.01,71.57,0.02,17.18,0,54.38,746D1112 Index,112D1746 Index
Moldova,83.61,0.01,39.42,0.01,44.18,0.01,-4.76,921D1112 Index,112D1921 Index
Venezuela,78.28,0.01,33.22,0.01,45.06,0.01,-11.84,299D1112 Index,112D1299 Index
Armenia,77.84,0.01,75.12,0.02,2.72,0,72.4,911D1112 Index,112D1911 Index
Nicaragua,76.36,0.01,11.53,0,64.83,0.01,-53.3,278D1112 Index,112D1278 Index
Barbados,75.1,0.01,65.91,0.01,9.19,0,56.72,316D1112 Index,112D1316 Index
Madagascar,73.25,0.01,22.61,0.01,50.64,0.01,-28.02,674D1112 Index,112D1674 Index
El Salvador,66.31,0.01,45.8,0.01,20.51,0,25.3,253D1112 Index,112D1253 Index
Albania,64.84,0.01,56.3,0.01,8.54,0,47.76,914D1112 Index,112D1914 Index
New Caledonia,60.77,0.01,49.27,0.01,11.5,0,37.77,839D1112 Index,112D1839 Index
Mauritania,59.15,0.01,56.99,0.01,2.16,0,54.83,682D1112 Index,112D1682 Index
Gabon,56.98,0.01,54.76,0.01,2.23,0,52.53,646D1112 Index,112D1646 Index
Nepal,54.71,0,31.69,0.01,23.02,0,8.67,558D1112 Index,112D1558 Index
Burkina Faso,53.91,0,50.81,0.01,3.1,0,47.7,748D1112 Index,112D1748 Index
Congo,52.28,0,24.31,0.01,27.97,0,-3.66,634D1112 Index,112D1634 Index
Guyana,50.09,0,5.77,0,44.31,0.01,-38.54,336D1112 Index,112D1336 Index
Fiji,49.66,0,24.73,0.01,24.93,0,-0.2,819D1112 Index,112D1819 Index
Montenegro,42.89,0,34.66,0.01,8.24,0,26.42,943D1112 Index,112D1943 Index
Laos,42.66,0,14.93,0,27.73,0,-12.8,544D1112 Index,112D1544 Index
Maldives,41.75,0,29.43,0.01,12.32,0,17.11,556D1112 Index,112D1556 Index
Mongolia,41.52,0,30.97,0.01,10.55,0,20.42,948D1112 Index,112D1948 Index
Chad,40.16,0,38.83,0.01,1.33,0,37.51,628D1112 Index,112D1628 Index
Rwanda,38.67,0,21.28,0,17.39,0,3.89,714D1112 Index,112D1714 Index
Sierra Leone,37.27,0,35.6,0.01,1.67,0,33.93,724D1112 Index,112D1724 Index
Mali,36.18,0,31.43,0.01,4.75,0,26.68,678D1112 Index,112D1678 Index
St. Lucia,36.18,0,29.73,0.01,6.45,0,23.27,362D1112 Index,112D1362 Index
Bahamas,32.71,0,28.82,0.01,3.89,0,24.93,313D1112 Index,112D1313 Index
Other Countries,29.52,0,20.1,0,9.41,0,10.69,910D1112 Index,112D1910 Index
Cuba,29.34,0,20.08,0,9.26,0,10.81,928D1112 Index,112D1928 Index
Benin,27.01,0,25.54,0.01,1.47,0,24.07,638D1112 Index,112D1638 Index
St. Vincent & Grens.,24.42,0,22.7,0.01,1.72,0,20.97,364I1112 Index,112D1364 Index
Turkmenistan,22.2,0,20.07,0,2.13,0,17.94,925D1112 Index,112D1925 Index
Grenada,19.92,0,19.4,0,0.51,0,18.89,328D1112 Index,112D1328 Index
Aruba,19.11,0,19,0,0.11,0,18.89,314D1112 Index,112D1314 Index
Solomon Islands,18.33,0,0.93,0,17.4,0,-16.46,813D1112 Index,112D1813 Index
Gambia,17.99,0,13.03,0,4.97,0,8.06,648D1112 Index,112D1648 Index
Somalia,17.66,0,16.61,0,1.05,0,15.57,726D1112 Index,112D1726 Index
Syria,17.64,0,13.86,0,3.78,0,10.08,463D1112 Index,112D1463 Index
Burundi,16.98,0,16.32,0,0.66,0,15.66,618D1112 Index,112D1618 Index
Peoples Democratic Republic of Yemen,16.85,0,16.36,0,0.49,0,15.87,474D1112 Index,112D1474 Index
Djibouti,15.61,0,9.52,0,6.09,0,3.43,611D1112 Index,112D1611 Index
Bermuda,15.26,0,9.95,0,5.31,0,4.63,319D1112 Index,112D1319 Index
Dominica,15.09,0,13.38,0,1.72,0,11.66,321D1112 Index,112D1321 Index
Liberia,14.58,0,14.1,0,0.48,0,13.63,668D1112 Index,112D1668 Index
Togo,14.16,0,12.45,0,1.71,0,10.75,742D1112 Index,112D1742 Index
Greenland,10.57,0,6.42,0,4.15,0,2.26,326D1112 Index,112D1326 Index
Afghanistan,10.27,0,4.39,0,5.88,0,-1.5,512D1112 Index,112D1512 Index
