Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,3909430,100,2307670,100,1601760,100,705910,001D1924 Index,924D1001 Index
Advanced Economies,2534357,64.83,1585970,68.73,948387,59.21,637583,110D1924 Index,924D1110 Index
Emerging and Developing Economies,1222399,31.27,716140,31.03,506259,31.61,209881,200I1924 Index,924D1200 Index
Non Fuel Exporting Countries,891099,22.79,564566,24.46,326533,20.39,238033,092D1924 Index,924D1092 Index
United States,626748,16.03,481881,20.88,144867,9.04,337014,111D1924 Index,924D1111 Index
European Union,518638,13.27,328508,14.24,190130,11.87,138378,998D1924 Index,924D1998 Index
Euro-zone,446308,11.42,277279,12.02,169029,10.55,108250,995D1924 Index,924D1995 Index
Developing Asia,433521,11.09,252007,10.92,181514,11.33,70493,505D1924 Index,924D1505 Index
Fuel Exporting Countries,331301,8.47,151574,6.57,179727,11.22,-28153,080D1924 Index,924D1080 Index
Japan,303314,7.76,160598,6.96,142716,8.91,17882,158D1924 Index,924D1158 Index
Developing Western Hemisphere,284985,7.29,181360,7.86,103625,6.47,77735,205D1924 Index,924D1205 Index
Hong Kong,269394.48,6.89,261233,11.32,8161.48,0.51,253071.52,532D1924 Index,924D1532 Index
South Korea,264539.3,6.77,90250.3,3.91,174289,10.88,-84038.7,542D1924 Index,924D1542 Index
Developing Europe,172767,4.42,108157,4.69,64610,4.03,43547,170D1924 Index,924D1170 Index
Germany,164155.4,4.2,76685.3,3.32,87470.1,5.46,-10784.8,134D1924 Index,924D1134 Index
Australia,114171.5,2.92,49030.1,2.12,65141.4,4.07,-16111.3,193D1924 Index,924D1193 Index
CIS Countries,107715.9,2.76,54453.2,2.36,53262.7,3.33,1190.5,901D1924 Index,924D1901 Index
Sub-Saharan Africa,107702.9,2.75,57077.5,2.47,50625.4,3.16,6452.1,603D1924 Index,924D1603 Index
Malaysia,86382.1,2.21,33155.2,1.44,53226.9,3.32,-20071.7,548D1924 Index,924D1548 Index
Mexico,84277.4,2.16,74191.3,3.21,10086.1,0.63,64105.2,273D1924 Index,924D1273 Index
Netherlands,83077.04,2.13,74271.7,3.22,8805.34,0.55,65466.36,138D1924 Index,924D1138 Index
United Kingdom,80107.7,2.05,61227,2.65,18880.7,1.18,42346.3,112D1924 Index,924D1112 Index
Thailand,78114.6,2,40901.9,1.77,37212.7,2.32,3689.2,578D1924 Index,924D1578 Index
Brazil,76942.6,1.97,32562.2,1.41,44380.4,2.77,-11818.2,223D1924 Index,924D1223 Index
India,74987.7,1.92,61592.8,2.67,13394.9,0.84,48197.9,534D1924 Index,924D1534 Index
Vietnam,73237.7,1.87,49441.1,2.14,23796.6,1.49,25644.5,582D1924 Index,924D1582 Index
Canada,72878.4,1.86,54329.2,2.35,18549.2,1.16,35780,156D1924 Index,924D1156 Index
Singapore,68213,1.74,42191.3,1.83,26021.7,1.62,16169.6,576D1924 Index,924D1576 Index
Russia,68090.6,1.74,34945.8,1.51,33144.8,2.07,1801,922D1924 Index,924D1922 Index
France,55655.6,1.42,30681.1,1.33,24974.5,1.56,5706.6,132D1924 Index,924D1132 Index
Saudi Arabia,54794.9,1.4,24639.4,1.07,30155.5,1.88,-5516.1,456D1924 Index,924D1456 Index
Indonesia,49226.4,1.26,29410.9,1.27,19815.5,1.24,9595.4,536D1924 Index,924D1536 Index
Italy,48152.6,1.23,31367.9,1.36,16784.7,1.05,14583.2,136D1924 Index,924D1136 Index
United Arab Emirates,34125.5,0.87,22845.1,0.99,11280.4,0.7,11564.7,466D1924 Index,924D1466 Index
Chile,33312.6,0.85,14603.9,0.63,18708.7,1.17,-4104.8,228D1924 Index,924D1228 Index
South Africa,31961.3,0.82,16607.1,0.72,15354.2,0.96,1252.9,199D1924 Index,924D1199 Index
Philippines,30937.3,0.79,11915.2,0.52,19022.1,1.19,-7106.9,566D1924 Index,924D1566 Index
Turkey,28237.6,0.72,25283.7,1.1,2953.9,0.18,22329.8,186D1924 Index,924D1186 Index
Spain,27609.5,0.71,21988.4,0.95,5621.1,0.35,16367.3,184D1924 Index,924D1184 Index
Iran,26486.3,0.68,10473.1,0.45,16013.2,1,-5540.1,429D1924 Index,924D1429 Index
Belgium,23562.03,0.6,16530.3,0.72,7031.73,0.44,9498.57,124D1924 Index,924D1124 Index
Switzerland,22004.59,0.56,12857.6,0.56,9146.99,0.57,3710.61,146D1924 Index,924D1146 Index
Iraq,21058.87,0.54,8402.57,0.36,12656.3,0.79,-4253.73,433D1924 Index,924D1433 Index
Angola,19294.29,0.49,3311.09,0.14,15983.2,1,-12672.11,614D1924 Index,924D1614 Index
Argentina,17456.6,0.45,11742.5,0.51,5714.1,0.36,6028.4,213D1924 Index,924D1213 Index
Peru,17329.75,0.44,9124,0.4,8205.75,0.51,918.25,293D1924 Index,924D1293 Index
Poland,17258.35,0.44,14510.4,0.63,2747.95,0.17,11762.45,964D1924 Index,924D1964 Index
Oman,16570.54,0.42,1518.34,0.07,15052.2,0.94,-13533.86,449D1924 Index,924D1449 Index
Sweden,14661.83,0.38,8229.43,0.36,6432.4,0.4,1797.03,144D1924 Index,924D1144 Index
Czech Republic,14467.69,0.37,11683.6,0.51,2784.09,0.17,8899.51,935D1924 Index,924D1935 Index
New Zealand,13708.32,0.35,7125,0.31,6583.32,0.41,541.68,196D1924 Index,924D1196 Index
Colombia,13571.48,0.35,10032.5,0.43,3538.98,0.22,6493.52,233D1924 Index,924D1233 Index
Pakistan,13497.68,0.35,11019,0.48,2478.68,0.15,8540.32,564D1924 Index,924D1564 Index
Venezuela,12996.11,0.33,6156.67,0.27,6839.44,0.43,-682.77,299D1924 Index,924D1299 Index
Norway,12071.02,0.31,7923.76,0.34,4147.26,0.26,3776.5,142D1924 Index,924D1142 Index
Myanmar,11674.16,0.3,6434.88,0.28,5239.28,0.33,1195.6,518D1924 Index,924D1518 Index
Kazakhstan,10927.8,0.28,5087.8,0.22,5840,0.36,-752.2,916D1924 Index,924D1916 Index
Austria,10812.71,0.28,5846.71,0.25,4966,0.31,880.71,122D1924 Index,924D1122 Index
Denmark,10329.03,0.26,6233.11,0.27,4095.92,0.26,2137.19,128D1924 Index,924D1128 Index
Egypt,10004.35,0.26,9093.92,0.39,910.43,0.06,8183.49,469D1924 Index,924D1469 Index
Bangladesh,9652.57,0.25,8848.85,0.38,803.72,0.05,8045.13,513D1924 Index,924D1513 Index
Nigeria,9386.61,0.24,8149.17,0.35,1237.44,0.08,6911.73,694D1924 Index,924D1694 Index
Kuwait,9165.56,0.23,1686.81,0.07,7478.75,0.47,-5791.94,443D1924 Index,924D1443 Index
Turkmenistan,8690.19,0.22,862.59,0.04,7827.6,0.49,-6965.01,925D1924 Index,924D1925 Index
Algeria,8678.12,0.22,7897.35,0.34,780.77,0.05,7116.58,612D1924 Index,924D1612 Index
Hungary,8585.51,0.22,5712.24,0.25,2873.27,0.18,2838.97,944D1924 Index,924D1944 Index
Israel,8571.8,0.22,5767.6,0.25,2804.2,0.18,2963.4,436D1924 Index,924D1436 Index
Other Countries,8371.25,0.21,5556.65,0.24,2814.6,0.18,2742.05,910D1924 Index,924D1910 Index
Qatar,8359.9,0.21,3765.19,0.16,4594.71,0.29,-829.52,453D1924 Index,924D1453 Index
Ukraine,7325.26,0.19,3770.07,0.16,3555.19,0.22,214.88,926D1924 Index,924D1926 Index
Ireland,7267.67,0.19,2981.93,0.13,4285.74,0.27,-1303.81,178D1924 Index,924D1178 Index
Ethiopia,6368.33,0.16,5987.75,0.26,380.58,0.02,5607.17,644D1924 Index,924D1644 Index
Finland,5662.19,0.14,2176.84,0.09,3485.35,0.22,-1308.51,172D1924 Index,924D1172 Index
North Korea,5607.19,0.14,3123.25,0.14,2483.94,0.16,639.31,954D1924 Index,924D1954 Index
Slovakia,5282.32,0.14,3045,0.13,2237.32,0.14,807.68,936D1924 Index,924D1936 Index
Mongolia,5113.48,0.13,1360.71,0.06,3752.77,0.23,-2392.06,948D1924 Index,924D1948 Index
Uzbekistan,5008.52,0.13,3741.74,0.16,1266.78,0.08,2474.96,927D1924 Index,924D1927 Index
Cambodia,4592.49,0.12,3926.2,0.17,666.29,0.04,3259.91,522D1924 Index,924D1522 Index
Romania,4502.53,0.12,3203.15,0.14,1299.38,0.08,1903.77,968D1924 Index,924D1968 Index
Ecuador,4502.29,0.12,3264.93,0.14,1237.36,0.08,2027.57,248D1924 Index,924D1248 Index
Uruguay,4158.01,0.11,1747.41,0.08,2410.6,0.15,-663.19,298D1924 Index,924D1298 Index
"Congo, Democratic Republic",3906.77,0.1,1250.07,0.05,2656.7,0.17,-1406.63,636D1924 Index,924D1636 Index
Macau,3770.06,0.1,3586.83,0.16,183.23,0.01,3403.6,546D1924 Index,924D1546 Index
Ghana,3677.99,0.09,2478.71,0.11,1199.28,0.07,1279.43,652D1924 Index,924D1652 Index
Congo,3675.58,0.09,1058.12,0.05,2617.46,0.16,-1559.34,634D1924 Index,924D1634 Index
Morocco,3660.43,0.09,3131.73,0.14,528.7,0.03,2603.03,686D1924 Index,924D1686 Index
Portugal,3446.28,0.09,1974.44,0.09,1471.84,0.09,502.6,182D1924 Index,924D1182 Index
Belarus,3411.7,0.09,2401.19,0.1,1010.51,0.06,1390.68,913D1924 Index,924D1913 Index
Kenya,3365.14,0.09,3266.49,0.14,98.65,0.01,3167.84,664D1924 Index,924D1664 Index
Greece,3118.11,0.08,2831.99,0.12,286.12,0.02,2545.87,174D1924 Index,924D1174 Index
Luxembourg,3010.12,0.08,2700.59,0.12,309.53,0.02,2391.06,137D1924 Index,924D1137 Index
Papua New Guinea,2997.46,0.08,1112.11,0.05,1885.35,0.12,-773.24,853D1924 Index,924D1853 Index
Jordan,2927.84,0.07,2640.35,0.11,287.49,0.02,2352.86,439D1924 Index,924D1439 Index
Costa Rica,2773.57,0.07,1947.54,0.08,826.03,0.05,1121.51,238D1924 Index,924D1238 Index
Libya,2770.15,0.07,1825.11,0.08,945.04,0.06,880.07,672D1924 Index,924D1672 Index
Cuba,2764.06,0.07,2433.4,0.11,330.66,0.02,2102.74,928D1924 Index,924D1928 Index
Dominican Republic,2672.96,0.07,2461.12,0.11,211.84,0.01,2249.29,243D1924 Index,924D1243 Index
Laos,2650.2,0.07,1352.1,0.06,1298.1,0.08,54,544D1924 Index,924D1544 Index
Zambia,2514.11,0.06,693.34,0.03,1820.77,0.11,-1127.43,754D1924 Index,924D1754 Index
Paraguay,2432.5,0.06,2390.58,0.1,41.92,0,2348.66,288D1924 Index,924D1288 Index
Tanzania,2231.26,0.06,1853.93,0.08,377.33,0.02,1476.6,738D1924 Index,924D1738 Index
Bolivia,2227.79,0.06,1780.16,0.08,447.63,0.03,1332.53,218D1924 Index,924D1218 Index
Lebanon,2100.68,0.05,2083.3,0.09,17.38,0,2065.92,446D1924 Index,924D1446 Index
Guatemala,2071.73,0.05,1868.23,0.08,203.5,0.01,1664.73,258D1924 Index,924D1258 Index
