Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,880899,100,435281,100,445618,100,-10337,001D1273 Index,273D1001 Index
Advanced Economies,701321,79.61,386682,88.84,314639,70.61,72043,110D1273 Index,273D1110 Index
United States,520273,59.06,314045,72.15,206228,46.28,107817,111D1273 Index,273D1111 Index
Emerging and Developing Economies,178584.8,20.27,48137.8,11.06,130447,29.27,-82309.2,200I1273 Index,273D1200 Index
Non Fuel Exporting Countries,170025.8,19.3,42689.8,9.81,127336,28.58,-84646.2,092D1273 Index,273D1092 Index
Developing Asia,125699.4,14.27,17442.4,4.01,108257,24.29,-90814.6,505D1273 Index,273D1505 Index
China,90349.1,10.26,11749.6,2.7,78599.5,17.64,-66849.9,924D1273 Index,273D1924 Index
European Union,73826.3,8.38,24571.6,5.64,49254.7,11.05,-24683.1,998D1273 Index,273D1998 Index
Euro-zone,66377.9,7.54,23321.5,5.36,43056.4,9.66,-19734.9,995D1273 Index,273D1995 Index
Canada,39119.2,4.44,28743.7,6.6,10375.5,2.33,18368.2,156D1273 Index,273D1156 Index
Developing Western Hemisphere,37999.3,4.31,24039.2,5.52,13960.1,3.13,10079.1,205D1273 Index,273D1205 Index
Japan,25053.61,2.84,5776.41,1.33,19277.2,4.33,-13500.79,158D1273 Index,273D1158 Index
Germany,24462.83,2.78,7055.33,1.62,17407.5,3.91,-10352.17,134D1273 Index,273D1134 Index
South Korea,21064.2,2.39,4362,1,16702.2,3.75,-12340.2,542D1273 Index,273D1542 Index
Brazil,10259.54,1.16,4492.48,1.03,5767.06,1.29,-1274.58,223D1273 Index,273D1223 Index
Spain,9679.36,1.1,4372.34,1,5307.02,1.19,-934.68,184D1273 Index,273D1184 Index
India,8854.38,1.01,3532.27,0.81,5322.11,1.19,-1789.84,534D1273 Index,273D1534 Index
Malaysia,8686.87,0.99,325.96,0.07,8360.91,1.88,-8034.95,548D1273 Index,273D1548 Index
Developing Europe,8639.93,0.98,2787.15,0.64,5852.78,1.31,-3065.63,170D1273 Index,273D1170 Index
Fuel Exporting Countries,8558.91,0.97,5448.01,1.25,3110.9,0.7,2337.11,080D1273 Index,273D1080 Index
Italy,7602.65,0.86,1071.02,0.25,6531.63,1.47,-5460.61,136D1273 Index,273D1136 Index
Thailand,6894.6,0.78,604.25,0.14,6290.35,1.41,-5686.1,578D1273 Index,273D1578 Index
France,5977.78,0.68,1662.17,0.38,4315.61,0.97,-2653.44,132D1273 Index,273D1132 Index
Netherlands,5821.19,0.66,3286.66,0.76,2534.53,0.57,752.13,138D1273 Index,273D1138 Index
Vietnam,5680.71,0.64,787.52,0.18,4893.19,1.1,-4105.67,582D1273 Index,273D1582 Index
Belgium,5381.77,0.61,4128.03,0.95,1253.74,0.28,2874.29,124D1273 Index,273D1124 Index
Colombia,5211.73,0.59,3436.89,0.79,1774.84,0.4,1662.05,233D1273 Index,273D1233 Index
United Kingdom,5066.47,0.58,2493.68,0.57,2572.79,0.58,-79.11,112D1273 Index,273D1112 Index
Chile,3761.88,0.43,2133.02,0.49,1628.86,0.37,504.16,228D1273 Index,273D1228 Index
Singapore,3542.32,0.4,2052,0.47,1490.32,0.33,561.68,576D1273 Index,273D1576 Index
Switzerland,3249.15,0.37,1455.05,0.33,1794.1,0.4,-339.05,146D1273 Index,273D1146 Index
CIS Countries,3042.78,0.35,1239.84,0.28,1802.94,0.4,-563.1,901D1273 Index,273D1901 Index
Argentina,2953.57,0.34,2081.49,0.48,872.08,0.2,1209.41,213D1273 Index,273D1213 Index
Philippines,2627.62,0.3,123.88,0.03,2503.74,0.56,-2379.86,566D1273 Index,273D1566 Index
Australia,2626.94,0.3,2262.1,0.52,364.84,0.08,1897.26,193D1273 Index,273D1193 Index
Guatemala,2523.93,0.29,1964.51,0.45,559.42,0.13,1405.1,258D1273 Index,273D1258 Index
Russia,2504.4,0.28,955.1,0.22,1549.3,0.35,-594.2,922D1273 Index,273D1922 Index
