Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Chile,2185.02,0.19,401.55,0.07,1783.47,0.3,-1381.92,228D1138 Index,138D1228 Index
Luxembourg,2091.34,0.18,1162.96,0.2,928.38,0.16,234.58,137D1138 Index,138D1137 Index
Argentina,2041.61,0.17,322.53,0.06,1719.08,0.29,-1396.55,213D1138 Index,138D1213 Index
Slovenia,1929.11,0.16,1231.76,0.21,697.35,0.12,534.41,961D1138 Index,138D1961 Index
Peru,1833.81,0.16,180.06,0.03,1653.75,0.28,-1473.69,293D1138 Index,138D1293 Index
Cote D Ivoire,1728.61,0.15,298.2,0.05,1430.41,0.24,-1132.21,662D1138 Index,138D1662 Index
Bangladesh,1644.1,0.14,141.52,0.02,1502.58,0.25,-1361.06,513D1138 Index,138D1513 Index
Iraq,1587.4,0.14,504.61,0.09,1082.79,0.18,-578.18,433D1138 Index,138D1433 Index
Latvia,1518.93,0.13,796.98,0.14,721.95,0.12,75.02,941D1138 Index,138D1941 Index
Costa Rica,1458.06,0.12,103.02,0.02,1355.04,0.23,-1252.02,238D1138 Index,138D1238 Index
Egypt,1446.36,0.12,940.84,0.16,505.52,0.08,435.32,469D1138 Index,138D1469 Index
Morocco,1341.11,0.11,661.49,0.12,679.61,0.11,-18.12,686D1138 Index,138D1686 Index
Croatia,1283.67,0.11,1022.33,0.18,261.34,0.04,760.99,960D1138 Index,138D1960 Index
Estonia,1262.94,0.11,754.99,0.13,507.95,0.09,247.04,939D1138 Index,138D1939 Index
Ghana,1178.49,0.1,386,0.07,792.49,0.13,-406.49,652D1138 Index,138D1652 Index
Pakistan,1162.83,0.1,462.23,0.08,700.6,0.12,-238.38,564D1138 Index,138D1564 Index
Colombia,1143.87,0.1,250.99,0.04,892.88,0.15,-641.89,233D1138 Index,138D1233 Index
Kenya,990.6,0.08,393.28,0.07,597.32,0.1,-204.04,664D1138 Index,138D1664 Index
Cameroon,905.57,0.08,232.6,0.04,672.97,0.11,-440.37,622D1138 Index,138D1622 Index
New Zealand,903.46,0.08,359.86,0.06,543.6,0.09,-183.74,196D1138 Index,138D1196 Index
Dominican Republic,828.73,0.07,326.42,0.06,502.31,0.08,-175.89,243D1138 Index,138D1243 Index
Ecuador,807.97,0.07,124.36,0.02,683.61,0.11,-559.25,248D1138 Index,138D1248 Index
Libya,728.17,0.06,573.04,0.1,155.13,0.03,417.92,672D1138 Index,138D1672 Index
Qatar,684.71,0.06,367.08,0.06,317.64,0.05,49.44,453D1138 Index,138D1453 Index
Belarus,659.3,0.06,388.53,0.07,270.76,0.05,117.77,913D1138 Index,138D1913 Index
Serbia,645.06,0.06,269.75,0.05,375.31,0.06,-105.56,942D1138 Index,138D1942 Index
Iran,589.91,0.05,460.7,0.08,129.2,0.02,331.5,429D1138 Index,138D1429 Index
Uruguay,576.93,0.05,59.65,0.01,517.28,0.09,-457.64,298D1138 Index,138D1298 Index
Kuwait,574.55,0.05,112.71,0.02,461.84,0.08,-349.13,443D1138 Index,138D1443 Index
Cyprus,545.06,0.05,419.72,0.07,125.35,0.02,294.37,423D1138 Index,138D1423 Index
