Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,600990,100,324587,100,276403,100,48184,001D1146 Index,146D1001 Index
Advanced Economies,432274,71.93,238364,73.44,193910,70.15,44454,110D1146 Index,146D1110 Index
European Union,271540,45.18,124084,38.23,147456,53.35,-23372,998D1146 Index,146D1998 Index
Euro-zone,255114,42.45,118294,36.44,136820,49.5,-18526,995D1146 Index,146D1995 Index
Emerging and Developing Economies,168662.1,28.06,86207.8,26.56,82454.3,29.83,3753.5,200I1146 Index,146D1200 Index
Non Fuel Exporting Countries,136788.9,22.76,72744.7,22.41,64044.2,23.17,8700.5,092D1146 Index,146D1092 Index
Germany,104919.7,17.46,47484.7,14.63,57435,20.78,-9950.3,134D1146 Index,146D1134 Index
Developing Asia,83130.8,13.83,52859.7,16.29,30271.1,10.95,22588.6,505D1146 Index,146D1505 Index
United States,63731,10.6,44907.1,13.84,18823.9,6.81,26083.2,111D1146 Index,146D1111 Index
China,42453,7.06,27319.7,8.42,15133.3,5.48,12186.4,924D1146 Index,146D1924 Index
United Kingdom,41161.9,6.85,24952,7.69,16209.9,5.86,8742.1,112D1146 Index,146D1112 Index
France,38431,6.39,19538,6.02,18893,6.84,645,132D1146 Index,146D1132 Index
Italy,34602,5.76,12247.7,3.77,22354.3,8.09,-10106.6,136D1146 Index,146D1136 Index
Fuel Exporting Countries,31873.2,5.3,13463.1,4.15,18410.1,6.66,-4947,080D1146 Index,146D1080 Index
Developing Europe,25409.8,4.23,13442.9,4.14,11966.9,4.33,1476,170D1146 Index,146D1170 Index
India,19926.2,3.32,17761.6,5.47,2164.6,0.78,15597,534D1146 Index,146D1534 Index
United Arab Emirates,19175.03,3.19,4112.33,1.27,15062.7,5.45,-10950.37,466D1146 Index,146D1466 Index
Developing Western Hemisphere,17011.56,2.83,6801.46,2.1,10210.1,3.69,-3408.64,205D1146 Index,146D1205 Index
Austria,16120.3,2.68,7652.99,2.36,8467.31,3.06,-814.32,122D1146 Index,146D1122 Index
Belgium,15353.22,2.55,9891.43,3.05,5461.79,1.98,4429.64,124D1146 Index,146D1124 Index
Hong Kong,14304.55,2.38,10492.1,3.23,3812.45,1.38,6679.65,532D1146 Index,146D1532 Index
Netherlands,13619.17,2.27,8067.14,2.49,5552.03,2.01,2515.11,138D1146 Index,146D1138 Index
Sub-Saharan Africa,13191.06,2.19,2130.26,0.66,11060.8,4,-8930.54,603D1146 Index,146D1603 Index
