Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,569181,100,337751,100,231430,100,106321,001D1922 Index,922D1001 Index
Emerging and Developing Economies,300568,52.81,178244,52.77,122324,52.86,55920,200I1922 Index,922D1200 Index
Non Fuel Exporting Countries,269692,47.38,156321,46.28,113371,48.99,42950,092D1922 Index,922D1092 Index
Advanced Economies,268246,47.13,159184,47.13,109062,47.13,50122,110D1922 Index,922D1110 Index
European Union,186499.8,32.77,108032,31.99,78467.8,33.91,29564.2,998D1922 Index,922D1998 Index
Euro-zone,147303.7,25.88,84562.4,25.04,62741.3,27.11,21821.1,995D1922 Index,922D1995 Index
Developing Asia,141217.2,24.81,72050,21.33,69167.2,29.89,2882.8,505D1922 Index,922D1505 Index
China,112000.3,19.68,57092.1,16.9,54908.2,23.73,2183.9,924D1922 Index,922D1924 Index
CIS Countries,71675.9,12.59,46311.6,13.71,25364.3,10.96,20947.3,901D1922 Index,922D1901 Index
Germany,45306.2,7.96,21888.5,6.48,23417.7,10.12,-1529.2,134D1922 Index,922D1134 Index
Fuel Exporting Countries,30876.46,5.42,21922.9,6.49,8953.56,3.87,12969.34,080D1922 Index,922D1080 Index
United States,30065.5,5.28,16843.2,4.99,13222.3,5.71,3620.9,111D1922 Index,922D1111 Index
Belarus,29095.6,5.11,16510.5,4.89,12585.1,5.44,3925.4,913D1922 Index,922D1913 Index
United Kingdom,27920.82,4.91,24531.8,7.26,3389.02,1.46,21142.78,112D1922 Index,922D1112 Index
Turkey,22939.59,4.03,17829.3,5.28,5110.29,2.21,12719.01,186D1922 Index,922D1186 Index
Italy,20510.2,3.6,10297.4,3.05,10212.8,4.41,84.6,136D1922 Index,922D1136 Index
Netherlands,18997.14,3.34,15244.6,4.51,3752.54,1.62,11492.06,138D1922 Index,922D1138 Index
Kazakhstan,18334.33,3.22,13300.2,3.94,5034.13,2.18,8266.07,916D1922 Index,922D1916 Index
South Korea,17841.97,3.13,10682.7,3.16,7159.27,3.09,3523.43,542D1922 Index,922D1542 Index
Japan,17841.86,3.13,10728.1,3.18,7113.76,3.07,3614.34,158D1922 Index,922D1158 Index
Poland,16229.55,2.85,11367.4,3.37,4862.15,2.1,6505.25,964D1922 Index,922D1964 Index
France,14204.11,2.5,6110.58,1.81,8093.53,3.5,-1982.95,132D1922 Index,922D1132 Index
Developing Western Hemisphere,12645.27,2.22,5324.22,1.58,7321.05,3.16,-1996.83,205D1922 Index,922D1205 Index
Finland,9562.82,1.68,6665.6,1.97,2897.22,1.25,3768.38,172D1922 Index,922D1172 Index
India,9392.78,1.65,5934.69,1.76,3458.09,1.49,2476.6,534D1922 Index,922D1534 Index
Belgium,8774.06,1.54,6616.7,1.96,2157.36,0.93,4459.34,124D1922 Index,922D1124 Index
Ukraine,8161.15,1.43,4553.18,1.35,3607.97,1.56,945.21,926D1922 Index,922D1926 Index
Vietnam,6135.56,1.08,2090.6,0.62,4044.96,1.75,-1954.36,582D1922 Index,922D1582 Index
Spain,6016.71,1.06,2941.91,0.87,3074.8,1.33,-132.89,184D1922 Index,922D1184 Index
Czech Republic,5854.39,1.03,2176.1,0.64,3678.29,1.59,-1502.19,935D1922 Index,922D1935 Index
Sub-Saharan Africa,5471.25,0.96,3932.95,1.16,1538.3,0.66,2394.65,603D1922 Index,922D1603 Index
Uzbekistan,5302.77,0.93,4080.14,1.21,1222.63,0.53,2857.51,927D1922 Index,922D1927 Index
Hungary,4975.63,0.87,2867.58,0.85,2108.05,0.91,759.53,944D1922 Index,922D1944 Index
Brazil,4888.91,0.86,2878.93,0.85,2009.98,0.87,868.95,223D1922 Index,922D1223 Index
Slovakia,4468.79,0.79,2799.4,0.83,1669.39,0.72,1130.01,936D1922 Index,922D1936 Index
Austria,4146.79,0.73,1677.11,0.5,2469.68,1.07,-792.57,122D1922 Index,922D1122 Index
Switzerland,4064.1,0.71,1336.68,0.4,2727.42,1.18,-1390.74,146D1922 Index,922D1146 Index
Greece,3572.1,0.63,3349.42,0.99,222.68,0.1,3126.74,174D1922 Index,922D1174 Index
Lithuania,3483.2,0.61,2936.62,0.87,546.58,0.24,2390.04,946D1922 Index,922D1946 Index
Romania,3360.06,0.59,2067.14,0.61,1292.92,0.56,774.22,968D1922 Index,922D1968 Index
Sweden,3340.08,0.59,1413.35,0.42,1926.73,0.83,-513.38,144D1922 Index,922D1144 Index
Thailand,3167.37,0.56,1746.32,0.52,1421.05,0.61,325.27,578D1922 Index,922D1578 Index
Egypt,3069.72,0.54,2554.15,0.76,515.57,0.22,2038.58,469D1922 Index,922D1469 Index
Azerbaijan,2776.01,0.49,1962.29,0.58,813.72,0.35,1148.57,912D1922 Index,922D1912 Index
Indonesia,2744.98,0.48,957.89,0.28,1787.09,0.77,-829.21,536D1922 Index,922D1536 Index
Bulgaria,2660.4,0.47,2138.55,0.63,521.85,0.23,1616.71,918D1922 Index,922D1918 Index
Serbia,2368.19,0.42,1178.59,0.35,1189.6,0.51,-11.01,942D1922 Index,922D1942 Index
Malaysia,2343.51,0.41,764.12,0.23,1579.39,0.68,-815.27,548D1922 Index,922D1548 Index
United Arab Emirates,2291.18,0.4,1942.74,0.58,348.44,0.15,1594.3,466D1922 Index,922D1466 Index
Denmark,2281.43,0.4,1148.01,0.34,1133.42,0.49,14.59,128D1922 Index,922D1128 Index
Iran,2168.75,0.38,1373.07,0.41,795.68,0.34,577.39,429D1922 Index,922D1429 Index
Armenia,2141.97,0.38,1495.2,0.44,646.77,0.28,848.44,911D1922 Index,922D1911 Index
Morocco,2015.68,0.35,1622.72,0.48,392.96,0.17,1229.76,686D1922 Index,922D1686 Index
Mexico,1940.55,0.34,922.37,0.27,1018.18,0.44,-95.81,273D1922 Index,922D1273 Index
Estonia,1915.55,0.34,1437.7,0.43,477.85,0.21,959.85,939D1922 Index,922D1939 Index
Norway,1893.36,0.33,1441.27,0.43,452.09,0.2,989.18,142D1922 Index,922D1142 Index
Ireland,1865.74,0.33,316.05,0.09,1549.69,0.67,-1233.64,178D1922 Index,922D1178 Index
Canada,1775.62,0.31,949.04,0.28,826.57,0.36,122.47,156D1922 Index,922D1156 Index
Singapore,1693.15,0.3,1167.33,0.35,525.82,0.23,641.51,576D1922 Index,922D1576 Index
Latvia,1613.56,0.28,1136.52,0.34,477.04,0.21,659.48,941D1922 Index,922D1941 Index
Bangladesh,1606.32,0.28,711.31,0.21,895.02,0.39,-183.71,513D1922 Index,922D1513 Index
Kyrgyzstan,1554.82,0.27,1316.01,0.39,238.81,0.1,1077.21,917D1922 Index,922D1917 Index
Hong Kong,1505.85,0.26,1081.51,0.32,424.34,0.18,657.17,532D1922 Index,922D1532 Index
Slovenia,1451.38,0.25,478.35,0.14,973.03,0.42,-494.69,961D1922 Index,922D1961 Index
Ecuador,1446.16,0.25,171.01,0.05,1275.15,0.55,-1104.14,248D1922 Index,922D1248 Index
Mongolia,1438.31,0.25,1399.96,0.41,38.35,0.02,1361.61,948D1922 Index,922D1948 Index
Georgia,1387.45,0.24,888.45,0.26,499,0.22,389.45,915D1922 Index,922D1915 Index
Israel,1254.95,0.22,427.9,0.13,827.05,0.36,-399.15,436D1922 Index,922D1436 Index
Philippines,1245.79,0.22,842.25,0.25,403.54,0.17,438.71,566D1922 Index,922D1566 Index
South Africa,1240.04,0.22,546.66,0.16,693.38,0.3,-146.72,199D1922 Index,922D1199 Index
Portugal,1102,0.19,585.29,0.17,516.71,0.22,68.59,182D1922 Index,922D1182 Index
Turkmenistan,990.45,0.17,669.82,0.2,320.63,0.14,349.19,925D1922 Index,922D1925 Index
Tajikistan,975.2,0.17,932.59,0.28,42.61,0.02,889.98,923D1922 Index,922D1923 Index
Argentina,974.83,0.17,166.18,0.05,808.65,0.35,-642.48,213D1922 Index,922D1213 Index
Moldova,956.17,0.17,603.19,0.18,352.98,0.15,250.21,921D1922 Index,922D1921 Index
Chile,916.55,0.16,55.14,0.02,861.42,0.37,-806.28,228D1922 Index,922D1228 Index
Saudi Arabia,912.47,0.16,693.77,0.21,218.7,0.09,475.07,456D1922 Index,922D1456 Index
Pakistan,909.11,0.16,616.2,0.18,292.91,0.13,323.29,564D1922 Index,922D1564 Index
Australia,820.15,0.14,156.39,0.05,663.77,0.29,-507.38,193D1922 Index,922D1193 Index
Nigeria,729.34,0.13,691.54,0.2,37.8,0.02,653.74,694D1922 Index,922D1694 Index
Paraguay,671.19,0.12,112.08,0.03,559.11,0.24,-447.03,288D1922 Index,922D1288 Index
New Zealand,543.12,0.1,266.33,0.08,276.79,0.12,-10.46,196D1922 Index,922D1196 Index
Lebanon,529.54,0.09,516.64,0.15,12.91,0.01,503.73,446D1922 Index,922D1446 Index
Tunisia,529.31,0.09,404.44,0.12,124.87,0.05,279.58,744D1922 Index,922D1744 Index
Sri Lanka,494.67,0.09,236.02,0.07,258.65,0.11,-22.63,524D1922 Index,922D1524 Index
Croatia,494.24,0.09,291.09,0.09,203.15,0.09,87.94,960D1922 Index,922D1960 Index
Kenya,444.66,0.08,356.89,0.11,87.77,0.04,269.12,664D1922 Index,922D1664 Index
Senegal,356.07,0.06,353.25,0.1,2.82,0,350.43,722D1922 Index,922D1722 Index
Colombia,354.3,0.06,230.7,0.07,123.59,0.05,107.11,233D1922 Index,922D1233 Index
Cote D Ivoire,347.46,0.06,117.44,0.03,230.02,0.1,-112.58,662D1922 Index,922D1662 Index
Other Countries,340.4,0.06,323.84,0.1,16.57,0.01,307.27,910D1922 Index,922D1910 Index
Peru,334.17,0.06,125.83,0.04,208.33,0.09,-82.5,293D1922 Index,922D1293 Index
Qatar,323.22,0.06,286.56,0.08,36.66,0.02,249.9,453D1922 Index,922D1453 Index
Bosnia and Herzegovina,303.46,0.05,209.43,0.06,94.02,0.04,115.41,963D1922 Index,922D1963 Index
Syria,296.55,0.05,288.39,0.09,8.16,0,280.23,463D1922 Index,922D1463 Index
Cuba,295.16,0.05,279.31,0.08,15.85,0.01,263.46,928D1922 Index,922D1928 Index
Faeroe Islands,290.98,0.05,9.11,0,281.87,0.12,-272.76,816D1922 Index,922D1816 Index
Jordan,290.4,0.05,207.14,0.06,83.27,0.04,123.87,439D1922 Index,922D1439 Index
Burkina Faso,289.62,0.05,289.62,0.09,0,0,289.62,748D1922 Index,922D1748 Index
Ghana,272.51,0.05,198.26,0.06,74.25,0.03,124.01,652D1922 Index,922D1652 Index
Sudan,265.28,0.05,265.1,0.08,0.18,0,264.92,732D1922 Index,922D1732 Index
Macedonia,241.31,0.04,147.36,0.04,93.95,0.04,53.42,962D1922 Index,922D1962 Index
Luxembourg,222.14,0.04,27.15,0.01,194.99,0.08,-167.84,137D1922 Index,922D1137 Index
Cameroon,216.22,0.04,214.74,0.06,1.48,0,213.25,622D1922 Index,922D1622 Index
Tanzania,210.31,0.04,171.26,0.05,39.05,0.02,132.21,738D1922 Index,922D1738 Index
Brunei Darussalam,208.08,0.04,208.07,0.06,0.01,0,208.06,516D1922 Index,922D1516 Index
Cambodia,204.27,0.04,13.72,0,190.54,0.08,-176.82,522D1922 Index,922D1522 Index
Afghanistan,202.08,0.04,198.54,0.06,3.53,0,195.01,512D1922 Index,922D1512 Index
Uruguay,184.98,0.03,66.01,0.02,118.98,0.05,-52.97,298D1922 Index,922D1298 Index
Myanmar,173.35,0.03,27.99,0.01,145.36,0.06,-117.37,518D1922 Index,922D1518 Index
Mauritania,167.02,0.03,165.38,0.05,1.64,0,163.75,682D1922 Index,922D1682 Index
Ethiopia,152.11,0.03,129.62,0.04,22.49,0.01,107.13,644D1922 Index,922D1644 Index
Albania,151.27,0.03,135.13,0.04,16.14,0.01,118.99,914D1922 Index,922D1914 Index
Costa Rica,148.55,0.03,47.34,0.01,101.21,0.04,-53.87,238D1922 Index,922D1238 Index
Peoples Democratic Republic of Yemen,146.83,0.03,146.55,0.04,0.28,0,146.27,474D1922 Index,922D1474 Index
Guinea,139.91,0.02,42.7,0.01,97.22,0.04,-54.52,656D1922 Index,922D1656 Index
Iraq,139.74,0.02,139.35,0.04,0.4,0,138.95,433D1922 Index,922D1433 Index
Bolivia,120.09,0.02,115.84,0.03,4.25,0,111.59,218D1922 Index,922D1218 Index
Dominican Republic,118.51,0.02,83.98,0.02,34.53,0.01,49.45,243D1922 Index,922D1243 Index
Benin,116.09,0.02,115.9,0.03,0.19,0,115.72,638D1922 Index,922D1638 Index
Libya,107.3,0.02,107.3,0.03,0,0,107.3,672D1922 Index,922D1672 Index
Honduras,107.3,0.02,91.83,0.03,15.47,0.01,76.35,268D1922 Index,922D1268 Index
Guatemala,107.13,0.02,76.97,0.02,30.16,0.01,46.82,258D1922 Index,922D1258 Index
"Congo, Democratic Republic",96.66,0.02,96.48,0.03,0.18,0,96.3,636D1922 Index,922D1636 Index
Mozambique,92.03,0.02,59.71,0.02,32.32,0.01,27.39,688D1922 Index,922D1688 Index
Uganda,90.08,0.02,78.67,0.02,11.4,0,67.27,746D1922 Index,922D1746 Index
Malawi,83.62,0.01,19.52,0.01,64.1,0.03,-44.57,676D1922 Index,922D1676 Index
Jamaica,77.61,0.01,0.41,0,77.2,0.03,-76.78,343D1922 Index,922D1343 Index
Kuwait,76.66,0.01,75.72,0.02,0.94,0,74.79,443D1922 Index,922D1443 Index
Nicaragua,75.81,0.01,63.2,0.02,12.62,0.01,50.58,278D1922 Index,922D1278 Index
Mali,70.84,0.01,70.37,0.02,0.47,0,69.9,678D1922 Index,922D1678 Index
Cyprus,56,0.01,39.96,0.01,16.04,0.01,23.92,423D1922 Index,922D1423 Index
Rwanda,55.33,0.01,51.38,0.02,3.95,0,47.43,714D1922 Index,922D1714 Index
Congo,54.52,0.01,54.38,0.02,0.14,0,54.24,634D1922 Index,922D1634 Index
Greenland,52.47,0.01,0.13,0,52.34,0.02,-52.22,326D1922 Index,922D1326 Index
Iceland,48.02,0.01,15.79,0,32.22,0.01,-16.43,176D1922 Index,922D1176 Index
Zimbabwe,46.45,0.01,0.69,0,45.75,0.02,-45.06,698D1922 Index,922D1698 Index
Zambia,45.7,0.01,34.03,0.01,11.67,0.01,22.36,754D1922 Index,922D1754 Index
North Korea,45.24,0.01,44.53,0.01,0.71,0,43.81,954D1922 Index,922D1954 Index
Venezuela,44.58,0.01,43.03,0.01,1.55,0,41.48,299D1922 Index,922D1299 Index
Gabon,42.95,0.01,1.41,0,41.54,0.02,-40.13,646D1922 Index,922D1646 Index
Malta,35.15,0.01,13.53,0,21.62,0.01,-8.1,181D1922 Index,922D1181 Index
El Salvador,32.29,0.01,29.91,0.01,2.38,0,27.53,253D1922 Index,922D1253 Index
Panama,30.98,0.01,27.69,0.01,3.29,0,24.4,283D1922 Index,922D1283 Index
Togo,30.33,0.01,29.09,0.01,1.24,0,27.85,742D1922 Index,922D1742 Index
Bahrain,30.26,0.01,18.1,0.01,12.16,0.01,5.94,419D1922 Index,922D1419 Index
Montenegro,28.09,0,10.35,0,17.74,0.01,-7.38,943D1922 Index,922D1943 Index
Laos,24.26,0,9.64,0,14.62,0.01,-4.98,544D1922 Index,922D1544 Index
Madagascar,23.84,0,13.35,0,10.49,0,2.87,674D1922 Index,922D1674 Index
Angola,20.67,0,17.79,0.01,2.88,0,14.91,614D1922 Index,922D1614 Index
Niger,14.7,0,14.65,0,0.05,0,14.6,692D1922 Index,922D1692 Index
Trinidad And Tobago,13.91,0,13.26,0,0.65,0,12.61,369D1922 Index,922D1369 Index
Burundi,10.44,0,9.48,0,0.96,0,8.52,618D1922 Index,922D1618 Index
Nepal,10.28,0,8.24,0,2.04,0,6.2,558D1922 Index,922D1558 Index
Mauritius,10.1,0,1.81,0,8.28,0,-6.47,684D1922 Index,922D1684 Index
Gambia,8.64,0,8.55,0,0.09,0,8.46,648D1922 Index,922D1648 Index
Somalia,7.37,0,7.3,0,0.07,0,7.23,726D1922 Index,922D1726 Index
Macau,5.12,0,4.24,0,0.88,0,3.36,546D1922 Index,922D1546 Index
Papua New Guinea,4.23,0,0.86,0,3.37,0,-2.51,853D1922 Index,922D1853 Index
Liberia,4.23,0,0.91,0,3.32,0,-2.41,668D1922 Index,922D1668 Index
