Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,494093,100,252665,100,241428,100,11237,001D1193 Index,193D1001 Index
Non Fuel Exporting Countries,475028,96.14,243427,96.34,231601,95.93,11826,092D1193 Index,193D1092 Index
Emerging and Developing Economies,248286,50.25,139855,55.35,108431,44.91,31424,200I1193 Index,193D1200 Index
Advanced Economies,238157,48.2,112804,44.65,125353,51.92,-12549,110D1193 Index,193D1110 Index
Developing Asia,215058.2,43.53,123789,48.99,91269.2,37.8,32519.8,505D1193 Index,193D1505 Index
China,139714,28.28,90132.2,35.67,49581.8,20.54,40550.4,924D1193 Index,193D1924 Index
Japan,64576.7,13.07,48127.3,19.05,16449.4,6.81,31677.9,158D1193 Index,193D1158 Index
European Union,54871.2,11.11,12268.6,4.86,42602.6,17.65,-30334,998D1193 Index,193D1998 Index
Euro-zone,39960.79,8.09,8105.09,3.21,31855.7,13.19,-23750.61,995D1193 Index,193D1995 Index
United States,36313.1,7.35,10671.8,4.22,25641.3,10.62,-14969.5,111D1193 Index,193D1111 Index
South Korea,31668.5,6.41,20413.1,8.08,11255.4,4.66,9157.7,542D1193 Index,193D1542 Index
Fuel Exporting Countries,19064.56,3.86,9237.76,3.66,9826.8,4.07,-589.04,080D1193 Index,193D1080 Index
Malaysia,16919.97,3.42,6188.77,2.45,10731.2,4.44,-4542.43,548D1193 Index,193D1548 Index
Singapore,16781.17,3.4,4681.27,1.85,12099.9,5.01,-7418.63,576D1193 Index,193D1576 Index
Thailand,14935.74,3.02,4527.14,1.79,10408.6,4.31,-5881.46,578D1193 Index,193D1578 Index
Germany,13112.55,2.65,1770.85,0.7,11341.7,4.7,-9570.85,134D1193 Index,193D1134 Index
India,12958.48,2.62,10004.1,3.96,2954.38,1.22,7049.72,534D1193 Index,193D1534 Index
New Zealand,12698.44,2.57,5188.15,2.05,7510.29,3.11,-2322.14,196D1193 Index,193D1196 Index
Indonesia,11558.85,2.34,5647.5,2.24,5911.35,2.45,-263.85,536D1193 Index,193D1536 Index
United Kingdom,9082.87,1.84,3268.89,1.29,5813.98,2.41,-2545.09,112D1193 Index,193D1112 Index
Developing Western Hemisphere,7254.19,1.47,2558.94,1.01,4695.25,1.94,-2136.31,205D1193 Index,193D1205 Index
Sub-Saharan Africa,7036.39,1.42,2280.92,0.9,4755.47,1.97,-2474.55,603D1193 Index,193D1603 Index
Vietnam,6797.74,1.38,2057.83,0.81,4739.91,1.96,-2682.08,582D1193 Index,193D1582 Index
Italy,6448.65,1.31,680.12,0.27,5768.53,2.39,-5088.41,136D1193 Index,193D1136 Index
Papua New Guinea,5744.07,1.16,2192.1,0.87,3551.97,1.47,-1359.87,853D1193 Index,193D1853 Index
Developing Europe,5375.78,1.09,1876.71,0.74,3499.07,1.45,-1622.36,170D1193 Index,193D1170 Index
United Arab Emirates,5176.56,1.05,2531.93,1,2644.63,1.1,-112.7,466D1193 Index,193D1466 Index
France,5084.76,1.03,1017.52,0.4,4067.24,1.68,-3049.72,132D1193 Index,193D1132 Index
Netherlands,3963.08,0.8,2102.62,0.83,1860.46,0.77,242.16,138D1193 Index,193D1138 Index
