Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,822457,100,403488,100,418969,100,-15481,001D1273 Index,273D1001 Index
Advanced Economies,655793,79.74,357212,88.53,298581,71.27,58631,110D1273 Index,273D1110 Index
United States,492762,59.91,294741,73.05,198021,47.26,96720,111D1273 Index,273D1111 Index
Emerging and Developing Economies,165637.9,20.14,45821.9,11.36,119816,28.6,-73994.1,200I1273 Index,273D1200 Index
Non Fuel Exporting Countries,156227.8,19,39385.8,9.76,116842,27.89,-77456.2,092D1273 Index,273D1092 Index
Developing Asia,114276,13.89,14585.2,3.61,99690.8,23.79,-85105.6,505D1273 Index,273D1505 Index
China,84277.4,10.25,10086.1,2.5,74191.3,17.71,-64105.2,924D1273 Index,273D1924 Index
European Union,63445,7.71,19581.8,4.85,43863.2,10.47,-24281.4,998D1273 Index,273D1998 Index
Euro-zone,56737.6,6.9,18370.9,4.55,38366.7,9.16,-19995.8,995D1273 Index,273D1995 Index
Developing Western Hemisphere,37662.5,4.58,24515,6.08,13147.5,3.14,11367.5,205D1273 Index,273D1205 Index
Canada,36378.5,4.42,25833.3,6.4,10545.2,2.52,15288.1,156D1273 Index,273D1156 Index
Japan,23159.24,2.82,4747.84,1.18,18411.4,4.39,-13663.56,158D1273 Index,273D1158 Index
South Korea,18960.55,2.31,3464.25,0.86,15496.3,3.7,-12032.05,542D1273 Index,273D1542 Index
Germany,18637.72,2.27,3823.52,0.95,14814.2,3.54,-10990.68,134D1273 Index,273D1134 Index
Brazil,9540.1,1.16,4640.46,1.15,4899.64,1.17,-259.18,223D1273 Index,273D1223 Index
Fuel Exporting Countries,9409.92,1.14,6436.09,1.6,2973.83,0.71,3462.26,080D1273 Index,273D1080 Index
Spain,8406.19,1.02,3578.22,0.89,4827.97,1.15,-1249.75,184D1273 Index,273D1184 Index
Malaysia,8294.49,1.01,383.35,0.1,7911.14,1.89,-7527.79,548D1273 Index,273D1548 Index
Developing Europe,7747.71,0.94,2398.94,0.59,5348.77,1.28,-2949.83,170D1273 Index,273D1170 Index
India,7043.48,0.86,2732.35,0.68,4311.13,1.03,-1578.78,534D1273 Index,273D1534 Index
Italy,6768.12,0.82,1402.34,0.35,5365.78,1.28,-3963.44,136D1273 Index,273D1136 Index
France,6054.7,0.74,2104.23,0.52,3950.47,0.94,-1846.24,132D1273 Index,273D1132 Index
Thailand,5803.22,0.71,547.64,0.14,5255.58,1.25,-4707.94,578D1273 Index,273D1578 Index
Netherlands,5476.93,0.67,2028.97,0.5,3447.96,0.82,-1418.99,138D1273 Index,273D1138 Index
Colombia,4830.83,0.59,3852.94,0.95,977.89,0.23,2875.05,233D1273 Index,273D1233 Index
United Kingdom,4506.63,0.55,2020.98,0.5,2485.65,0.59,-464.67,112D1273 Index,273D1112 Index
Belgium,4416.59,0.54,3278.54,0.81,1138.05,0.27,2140.49,124D1273 Index,273D1124 Index
Vietnam,4390.25,0.53,476.98,0.12,3913.27,0.93,-3436.29,582D1273 Index,273D1582 Index
Chile,3710.23,0.45,2140.98,0.53,1569.25,0.37,571.73,228D1273 Index,273D1228 Index
