Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,608039,100,317817,100,290222,100,27595,001D1146 Index,146D1001 Index
Advanced Economies,452082,74.35,247252,77.8,204830,70.58,42422,110D1146 Index,146D1110 Index
European Union,269611,44.34,125244,39.41,144367,49.74,-19123,998D1146 Index,146D1998 Index
Euro-zone,252500,41.53,119063,37.46,133437,45.98,-14374,995D1146 Index,146D1995 Index
Emerging and Developing Economies,155900.3,25.64,70557.4,22.2,85342.9,29.41,-14785.5,200I1146 Index,146D1200 Index
Non Fuel Exporting Countries,131701.3,21.66,60031.1,18.89,71670.2,24.69,-11639.1,092D1146 Index,146D1092 Index
Germany,103803.6,17.07,47289.2,14.88,56514.4,19.47,-9225.2,134D1146 Index,146D1134 Index
United States,95901,15.77,75070.6,23.62,20830.4,7.18,54240.2,111D1146 Index,146D1111 Index
Developing Asia,74605.9,12.27,37430.1,11.78,37175.8,12.81,254.3,505D1146 Index,146D1505 Index
China,35058.3,5.77,17379.5,5.47,17678.8,6.09,-299.3,924D1146 Index,146D1924 Index
Italy,34810.7,5.73,11098,3.49,23712.7,8.17,-12614.7,136D1146 Index,146D1136 Index
France,33790.1,5.56,16569.4,5.21,17220.7,5.93,-651.3,132D1146 Index,146D1132 Index
United Kingdom,28384.5,4.67,11903.4,3.75,16481.1,5.68,-4577.7,112D1146 Index,146D1112 Index
Fuel Exporting Countries,24199,3.98,10526.3,3.31,13672.7,4.71,-3146.4,080D1146 Index,146D1080 Index
Hong Kong,19052.69,3.13,6924.89,2.18,12127.8,4.18,-5202.91,532D1146 Index,146D1532 Index
Austria,18453.38,3.03,9496.17,2.99,8957.21,3.09,538.96,122D1146 Index,146D1122 Index
Sub-Saharan Africa,16026.82,2.64,2348.12,0.74,13678.7,4.71,-11330.58,603D1146 Index,146D1603 Index
Developing Western Hemisphere,15280.31,2.51,5591.84,1.76,9688.47,3.34,-4096.63,205D1146 Index,146D1205 Index
Netherlands,14158.28,2.33,8807.5,2.77,5350.78,1.84,3456.72,138D1146 Index,146D1138 Index
Belgium,13544,2.23,9585.8,3.02,3958.2,1.36,5627.6,124D1146 Index,146D1124 Index
India,13260.63,2.18,11339.7,3.57,1920.93,0.66,9418.77,534D1146 Index,146D1534 Index
United Arab Emirates,12981.26,2.13,3027.58,0.95,9953.68,3.43,-6926.1,466D1146 Index,146D1466 Index
Spain,12980.67,2.13,5557.81,1.75,7422.86,2.56,-1865.05,184D1146 Index,146D1184 Index
Japan,12830.83,2.11,7453.2,2.35,5377.63,1.85,2075.57,158D1146 Index,146D1158 Index
Thailand,10360.49,1.7,2273.53,0.72,8086.96,2.79,-5813.43,578D1146 Index,146D1578 Index
Turkey,9676,1.59,7771.74,2.45,1904.26,0.66,5867.48,186D1146 Index,146D1186 Index
Ireland,8866.19,1.46,3974.6,1.25,4891.59,1.69,-916.99,178D1146 Index,146D1178 Index
Singapore,8817.6,1.45,4726.71,1.49,4090.89,1.41,635.82,576D1146 Index,146D1576 Index
CIS Countries,7453.51,1.23,4458.32,1.4,2995.19,1.03,1463.13,901D1146 Index,146D1901 Index
Canada,6576.13,1.08,4651.92,1.46,1924.21,0.66,2727.71,156D1146 Index,146D1156 Index
Israel,5686.88,0.94,5262.7,1.66,424.18,0.15,4838.52,436D1146 Index,146D1436 Index
Slovenia,5666.65,0.93,4494.81,1.41,1171.84,0.4,3322.97,961D1146 Index,146D1961 Index
Australia,4398.25,0.72,2526.52,0.79,1871.73,0.64,654.79,193D1146 Index,146D1193 Index
Russia,4064.1,0.67,2727.42,0.86,1336.68,0.46,1390.74,922D1146 Index,146D1922 Index
South Korea,3851.39,0.63,2756.92,0.87,1094.47,0.38,1662.45,542D1146 Index,146D1542 Index
