Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,853158,100,408082,100,445076,100,-36994,001D1156 Index,156D1001 Index
Advanced Economies,667277,78.21,349592,85.67,317685,71.38,31907,110D1156 Index,156D1110 Index
United States,531710,62.32,295190,72.34,236520,53.14,58670,111D1156 Index,156D1111 Index
Emerging and Developing Economies,180775.4,21.19,58103.4,14.24,122672,27.56,-64568.6,200I1156 Index,156D1200 Index
Non Fuel Exporting Countries,166959.9,19.57,50768.9,12.44,116191,26.11,-65422.1,092D1156 Index,156D1092 Index
Developing Asia,98486,11.54,27726.8,6.79,70759.2,15.9,-43032.4,505D1156 Index,156D1505 Index
China,72878.4,8.54,18549.2,4.55,54329.2,12.21,-35780,924D1156 Index,156D1924 Index
European Union,61058,7.16,17782.5,4.36,43275.5,9.72,-25493,998D1156 Index,156D1998 Index
Developing Western Hemisphere,57716.3,6.77,18435.8,4.52,39280.5,8.83,-20844.7,205D1156 Index,156D1205 Index
Euro-zone,54455.2,6.38,16404.5,4.02,38050.7,8.55,-21646.2,995D1156 Index,156D1995 Index
Mexico,36378.5,4.26,10545.2,2.58,25833.3,5.8,-15288.1,273D1156 Index,156D1273 Index
Japan,21428.06,2.51,9164.26,2.25,12263.8,2.76,-3099.54,158D1156 Index,156D1158 Index
United Kingdom,20942.56,2.45,13317.8,3.26,7624.76,1.71,5693.04,112D1156 Index,156D1112 Index
Germany,17880.86,2.1,3504.36,0.86,14376.5,3.23,-10872.14,134D1156 Index,156D1134 Index
Fuel Exporting Countries,13815.16,1.62,7334.45,1.8,6480.71,1.46,853.74,080D1156 Index,156D1080 Index
South Korea,10525.02,1.23,3983.08,0.98,6541.94,1.47,-2558.86,542D1156 Index,156D1542 Index
Developing Europe,8364.01,0.98,2871.24,0.7,5492.77,1.23,-2621.53,170D1156 Index,156D1170 Index
France,8078.13,0.95,2441.28,0.6,5636.85,1.27,-3195.57,132D1156 Index,156D1132 Index
Italy,7730.76,0.91,1620.44,0.4,6110.32,1.37,-4489.88,136D1156 Index,156D1136 Index
India,7151.62,0.84,3878.5,0.95,3273.12,0.74,605.38,534D1156 Index,156D1534 Index
Brazil,5662.56,0.66,2567.54,0.63,3095.02,0.7,-527.48,223D1156 Index,156D1223 Index
Sub-Saharan Africa,5575.23,0.65,2650.11,0.65,2925.12,0.66,-275.01,603D1156 Index,156D1603 Index
Netherlands,5547.43,0.65,2701.63,0.66,2845.8,0.64,-144.17,138D1156 Index,156D1138 Index
