Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Egypt,8356.51,0.2,5203.08,0.33,3153.43,0.13,2049.65,469D1111 Index,111D1469 Index
New Zealand,8354.01,0.2,4239.16,0.27,4114.85,0.16,124.31,196D1111 Index,111D1196 Index
Honduras,8143.67,0.2,3317.69,0.21,4825.98,0.19,-1508.29,268D1111 Index,111D1268 Index
Finland,7970.23,0.19,1584.83,0.1,6385.4,0.26,-4800.57,172D1111 Index,111D1172 Index
Hungary,7316.25,0.18,2002.33,0.13,5313.92,0.21,-3311.59,944D1111 Index,111D1944 Index
Qatar,7189.47,0.18,5494.77,0.34,1694.7,0.07,3800.07,453D1111 Index,111D1453 Index
Pakistan,6507.23,0.16,2584.9,0.16,3922.33,0.16,-1337.43,564D1111 Index,111D1564 Index
El Salvador,6134.32,0.15,3654.9,0.23,2479.42,0.1,1175.48,253D1111 Index,111D1253 Index
Slovakia,5716.36,0.14,563.39,0.04,5152.97,0.21,-4589.58,936D1111 Index,111D1936 Index
Cambodia,5680.38,0.14,318.35,0.02,5362.03,0.21,-5043.68,522D1111 Index,111D1522 Index
Portugal,5545.43,0.14,1653.81,0.1,3891.62,0.16,-2237.81,182D1111 Index,111D1182 Index
Morocco,5360.15,0.13,3779.17,0.24,1580.98,0.06,2198.19,686D1111 Index,111D1686 Index
Nicaragua,5106.58,0.12,1221.04,0.08,3885.54,0.16,-2664.5,278D1111 Index,111D1278 Index
Trinidad And Tobago,4760.98,0.12,1331.76,0.08,3429.22,0.14,-2097.46,369D1111 Index,111D1369 Index
Ukraine,4343.83,0.11,3045.36,0.19,1298.47,0.05,1746.89,926D1111 Index,111D1926 Index
Bahamas,3784,0.09,3373.24,0.21,410.76,0.02,2962.48,313D1111 Index,111D1313 Index
Jordan,3770.18,0.09,1599.87,0.1,2170.31,0.09,-570.44,439D1111 Index,111D1439 Index
Panama,3730.42,0.09,3278.34,0.21,452.08,0.02,2826.26,283D1111 Index,111D1283 Index
Jamaica,3311.98,0.08,2920.2,0.18,391.78,0.02,2528.42,343D1111 Index,111D1343 Index
Sri Lanka,3300.36,0.08,550.41,0.03,2749.95,0.11,-2199.54,524D1111 Index,111D1524 Index
Romania,3286.19,0.08,902.54,0.06,2383.65,0.1,-1481.11,968D1111 Index,111D1968 Index
Venezuela,3004.19,0.07,1070.86,0.07,1933.33,0.08,-862.47,299D1111 Index,111D1299 Index
Greece,2880.03,0.07,1370.66,0.09,1509.37,0.06,-138.71,174D1111 Index,111D1174 Index
Algeria,2698.37,0.07,218.81,0.01,2479.56,0.1,-2260.75,612D1111 Index,111D1612 Index
Kazakhstan,2564.59,0.06,1356.46,0.08,1208.13,0.05,148.33,916D1111 Index,111D1916 Index
Kuwait,2417.36,0.06,999.29,0.06,1418.07,0.06,-418.78,443D1111 Index,111D1443 Index
Ghana,1918.85,0.05,976.22,0.06,942.63,0.04,33.59,652D1111 Index,111D1652 Index
Libya,1916.32,0.05,413.69,0.03,1502.63,0.06,-1088.94,672D1111 Index,111D1672 Index
Bahrain,1888.05,0.05,843.28,0.05,1044.77,0.04,-201.49,419D1111 Index,111D1419 Index
Lebanon,1864.37,0.05,1714.17,0.11,150.2,0.01,1563.97,446D1111 Index,111D1446 Index
Lithuania,1635.27,0.04,535.59,0.03,1099.68,0.04,-564.09,946D1111 Index,111D1946 Index
Angola,1614.51,0.04,659.97,0.04,954.54,0.04,-294.58,614D1111 Index,111D1614 Index
Oman,1590.39,0.04,430.86,0.03,1159.53,0.05,-728.67,449D1111 Index,111D1449 Index
Haiti,1555.17,0.04,494,0.03,1061.17,0.04,-567.17,263D1111 Index,111D1263 Index
Cote D Ivoire,1446.04,0.04,522.36,0.03,923.68,0.04,-401.33,662D1111 Index,111D1662 Index
Luxembourg,1392.47,0.03,758.66,0.05,633.81,0.03,124.84,137D1111 Index,111D1137 Index
Slovenia,1344.9,0.03,381.01,0.02,963.89,0.04,-582.88,961D1111 Index,111D1961 Index
Uruguay,1282.09,0.03,762.34,0.05,519.76,0.02,242.58,298D1111 Index,111D1298 Index
Bulgaria,1271.63,0.03,360.97,0.02,910.66,0.04,-549.69,918D1111 Index,111D1918 Index
Kenya,1258.47,0.03,591.25,0.04,667.22,0.03,-75.97,664D1111 Index,111D1664 Index
Paraguay,1234.73,0.03,1072.84,0.07,161.89,0.01,910.95,288D1111 Index,111D1288 Index
Estonia,1194.69,0.03,192.84,0.01,1001.85,0.04,-809.01,939D1111 Index,111D1939 Index
Tunisia,1167.34,0.03,697.78,0.04,469.56,0.02,228.21,744D1111 Index,111D1744 Index
Myanmar,1167.1,0.03,346.55,0.02,820.55,0.03,-473.99,518D1111 Index,111D1518 Index
Bolivia,1072.66,0.03,617.83,0.04,454.83,0.02,162.99,218D1111 Index,111D1218 Index
Belarus,1043.25,0.03,663.11,0.04,380.14,0.02,282.96,913D1111 Index,111D1913 Index
Iceland,1041.37,0.03,556.91,0.03,484.46,0.02,72.45,176D1111 Index,111D1176 Index
Latvia,984.53,0.02,169.65,0.01,814.88,0.03,-645.23,941D1111 Index,111D1941 Index
Ethiopia,948.24,0.02,375.85,0.02,572.39,0.02,-196.54,644D1111 Index,111D1644 Index
Madagascar,909.95,0.02,63.86,0,846.09,0.03,-782.23,674D1111 Index,111D1674 Index
Serbia,894.22,0.02,554.26,0.03,339.96,0.01,214.3,942D1111 Index,111D1942 Index
Bermuda,853.39,0.02,831.94,0.05,21.45,0,810.49,319D1111 Index,111D1319 Index
Georgia,831.32,0.02,678.78,0.04,152.54,0.01,526.24,915D1111 Index,111D1915 Index
Azerbaijan,793.78,0.02,767.75,0.05,26.03,0,741.73,912D1111 Index,111D1912 Index
Croatia,737.55,0.02,188.98,0.01,548.57,0.02,-359.6,960D1111 Index,111D1960 Index
Aruba,718.12,0.02,698.28,0.04,19.84,0,678.43,314D1111 Index,111D1314 Index
Congo,672.38,0.02,109.59,0.01,562.79,0.02,-453.21,634D1111 Index,111D1634 Index
Macau,660.39,0.02,556.54,0.03,103.85,0,452.69,546D1111 Index,111D1546 Index
Barbados,636.25,0.02,594.53,0.04,41.72,0,552.82,316D1111 Index,111D1316 Index
Macedonia,592.01,0.01,309.2,0.02,282.81,0.01,26.39,962D1111 Index,111D1962 Index
Cameroon,564.52,0.01,233.9,0.01,330.63,0.01,-96.73,622D1111 Index,111D1622 Index
Equatorial Guinea,555.24,0.01,227.65,0.01,327.59,0.01,-99.93,642D1111 Index,111D1642 Index
Uzbekistan,532.24,0.01,498.07,0.03,34.16,0,463.91,927D1111 Index,111D1927 Index
Belize,492.9,0.01,435.8,0.03,57.1,0,378.7,339D1111 Index,111D1339 Index
Bosnia and Herzegovina,487.47,0.01,383.59,0.02,103.88,0,279.71,963D1111 Index,111D1963 Index
Mauritius,456.95,0.01,113.33,0.01,343.62,0.01,-230.29,684D1111 Index,111D1684 Index
Suriname,454.1,0.01,370.95,0.02,83.15,0,287.8,366D1111 Index,111D1366 Index
Tanzania,450.47,0.01,320.57,0.02,129.9,0.01,190.67,738D1111 Index,111D1738 Index
Cuba,370.26,0.01,367.71,0.02,2.55,0,365.16,928D1111 Index,111D1928 Index
Other Countries,370.26,0.01,367.71,0.02,2.55,0,365.16,910D1111 Index,111D1910 Index
Brunei Darussalam,363.94,0.01,322.5,0.02,41.44,0,281.07,516D1111 Index,111D1516 Index
Mozambique,345.66,0.01,209.01,0.01,136.64,0.01,72.37,688D1111 Index,111D1688 Index
Dominica,343.72,0.01,341.58,0.02,2.14,0,339.44,321D1111 Index,111D1321 Index
Armenia,334.19,0.01,279.07,0.02,55.11,0,223.96,911D1111 Index,111D1911 Index
Fiji,325.96,0.01,79.63,0,246.32,0.01,-166.69,819D1111 Index,111D1819 Index
Mongolia,314.38,0.01,289.63,0.02,24.76,0,264.87,948D1111 Index,111D1948 Index
Malta,305.45,0.01,133.97,0.01,171.48,0.01,-37.51,181D1111 Index,111D1181 Index
Senegal,292.41,0.01,160.95,0.01,131.46,0.01,29.49,722D1111 Index,111D1722 Index
St. Lucia,280.24,0.01,266.59,0.02,13.66,0,252.93,362D1111 Index,111D1362 Index
Zambia,269.52,0.01,186.49,0.01,83.03,0,103.46,754D1111 Index,111D1754 Index
"Congo, Democratic Republic",263.51,0.01,241.83,0.02,21.68,0,220.15,636D1111 Index,111D1636 Index
Gabon,254.77,0.01,135.1,0.01,119.67,0,15.43,646D1111 Index,111D1646 Index
St. Kitts And Nevis,251.51,0.01,194.72,0.01,56.8,0,137.92,361D1111 Index,111D1361 Index
Nepal,248.81,0.01,157.77,0.01,91.04,0,66.74,558D1111 Index,111D1558 Index
Burkina Faso,248.29,0.01,242.31,0.02,5.98,0,236.34,748D1111 Index,111D1748 Index
Cyprus,223.9,0.01,150.38,0.01,73.52,0,76.87,423D1111 Index,111D1423 Index
Chad,222.56,0.01,89.73,0.01,132.84,0.01,-43.11,628D1111 Index,111D1628 Index
Liberia,218.12,0.01,151.2,0.01,66.92,0,84.28,668D1111 Index,111D1668 Index
Uganda,213.37,0.01,132.96,0.01,80.41,0,52.55,746D1111 Index,111D1746 Index
Niger,205.97,0.01,158.9,0.01,47.07,0,111.83,692D1111 Index,111D1692 Index
Guyana,205.61,0.01,73.69,0,131.92,0.01,-58.23,336D1111 Index,111D1336 Index
Zimbabwe,196.51,0,149.51,0.01,47,0,102.52,698D1111 Index,111D1698 Index
Grenada,194.32,0,180.47,0.01,13.85,0,166.62,328D1111 Index,111D1328 Index
New Caledonia,191.96,0,147.07,0.01,44.9,0,102.17,839D1111 Index,111D1839 Index
Albania,179.74,0,123.23,0.01,56.51,0,66.73,914D1111 Index,111D1914 Index
Papua New Guinea,177.33,0,107.05,0.01,70.28,0,36.76,853D1111 Index,111D1853 Index
Laos,166.38,0,18.09,0,148.29,0.01,-130.19,544D1111 Index,111D1544 Index
Peoples Democratic Republic of Yemen,152.27,0,147.59,0.01,4.68,0,142.91,474D1111 Index,111D1474 Index
Mali,146.86,0,142.26,0.01,4.6,0,137.67,678D1111 Index,111D1678 Index
Faeroe Islands,145.07,0,3.24,0,141.82,0.01,-138.58,816D1111 Index,111D1816 Index
St. Vincent & Grens.,141.53,0,136.41,0.01,5.12,0,131.29,364I1111 Index,111D1364 Index
Malawi,139.41,0,39.11,0,100.3,0,-61.19,676D1111 Index,111D1676 Index
Mauritania,124.9,0,119.85,0.01,5.05,0,114.79,682D1111 Index,111D1682 Index
Guinea,113.33,0,103.88,0.01,9.45,0,94.42,656D1111 Index,111D1656 Index
Moldova,113.17,0,49.13,0,64.04,0,-14.91,921D1111 Index,111D1921 Index
Somalia,112.75,0,111.76,0.01,0.99,0,110.76,726D1111 Index,111D1726 Index
Rwanda,99.53,0,53.93,0,45.6,0,8.33,714D1111 Index,111D1714 Index
Sierra Leone,98.06,0,67.78,0,30.27,0,37.51,724D1111 Index,111D1724 Index
Kyrgyzstan,95.42,0,90.14,0.01,5.28,0,84.86,917D1111 Index,111D1917 Index
Togo,87.65,0,74.63,0,13.02,0,61.61,742D1111 Index,111D1742 Index
Afghanistan,86.04,0,49.73,0,36.3,0,13.43,512D1111 Index,111D1512 Index
Maldives,81.52,0,56.26,0,25.26,0,30.99,556D1111 Index,111D1556 Index
Benin,78.85,0,70.26,0,8.6,0,61.66,638D1111 Index,111D1638 Index
Sudan,65.21,0,43.97,0,21.24,0,22.73,732D1111 Index,111D1732 Index
Djibouti,50.64,0,20.03,0,30.61,0,-10.57,611D1111 Index,111D1611 Index
Greenland,50.23,0,23.05,0,27.18,0,-4.13,326D1111 Index,111D1326 Index
Tajikistan,46.57,0,44.37,0,2.2,0,42.17,923D1111 Index,111D1923 Index
Turkmenistan,46.23,0,29.96,0,16.27,0,13.69,925D1111 Index,111D1925 Index
Samoa,41.53,0,34.42,0,7.1,0,27.32,862D1111 Index,111D1862 Index
Iran,34.58,0,33.17,0,1.42,0,31.75,429D1111 Index,111D1429 Index
Montenegro,32.9,0,29.75,0,3.15,0,26.6,943D1111 Index,111D1943 Index
Seychelles,31.86,0,22.57,0,9.29,0,13.27,718D1111 Index,111D1718 Index
Tonga,31.53,0,26.53,0,5,0,21.53,866D1111 Index,111D1866 Index
Solomon Islands,28.11,0,22.28,0,5.83,0,16.45,813D1111 Index,111D1813 Index
Central African Rep.,24.99,0,21.46,0,3.54,0,17.92,626D1111 Index,111D1626 Index
Burundi,24.48,0,14.46,0,10.02,0,4.43,618D1111 Index,111D1618 Index
Syria,17.78,0,11.81,0,5.97,0,5.84,463D1111 Index,111D1463 Index
Cape Verde,16.51,0,12.68,0,3.83,0,8.85,624D1111 Index,111D1624 Index
Gambia,15,0,13.45,0,1.55,0,11.9,648D1111 Index,111D1648 Index
Vanuatu,10.44,0,4.37,0,6.07,0,-1.71,846D1111 Index,111D1846 Index
Sao Tome & Principe,4.07,0,2.54,0,1.53,0,1.02,716D1111 Index,111D1716 Index
Comoros,2.14,0,0.07,0,2.06,0,-1.99,632D1111 Index,111D1632 Index
