Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,691133,100,318383,100,372750,100,-54367,001D1184 Index,184D1001 Index
Advanced Economies,476944,69.01,239282,75.16,237662,63.76,1620,110D1184 Index,184D1110 Index
European Union,394130,57.03,190465,59.82,203665,54.64,-13200,998D1184 Index,184D1998 Index
Euro-zone,348157,50.37,170563,53.57,177594,47.64,-7031,995D1184 Index,184D1995 Index
Emerging and Developing Economies,212797.2,30.79,77979.2,24.49,134818,36.17,-56838.8,200I1184 Index,184D1200 Index
Non Fuel Exporting Countries,167634.6,24.26,66904.6,21.01,100730,27.02,-33825.4,092D1184 Index,184D1092 Index
France,88814.6,12.85,47112.9,14.8,41701.7,11.19,5411.2,132D1184 Index,184D1132 Index
Germany,88223.1,12.76,37668.3,11.83,50554.8,13.56,-12886.5,134D1184 Index,184D1134 Index
Developing Asia,58142.2,8.41,13993.4,4.4,44148.8,11.84,-30155.4,505D1184 Index,184D1505 Index
Developing Europe,56540.5,8.18,25011.4,7.86,31529.1,8.46,-6517.7,170D1184 Index,184D1170 Index
Italy,49974.4,7.23,25743.3,8.09,24231.1,6.5,1512.2,136D1184 Index,184D1136 Index
Fuel Exporting Countries,45162.7,6.53,11074.6,3.48,34088.1,9.15,-23013.5,080D1184 Index,184D1080 Index
Portugal,40623.7,5.88,27316.6,8.58,13307.1,3.57,14009.5,182D1184 Index,184D1182 Index
China,36424.26,5.27,8609.26,2.7,27815,7.46,-19205.74,924D1184 Index,184D1924 Index
United Kingdom,35323,5.11,21340.3,6.7,13982.7,3.75,7357.6,112D1184 Index,184D1112 Index
Developing Western Hemisphere,34720.1,5.02,16692,5.24,18028.1,4.84,-1336.1,205D1184 Index,184D1205 Index
United States,31555.6,4.57,16794.7,5.27,14760.9,3.96,2033.8,111D1184 Index,184D1111 Index
Netherlands,31173.6,4.51,11037.6,3.47,20136,5.4,-9098.4,138D1184 Index,184D1138 Index
Belgium,22371.7,3.24,10013.7,3.15,12358,3.32,-2344.3,124D1184 Index,184D1124 Index
Sub-Saharan Africa,16528.54,2.39,4566.04,1.43,11962.5,3.21,-7396.46,603D1184 Index,184D1603 Index
Morocco,15394.12,2.23,7678.94,2.41,7715.18,2.07,-36.24,686D1184 Index,184D1686 Index
Poland,13742.82,1.99,6248.06,1.96,7494.76,2.01,-1246.7,964D1184 Index,184D1964 Index
CIS Countries,13250.37,1.92,5082.21,1.6,8168.16,2.19,-3085.95,901D1184 Index,184D1901 Index
Turkey,12661.39,1.83,4446.11,1.4,8215.28,2.2,-3769.17,186D1184 Index,184D1186 Index
