Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,347659,100,191020,100,156639,100,34381,001D1536 Index,536D1001 Index
Emerging and Developing Economies,179376.3,51.6,96559.6,50.55,82816.7,52.87,13742.9,200I1536 Index,536D1200 Index
Advanced Economies,168182.2,48.38,94436.5,49.44,73745.7,47.08,20690.8,110D1536 Index,536D1110 Index
Non Fuel Exporting Countries,159955.9,46.01,88485,46.32,71470.9,45.63,17014.1,092D1536 Index,536D1092 Index
Developing Asia,139106,40.01,74921.9,39.22,64184.1,40.98,10737.8,505D1536 Index,536D1505 Index
China,64279.1,18.49,28511.9,14.93,35767.2,22.83,-7255.3,924D1536 Index,536D1924 Index
Japan,35044.3,10.08,19802.9,10.37,15241.4,9.73,4561.5,158D1536 Index,536D1158 Index
European Union,28781.2,8.28,17136.8,8.97,11644.4,7.43,5492.4,998D1536 Index,536D1998 Index
Singapore,28384,8.16,11495.2,6.02,16888.8,10.78,-5393.6,576D1536 Index,536D1576 Index
United States,28362.52,8.16,20212.3,10.58,8150.22,5.2,12062.08,111D1536 Index,536D1111 Index
Euro-zone,25941.4,7.46,15740.5,8.24,10200.9,6.51,5539.6,995D1536 Index,536D1995 Index
India,20277.95,5.83,16229.4,8.5,4048.55,2.58,12180.85,534D1536 Index,536D1534 Index
Fuel Exporting Countries,19420.44,5.59,8074.64,4.23,11345.8,7.24,-3271.16,080D1536 Index,536D1080 Index
Malaysia,17591.03,5.06,8794.3,4.6,8796.73,5.62,-2.43,548D1536 Index,536D1548 Index
South Korea,17505.3,5.04,9382.95,4.91,8122.35,5.19,1260.6,542D1536 Index,536D1542 Index
Thailand,16659.56,4.79,7380.02,3.86,9279.54,5.92,-1899.52,578D1536 Index,536D1578 Index
Australia,9391.72,2.7,3382.71,1.77,6009.01,3.84,-2626.3,193D1536 Index,536D1193 Index
Developing Europe,8739.35,2.51,5330.77,2.79,3408.58,2.18,1922.19,170D1536 Index,536D1170 Index
Developing Western Hemisphere,8601.62,2.47,4770.26,2.5,3831.36,2.45,938.9,205D1536 Index,536D1205 Index
Philippines,7164.79,2.06,6305.49,3.3,859.3,0.55,5446.19,566D1536 Index,536D1566 Index
