Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,3907890,100,1560210,100,2347680,100,-787470,001D1111 Index,111D1001 Index
Non Fuel Exporting Countries,3582850,91.68,1425670,91.38,2157180,91.89,-731510,092D1111 Index,111D1092 Index
Emerging and Developing Economies,1996804,51.1,742874,47.61,1253930,53.41,-511056,200I1111 Index,111D1200 Index
Advanced Economies,1910689,48.89,816929,52.36,1093760,46.59,-276831,110D1111 Index,111D1110 Index
Developing Asia,868785,22.23,227595,14.59,641190,27.31,-413595,505D1111 Index,111D1505 Index
Developing Western Hemisphere,810183,20.73,365498,23.43,444685,18.94,-79187,205D1111 Index,111D1205 Index
European Union,696194,17.82,277852,17.81,418342,17.82,-140490,998D1111 Index,111D1998 Index
China,620890,15.89,154136,9.88,466754,19.88,-312618,924D1111 Index,111D1924 Index
Canada,613914,15.71,266116,17.06,347798,14.81,-81682,156D1111 Index,111D1156 Index
Euro-zone,536471,13.73,208242,13.35,328229,13.98,-119987,995D1111 Index,111D1995 Index
Mexico,501069,12.82,206995,13.27,294074,12.53,-87079,273D1111 Index,111D1273 Index
Fuel Exporting Countries,325045,8.32,134545,8.62,190500,8.11,-55955,080D1111 Index,111D1080 Index
Japan,207060.8,5.3,73056.8,4.68,134004,5.71,-60947.2,158D1111 Index,111D1158 Index
Germany,172497.6,4.41,49237.6,3.16,123260,5.25,-74022.4,134D1111 Index,111D1134 Index
South Korea,115058.7,2.94,45540.3,2.92,69518.4,2.96,-23978.1,542D1111 Index,111D1542 Index
United Kingdom,107860.4,2.76,53468.1,3.43,54392.3,2.32,-924.2,112D1111 Index,111D1112 Index
Developing Europe,97967.6,2.51,48553.5,3.11,49414.1,2.1,-860.6,170D1111 Index,111D1170 Index
France,80988.7,2.07,33980.7,2.18,47008,2,-13027.3,132D1111 Index,111D1132 Index
Saudi Arabia,68425.1,1.75,21384.3,1.37,47040.8,2,-25656.5,456D1111 Index,111D1456 Index
Brazil,67953.6,1.74,37417.1,2.4,30536.5,1.3,6880.6,223D1111 Index,111D1223 Index
India,66478.2,1.7,21234.2,1.36,45244,1.93,-24009.8,534D1111 Index,111D1534 Index
Netherlands,60506.9,1.55,39688.7,2.54,20818.2,0.89,18870.5,138D1111 Index,111D1138 Index
Italy,58703.7,1.5,16581.2,1.06,42122.5,1.79,-25541.3,136D1111 Index,111D1136 Index
Belgium,54340.6,1.39,33455.4,2.14,20885.2,0.89,12570.2,124D1111 Index,111D1124 Index
Singapore,54302.3,1.39,37876.2,2.43,16426.1,0.7,21450.1,576D1111 Index,111D1576 Index
Sub-Saharan Africa,53012.3,1.36,26356.2,1.69,26656.1,1.14,-299.9,603D1111 Index,111D1603 Index
CIS Countries,52974.9,1.36,25264.6,1.62,27710.3,1.18,-2445.7,901D1111 Index,111D1901 Index
Switzerland,52829.7,1.35,21346.5,1.37,31483.2,1.34,-10136.7,146D1111 Index,111D1146 Index
Malaysia,46436,1.19,16015.6,1.03,30420.4,1.3,-14404.8,548D1111 Index,111D1548 Index
Ireland,45594.2,1.17,11638.6,0.75,33955.6,1.45,-22317,178D1111 Index,111D1178 Index
