Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
,,,,,,,,,
World,1579502,100,767280,100,812222,100,-44942,001D1158 Index,158D1001 Index
Non Fuel Exporting Countries,1337554,84.68,715095,93.2,622459,76.64,92636,092D1158 Index,158D1092 Index
Emerging and Developing Economies,891922,56.47,368158,47.98,523764,64.49,-155606,200I1158 Index,158D1200 Index
Advanced Economies,687482,43.53,399065,52.01,288417,35.51,110648,110D1158 Index,158D1110 Index
Developing Asia,560433,35.48,260322,33.93,300111,36.95,-39789,505D1158 Index,158D1505 Index
China,343574,21.75,162686,21.2,180888,22.27,-18202,924D1158 Index,158D1924 Index
Fuel Exporting Countries,241948.8,15.32,52185.8,6.8,189763,23.36,-137577.2,080D1158 Index,158D1080 Index
United States,207060.8,13.11,134004,17.46,73056.8,8.99,60947.2,111D1158 Index,158D1111 Index
European Union,152475.9,9.65,75191.7,9.8,77284.2,9.52,-2092.5,998D1158 Index,158D1998 Index
Euro-zone,121586.8,7.7,58604.9,7.64,62981.9,7.75,-4377,995D1158 Index,158D1995 Index
South Korea,87144.9,5.52,53768.3,7.01,33376.6,4.11,20391.7,542D1158 Index,158D1542 Index
Australia,64576.7,4.09,16449.4,2.14,48127.3,5.93,-31677.9,193D1158 Index,158D1193 Index
Developing Western Hemisphere,63976.9,4.05,35452.1,4.62,28524.8,3.51,6927.3,205D1158 Index,158D1205 Index
Saudi Arabia,57440.37,3.64,9903.37,1.29,47537,5.85,-37633.63,456D1158 Index,158D1456 Index
United Arab Emirates,55708.6,3.53,13978.3,1.82,41730.3,5.14,-27752,466D1158 Index,158D1466 Index
Thailand,51284.8,3.25,29540.3,3.85,21744.5,2.68,7795.8,578D1158 Index,158D1578 Index
Developing Europe,50100.5,3.17,20508.6,2.67,29591.9,3.64,-9083.3,170D1158 Index,158D1170 Index
Malaysia,45918.9,2.91,16739.4,2.18,29179.5,3.59,-12440.1,548D1158 Index,158D1548 Index
Germany,43441,2.75,19321.9,2.52,24119.1,2.97,-4797.2,134D1158 Index,158D1134 Index
Indonesia,42639,2.7,17007.6,2.22,25631.4,3.16,-8623.8,536D1158 Index,158D1536 Index
CIS Countries,39908.9,2.53,13875,1.81,26033.9,3.21,-12158.9,901D1158 Index,158D1901 Index
Hong Kong,38974.47,2.47,37315.8,4.86,1658.67,0.2,35657.13,532D1158 Index,158D1532 Index
Russia,35657.6,2.26,10925,1.42,24732.6,3.05,-13807.6,922D1158 Index,158D1922 Index
Qatar,35498.01,2.25,1954.21,0.25,33543.8,4.13,-31589.59,453D1158 Index,158D1453 Index
Vietnam,28308.7,1.79,12908.8,1.68,15399.9,1.9,-2491.1,582D1158 Index,158D1582 Index
Singapore,27994.66,1.77,20105.7,2.62,7888.96,0.97,12216.74,576D1158 Index,158D1576 Index
Sub-Saharan Africa,25610.2,1.62,11311.4,1.47,14298.8,1.76,-2987.4,603D1158 Index,158D1603 Index
Canada,23993,1.52,12729.9,1.66,11263.1,1.39,1466.8,156D1158 Index,158D1156 Index
Mexico,22885.69,1.45,18597.2,2.42,4288.49,0.53,14308.71,273D1158 Index,158D1273 Index
France,17062.11,1.08,5607.51,0.73,11454.6,1.41,-5847.09,132D1158 Index,158D1132 Index
Netherlands,17046.74,1.08,12742.8,1.66,4303.94,0.53,8438.86,138D1158 Index,158D1138 Index
India,16950.54,1.07,9968.64,1.3,6981.9,0.86,2986.74,534D1158 Index,158D1534 Index
United Kingdom,16581.33,1.05,10189.5,1.33,6391.83,0.79,3797.67,112D1158 Index,158D1112 Index
Brazil,15947,1.01,6256.17,0.82,9690.83,1.19,-3434.66,223D1158 Index,158D1223 Index
Philippines,15916.78,1.01,5711.78,0.74,10205,1.26,-4493.22,566D1158 Index,158D1566 Index
