Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%),Imports ($M),RtW (%),Net Exports ($M),Exports Ticker,Imports Ticker
Bangladesh,1370.1,0.13,977.13,0.17,392.97,0.08,584.16,513D1542 Index,542D1513 Index
Colombia,1360.63,0.13,676.38,0.12,684.26,0.15,-7.88,233D1542 Index,542D1233 Index
Egypt,1356.61,0.13,1010.81,0.17,345.8,0.07,665.01,469D1542 Index,542D1469 Index
Pakistan,1287.37,0.12,1060.25,0.18,227.12,0.05,833.13,564D1542 Index,542D1564 Index
Argentina,1258.61,0.12,365.48,0.06,893.13,0.19,-527.66,213D1542 Index,542D1213 Index
Slovenia,1197.52,0.11,1083.45,0.19,114.07,0.02,969.38,961D1542 Index,542D1961 Index
Finland,1170.01,0.11,320.29,0.06,849.72,0.18,-529.42,172D1542 Index,542D1172 Index
Ukraine,1124.75,0.11,497.09,0.09,627.66,0.13,-130.57,926D1542 Index,542D1926 Index
Romania,1090.59,0.1,559.79,0.1,530.79,0.11,29,968D1542 Index,542D1968 Index
Greece,1072.53,0.1,276.31,0.05,796.22,0.17,-519.91,174D1542 Index,542D1174 Index
Myanmar,1030.26,0.1,564.41,0.1,465.85,0.1,98.56,518D1542 Index,542D1518 Index
Angola,911.41,0.09,756.38,0.13,155.03,0.03,601.36,614D1542 Index,542D1614 Index
Algeria,904.75,0.09,0.46,0,904.3,0.19,-903.84,612D1542 Index,542D1612 Index
Cambodia,867.49,0.08,549.37,0.09,318.12,0.07,231.25,522D1542 Index,542D1522 Index
Portugal,843.56,0.08,447.62,0.08,395.94,0.08,51.68,182D1542 Index,542D1182 Index
Bahrain,679.56,0.06,259.97,0.04,419.59,0.09,-159.61,419D1542 Index,542D1419 Index
Tunisia,633.17,0.06,545.91,0.09,87.26,0.02,458.65,744D1542 Index,542D1744 Index
Papua New Guinea,584.58,0.06,60.16,0.01,524.42,0.11,-464.27,853D1542 Index,542D1853 Index
Morocco,575.66,0.06,401.28,0.07,174.38,0.04,226.9,686D1542 Index,542D1686 Index
Jordan,514.98,0.05,430.71,0.07,84.27,0.02,346.43,439D1542 Index,542D1439 Index
"Congo, Democratic Republic",510.47,0.05,68.43,0.01,442.03,0.09,-373.6,636D1542 Index,542D1636 Index
Ecuador,489.84,0.05,399.26,0.07,90.58,0.02,308.69,248D1542 Index,542D1248 Index
New Caledonia,395.04,0.04,137.51,0.02,257.53,0.06,-120.02,839D1542 Index,542D1839 Index
Panama,379.35,0.04,108.6,0.02,270.75,0.06,-162.14,283D1542 Index,542D1283 Index
Bulgaria,364.93,0.03,153.26,0.03,211.67,0.05,-58.41,918D1542 Index,542D1918 Index
Libya,356.22,0.03,336.5,0.06,19.72,0,316.78,672D1542 Index,542D1672 Index
Bolivia,346.23,0.03,47.16,0.01,299.07,0.06,-251.91,218D1542 Index,542D1218 Index
Guatemala,326.49,0.03,248.4,0.04,78.09,0.02,170.32,258D1542 Index,542D1258 Index
Brunei Darussalam,325.28,0.03,109.53,0.02,215.75,0.05,-106.23,516D1542 Index,542D1516 Index
Serbia,322.78,0.03,152.86,0.03,169.92,0.04,-17.06,942D1542 Index,542D1942 Index
Lithuania,316.05,0.03,232.8,0.04,83.25,0.02,149.55,946D1542 Index,542D1946 Index
Sri Lanka,306.01,0.03,194.35,0.03,111.66,0.02,82.68,524D1542 Index,542D1524 Index
Costa Rica,303.57,0.03,147.01,0.03,156.57,0.03,-9.56,238D1542 Index,542D1238 Index
Dominican Republic,281.24,0.03,209.48,0.04,71.76,0.02,137.72,243D1542 Index,542D1243 Index
Ethiopia,265.8,0.03,200.79,0.03,65.01,0.01,135.78,644D1542 Index,542D1644 Index
Mongolia,256.33,0.02,235.77,0.04,20.57,0,215.2,948D1542 Index,542D1948 Index
El Salvador,240.39,0.02,178.82,0.03,61.58,0.01,117.24,253D1542 Index,542D1253 Index
Paraguay,232.48,0.02,147.92,0.03,84.56,0.02,63.36,288D1542 Index,542D1288 Index
Kenya,228.92,0.02,191.95,0.03,36.96,0.01,154.99,664D1542 Index,542D1664 Index
Ghana,227.15,0.02,190.79,0.03,36.36,0.01,154.43,652D1542 Index,542D1652 Index
Trinidad And Tobago,192.48,0.02,71.73,0.01,120.75,0.03,-49.02,369D1542 Index,542D1369 Index
Estonia,181.53,0.02,89.14,0.02,92.38,0.02,-3.24,939D1542 Index,542D1939 Index
Azerbaijan,180.93,0.02,177.99,0.03,2.94,0,175.06,912D1542 Index,542D1912 Index
Iran,180.08,0.02,171.44,0.03,8.64,0,162.8,429D1542 Index,542D1429 Index
Tanzania,175.36,0.02,125.93,0.02,49.43,0.01,76.5,738D1542 Index,542D1738 Index
Gabon,175.09,0.02,10.28,0,164.8,0.04,-154.52,646D1542 Index,542D1646 Index
Macau,170.86,0.02,167.88,0.03,2.98,0,164.9,546D1542 Index,542D1546 Index
Uruguay,169.44,0.02,53.16,0.01,116.28,0.02,-63.12,298D1542 Index,542D1298 Index
Malta,168.25,0.02,55.35,0.01,112.9,0.02,-57.55,181D1542 Index,542D1181 Index
Belarus,162.22,0.02,120.27,0.02,41.95,0.01,78.32,913D1542 Index,542D1913 Index
Mozambique,160.8,0.02,23.08,0,137.72,0.03,-114.64,688D1542 Index,542D1688 Index
Equatorial Guinea,150.94,0.01,4.73,0,146.21,0.03,-141.48,642D1542 Index,542D1642 Index
Honduras,150.9,0.01,79.07,0.01,71.84,0.02,7.23,268D1542 Index,542D1268 Index
Latvia,130.26,0.01,31.61,0.01,98.65,0.02,-67.04,941D1542 Index,542D1941 Index
Nicaragua,129.74,0.01,59.01,0.01,70.73,0.02,-11.72,278D1542 Index,542D1278 Index
Nepal,116.69,0.01,114.26,0.02,2.43,0,111.83,558D1542 Index,542D1558 Index
Cyprus,116.13,0.01,36.45,0.01,79.68,0.02,-43.23,423D1542 Index,542D1423 Index
Cameroon,113,0.01,57.1,0.01,55.91,0.01,1.19,622D1542 Index,542D1622 Index
Luxembourg,107.82,0.01,32.12,0.01,75.69,0.02,-43.57,137D1542 Index,542D1137 Index
Syria,105.36,0.01,105.29,0.02,0.07,0,105.22,463D1542 Index,542D1463 Index
Senegal,104.66,0.01,63.78,0.01,40.88,0.01,22.9,722D1542 Index,542D1722 Index
Madagascar,103.63,0.01,47.11,0.01,56.53,0.01,-9.42,674D1542 Index,542D1674 Index
Burkina Faso,103.33,0.01,98.7,0.02,4.62,0,94.08,748D1542 Index,542D1748 Index
Croatia,97.7,0.01,74.35,0.01,23.35,0,51,960D1542 Index,542D1960 Index
